,Thal_VPL_L,Frontal_Inf_Tri_L,Frontal_Inf_Oper_L,Lingual_L,Thal_IL_L
Thal_VPL_L,1.0,0.6042029782151047,0.5683915056384862,0.4700040325318857,0.6653712314864213
Frontal_Inf_Tri_L,0.6042029782151047,1.0,0.8231448170054221,0.38453678549405235,0.4008565910685356
Frontal_Inf_Oper_L,0.5683915056384862,0.8231448170054221,1.0,0.6591684484065911,0.4271623627854401
Lingual_L,0.4700040325318857,0.38453678549405235,0.6591684484065911,1.0,0.2506008197302792
Thal_IL_L,0.6653712314864213,0.4008565910685356,0.4271623627854401,0.2506008197302792,1.0
