,Parietal_Inf_L,Postcentral_R,Frontal_Sup_2_L,Cerebellum_4_5_L,Raphe_M,Precuneus_L,Vermis_1_2,Cerebellum_Crus2_L,Frontal_Inf_Oper_R,Thal_MGN_R,Vermis_10,Thal_PuL_R,Thal_PuI_R,Olfactory_L,SN_pc_L,Thal_MDl_L,Postcentral_L,N_Acc_L,Temporal_Pole_Mid_R,OFCpost_L,OFClat_R,Thal_MDm_R,Cerebellum_9_L,Thal_VA_L,Rectus_R,Thal_VL_L,Cerebellum_Crus1_L,Thal_IL_R,Thal_LGN_L,Vermis_9,Cerebellum_3_R,Olfactory_R,ACC_sub_R,OFCmed_R,Thal_MDl_R,Temporal_Pole_Sup_L,Fusiform_L,ACC_pre_R,ParaHippocampal_R,Vermis_6,Thal_MGN_L,Pallidum_R,Temporal_Sup_L,Cingulate_Post_L,Calcarine_L,Frontal_Inf_Tri_R,Lingual_L,Rolandic_Oper_L,Raphe_D,Supp_Motor_Area_L,OFCant_L,ACC_sub_L,Parietal_Sup_L,Cerebellum_8_R,Insula_R,Temporal_Pole_Sup_R,Rectus_L,Thal_MDm_L,LC_R,ACC_sup_R,Thal_PuL_L,Occipital_Sup_R,Occipital_Sup_L,Frontal_Mid_2_R,Red_N_L,Caudate_L,Frontal_Inf_Tri_L,Cuneus_L,Frontal_Inf_Orb_2_R,Frontal_Inf_Oper_L,Putamen_L,Angular_L,ACC_sup_L,Parietal_Sup_R,Paracentral_Lobule_L,Thal_IL_L,Frontal_Med_Orb_R,Hippocampus_L,Frontal_Sup_Medial_R,Heschl_L
Parietal_Inf_L,1.0,0.8104454076889988,-0.009292171784099855,0.7236202629208691,0.4897659940172674,0.9159006831323614,0.16718208362699166,0.2768636962690632,0.4082093037925652,0.5122789013714981,0.18579459031846776,0.3478797849782991,0.6359325912786945,0.31475369317593693,0.4864137453833844,0.549800876616009,0.794552824562847,0.23150209196725205,0.24205599022175217,0.28756613999265607,0.4325457750067717,0.2388308185217483,0.738309381077814,0.6489272772932234,-0.056686074478039354,0.44864626520866563,0.13350373450388783,0.4363716640617328,0.45516609872036123,0.3144625278674539,0.43950812071880935,0.06728887440770567,0.015045426624238698,0.3595781111073773,0.11886761322621722,0.3999955060102398,0.5771724033441511,-0.01402612384877596,0.6148964955732584,-0.14372893531380296,0.36036401572027565,0.41462230922161186,0.7310084145664699,0.872774391013138,0.673149510299152,0.5022042066180293,0.7349913347953856,0.6425221671756512,0.38064039457688065,0.7844173326622873,-0.30977695418396206,-0.09272325163597574,0.8124603740592987,0.5524400197947565,0.6000005133368955,0.40282104199572744,0.03456026025296467,0.5814242043995369,0.055358797582932114,0.7053697035791138,0.29523255416834426,0.6042447902417184,0.6666823685304143,0.5079321832280653,0.4354059731254846,0.4630249803833137,0.5472647536655243,0.6410938627175604,0.09085404775465765,0.7329515291522796,0.4958110164363765,0.6853178204019458,0.7710008822055586,0.6945079446592044,0.7108601079323884,0.5363753041169819,-0.06438048640064117,0.4370911152498095,0.1446753194652842,0.4682270559164347
Postcentral_R,0.8104454076889988,1.0,0.2476018309570375,0.5843999305116088,0.3965646246717497,0.8620050764913262,0.17393358885723323,0.2605908230565687,0.6796324879870779,0.4466705433290576,0.1230021704896582,0.4790395808580222,0.6219034329983709,0.45556602947584984,0.48327997328150707,0.5936530952447342,0.9637958822506615,0.30777462803414135,0.3544634970412164,0.40295612787173085,0.08791759412342887,0.39744015561268686,0.7618356476214061,0.468839560936791,0.007016984944771235,0.4507580543097115,0.11502008226255087,0.356837368943777,0.45271852502775584,0.3382887867171139,0.4540632392440625,0.27838682999573805,0.07931181045969683,0.34087817421290967,0.28704443135901275,0.5569744109958151,0.37531958786578484,0.24937495676743748,0.5417536327089053,-0.03502263668724008,0.23619284712391092,0.5813480071233296,0.8146359734483628,0.6707534238017718,0.5333486508917948,0.8040424760766821,0.46236834676234145,0.7489912198414663,0.13487730252615818,0.944633041095046,0.018991151384149432,-0.031505847765566426,0.706397961269077,0.589887756764063,0.6914233592858742,0.5461158992419312,0.09287034907625534,0.6371132019093176,-0.04450461519461461,0.6392852645239855,0.20899448628173342,0.4623527042470331,0.44192422042803103,0.7376105858086524,0.5423402931952827,0.45037820433708653,0.7620879462433716,0.40842616932738135,0.3285122401968555,0.8330589641833301,0.6202460763755209,0.606737524106185,0.6875543104274513,0.6018326886548655,0.9339305204501824,0.5352984625546012,-0.07338115894917663,0.4888313805994773,0.39307295903029765,0.5970383325904558
Frontal_Sup_2_L,-0.009292171784099855,0.2476018309570375,1.0,0.0005356491290971142,-0.04547225199370707,-0.013379697576747044,-0.1327788748630465,0.025168741750697294,0.6283142666887529,-0.038890827612260516,-0.1574783864984048,0.19787326029224997,0.02392313226387633,0.3781114777605934,0.11321559154857413,0.3686541228097684,0.35951763346200954,0.48366925871979993,-0.17536603805928244,0.6072551311609814,-0.46075480921625345,0.28753862714615697,-0.15769579844922213,-0.14825626111525203,0.0054352815198039335,0.18863006269271052,-0.1942034569250529,0.25704690465541785,0.1958739392077337,-0.057040240027763076,0.17996608293399743,0.4011860828958811,0.17815190294288485,-0.15662215649049524,-0.021001270012143476,0.08424478593035374,-0.3056169112213505,0.8064379660738693,-0.20660453814297186,-0.09158433927811549,0.13271050449088764,0.21403680771905684,0.20823650627461618,-0.06030191815152946,-0.17576198744627577,0.5452277773715007,0.04002107467384316,0.2714407024004193,0.13658973303525193,0.3147439442027961,0.634145685599885,0.23137582997900047,-0.04905363468164558,-0.45271347165657394,0.5150407152948472,0.28638121654828885,-0.21341192110899693,0.29296180125982413,0.12005010564741711,0.2294015864195573,0.29057200994631577,0.023542193260867962,-0.01680212210710279,0.5272925624279989,0.0044981536162762605,0.50137951586286,0.5828181090437837,-0.1475251816794788,0.627584387226408,0.42238422254912134,0.5861546850378924,0.11930472682229087,0.36056315328747673,-0.1535657054327338,0.4090904308564963,0.24615064428068179,0.22090089333336854,0.0573436450013521,0.9352334591028032,0.10189437744747962
Cerebellum_4_5_L,0.7236202629208691,0.5843999305116088,0.0005356491290971142,1.0,0.589468169547505,0.632189412973951,0.2775427703905961,0.07967600702551299,0.10318563769318549,0.6229970379801694,0.11287327839553332,0.32215971637360785,0.5051532565979799,0.32874998248477055,0.23970130329259795,0.5052882795860295,0.5609886583068426,0.197810442488637,0.23247451106936182,0.3828244215924651,0.3326527093426225,0.17253713473101556,0.5997310651325172,0.614018280961882,-0.0873876491053074,0.5835068283107542,-0.3518472180899373,0.5422429529931097,0.5062309949367306,0.15001210388641517,0.6409791672226403,0.15715548659385745,0.03274761001667822,0.26966770315064464,0.0912250439604171,0.25206730430349056,0.34188309513929965,0.03780715702281254,0.5823763639097755,-0.44203546541900385,0.4141118800598449,0.45615198948025953,0.5582303473885591,0.5990153694553358,0.8874735487994427,0.21857969373253108,0.8592658218272904,0.7200746417277987,0.4570331151230595,0.5519462232544926,-0.319960168104005,-0.09098824079176093,0.3548943288520927,0.5048577479609754,0.42906509745105803,0.3244779631377978,-0.05590572120434315,0.5030743508666391,-0.07346801540673899,0.4665812818690525,0.08348771718785311,0.6967780813042489,0.6780157436227735,0.1904210251977562,0.24870579217856478,0.47451826119855806,0.4078050427601453,0.7965252343159682,-0.12956791202662177,0.6429181180408711,0.4786902884928173,0.29866401869015047,0.6046976508365127,0.24576586575356724,0.5111742796843056,0.3987735879794387,-0.047557744676382095,0.42643182225728066,0.05124463494896477,0.1137535583763234
Raphe_M,0.4897659940172674,0.3965646246717497,-0.04547225199370707,0.589468169547505,1.0,0.4441082933474536,0.3994054818211463,0.33681384450960883,0.10923409807995968,0.6267006053742941,0.06888807676202274,0.42987761112129685,0.293094336689431,0.04389626236826677,0.11293723505941233,0.4124782362753808,0.36600440836254705,0.3002094584708428,0.3755905424185239,0.34764339409965817,0.20151926891614855,-0.04495466433245264,0.25597286235521904,0.4161746517595844,-0.13337966993781097,0.3661324733146777,-0.2138698413179388,0.27608124289003905,0.13564753702793117,0.23067805325788765,0.4811327268267752,0.04552135643676432,-0.15105728226364626,-0.005751747072072954,0.18459006303549383,0.45308587529658034,0.11636793848718942,-0.019102996629542165,0.17856907885776444,-0.3079368465402996,0.14429098493548334,0.1859444292675576,0.25953041050103687,0.2896852868675076,0.6588155491870986,0.1680344073359583,0.6169831644346854,0.5310197509147206,0.35952681847718454,0.332064424790687,-0.23983468656379792,-0.041672285527244966,0.3019129091478557,0.3488064812196911,0.29647068739045884,0.40019840627805375,0.14820318492334608,0.23539528400802484,-0.1018196843941137,0.03307098441804518,0.08396129802845981,0.6005496105360421,0.5836780513686771,0.027896954647361596,0.13301162649964549,0.17779611270165996,0.29674280161970074,0.4964561111351142,0.0034245643638581933,0.5012837703595169,0.3650217095674458,0.3697288684535303,0.2524600643623051,0.21681993321124263,0.3771186066506628,0.14218879747565508,-0.3076143654508616,0.06820987067781287,0.007004489829000867,0.10092388791432932
Precuneus_L,0.9159006831323614,0.8620050764913262,-0.013379697576747044,0.632189412973951,0.4441082933474536,1.0,0.1414229086130842,0.29253407046083924,0.41738297254296813,0.47179804534681036,0.16433271454369905,0.3867043814862114,0.5486569345258451,0.2913951319523554,0.4591767930991306,0.47983506513538715,0.8327786949774937,0.24992886526710148,0.3547040503574369,0.22891643438924728,0.35094799933798,0.27443825328584337,0.7716008965648521,0.6091496846989704,-0.010519204867871305,0.4241495228890553,0.16859858539647174,0.2958701292176538,0.3543496556046414,0.2662194996270477,0.3044346349507787,0.056706528535072194,-0.035016431919187074,0.3598466955503235,0.14405867126437452,0.49617977725456575,0.4932491348942997,-0.021200419140433243,0.5709003175250107,-0.08422023460761736,0.22894006864712768,0.41207496589735143,0.6859935450303883,0.8581871246220069,0.6178421377612476,0.5557828815255418,0.6371621410812968,0.5917564737733241,0.28076458863533044,0.8280159612228066,-0.2861402686717452,-0.037053967062594034,0.8884753093145369,0.6219324667245472,0.508534176276268,0.36852905995106,0.09373746173332385,0.5282797527564802,0.10671083828319164,0.6251510876894729,0.30583543921877965,0.5910781072479063,0.6362484866199942,0.5105284979911444,0.45348206307470523,0.37979030067965425,0.5931153096824127,0.5647424098233841,0.0485882768090882,0.7549200101739983,0.4244001022637245,0.7308165181355396,0.6833499272630925,0.8059156910204857,0.7515176044899763,0.461447554784171,-0.10115425009477011,0.3776623688512163,0.13480645438311356,0.5025348145824972
Vermis_1_2,0.16718208362699166,0.17393358885723323,-0.1327788748630465,0.2775427703905961,0.3994054818211463,0.1414229086130842,1.0,0.44626794755625404,-0.03166883327230661,0.562435953464323,-0.004945095477847547,-0.01318231033026187,0.20242391305563756,-0.09280086149465994,0.04452415908362442,0.3019768704314083,0.1371765735364567,0.17387358629597263,0.22323034751061518,0.3711743480634872,0.0004678060326886244,-0.0250074250272589,0.05021245246739235,0.20694770326510778,0.4666287522243256,-0.06547597064059714,-0.051959122737437004,-0.3082244657113444,0.040781969195406456,-0.04982271548798494,0.45401052516999313,-0.12598311530104123,-0.26405827406320953,-0.38001311932789894,0.041138496783578365,0.4038345491945168,0.12140381414291056,-0.23932083100896093,-0.006193565711865735,-0.18260376792142113,0.14811924225406328,-0.017759221973607547,0.1413424372634621,-0.04060376812450315,0.4018010747718533,-0.09720735887243291,0.14612569220580585,0.35603154812895205,0.3333314692884861,0.030062625721137066,-0.13747411684442934,-0.2288602453542448,0.02005612346333072,0.25701319298798275,0.16287270297825782,0.2707247354034418,0.42244536261567034,-0.10791410700698204,-0.029890919176177727,-0.121514498438728,-0.30617587299268006,0.37359698959412235,0.3227885968435991,-0.1732262622751837,0.06432557443567062,-0.2762568028833485,-0.09024521474199575,0.3628693866181613,0.0431848588710831,0.19220905926338558,0.28554700852685927,0.15729532767490997,0.02866552293353035,0.04466024446606135,0.15049341675307742,0.14656567000891765,-0.1874409338687744,-0.048151495626020044,-0.10076825999460957,-0.15189922481443793
Cerebellum_Crus2_L,0.2768636962690632,0.2605908230565687,0.025168741750697294,0.07967600702551299,0.33681384450960883,0.29253407046083924,0.44626794755625404,1.0,0.25453943468998835,0.4912629865141809,-0.0378871198202921,0.010389252065906324,-0.05825142349326571,-0.12738336079615933,-0.025587211496714553,0.24758402674204677,0.2724831528336135,0.18253519452712597,0.3290205286324488,0.2962337545204715,0.12717511139632756,-0.11635724017841755,0.015270205864344799,-0.1583228403113894,0.21574086234841752,-0.2754385917857694,0.3664221015411852,-0.19277646409108692,-0.21886105138077136,0.09677193836125994,0.055438271841716014,-0.25506030051328676,-0.20041924240010459,-0.3647432987491464,-0.27357192598786645,0.35425368450799394,0.244128970120665,-0.0971390541765611,-0.292179833300151,-0.11024933730864575,-0.0413859606676118,-0.18448357422700856,0.07317789442264842,0.055728349845845356,0.17570632852121562,0.15475380324217344,0.2770568105490356,0.18901978703505543,0.44274884736264525,0.18433783822724395,-0.1421135916378495,-0.0362900064378819,0.406059127022661,0.05326925298696431,0.18479688088571367,0.21534545542300412,0.02549686419694897,-0.19529214181507673,0.19503117565799463,-0.09916117818367688,0.12275155684138746,0.43851463082179226,0.4581334195936221,0.0450173563700389,-0.053853702173423106,-0.12286111897935117,0.15929005244280478,0.22060348698793353,0.08030166621972902,0.36429098086925327,0.2983839132214367,0.6431909302127712,0.0529260092920094,0.4502414285329922,0.2679815224381508,-0.013883962418939244,-0.050292293435798795,-0.3334954957063653,0.05923373659177226,-0.05860000565012936
Frontal_Inf_Oper_R,0.4082093037925652,0.6796324879870779,0.6283142666887529,0.10318563769318549,0.10923409807995968,0.41738297254296813,-0.03166883327230661,0.25453943468998835,1.0,0.10304433940412362,0.029791457784276956,0.37264265014060194,0.4295704483305716,0.5023896909611455,0.39687539013741624,0.526720856821199,0.7111265253551228,0.36745130570925355,0.021317866703089515,0.5111683949844925,-0.23465940977342647,0.3282029737946326,0.3069291302946745,0.06979335514233599,-0.09086366185275258,0.23309959541194653,0.2089070679879216,0.3148241705727449,0.3210540457115971,0.3220668442838148,0.34381641712044875,0.380404010690064,0.15504126924790043,0.09950821031966386,0.151458356594072,0.36284076990708064,0.15396914712065357,0.6144390482413438,0.1344349404328357,0.17196540840445423,0.13141172728214467,0.3855216812376154,0.6587009656984171,0.2887416353755735,0.07694943663213481,0.9165674913426035,0.07303504672903681,0.49522899304951845,0.048615663858506804,0.6883395748906892,0.4722782455490604,-0.05992355272775027,0.375159040071541,0.032986250260545164,0.7770799857163132,0.5571952769761144,-0.15958466196151644,0.5301019564181285,-0.058942367028736224,0.5147971772249657,0.3007106867410387,0.08571320729685233,0.08894703918933022,0.8696774547637268,0.3996153214830121,0.48859700999080946,0.7608827818412106,-0.06664152096909097,0.7537355014264522,0.6375963215405072,0.7026014833595219,0.46874349671427373,0.5349157040569906,0.24379672965613713,0.7246920121436504,0.4407109974711214,0.0047599155999214085,0.32444708030785685,0.750563920673751,0.5363934433414427
Thal_MGN_R,0.5122789013714981,0.4466705433290576,-0.038890827612260516,0.6229970379801694,0.6267006053742941,0.47179804534681036,0.562435953464323,0.4912629865141809,0.10304433940412362,1.0,0.1507663285467226,0.12698908125899003,0.3217179958100301,0.0277763566762247,0.06400163513791084,0.4014397507012198,0.3944915547994845,0.12997942653220232,0.3598634564380191,0.4407711220156872,0.29211029605913613,0.042255714808702154,0.32732886836227454,0.27713132790794753,0.10478814519408423,0.1236738981685569,-0.20075970542919752,0.1261703157033648,0.1700315571652236,0.04827237315080483,0.5064207637595457,-0.18380272252682472,-0.13056980992069173,-0.17196392141599282,-0.06756594676678619,0.4400678459367716,0.2053354001882074,-0.16477648407968057,0.15130405333024316,-0.311141193492684,0.2545555851616949,0.10798384882887724,0.27348537674295015,0.3316732428072052,0.6694336990042743,0.09387213383782554,0.6065691991292227,0.5589263107727408,0.5691358405311369,0.3417788992167619,-0.35417545020527047,-0.0334886427336771,0.3247548675052213,0.4219650972664365,0.32432059454781326,0.3495867892707975,0.025231956503106372,0.14145710255666386,0.05350393472286981,0.12201817156190045,-0.008253476134019246,0.6741553130323191,0.667256921926276,0.0006188919910721926,0.17510135330504525,0.05859848384715564,0.1481202407357397,0.6362715843591619,-0.06147717532520806,0.510397367651902,0.4884571210369111,0.3998238518857227,0.28905555548831013,0.2946349272017435,0.40658458522204005,0.16855183592966458,-0.17162182964531766,0.014668182801089358,-0.005133678116259677,0.0047229390570872895
