,Frontal_Inf_Orb_2_L,Lingual_L,Cerebellum_7b_L,Vermis_9,Precentral_R,Vermis_4_5,Thal_MDm_L,Caudate_R,Frontal_Med_Orb_R,Frontal_Sup_2_L,Cerebellum_6_R,Putamen_R,Vermis_10,ACC_sup_R,Angular_R,Lingual_R,ACC_sup_L,Vermis_7,Thal_LGN_R,Frontal_Inf_Oper_L,Cerebellum_Crus1_R,Postcentral_R,Thal_PuL_R,Red_N_R,Occipital_Inf_R
Cerebellum_6_R,-0.33609871713511436,0.45759934411890785,0.2904145883910483,0.001159610484549295,0.19991344901436928,0.4413256121559745,0.0927749721108328,0.3709524992573791,-0.20761237076966452,-0.31124054813616653,1.0,-0.07880202405582835,0.008496170597042309,0.09573360700866637,0.5321604817249899,0.651540387347307,0.16963730139070615,-0.3210622154723029,-0.09684975654394348,0.3087207383936729,0.8907131913796489,0.3347040440651256,0.17301668044821147,0.007347864972223404,0.2545920631855286
Putamen_R,0.6469121167720606,0.19711227884191843,0.2559813084600147,0.2816054103968151,0.7297232210579233,0.27906748834259565,0.5812015950220839,0.2786770221181551,0.006765944883573743,0.4686891254463447,-0.07880202405582835,1.0,0.06326873466271299,0.5300923837479511,0.33894265257748385,0.21764382811565258,0.5622737955487682,0.03815390846358883,0.5973581786548641,0.5808878089206077,-0.034469001345907045,0.6403038109082151,0.2871922063882952,0.29423239526357925,0.16908182907482014
Vermis_10,-0.02293211582523074,0.12078016771790366,0.17536313644839005,-0.08745032204702326,0.0486090636800923,0.06859262476329131,0.1332476456677385,0.012195394800514306,-0.19571087272634038,-0.1574783864984048,0.008496170597042309,0.06326873466271299,1.0,0.10196316720903915,0.17359354633886764,0.08111559118731196,0.03933476241766245,0.1585786188984245,0.21689315697084066,0.10875877533363357,-0.04480122629208061,0.1230021704896582,0.030925627200520157,0.07195018577199844,0.075144638721268
ACC_sup_R,0.29165300434566843,0.3877867274349964,0.26350118085260077,0.33394178483384873,0.5465054924200379,0.21084485306116668,0.6455676327790347,0.5029770293951241,0.11246148108270414,0.2294015864195573,0.09573360700866637,0.5300923837479511,0.10196316720903915,1.0,0.296666249051453,0.33905985320066967,0.8795834265052084,0.26709943929031293,0.643095406123119,0.50543803541482,-0.020907194313811415,0.6392852645239855,0.26236336183606607,0.38466063051572374,0.3271226225847783
Angular_R,0.19363582553937037,0.6442929907687689,0.3792340031812888,-0.06705337544550119,0.4930063807682711,0.6671177421237869,0.24374520435323851,0.3068086614423769,-0.2398376823945358,-0.039935258354244954,0.5321604817249899,0.33894265257748385,0.17359354633886764,0.296666249051453,1.0,0.6436513204521342,0.3847705087722105,-0.35756559620017686,0.2716357009222015,0.7326991453493976,0.46810941735107897,0.6600839348521093,0.244075126827025,-0.053358623101121695,0.40171043518512145
Lingual_R,0.07432964939660255,0.8932786844747763,0.04573498910181879,0.06100957067666186,0.3124796675054661,0.887708696372848,0.37863700751320667,0.3460405653669284,-0.08710840003161385,-0.08295349032317173,0.651540387347307,0.21764382811565258,0.08111559118731196,0.33905985320066967,0.6436513204521342,1.0,0.5012170965090434,-0.592730705687618,0.364705917069356,0.5887973992496032,0.41562087639965795,0.47333971284768067,0.2562136213958624,0.2028363224246572,0.4228642427318965
ACC_sup_L,0.43949078237238337,0.5605078517859532,0.1538065311308567,0.3619766053187747,0.6071622557276695,0.4127581108103251,0.5991138560740137,0.5030079222138593,0.13129591953993316,0.36056315328747673,0.16963730139070615,0.5622737955487682,0.03933476241766245,0.8795834265052084,0.3847705087722105,0.5012170965090434,1.0,0.04302589186367865,0.6664678027233275,0.6470243881703065,0.01996636200860176,0.6875543104274513,0.3052739193628915,0.26965198381878647,0.40318379724657494
Vermis_7,-0.09997935396268087,-0.5405043236946229,0.3625166645607382,0.1845902682729045,0.09201370506789264,-0.786825666220763,0.1419072093835264,0.09638154003136366,0.06676489272192367,-0.0791336506500993,-0.3210622154723029,0.03815390846358883,0.1585786188984245,0.26709943929031293,-0.35756559620017686,-0.592730705687618,0.04302589186367865,1.0,0.09985480828968782,-0.23993196864265873,-0.21942616379357208,0.07764487408433927,0.023183045903001843,0.1289883570619161,-0.06162654387726614
Thal_LGN_R,0.37227851175437965,0.4031338821445298,0.29020770924782896,0.2661193388099158,0.4709595387434898,0.3265094602318362,0.6192388563076782,0.2827324314030804,0.08256990399796953,0.1696528759645559,-0.09684975654394348,0.5973581786548641,0.21689315697084066,0.643095406123119,0.2716357009222015,0.364705917069356,0.6664678027233275,0.09985480828968782,1.0,0.4575430516360085,-0.22592392834132266,0.5578071332410173,0.23244543353205746,0.3472183324991045,0.436098314150442
Frontal_Inf_Oper_L,0.6079039963276059,0.6591684484065911,0.13970142328412874,0.10645466295164308,0.783630904892761,0.6490468376931872,0.5666783273093087,0.5497378673091663,-0.14134184318031726,0.42238422254912134,0.3087207383936729,0.5808878089206077,0.10875877533363357,0.50543803541482,0.7326991453493976,0.5887973992496032,0.6470243881703065,-0.23993196864265873,0.4575430516360085,1.0,0.22348316871092835,0.8330589641833301,0.5437432699067621,0.2341936116911693,0.4201191201753036
Cerebellum_Crus1_R,-0.3372185087443077,0.18339508231911197,0.33526816343026145,-0.11937117414043022,0.23757190900815373,0.2550883992551697,0.03899761255730935,0.3309836549679531,-0.16578086743417075,-0.2272343221462626,0.8907131913796489,-0.034469001345907045,-0.04480122629208061,-0.020907194313811415,0.46810941735107897,0.41562087639965795,0.01996636200860176,-0.21942616379357208,-0.22592392834132266,0.22348316871092835,1.0,0.2679865374639848,0.12682891622727657,-0.005927581135411984,0.12376383946170123
Postcentral_R,0.4284834685234365,0.46236834676234145,0.45670340379256213,0.3382887867171139,0.9201014293480002,0.40510977607573745,0.6371132019093176,0.5752260737736518,-0.07338115894917663,0.2476018309570375,0.3347040440651256,0.6403038109082151,0.1230021704896582,0.6392852645239855,0.6600839348521093,0.47333971284768067,0.6875543104274513,0.07764487408433927,0.5578071332410173,0.8330589641833301,0.2679865374639848,1.0,0.4790395808580222,0.3219520163889087,0.45319558708360197
Thal_PuL_R,0.32479298590399225,0.24753497748328682,0.08025203084811466,0.16705258401685152,0.4566592895747248,0.23823475737337044,0.6123138685258203,0.657075049757942,-0.38170550650816953,0.19787326029224997,0.17301668044821147,0.2871922063882952,0.030925627200520157,0.26236336183606607,0.244075126827025,0.2562136213958624,0.3052739193628915,0.023183045903001843,0.23244543353205746,0.5437432699067621,0.12682891622727657,0.4790395808580222,1.0,0.46888360146899494,0.1619539490838635
Red_N_R,0.2034916719836839,0.13732560619258488,0.02171606709082765,0.2660848259631645,0.3557711097871638,0.13981059254964917,0.6149097150602847,0.42022334629399727,0.031171911388560482,0.12920776363967987,0.007347864972223404,0.29423239526357925,0.07195018577199844,0.38466063051572374,-0.053358623101121695,0.2028363224246572,0.26965198381878647,0.1289883570619161,0.3472183324991045,0.2341936116911693,-0.005927581135411984,0.3219520163889087,0.46888360146899494,1.0,0.23510486934554348
Occipital_Inf_R,0.15866353708910674,0.5033434117841987,0.2101732730079393,0.09291628976598051,0.31392546021958656,0.36336943058625154,0.3169396714478384,0.2609912958619196,0.09062378948584078,0.029064893860468895,0.2545920631855286,0.16908182907482014,0.075144638721268,0.3271226225847783,0.40171043518512145,0.4228642427318965,0.40318379724657494,-0.06162654387726614,0.436098314150442,0.4201191201753036,0.12376383946170123,0.45319558708360197,0.1619539490838635,0.23510486934554348,1.0
