,Thal_VPL_R,Raphe_M,Cerebellum_7b_L,Vermis_7,Cerebellum_4_5_L,Frontal_Inf_Oper_R,Frontal_Sup_Medial_R,Vermis_6,Cerebellum_10_R,Angular_R,Calcarine_R,Pallidum_L,Thal_PuA_L,OFCmed_L,Rectus_L,Thal_VA_R,Paracentral_Lobule_L,Occipital_Inf_R,OFCant_L,Thal_PuI_L,Parietal_Sup_R,Pallidum_R,N_Acc_L,Thal_VL_L,Cerebellum_8_L,Frontal_Inf_Orb_2_L,Parietal_Inf_L,Hippocampus_L,Frontal_Inf_Tri_L,Cerebellum_10_L,Parietal_Sup_L,Thal_LGN_L,Cerebellum_6_R,Thal_VA_L,Heschl_L,Temporal_Inf_L,Frontal_Mid_2_L,Thal_IL_R,Red_N_R,OFClat_L,Temporal_Pole_Sup_R,Occipital_Mid_R,Thal_PuA_R,Thal_PuL_R,Precuneus_R,ACC_sub_R,Vermis_4_5,Olfactory_R,Lingual_R,Rectus_R,Thal_MDm_L,Thal_MDm_R,Cuneus_L,Amygdala_L,Insula_L,Putamen_R,Cingulate_Mid_L,Frontal_Inf_Tri_R,Heschl_R,ACC_pre_R,Precentral_L,Vermis_9,Occipital_Sup_R,Cerebellum_8_R,Cerebellum_6_L
Calcarine_R,0.4787322345404514,0.6068060949671159,0.3841820095108389,-0.4016487264269025,0.873107322937321,0.09046053100004539,-0.13201200958601778,-0.32039000347230195,0.2636872502424611,0.686219291321177,1.0,0.2110941543133458,0.665480758078369,0.13301927573118227,0.12631584092154005,0.12440888226579251,0.5211220610074028,0.4259675093937377,-0.3730694828609582,0.24573259626369476,0.32971813971351127,0.40603309060721476,0.06762468877040849,0.4522066030927184,0.2800262756366372,0.04951774605976074,0.7162349516632217,0.4205592334893393,0.2704545610603853,-0.08569913069791558,0.4172257491825177,0.4458805498228451,0.521543784666162,0.5788048398455151,0.19067600115805483,0.8234552947772299,0.4739534882830869,0.376615005488133,0.2848909305469457,0.5200592502789327,0.41436475190448335,0.32331789854477017,0.6101857105154256,0.2811542981383519,0.6745059014962442,-0.06044299746702974,0.742415581165276,0.0723140520186237,0.8420244898821131,-0.03857173675887778,0.45139463758133297,0.07127435651131579,0.7710244572722249,-0.03247110757924702,0.4665998901406897,0.3599384424880328,0.6645632897292192,0.20141782596223878,0.41101815741919223,-0.18646803015545405,0.39325333058879625,0.16303584326680884,0.689271751781487,0.7355667430492967,0.40365840455460944
Pallidum_L,0.29173400569565705,0.22906869421772533,0.11404394608539216,-0.05336634374946619,0.23008493005724664,0.4773533496171972,0.4847982804937355,0.036913127365825915,0.31224596080750755,0.22405762876720273,0.2110941543133458,1.0,0.4851356059199708,0.4614185268463501,0.2355712001383685,-0.12836137916846319,0.40070695422744945,0.10661033735339646,0.3867237129083195,0.0015242891030180772,-0.057722233942398865,0.522388702923189,0.5011804588170118,0.307728396151558,0.16180492467304222,0.6542790144953489,0.21576491928498104,0.3431762647783732,0.45232025178380103,-0.0966139424715564,-0.02828334084572362,0.4753624713655724,-0.21019013664648356,0.176295848133124,0.10905578261021204,0.3124922775878418,0.38098799919822557,0.0698906219110412,0.2457563402414211,0.39000262321597123,0.5425255302596846,-0.08012599991052342,0.3457700870196107,0.34824768515966487,0.1712116093680587,-0.11336943090030366,0.2386174571654412,0.3910679866787001,0.09471358537549938,0.0332723846513682,0.43800642098675685,0.10345277283090619,0.10457600154919568,0.02573970894170304,0.7392819751646679,0.6243090024046636,0.17176974515688417,0.4501173842107815,0.3414942433592991,0.38461038282341636,0.399431032930573,-0.014523938907035244,0.1346828548358989,0.09230915106721746,0.043127192657924876
Thal_PuA_L,0.4065534587432416,0.36208174220575634,0.07347688040185635,-0.35750966432298836,0.7056712783462848,0.23116202980121447,0.2607473789733775,-0.2553577988003594,0.18251830260250318,0.4253025232606639,0.665480758078369,0.4851356059199708,1.0,0.49678931981857205,0.06805345802985459,-0.015686330691514126,0.4305789505264245,0.2982995804541499,0.007369604871064734,0.32188156462944095,-0.018726159348889077,0.2882721653653562,0.19573832433369723,0.3389982164476526,0.08983863133091058,0.44027671984502886,0.48297845905668696,0.45415647200836123,0.23368972084943182,-0.0622991055762745,0.07638340395487164,0.6001824773291801,0.07879832673408609,0.3901446955246059,0.031623244955863404,0.589294671212429,0.47600809191140436,0.36558725171878,0.26590964758818275,0.486655144069289,0.4771564505371814,0.18604990161702215,0.786293335839657,0.1467049067156731,0.35863664893335645,-0.010296890647373992,0.6512939404636482,0.28755616943375123,0.5814827541757005,0.07355883941257192,0.4335872287290486,0.06285089936499239,0.6393930903032453,-0.047414582910888736,0.620900056233756,0.5225621968082771,0.46133413032612913,0.20510949044481205,0.30172723009743957,0.06602130573238137,0.35545605402329317,0.022233250516048447,0.46963405976505135,0.30215877767453714,0.3843090747868982
OFCmed_L,0.1130946301388149,0.14389323301470017,-0.2081160564374627,-0.17137123310863137,0.2679655853385741,0.34426557284099557,0.43779759130259066,-0.12714443191824984,0.03464028323310231,0.15406025740617477,0.13301927573118227,0.4614185268463501,0.49678931981857205,1.0,-0.25078397260884966,-0.1677014259380052,0.3228843739899543,0.18853971582184742,0.3759978918671186,0.03324041869140112,-0.09581393730887058,0.13488740006725913,0.34746046284814786,0.1227830393454981,-0.10913560672661367,0.5601975717262935,0.18101979023922424,0.09747376603053055,0.299367116526049,0.0385609212387885,-0.03301540493397545,0.3009961304988002,-0.2095405932089052,-0.04242168002486795,-0.11465229740757714,0.2648656485498583,0.3296684381095414,0.19934921374458883,0.11896851700162829,0.19227472056358733,0.4840124309593529,0.12500620833038156,0.34315074199384643,0.030442724423242546,0.12436945945562901,0.12029460203698307,0.32414161421549853,0.5480227060295638,0.17496833837031972,-0.23430054604229328,0.21988491765715662,-0.15672946175988983,0.2740235728124605,-0.024967348718286597,0.47657473088252394,0.3751461459845829,0.1735873632367112,0.27751333400005346,0.1495539546125952,0.3202297155464551,0.2961851006034909,-0.06080348467246471,0.22616345707041402,-0.08315455967024221,0.3204204621841921
Rectus_L,-0.01571774330869671,0.14820318492334608,0.23644160804229547,0.1074745685217741,-0.05590572120434315,-0.15958466196151644,-0.18801380130161524,0.04881548959224806,0.11417979224850865,0.13709305146129191,0.12631584092154005,0.2355712001383685,0.06805345802985459,-0.25078397260884966,1.0,-0.21412235735087407,0.08420844047138872,-0.15982821744336234,0.03655988051542915,-0.0517797298553826,0.09348079595135535,0.12994853884503021,0.1076461429556251,0.06813413960750178,0.1111775682661569,-0.04211737000702868,0.03456026025296467,0.049749615731672046,-0.06631312781024452,-0.1091609612395571,0.0602010856500159,0.0758830243811129,0.10387736257754551,0.2410259215081558,0.07291899903853476,0.11993954086913061,-0.06792104675382661,-0.29373572580826357,-0.12012387093950484,0.15441381072640065,0.1376974214252743,-0.06743965564569948,-0.1366720622004828,0.17389909103213635,0.09452538710335351,-0.1724363800240196,-0.08024185326074183,-0.023272455047608363,0.021290467011510782,0.45204152054398355,0.0061027922005074085,-0.06471958297253036,0.08678632800051826,0.2424347137742759,0.21575233824991055,-0.024941163491632563,-0.020621566276045413,-0.06283132834327615,0.09379647495665999,-0.3055353056205031,0.045554121829550286,-0.09584854869746372,0.047540244905531194,0.2237498857960138,-0.22863052156306599
Thal_VA_R,0.6462700621643092,-0.13788911720187522,0.14771112079990067,0.3128503397236048,0.2693112883844745,0.23039988319473328,0.1667932906794573,0.06717058068049361,-0.1219178681650802,-0.06612342735550265,0.12440888226579251,-0.12836137916846319,-0.015686330691514126,-0.1677014259380052,-0.21412235735087407,1.0,0.28569367468033763,0.1889742087900483,0.00047203776400813347,0.44039709434710816,0.13753672944774598,0.488844744892234,0.02055271530682228,0.5302213532512002,0.23393970797905703,0.048565097918239125,0.2998303450248765,0.5931531941992443,0.4250670550702672,0.29491083563198406,0.22007151793045218,0.3808366925022177,0.159840462675958,0.3943832836602323,0.4951777134276856,-0.013011331449754769,0.5037113018374739,0.44853180129296455,0.4444841033782017,0.2346609290796476,-0.15248047149818827,-0.14695031724184324,0.1399729649934154,0.30472650389335315,0.25639921231996093,0.2866236233863634,-0.0762475845181216,0.22357577163711354,0.09571245040137485,-0.13791326040638985,0.513034215141747,0.5918601457730347,-0.08623149399510953,-0.2603632587638895,-0.09405449881473575,0.1365545070498938,0.4705248184580383,0.38121430481737006,0.492631560277938,0.40793671967779793,0.30191270784047175,0.36633523073023705,-0.15596515435295294,0.16625918544338147,-0.07326093985671803
Paracentral_Lobule_L,0.5497544538574198,0.3771186066506628,0.2908650303976277,0.005421007666586229,0.5111742796843056,0.7246920121436504,0.5157211052834303,-0.06645571681681144,0.27364361709575724,0.5663080747720878,0.5211220610074028,0.40070695422744945,0.4305789505264245,0.3228843739899543,0.08420844047138872,0.28569367468033763,1.0,0.34413825666110287,0.1719708636299375,0.06268334821308533,0.46592068243772317,0.5562821160912035,0.3720737846835863,0.43415470873001377,0.3634564617878793,0.5456177500736874,0.7108601079323884,0.38913785069789186,0.8168074233993919,0.1463639748063244,0.6073721770137395,0.37093389901754303,0.2633751684465792,0.34033717104152306,0.5391721063861815,0.479402597231172,0.8527924684687638,0.36127836259339247,0.2966614839785409,0.44029900510587555,0.6012502826421297,0.156358226984507,0.32691777029331265,0.4722966993609368,0.8131705903016025,0.18361492813984534,0.41304510872095623,0.3650827866893985,0.43651228936799447,-0.00811358259922921,0.6234304159930767,0.3441347564719999,0.33676378029671494,-0.06424789881944835,0.7148645359928351,0.6681051626754948,0.6408282306759598,0.822078334654848,0.7417406274599496,0.3695842143155672,0.9606706531534798,0.3168823700637247,0.42825761591639966,0.43220094035735834,0.2765506973831611
Occipital_Inf_R,0.38500577011071196,0.30266932113014083,0.2101732730079393,-0.06162654387726614,0.4983386598423422,0.21521331486370993,0.08059145532064489,-0.155600124434642,0.2161466398677828,0.40171043518512145,0.4259675093937377,0.10661033735339646,0.2982995804541499,0.18853971582184742,-0.15982821744336234,0.1889742087900483,0.34413825666110287,1.0,-0.201869230853833,0.33269922102971916,0.3692490547151329,0.20344916325617501,0.27502501126902495,0.29421898487827053,0.28590689748875986,0.15866353708910674,0.5433889594104225,0.2712664901126656,0.3311261988453396,0.17986741519449687,0.38967026110353237,0.3789907305639089,0.2545920631855286,0.2983432933969427,0.24536712195995627,0.46339553929099453,0.4612370025175319,0.2927165936365869,0.23510486934554348,0.3099762384911592,0.10097361010838891,0.26680807859410227,0.37300518192865856,0.1619539490838635,0.4768098274506967,-0.05271924787364968,0.36336943058625154,0.056479894922401956,0.4228642427318965,-0.16282101812296704,0.3169396714478384,0.21071972052090643,0.40468411532635606,0.011247324754014305,0.253755341800373,0.16908182907482014,0.5331277131139,0.31945433714822696,0.33754221026767856,0.05017550406763643,0.29826263294934036,0.09291628976598051,0.3308846838515993,0.3092386970723367,0.4048313632438295
OFCant_L,-0.05093957403726372,-0.23983468656379792,-0.23927552337236746,0.1568727501647589,-0.319960168104005,0.4722782455490604,0.6443429330446473,0.08718842058185933,0.09306876823577603,-0.20891303940384226,-0.3730694828609582,0.3867237129083195,0.007369604871064734,0.3759978918671186,0.03655988051542915,0.00047203776400813347,0.1719708636299375,-0.201869230853833,1.0,-0.22942802713085056,-0.32550545079153415,0.10093622036099324,0.2571244455304373,-0.05803522871967837,-0.20248371464104917,0.6185792382119034,-0.30977695418396206,-0.0390708101417072,0.2936486849433723,0.06238806346767245,-0.3033283359610879,0.09716846294292433,-0.4856219233168426,-0.3429300691851972,0.018972378470813563,-0.3126253787195425,0.15328496996575955,-0.004982876803864264,0.11091424282158042,0.05636646809878893,0.3578796471162364,-0.2301379874957109,-0.13624321465738193,0.10559100705540929,-0.17603560599289897,0.19027384839330075,-0.18585298206466241,0.46431984568320367,-0.4150315071248376,0.02925270426532683,0.11631485298004655,0.04179335660739829,-0.38106874711558875,-0.02609383057369593,0.3004864463319811,0.30246153641216816,-0.3532555051823316,0.37175646563606773,0.12623515202887597,0.5990982657682674,0.2350079487952898,-0.19312944265497825,-0.21226126763751071,-0.3607669560273568,-0.23293821448106716
Thal_PuI_L,0.5220558076765243,-0.04549878536363663,-0.004777244624346447,0.1865811167225224,0.37540668450483644,0.009126211892429343,-0.04104892450296183,-0.041447254887075645,0.0539989831961274,-0.0486481284069672,0.24573259626369476,0.0015242891030180772,0.32188156462944095,0.03324041869140112,-0.0517797298553826,0.44039709434710816,0.06268334821308533,0.33269922102971916,-0.22942802713085056,1.0,0.03764008379763682,0.12771395790322496,0.10168657726143322,0.3841277318040539,0.08429633620496262,0.06021005513228164,0.3818418226449212,0.5642277907804552,0.12550330004679192,0.2202114743588086,0.10255851158083114,0.5542861544670645,-0.08558472908798222,0.5076778958643152,0.39831316384693605,0.15741540450845656,0.34817784461857026,0.36173330357917266,0.22583450606257763,0.30282451846201736,-0.14143043779356537,-0.08937948538609942,0.42820409599892767,0.1466724399926458,0.156502258775751,-0.007032299513470863,0.10515689586205863,0.056826542574901634,0.2208448739858223,-0.056358835041909465,0.3870737165140993,0.21469829171184332,0.259148755167544,0.07579056174364915,-0.022656232462618903,-0.010786523247649962,0.5247011753616696,0.06711299167684671,0.2794719116938476,-0.02748417477681845,0.03135560023155679,0.15469627676108355,-0.04483495956409355,0.06165174345578208,0.2185928851850554
