,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L
SN_pr_L,1.0,0.30044832288623735,-0.09673621946654731,0.5201817694975541,0.37576356687216417,0.42359698878584734,0.45520823095899265,0.3910470571233836,-0.006133316770409962,0.45471833513229376,0.19839419985902587,0.13828051219219198,0.35879166368862575,0.38232856171380963,0.32719466305327743,0.005250392782981387,0.4910608527671006,0.0816593977689756,0.5449887122484337,0.27180294544510003,0.18122889782144808,-0.031216420740962533,0.2707810358499643,0.4340259353268488,-0.028876760597178704,0.6737539593624253,0.03643738672504092,0.3760352905481623,0.5481658663855197,0.3241443079092729,-0.15001873973510818,-0.026012882491965508,0.3077005566424844,0.44440768586809565,0.43387307556093635,0.41327851917931463,0.3030841687202258,0.29499443070000764,-0.07812937171737311,0.6299682363220506,0.4248118841475675,0.015633840411288527,0.30030379116694444,0.33241752782072215,0.3488239103589494
Thal_MDl_R,0.30044832288623735,1.0,0.11716144698154399,0.16124331670292133,0.1840857086803682,0.43681090236099696,-0.04065336834036871,-0.04229120231792534,-0.15944040166600884,0.45624687872054176,0.3050938195999757,0.25402697769442195,-0.04304610463899102,0.20809996432114714,0.2188880903517465,0.1866381066762574,0.28357152969131383,-0.00019689420428712056,0.5156692072865996,0.2759997297338611,-0.35332238828810786,0.23661463195077162,0.23252936614460218,0.29001314041858794,0.2516422897963239,0.3571629679356941,0.11541306169839233,0.019998291517274173,0.14405867126437452,0.06529292809902781,0.24146340348873063,-0.060526235794890554,-0.17878344004211394,0.3772540080112943,0.29338737015494937,0.18459006303549383,-0.03877703492703608,0.29446576958717285,-0.021001270012143476,0.3826035089301611,0.07722166542376967,0.041138496783578365,0.6129174391285693,0.2996013519462155,-0.2258054581964173
OFCpost_R,-0.09673621946654731,0.11716144698154399,1.0,0.06780332748952278,0.2276736976228956,0.2488998633287689,-0.15345022697899316,-0.04560106156985403,0.0607050361681865,0.2114137489925807,-0.16573636417082963,-0.07629272374839378,0.039891840035872636,0.269583151612776,0.07941375870976773,-0.061098283826958345,0.3273167096715402,0.38631046790080537,0.29860987825996754,0.4536861069032696,-0.04071508344112809,0.8511675155011161,0.5864988236624205,0.3242355803507317,-0.013391309702613074,0.07322746983697345,0.06324708158863479,-0.12979415241311512,-0.06604926088242973,0.0817040051928236,0.04350998347541167,0.13986526750267808,-0.05528056933329044,-0.0037893874421507682,0.3140356486040482,0.007586359115770571,0.06484010472416449,0.5905213964812438,0.8101290578329007,0.15792177051086986,-0.07437116147446575,0.0013724328464855692,0.1635595338338849,0.5703844632501917,-0.12319992782219817
Temporal_Sup_R,0.5201817694975541,0.16124331670292133,0.06780332748952278,1.0,0.5862885572212643,0.7150086211245492,0.5648409917000319,0.5569769065376114,0.1124070616141514,0.3031900215703684,0.2651673202845131,0.3343205354258851,0.28717256909205374,0.8621233897864848,0.27878929754575826,0.06989451587787193,0.7361344079567207,0.30647789823569227,0.5669085422710253,0.7102876224132805,0.2938837253270491,0.06840569152667672,0.6159340017344909,0.8225164557282263,-0.13184896186691034,0.5545199511946279,0.36580940712047627,0.6504418992905597,0.861613496816674,0.8513023043285934,-0.186294350936778,-0.024720228368255107,0.599645177628239,0.5312205754395185,0.8182753856876563,0.5645885261117889,0.6781381929605074,0.5015084881119831,0.12166498502143447,0.6273798838999651,0.6637736703997763,0.1945199886671549,0.31514079995105354,0.5281900622662876,0.5856836969369162
OFClat_L,0.37576356687216417,0.1840857086803682,0.2276736976228956,0.5862885572212643,1.0,0.4626308379469508,0.36517353985370704,0.3099762384911592,-0.0738946362011184,0.33245266689994807,0.3165681175752436,0.34901246433542144,0.24536777343541502,0.4537709303410702,0.13219661759878415,0.0001917375947573857,0.6237242776157662,0.19214360657513424,0.45452750802022013,0.3476987044589495,0.018302744871092187,0.2818075229274928,0.45253788223050084,0.4504740051636574,0.12936856081433756,0.5926208207137011,0.4158855800641249,0.2646505861709173,0.4794333946645395,0.49369443309332467,-0.0869085046683344,-0.11994764573854538,0.23190257372794956,0.4980885860606603,0.4835669111152662,0.3101267747229138,0.30211063573976243,0.39455197177431944,0.03034673517806153,0.508014079559479,0.48692466994053973,0.18368564403014312,0.07030785393314698,0.6211349525416918,0.25008764751886076
Heschl_R,0.42359698878584734,0.43681090236099696,0.2488998633287689,0.7150086211245492,0.4626308379469508,1.0,0.12921664715899767,0.33754221026767856,-0.07709482879581304,0.4399348274714341,0.436460945277353,0.23993025623278758,0.2305238421650718,0.7383459494416525,0.4396015669544713,0.2354241726967457,0.7446793504219107,0.2738302891076046,0.6022062750705922,0.7343400609675996,-0.11845843740600316,0.3136095571648875,0.5146582771531845,0.7746021942053418,0.2439283121479356,0.5669898203581526,0.3214685132294451,0.37327880338419656,0.6065365406768097,0.5774668842210866,0.14531353681012646,-0.0726358498667899,0.06767319587161581,0.608545824216972,0.7450234096868846,0.2409870719794966,0.25337764455993816,0.7320761082737178,0.2288502772648274,0.6397246051843319,0.3284236221904065,0.014313703712994903,0.367389148737858,0.5401103184125128,0.07186241096678171
Cuneus_L,0.45520823095899265,-0.04065336834036871,-0.15345022697899316,0.5648409917000319,0.36517353985370704,0.12921664715899767,1.0,0.40468411532635606,0.4542387587058591,0.04076083421704816,-0.1475502616113784,0.18078494867643652,0.32296662180063157,0.4700650913031545,-0.06939793483775006,-0.17411495297327306,0.3007006547575186,0.09358716347950626,0.2284426155897228,0.21193597354002133,0.5073653330928496,-0.2068193464039017,0.39933845160950837,0.37021607651736405,-0.5036680160800889,0.3427658478905791,0.06408907409516078,0.3904175749112469,0.5647424098233841,0.5105215518608719,-0.40333662813935806,-0.08967668209884377,0.7891837939787488,0.18714282923664907,0.33492610541355916,0.4964561111351142,0.686632779321003,-0.05733363101782031,-0.1475251816794788,0.2892950877327924,0.7083259163282265,0.3628693866181613,0.11423556882170152,0.32540913360859114,0.7939343546144204
Occipital_Inf_R,0.3910470571233836,-0.04229120231792534,-0.04560106156985403,0.5569769065376114,0.3099762384911592,0.33754221026767856,0.40468411532635606,1.0,0.09388785120176159,0.23510486934554348,0.15163840926290675,0.13158201037762457,0.2368007390263684,0.4287298809324795,0.09291628976598051,-0.024698709753501406,0.3890859166989236,0.27502501126902495,0.3169396714478384,0.29826263294934036,0.21925081472314817,-0.054584143870738754,0.253755341800373,0.41801140025866246,-0.06162654387726614,0.40466977579255575,0.2161466398677828,0.38967026110353237,0.507554288228815,0.45146812032285843,-0.155600124434642,-0.04327013625986524,0.3308846838515993,0.32554540929850584,0.4227630801322798,0.30266932113014083,0.3540073073745626,0.27863360435787055,0.029064893860468895,0.38500577011071196,0.46339553929099453,-0.016276873038767296,0.10107066400575418,0.26354009923441496,0.3641356308975878
Temporal_Inf_R,-0.006133316770409962,-0.15944040166600884,0.0607050361681865,0.1124070616141514,-0.0738946362011184,-0.07709482879581304,0.4542387587058591,0.09388785120176159,1.0,-0.2347516357013073,-0.4483452291944151,-0.24348647168832085,-0.009727532851810333,0.19024823946200559,-0.2662349666746434,-0.22595168115609146,-0.17589137008580022,0.28880404603688725,-0.17815002575928215,0.03767041426593097,0.336881550090647,-0.03239647758903246,0.3444889748613531,0.02036060295111184,-0.41693260137778765,-0.3144495330907193,-0.028124663992872723,0.028459899191035594,0.06036824729039013,0.18025625300389825,-0.2483789470289817,0.13167209140712147,0.41764301236892537,-0.4145869099157404,-0.07355176953785955,0.3111732398564477,0.5355502655102987,-0.1963342908626193,0.14087942953276458,-0.16474189627923885,0.3072319374676924,0.29944902324963263,0.2106095435610437,0.060041025069216034,0.4244945848690116
Red_N_R,0.45471833513229376,0.45624687872054176,0.2114137489925807,0.3031900215703684,0.33245266689994807,0.4399348274714341,0.04076083421704816,0.23510486934554348,-0.2347516357013073,1.0,0.22186565046144832,0.16962885573017927,0.07391435099883932,0.23490602734916968,0.2660848259631645,0.013311826262462865,0.46648699562066054,0.029988158990649768,0.6149097150602847,0.2596181770735332,-0.32067224664031735,0.21415085766717357,0.18471554427912848,0.29978181917042096,0.1289883570619161,0.5764434235308146,0.10000113816504962,-0.00029336309750986974,0.14731136657798694,0.07864937705278031,0.08823620294899942,0.038624983534857285,-0.06139187734185857,0.31918945731471926,0.3611662796176644,0.1315998187104311,0.02749163591699654,0.4203624973751174,0.12920776363967987,0.6098566641187753,0.20279365043654268,-0.3367671607818083,0.3303060558149246,0.35132278257424354,-0.0916125869075014
