,Precuneus_R,Frontal_Mid_2_L,Thal_PuI_R,Temporal_Sup_R,Thal_AV_R,Angular_R,Vermis_1_2,Caudate_L,SN_pc_R,Occipital_Inf_L,Raphe_D,Supp_Motor_Area_L,Temporal_Pole_Mid_R,Parietal_Inf_L,Thal_IL_L,Frontal_Med_Orb_L,VTA_R,OFCpost_R,Cerebellum_9_R,Thal_VA_L,Thal_MGN_L,SN_pr_L,Precentral_L,Heschl_L,Pallidum_L,Pallidum_R,Frontal_Sup_2_L,Thal_MDm_R,Cerebellum_4_5_L,LC_R
Precuneus_R,1.0,0.7695215509981921,0.5107224597081639,0.8542602839766612,0.5772519937762407,0.7975308320962791,0.1643086906583152,0.3677964675453548,0.3621362269269027,0.005559495873612806,0.2737765798222749,0.8565540992982906,0.4227008332768525,0.8845098015893271,0.44284267367811353,0.056028953540245056,0.5265313204724075,0.034392553793397056,0.654620988389601,0.5089800262524135,0.1845655856750069,0.4900383940250881,0.7805996231763304,0.48921114072586025,0.1712116093680587,0.38808782617592624,0.060276218627159664,0.2123313335567854,0.5979857608769945,0.044089771789579166
Frontal_Mid_2_L,0.7695215509981921,1.0,0.6083133345606894,0.8019129584780414,0.5739629459590239,0.44625430719972053,-0.06719474804233196,0.6818167389179338,0.5218512788257349,0.008559540850215553,0.15071804023953417,0.9008511082996257,0.10577852395291244,0.7369499205614659,0.5890780845200201,0.25946818151831064,0.6326442513377695,0.4204983272952671,0.4482480537122945,0.4773775465454443,0.2990173055934872,0.5093054405637405,0.8516833477464787,0.6207155107195755,0.38098799919822557,0.599497435771404,0.4983625598089407,0.4269191925841239,0.5692152864528006,-0.022011763240236782
Thal_PuI_R,0.5107224597081639,0.6083133345606894,1.0,0.6075541254013075,0.5270333638078316,0.2575780314357186,0.20242391305563756,0.31552039574218094,0.5661509721984918,-0.24293527149609165,0.03609863070487935,0.6018526707459766,-0.0858962635572341,0.6359325912786945,0.6761925591578143,-0.039304577366225196,0.49570078333215517,0.218388982924559,0.5403981994221481,0.5599390788678865,0.45152409102433716,0.521905125555993,0.4752169429539948,0.581938320797317,0.38057082572388096,0.4388458526568397,0.02392313226387633,0.325785630796124,0.5051532565979799,-0.22661884756554235
Temporal_Sup_R,0.8542602839766612,0.8019129584780414,0.6075541254013075,1.0,0.612636175068778,0.7383807196068303,0.1945199886671549,0.4617984534773181,0.42082843164874034,-0.17565197090657134,0.2938837253270491,0.8182753856876563,0.3736286489301631,0.8195378946748371,0.4513891649568302,0.0777970028105858,0.5077247419380231,0.06780332748952278,0.6469926637898861,0.5473477082505787,0.28717256909205374,0.5201817694975541,0.7102876224132805,0.4637346863473188,0.27834066811833114,0.5294200032899552,0.12166498502143447,0.32009958756431633,0.7546351805903572,-0.06568454772362575
Thal_AV_R,0.5772519937762407,0.5739629459590239,0.5270333638078316,0.612636175068778,1.0,0.33424888402111574,-0.040363949526269434,0.3722318847142739,0.6710977294400462,-0.4210104545836164,-0.09454917917315799,0.6172177630984921,0.1661376306255534,0.5975193088434165,0.4170085014977464,0.020128087236705818,0.5596893254090876,-0.09005997809238261,0.5346688315749156,0.6332524309989619,0.11231891171216754,0.5586395080371523,0.3840795712817728,0.4084800515554987,0.05048897337610954,0.5727769602219842,-0.11692805217712965,0.367248802609347,0.5220069013793085,-0.13649970955421017
Angular_R,0.7975308320962791,0.44625430719972053,0.2575780314357186,0.7383807196068303,0.33424888402111574,1.0,0.4154440682467152,0.10561764411691206,-0.010896741045658657,-0.005618526264382506,0.47796962351600614,0.5445966475251323,0.478611496656826,0.6986645554116977,0.259643171018347,-0.0846224668876883,0.1996422476502363,-0.08485766342739717,0.5104795667784049,0.3165209016340329,0.13382944206553615,0.25896515359973316,0.5177041886398307,0.038689874307033544,0.22405762876720273,0.19738438360804433,-0.039935258354244954,0.016617561672322242,0.6182632573424459,0.07282525929801119
Vermis_1_2,0.1643086906583152,-0.06719474804233196,0.20242391305563756,0.1945199886671549,-0.040363949526269434,0.4154440682467152,1.0,-0.2762568028833485,-0.19934683643392892,-0.011272659663014738,0.3333314692884861,0.030062625721137066,0.22323034751061518,0.16718208362699166,0.14656567000891765,-0.33743523560108685,-0.16433935637123995,0.0013724328464855692,0.2526454344260801,0.20694770326510778,0.14811924225406328,0.015633840411288527,0.11830324036141793,-0.15189922481443793,0.34996733144556896,-0.017759221973607547,-0.1327788748630465,-0.0250074250272589,0.2775427703905961,-0.029890919176177727
Caudate_L,0.3677964675453548,0.6818167389179338,0.31552039574218094,0.4617984534773181,0.3722318847142739,0.10561764411691206,-0.2762568028833485,1.0,0.40281868738793253,-0.029236575161148855,0.275523103409031,0.5482838980843558,-0.07139237959106408,0.4630249803833137,0.3557487574574219,0.08642208553768507,0.5025906114150889,0.2793337890886804,0.015923446213211206,0.3701298775800245,0.3512584854836967,0.4784795981054269,0.4813202724716381,0.38218346293653793,0.1634093274003788,0.44092648146074526,0.50137951586286,0.3713698988073252,0.47451826119855806,0.04160381675996141
SN_pc_R,0.3621362269269027,0.5218512788257349,0.5661509721984918,0.42082843164874034,0.6710977294400462,-0.010896741045658657,-0.19934683643392892,0.40281868738793253,1.0,-0.4642022499960671,-0.3576496117045233,0.5367023803985986,0.0007378282179650417,0.4334456925738356,0.4206162706398732,0.23351943292995658,0.6199882615012928,0.02950952112800788,0.4704490922931688,0.5158412217140538,0.16556482793359947,0.5440642344952393,0.33122127692319775,0.5502531157668825,0.06081723248583769,0.5877637390117,-0.07704312897685342,0.46309846460026205,0.3586010937117124,-0.26196568778425106
Occipital_Inf_L,0.005559495873612806,0.008559540850215553,-0.24293527149609165,-0.17565197090657134,-0.4210104545836164,-0.005618526264382506,-0.011272659663014738,-0.029236575161148855,-0.4642022499960671,1.0,0.17244975250898367,-0.0032236588659313773,-0.05260327965860175,-0.1022430660570827,-0.05383726847468244,0.10254147973292743,-0.18479144145377077,0.3916490865612356,-0.14039263329283394,-0.3995543806758238,-0.19832941681031313,-0.3110537880640988,0.20093201284490056,-0.033018638760699714,0.13477503895284862,-0.27301104864030507,0.44843521934404795,-0.122267922309858,-0.45609518502083385,0.15540036943730365
