,Thal_PuA_R,Occipital_Sup_L,Thal_MGN_L,Precentral_R,Cerebellum_9_R,Thal_LP_L,Temporal_Pole_Sup_L,Frontal_Mid_2_R,Cerebellum_4_5_L,Parietal_Sup_R,Occipital_Sup_R,Supp_Motor_Area_R,ACC_sup_L,Paracentral_Lobule_L,OFClat_L,Frontal_Inf_Oper_L,SN_pr_R,Thal_VA_L,Rolandic_Oper_L,Thal_VA_R,Hippocampus_L,Cerebellum_10_R,Parietal_Inf_R,Occipital_Inf_R,Thal_PuI_R,Pallidum_R,Thal_PuA_L,Thal_PuL_L,Amygdala_R,Vermis_7,Vermis_1_2,Postcentral_R,Cingulate_Mid_L,Cerebellum_10_L,Thal_LGN_L,OFCpost_R,OFCant_L,Cerebellum_3_R,Postcentral_L,Olfactory_L,Cerebellum_7b_R,Temporal_Inf_R,Cingulate_Mid_R,OFCant_R,Rectus_R
Thal_PuA_R,1.0,0.4240214070364595,0.49370952827507153,0.2785594066600096,0.13666186885533008,0.10609444522804513,0.18989850134239578,0.23682918657957538,0.7111002131863599,-0.01501768317429305,0.42350961273984494,0.2727248785036147,0.6001587076350121,0.32691777029331265,0.453522384082339,0.4131530208065939,0.5075778788692699,0.4808520897707275,0.5863592150154944,0.1399729649934154,0.466149169627262,0.08885682016990751,0.4023756588238722,0.37300518192865856,0.5886346055800564,0.22206512464639966,0.786293335839657,-0.01877863628461798,-0.20673902591791546,-0.3721282529953958,0.3245114802631726,0.3700875883828982,0.5235535063165299,0.045695197525964876,0.5430786721092011,0.27282450900438965,-0.13624321465738193,0.6986755301689339,0.38006632039843724,0.3875133852250039,0.16861282793381185,0.10961053138484682,0.4558948679764789,-0.1919763035704236,-0.00018328351547353084
Occipital_Sup_L,0.4240214070364595,1.0,0.23640627996451416,0.2603251088413741,0.14961171753453995,-0.08362827686855635,0.24291165492138722,-0.036832728803317887,0.6780157436227735,0.5414998461526862,0.9439721378742287,0.2815890452310126,0.37823763307772906,0.4033831464333054,0.25008764751886076,0.673771261444618,0.05036373047713434,0.33430515131032595,0.49104824493972066,-0.1348445994055954,-0.1421416293602156,0.08197762127878545,0.6876749752284321,0.3641356308975878,0.15637395487241967,0.026318157943099288,0.4403944031993804,0.2680450579844321,-0.3104091053518918,-0.5551094013886422,0.3227885968435991,0.44192422042803103,0.39396176517226394,-0.14707414195700808,0.1414584999981736,-0.12319992782219817,-0.2566770900722997,0.33910181922532345,0.4231213153468677,0.033238289275137396,0.3052465968500065,0.4244945848690116,0.344310404213204,-0.3498001040066822,-0.021863959901850107
Thal_MGN_L,0.49370952827507153,0.23640627996451416,1.0,0.05930330442797421,-0.015025086664600291,0.11576819662696314,-0.04107618265287869,0.17610025358198958,0.4141118800598449,0.004187652440733256,0.15081449523393237,0.1913897122745191,0.419766852189596,0.14652853910861185,0.24536777343541502,0.22809587542557117,0.29116387815487044,0.36142012965876286,0.2908359003076518,0.16022234166119143,0.39477289782544955,0.09575477836336782,0.2884012436996518,0.2368007390263684,0.45152409102433716,0.05527523771102044,0.42895672911363786,0.24490405693436915,-0.1479835560812278,-0.08639100399107935,0.14811924225406328,0.23619284712391092,0.4064485773727431,0.0131660852838452,0.4767737180097155,0.039891840035872636,-0.16035983739578896,0.4677099756371625,0.2485384084842675,0.14848260029895394,-0.0532662007070101,-0.009727532851810333,0.34773703246004284,-0.2871610933507167,0.11465711405442955
Precentral_R,0.2785594066600096,0.2603251088413741,0.05930330442797421,1.0,0.6294707070044933,0.2827905373183633,0.5159784084873166,0.8196697765780391,0.4065140664254665,0.43535230828009575,0.3233812961961863,0.9004172295649183,0.6071622557276695,0.9491267723521645,0.4216826440253527,0.783630904892761,0.4114046892418423,0.2513082579490821,0.6917551746043611,0.3066520955873408,0.4175555012951434,0.35891460621041005,0.4851385241138115,0.31392546021958656,0.5277875068922392,0.5996081094257083,0.37000228604283175,0.13459696359598408,0.13845397837322485,0.09201370506789264,0.1221436878465906,0.9201014293480002,0.5823850422586484,0.12179454544085723,0.34362345904863045,0.4791892744965441,0.23539607878433014,0.38535595092618236,0.9285814271077751,0.465260661673499,0.2823081302187191,-0.0017272335343892862,0.6120463062712552,0.16565624014217423,-0.017258282791374233
Cerebellum_9_R,0.13666186885533008,0.14961171753453995,-0.015025086664600291,0.6294707070044933,1.0,0.1668418042592003,0.5839804756975837,0.43591568226520194,0.30751752132730753,0.5650143757501632,0.23137389495157784,0.7143028518255642,0.29075206117282504,0.5616028735834196,0.5104404674946048,0.37817500220281375,0.4103469711655862,0.288223349693168,0.5145612760731422,0.12825742875260124,0.36826475688405136,0.6110148419740192,0.5858614283328699,0.333223820286864,0.5403981994221481,0.4327252729394338,0.22889725480172,-0.18112408420813317,0.27248358187363797,0.22802583457673198,0.2526454344260801,0.6992212178922254,0.5511729488337247,0.0286490468858503,0.24146149532408048,0.0034922714687389287,-0.19196213106611862,0.2566701802934179,0.5786647183136076,0.2380999864507488,0.7133854889141104,-0.08199463324924162,0.522889592557882,-0.27244625463198,0.026592163929380082
Thal_LP_L,0.10609444522804513,-0.08362827686855635,0.11576819662696314,0.2827905373183633,0.1668418042592003,1.0,0.1718947074355423,0.4327076562753864,0.15030161137539638,0.2060710296484631,-0.10793551934748023,0.3356729409978554,0.42637973783944366,0.2605536446574419,0.15136376083074854,0.19435959199796274,0.33448937183828703,0.13639641551779672,0.03672107202022912,0.6355227384965291,0.31386730210894054,-0.0799695596519935,0.19660577584394953,0.2861643753634438,0.18829956128416153,0.21892996508762189,-0.06551811122203646,0.3004253531347789,0.3227522586201167,0.2139883775274087,-0.3231571693313264,0.3086622003330871,0.33898447891113265,0.4470573845494952,0.1807006210700851,0.08945299324989604,-0.06862275718483725,-0.004836819556438449,0.3256134928059974,0.4721153601948968,-0.03454968461827374,-0.37395937887132463,0.38206351916679687,0.06911722044583873,0.0805527102128773
Temporal_Pole_Sup_L,0.18989850134239578,0.24291165492138722,-0.04107618265287869,0.5159784084873166,0.5839804756975837,0.1718947074355423,1.0,0.3338271227482823,0.25206730430349056,0.3879181013929309,0.2685599941567016,0.510481716820238,0.24455996419589832,0.5225307521492029,0.46643470618253835,0.39895780428708055,0.16945605849480624,0.331590112489739,0.45605594584983955,-0.08041829642391808,0.19265473409687156,0.25943839600540236,0.42847738365377475,0.26813705508917113,0.3431399359727727,0.2733159586734444,0.22317630112070322,-0.08595676422603034,0.2578897189962871,0.021577352149865565,0.4038345491945168,0.5569744109958151,0.3253015688397721,0.11575811707829552,0.17367320893206678,0.25122799836989423,-0.00795237511821437,0.34022521021778523,0.49526734317965093,0.3138561021550496,0.3064232023066085,0.18271503492218305,0.3227870891438114,-0.0643378592881137,0.26890076818165587
Frontal_Mid_2_R,0.23682918657957538,-0.036832728803317887,0.17610025358198958,0.8196697765780391,0.43591568226520194,0.4327076562753864,0.3338271227482823,1.0,0.1904210251977562,0.2896894927655292,-0.04559494165342772,0.7845353276118342,0.6471087454841241,0.732053759684633,0.39455197177431944,0.550401684400139,0.5015611145778709,0.24587645210800535,0.4755343395923535,0.47286723036313105,0.5844934191443866,0.310627035611215,0.3052535880890867,0.27863360435787055,0.5711776115287358,0.5471411778260264,0.23693103618658443,0.27921479510888036,0.18656920849806333,0.4055109858381897,-0.1732262622751837,0.7376105858086524,0.5493076423998597,0.29196571232763124,0.4411979616935326,0.5905213964812438,0.30359423356195686,0.3219578761519625,0.7672775380633527,0.5390597048283393,-0.0390364859507441,-0.1963342908626193,0.605924839071163,0.20074360216379572,-0.06615529337064978
Cerebellum_4_5_L,0.7111002131863599,0.6780157436227735,0.4141118800598449,0.4065140664254665,0.30751752132730753,0.15030161137539638,0.25206730430349056,0.1904210251977562,1.0,0.24576586575356724,0.6967780813042489,0.4366635470749419,0.6046976508365127,0.5111742796843056,0.4811733295562506,0.6429181180408711,0.5670857435681824,0.614018280961882,0.7200746417277987,0.2693112883844745,0.42643182225728066,0.014849356585802458,0.6823255685332302,0.4983386598423422,0.5051532565979799,0.45615198948025953,0.7056712783462848,0.08348771718785311,-0.10054140265429772,-0.4944031597384792,0.2775427703905961,0.5843999305116088,0.6895504176230206,0.037055071745108796,0.5062309949367306,-0.015284037221512534,-0.319960168104005,0.6409791672226403,0.5609886583068426,0.32874998248477055,0.4318806346534886,0.16673807139297592,0.6473782958173555,-0.30408590585542217,-0.0873876491053074
Parietal_Sup_R,-0.01501768317429305,0.5414998461526862,0.004187652440733256,0.43535230828009575,0.5650143757501632,0.2060710296484631,0.3879181013929309,0.2896894927655292,0.24576586575356724,1.0,0.5049365790424323,0.6201364233010151,0.38945158046490824,0.46592068243772317,0.2155682988263491,0.5024879781706035,0.11833607864909779,0.29570579265054736,0.23088413422726312,0.13753672944774598,0.001229458864837511,0.32665897830283447,0.7879562281837426,0.3692490547151329,0.17260650392853377,0.12128905961915364,-0.018726159348889077,0.2861209647797212,0.15248775984681315,0.18759911527521259,0.04466024446606135,0.6018326886548655,0.5076511557901139,-0.017095629401437887,0.016166484934410915,-0.2559363805145595,-0.32550545079153415,-0.1342488884320109,0.5522587739723722,0.03224499875664065,0.5065363551781464,0.051361269054494216,0.5080706003313015,-0.37755663966918646,0.03751764559716329
Occipital_Sup_R,0.42350961273984494,0.9439721378742287,0.15081449523393237,0.3233812961961863,0.23137389495157784,-0.10793551934748023,0.2685599941567016,-0.04559494165342772,0.6967780813042489,0.5049365790424323,1.0,0.291228463150163,0.33593139001745387,0.42825761591639966,0.23190257372794956,0.6677129523033237,0.06076391687163256,0.2712995879776919,0.5201316491811084,-0.15596515435295294,-0.17039988168678066,0.09881658206639385,0.634146595396165,0.3308846838515993,0.12282407033682198,0.09682412796871735,0.46963405976505135,0.17965478127618523,-0.26852880913238897,-0.6452995760129503,0.37359698959412235,0.4623527042470331,0.34017173872770556,-0.1879392127924343,0.1156677201385291,-0.05528056933329044,-0.21226126763751071,0.3407773488841647,0.4265478106799754,0.03489382728873888,0.39432015392467396,0.41764301236892537,0.29420126366289245,-0.23328655732342973,-0.016934967005206924
Supp_Motor_Area_R,0.2727248785036147,0.2815890452310126,0.1913897122745191,0.9004172295649183,0.7143028518255642,0.3356729409978554,0.510481716820238,0.7845353276118342,0.4366635470749419,0.6201364233010151,0.291228463150163,1.0,0.6787518819610708,0.8945868393866636,0.5002094899169667,0.7196116436314677,0.5196878365086607,0.45327060492626947,0.6259265209980986,0.4158849273909295,0.5376641049489569,0.4078471005015946,0.6630240432394829,0.3795384100043921,0.6316255798171994,0.5687692133316058,0.3382007298475287,0.20000513961256408,0.2410673678651755,0.27071725616423964,0.06496372268188541,0.9432192334086937,0.755706378033523,0.15941414065094353,0.4319191130646158,0.24171652024824403,-0.003595714034518522,0.3268538575593959,0.9344526824682091,0.43253444253251766,0.42826999024056084,-0.09981943609138953,0.7721071866235615,-0.10142969783709099,-0.016463470552486117
ACC_sup_L,0.6001587076350121,0.37823763307772906,0.419766852189596,0.6071622557276695,0.29075206117282504,0.42637973783944366,0.24455996419589832,0.6471087454841241,0.6046976508365127,0.38945158046490824,0.33593139001745387,0.6787518819610708,1.0,0.6657799919047734,0.4233632330240961,0.6470243881703065,0.5997632452193864,0.5785375903803648,0.5676445211553948,0.4721174663076637,0.538304705215658,0.11059876657298681,0.6100528494351275,0.40318379724657494,0.6113861868003247,0.39250295790499323,0.5556141329474615,0.27433604395634364,-0.013172933591394842,0.04302589186367865,0.02866552293353035,0.6875543104274513,0.7610166966908705,0.1809238256318698,0.4895962947998081,0.29123397555479663,-0.08119789521527174,0.4611061348013371,0.7538452366351004,0.40731214503412033,0.14755171840346099,-0.12977040876007342,0.7759381996262358,-0.09807856440854966,0.012582353869249246
Paracentral_Lobule_L,0.32691777029331265,0.4033831464333054,0.14652853910861185,0.9491267723521645,0.5616028735834196,0.2605536446574419,0.5225307521492029,0.732053759684633,0.5111742796843056,0.46592068243772317,0.42825761591639966,0.8945868393866636,0.6657799919047734,1.0,0.44029900510587555,0.8551378472129553,0.4116222261995897,0.34033717104152306,0.7471414346202327,0.28569367468033763,0.38913785069789186,0.27364361709575724,0.5685653475171398,0.34413825666110287,0.5311350235649809,0.5562821160912035,0.4305789505264245,0.203404933384016,0.11231319793452016,0.005421007666586229,0.15049341675307742,0.9339305204501824,0.6408282306759598,0.1463639748063244,0.37093389901754303,0.4125805340780268,0.1719708636299375,0.43341637644410774,0.9584472504421605,0.44799975916982165,0.27704273559630976,0.10787224722276721,0.6560995711708509,0.09528323430986099,-0.00811358259922921
