,Thal_VA_R,Cerebellum_8_L,Thal_PuI_R,Thal_IL_L,ACC_sub_R,Fusiform_R,Frontal_Sup_2_L,Supp_Motor_Area_R,Cerebellum_10_L,Parietal_Inf_R,OFClat_R,ACC_sup_L,ACC_pre_R,Temporal_Mid_R,Cerebellum_Crus2_R,Cuneus_L,Putamen_L,Precentral_R,Frontal_Mid_2_L,Angular_R,Cerebellum_Crus2_L,Thal_MGN_L,Temporal_Sup_L,Thal_LP_R,Putamen_R,Thal_MDl_L,Occipital_Mid_L,OFCant_L,N_Acc_L,Rolandic_Oper_L,Temporal_Pole_Mid_R,Frontal_Mid_2_R,Cerebellum_10_R,ParaHippocampal_L,Vermis_7,Temporal_Pole_Mid_L,SupraMarginal_L,Thal_VPL_L,ParaHippocampal_R,Cingulate_Mid_R
Thal_VA_R,1.0,0.23393970797905703,0.3048595755778149,0.2511537531440022,0.2866236233863634,0.043730750822023275,0.12248308431275778,0.4158849273909295,0.29491083563198406,0.21778938110540058,0.07787224120375308,0.4721174663076637,0.40793671967779793,-0.21921730195203992,-0.07232575295833954,-0.08623149399510953,0.05856293853933955,0.3066520955873408,0.5037113018374739,-0.06612342735550265,-0.4236588373948336,0.16022234166119143,0.4194946955986901,-0.027723909091752024,0.1365545070498938,0.10595187462531484,-0.20402843401001935,0.00047203776400813347,0.02055271530682228,0.12264104554534543,-0.052723774811188645,0.47286723036313105,-0.1219178681650802,0.6199128086204663,0.3128503397236048,0.023580881494709247,0.18500285515236092,0.42152042498018466,0.5796941335983236,0.5156584045034689
Cerebellum_8_L,0.23393970797905703,1.0,0.3939826681547625,0.33375361229756556,-0.020306630525522965,0.232186810604519,-0.23482672195166054,0.5823503236880898,0.04454589594616333,0.4734868883241852,0.1912565812840362,0.27195848132468725,-0.12594749558975557,0.03648961908836452,0.011175648676187299,0.051997318303945536,0.18966160077717392,0.4417863222067513,0.3011966843201272,0.32811574821808714,0.2154276824415828,-0.07068774241536657,0.4960730330246387,-0.05063637551982846,0.27156864747030973,0.16080497152061818,0.017349170720346727,-0.20248371464104917,0.019010382224236337,0.24720414219912845,0.23620607680236694,0.38957929240347083,0.5126250297817814,0.5375366935891711,0.45896774457489636,-0.014028005189943236,0.35234583972084216,0.3948768355325479,0.5266831023608152,0.4228294680616147
Thal_PuI_R,0.3048595755778149,0.3939826681547625,1.0,0.6761925591578143,0.015800658050927854,0.2100956550692753,0.02392313226387633,0.6316255798171994,0.1767320483927613,0.5262963570376711,0.2964455972022689,0.6113861868003247,0.055407996381763365,0.17028143091324024,-0.19535465971720933,0.34060694690497684,0.4554073410733117,0.5277875068922392,0.6083133345606894,0.2575780314357186,-0.05825142349326571,0.45152409102433716,0.7962474676943107,0.16190140395831285,0.5947704213195786,0.37348919508352657,0.17981753240073362,-0.07358029520024495,0.19603964246314998,0.6470118274272123,-0.0858962635572341,0.5711776115287358,0.4329657143512145,0.6385620079409314,0.18242123230780363,-0.14066433552531568,0.5072244353379813,0.7166257219461698,0.6901112328408633,0.6637478292115486
Thal_IL_L,0.2511537531440022,0.33375361229756556,0.6761925591578143,1.0,0.054545139786349575,0.08301199549503287,0.24615064428068179,0.561637048444746,-0.012630514459554829,0.44462330736989053,0.14918961617572335,0.6223601677283047,0.1516538047577527,0.21242342871966063,-0.19178968295712218,0.2644664832796683,0.502621382450938,0.486119614099741,0.5890780845200201,0.259643171018347,-0.013883962418939244,0.3980191897377426,0.6664707026438295,0.23692952449552668,0.5526206937805825,0.4810108119693644,0.19077332898263566,0.04107382686391866,0.23986152007781877,0.5541243207021905,-0.24307119253234843,0.569083012360464,0.29474395477091153,0.5140295459802967,0.21406038948712203,-0.19743296340900263,0.4402130400285275,0.6653712314864213,0.5318191446425057,0.547645070518969
ACC_sub_R,0.2866236233863634,-0.020306630525522965,0.015800658050927854,0.054545139786349575,1.0,-0.026048252948139398,0.17815190294288485,0.11813312230183194,0.2487355628092762,-0.14560194797200962,-0.14584471907991736,0.17251238857259704,0.24604702311489507,-0.1358365293555543,-0.007878028301766898,-0.06608406830134264,0.07981823737637253,0.15354478133395255,0.15061484574952944,-0.1885240050962129,-0.20041924240010459,-0.04762372900694847,0.0882294549521463,-0.12546213846991353,0.15307355358345423,-0.04586705430362696,-0.18437613431081248,0.19027384839330075,-0.011802684839428727,-0.005790380228879244,0.008446499341555936,0.24276899585058745,-0.23204388005268872,0.17444950095110318,0.10230868219690745,0.04462975178216472,0.057690323276854014,0.12196143178338796,0.13047335549931996,0.10081270758002567
Fusiform_R,0.043730750822023275,0.232186810604519,0.2100956550692753,0.08301199549503287,-0.026048252948139398,1.0,-0.25479102867941184,0.28956820265509703,-0.15508866842110666,0.5438538101529963,0.14968935954881352,0.25443396518015227,-0.19387532650647205,0.6170434708447952,0.7484824913862563,0.6720703035832664,0.26600471839804624,0.2752760352351717,0.25418161032467973,0.6262488890046564,0.09433758802879404,-0.03184230214289104,0.2765760016384528,0.18710160111034468,0.1455878528153487,0.3192982576526059,0.54741098835438,-0.38512319703330994,-0.02207825183093131,0.5077367749020001,0.5669596120131098,-0.11216071314542846,0.03134522009194412,0.2285437833175132,-0.520695088470761,0.3447794750845716,0.3183246112263479,0.3513065047222074,0.46808152634654726,0.3829982226929938
Frontal_Sup_2_L,0.12248308431275778,-0.23482672195166054,0.02392313226387633,0.24615064428068179,0.17815190294288485,-0.25479102867941184,1.0,0.21452966077750873,0.18219640921392538,-0.20413018314494974,-0.46075480921625345,0.36056315328747673,0.8064379660738693,0.1765041067093403,0.0245539520499089,-0.1475251816794788,0.5861546850378924,0.41447363291326933,0.4983625598089407,-0.039935258354244954,0.025168741750697294,0.13271050449088764,0.20823650627461618,0.20090152454363203,0.4686891254463447,0.3686541228097684,-0.08704193158400475,0.634145685599885,0.48366925871979993,0.2714407024004193,-0.17536603805928244,0.5272925624279989,-0.09202727558596324,-0.11561710379979673,-0.0791336506500993,0.17979214100402233,0.18742143821494822,0.18572864101737674,-0.20660453814297186,0.01608122593790617
Supp_Motor_Area_R,0.4158849273909295,0.5823503236880898,0.6316255798171994,0.561637048444746,0.11813312230183194,0.28956820265509703,0.21452966077750873,1.0,0.15941414065094353,0.6630240432394829,0.06707151942798759,0.6787518819610708,0.23158623571356343,0.3770335691294071,0.17609998845741393,0.27120570888657897,0.525612850453603,0.9004172295649183,0.8471509294772972,0.5196707250483953,0.18121469750424227,0.1913897122745191,0.8020889164998729,0.3271522407597262,0.6218815689731025,0.5012404469249739,0.21612994082660023,-0.003595714034518522,0.2779102145867616,0.6259265209980986,0.31837211179255864,0.7845353276118342,0.4078471005015946,0.659845254419355,0.27071725616423964,0.09270577984069564,0.815972216501112,0.7078048194282082,0.5993884059623719,0.7721071866235615
Cerebellum_10_L,0.29491083563198406,0.04454589594616333,0.1767320483927613,-0.012630514459554829,0.2487355628092762,-0.15508866842110666,0.18219640921392538,0.15941414065094353,1.0,0.033633151756971624,0.18884679831021675,0.1809238256318698,0.2244726623292282,-0.16537263726462564,-0.16118573227354965,-0.05094224548583018,-0.0024038105537281074,0.12179454544085723,0.22130957752522068,-0.19858297526619714,-0.10191311816819341,0.0131660852838452,0.12932215529149346,-0.0801515100767754,0.03264845747287273,-0.15110987326374833,-0.19211309574841434,0.06238806346767245,0.3304508174082887,0.014950354498736232,-0.03664900740585035,0.29196571232763124,-0.17351168224709723,0.2111519772917263,0.1902313813370811,0.004399446861200477,0.05963443793332143,0.1104303423196877,0.13170670791231867,0.24590314256903015
Parietal_Inf_R,0.21778938110540058,0.4734868883241852,0.5262963570376711,0.44462330736989053,-0.14560194797200962,0.5438538101529963,-0.20413018314494974,0.6630240432394829,0.033633151756971624,1.0,0.5001362211402257,0.6100528494351275,-0.22727264955806525,0.5687050979959889,0.3356654654361872,0.6608724633324008,0.3396565523725491,0.4851385241138115,0.5825100035724856,0.7841799833981007,0.33438312553870364,0.2884012436996518,0.5927346020779029,0.20603234649078353,0.30345669791245317,0.43470903738686656,0.6767302504178476,-0.44734141520665033,0.1700715430595531,0.5688296183219294,0.29238914643382313,0.3052535880890867,0.3105983794839096,0.5340210139487475,-0.03621374249609634,0.08290133982500958,0.7299917910276537,0.5850218027678775,0.5625997267753258,0.7671364211069979
