,Thal_MGN_R,Thal_PuM_L,Caudate_L,Parietal_Sup_L,Raphe_M,Cerebellum_Crus2_R,VTA_R,Precuneus_R,Cerebellum_3_R,Temporal_Pole_Sup_R,SupraMarginal_L,Frontal_Inf_Oper_L,Temporal_Mid_L,Thal_VPL_L,Thal_IL_R,Thal_PuA_R,Temporal_Sup_L,Precentral_R,Heschl_L,Temporal_Inf_L
Thal_MGN_R,1.0,0.20968175963726218,0.05859848384715564,0.3247548675052213,0.6267006053742941,0.510131292625275,0.02596477759790632,0.47582834974379334,0.5064207637595457,0.3495867892707975,0.45349834181361987,0.510397367651902,0.6532446171866213,0.2832564941863301,0.1261703157033648,0.49727227415691316,0.27348537674295015,0.3081188677920061,0.0047229390570872895,0.655385253543373
Thal_PuM_L,0.20968175963726218,1.0,0.596080160001423,0.18384245882357675,0.2985412677911936,-0.022924469326956284,0.42973949910516424,0.34248234456276033,0.46498062219633085,0.07787664526708536,0.27762339532067515,0.3509859325647882,0.22746991361615632,0.681683638644877,0.6142136871281283,0.6201861523308324,0.42513564975047125,0.1919549790536146,0.32945971753949943,0.3374290080834926
Caudate_L,0.05859848384715564,0.596080160001423,1.0,0.2686771720483578,0.17779611270165996,0.09274796538558713,0.5025906114150889,0.3677964675453548,0.2824415309983579,0.08740243347133585,0.39077406714252466,0.5024595242944737,0.14795314492767767,0.5303570646709937,0.6921476155174465,0.45671812613715657,0.4750760943235358,0.43914641047949476,0.38218346293653793,0.1111028053948093
Parietal_Sup_L,0.3247548675052213,0.18384245882357675,0.2686771720483578,1.0,0.3019129091478557,0.36912947883856645,0.4491878408970806,0.8806268752663784,-0.025983431327692107,0.23835015092932973,0.7637676068989889,0.6110685059397569,0.44489000298275727,0.4627319748750212,0.18824396141712824,0.1130144181229361,0.46470056227695095,0.5766856911923145,0.40847355864334356,0.37523472967325183
Raphe_M,0.6267006053742941,0.2985412677911936,0.17779611270165996,0.3019129091478557,1.0,0.41988861219282003,0.08580575759474827,0.44962548925991747,0.4811327268267752,0.40019840627805375,0.44738580312963966,0.5012837703595169,0.5729900773395336,0.30049436240836935,0.27608124289003905,0.3940827286783601,0.25953041050103687,0.2980306070176407,0.10092388791432932,0.5716593910857644
Cerebellum_Crus2_R,0.510131292625275,-0.022924469326956284,0.09274796538558713,0.36912947883856645,0.41988861219282003,1.0,-0.021777335151075043,0.38590267657775923,-0.0377873541263499,0.16235458915257925,0.2877854757724802,0.4524717731020792,0.3664608153655215,0.03781932047289669,0.13981771135399992,0.16378738773940077,-0.02684590080749134,0.27583586262530974,-0.24863647850480275,0.37996728684388587
VTA_R,0.02596477759790632,0.42973949910516424,0.5025906114150889,0.4491878408970806,0.08580575759474827,-0.021777335151075043,1.0,0.5265313204724075,0.23081959011443146,0.2343417602832586,0.4907930800101723,0.43983237378403656,0.3030652959626726,0.6627614387581362,0.4664134164050655,0.23818604116745834,0.6441427314272683,0.5445051121614337,0.46335662960569235,0.3220335933309987
Precuneus_R,0.47582834974379334,0.34248234456276033,0.3677964675453548,0.8806268752663784,0.44962548925991747,0.38590267657775923,0.5265313204724075,1.0,0.3170375790772958,0.445204741573956,0.9045642122584004,0.8077395798569074,0.6843925806120725,0.6346103482077,0.320160923467115,0.32122709961035356,0.6953518178590566,0.767107003407802,0.48921114072586025,0.5732333182433784
Cerebellum_3_R,0.5064207637595457,0.46498062219633085,0.2824415309983579,-0.025983431327692107,0.4811327268267752,-0.0377873541263499,0.23081959011443146,0.3170375790772958,1.0,0.5301720625435311,0.3838886321608683,0.43142561325085993,0.6208454757312947,0.5284562271341128,0.34752751921334835,0.6986755301689339,0.6082509466023717,0.38535595092618236,0.18824151097801392,0.5790943028087278
Temporal_Pole_Sup_R,0.3495867892707975,0.07787664526708536,0.08740243347133585,0.23835015092932973,0.40019840627805375,0.16235458915257925,0.2343417602832586,0.445204741573956,0.5301720625435311,1.0,0.5657507225719486,0.5453894896178656,0.5878408777983667,0.40440714241244374,0.22284636938972693,0.33756104954313476,0.5234406768516127,0.6177812216291869,0.1625311831447756,0.4645506816365059
