,Thal_MGN_R,Frontal_Sup_Medial_L,Parietal_Sup_R,Calcarine_L,Frontal_Sup_2_R,Heschl_R,Vermis_7,OFClat_L,Thal_IL_R,Frontal_Mid_2_R,Amygdala_R,Caudate_R,Thal_PuI_L,ACC_sub_L,Fusiform_L,Thal_PuL_L,Insula_L,Thal_VPL_L,Thal_VL_R,Cingulate_Mid_R,Thal_LGN_R,Thal_LP_R,Pallidum_R,SN_pr_L,Vermis_3,Cerebellum_4_5_R,Cerebellum_7b_L,Parietal_Inf_L,Cerebellum_7b_R,Vermis_10,Occipital_Sup_R,Postcentral_R,Thal_LGN_L,Cingulate_Mid_L,Supp_Motor_Area_R,Olfactory_R,Rolandic_Oper_R,OFCpost_R,Cerebellum_Crus1_L,Cerebellum_10_R,Paracentral_Lobule_R,Occipital_Inf_R,Vermis_1_2,Frontal_Sup_2_L,ACC_sub_R,OFCant_R,Parietal_Sup_L,Angular_L,Rectus_R,Temporal_Pole_Sup_R,OFCpost_L,Frontal_Sup_Medial_R,Frontal_Inf_Tri_R,Thal_MGN_L,Temporal_Pole_Mid_R,Vermis_8,Cerebellum_8_R,Cerebellum_8_L,LC_R,Thal_PuM_R,Cerebellum_Crus2_R,Thal_VA_L,Lingual_L,Frontal_Med_Orb_R,ACC_pre_L,Cerebellum_3_L,Vermis_4_5,Precentral_L,N_Acc_R,Frontal_Med_Orb_L,Olfactory_L,Temporal_Pole_Sup_L,Fusiform_R,Hippocampus_L,Precentral_R,SN_pc_L,VTA_L,Cingulate_Post_R,Thal_PuI_R,Frontal_Inf_Orb_2_R,Temporal_Inf_L,Temporal_Mid_R,ACC_pre_R,Thal_AV_R,Occipital_Mid_L
Thal_MGN_R,1.0,0.07001160894913154,0.2946349272017435,0.6694336990042743,0.012853669173521844,0.17492333841228694,-0.5372613082112773,0.30082113307932234,0.1261703157033648,0.0006188919910721926,-0.15875506233960016,0.05140601937852192,0.03163142995188059,-0.0334886427336771,0.2053354001882074,-0.008253476134019246,0.5168418932343631,0.2832564941863301,0.22929243460670082,0.29024475611404477,0.3838180105583279,0.17037067093517083,0.10798384882887724,0.2642963659016777,0.6048384375614413,0.5638284828959371,0.2459212618542244,0.5122789013714981,0.3942835600837777,0.1507663285467226,0.6741553130323191,0.4466705433290576,0.1700315571652236,0.3833050036386661,0.29373698463229164,-0.18380272252682472,0.39644259484226674,-0.011629889806035652,-0.20075970542919752,0.2392125335233183,0.5139863899733772,0.35562697649136904,0.562435953464323,-0.038890827612260516,-0.13056980992069173,-0.33087306955751705,0.3247548675052213,0.3998238518857227,0.10478814519408423,0.3495867892707975,0.4407711220156872,-0.005133678116259677,0.09387213383782554,0.2545555851616949,0.3598634564380191,-0.15542836834460605,0.4219650972664365,0.13484466784503213,0.05350393472286981,0.42213342664370057,0.510131292625275,0.27713132790794753,0.6065691991292227,-0.17162182964531766,-0.014603629478965067,0.5418485021759941,0.7055872097483934,0.30349039553617413,-0.06946998675037153,-0.13057787384186054,0.0277763566762247,0.4400678459367716,0.5644390758553901,0.014668182801089358,0.3081188677920061,0.06400163513791084,-0.10138188674161848,0.2545381177326183,0.3217179958100301,-0.06147717532520806,0.655385253543373,0.6699176763621946,-0.16477648407968057,0.16306268790019016,0.6798905761038413
Frontal_Sup_Medial_L,0.07001160894913154,1.0,0.1584037063873929,0.02331330798383149,0.7374796622121612,0.41894425927552437,-0.058646923295738555,0.1410212010003762,0.4104264486086518,0.686691656030066,-0.01644590279082588,0.41426003126359184,-0.00631823213951838,0.21828784903370105,-0.1338080048142773,0.37945210890625425,0.5655892310270126,0.3915891242526766,0.6572521916145087,0.30885926934075003,0.2745411595291849,0.276275484302439,0.37909689569266625,0.10488904239707125,0.24872349680154582,0.046744869191515215,-0.22720078612898514,0.30895341046495794,-0.23490525285535005,-0.10670073625030406,0.22212119097773536,0.5423506883492153,0.22173443472086815,0.23617377887173485,0.5251100017642637,0.3655644182083788,0.3357734256071492,0.70528312716432,-0.14381967030814305,-0.0026882115962122964,0.5566559613056542,0.17578821482935114,-0.15308117484513123,0.85928202577611,0.229863317289438,0.5086275873770487,0.30804613400833214,0.3663301115524404,-0.05796535279071192,0.3772638173183093,0.518986346905246,0.9104503971615581,0.7356405088364398,0.11333882920424404,0.10774447379255622,-0.11205652391195715,-0.12645765060601,-0.019252154594121808,0.07820108091427272,0.3384943570789482,0.24874238842297583,0.04086925142150501,0.24595087520810296,0.1066397134417396,0.6667579178872093,0.22870776333132067,0.2873408892537042,0.7154415878625466,0.3438249675858788,0.3551495584483816,0.43461313561036513,0.23163926963271736,0.021078587843178724,0.1478037598592605,0.6666160501328,0.20048591895947346,-0.10014881773855108,0.4801354085009332,0.16425101445333368,0.5637328866004097,-0.026221828861891335,0.3217880825326937,0.7904568166142742,0.18524022118050543,0.0447322927064042
Parietal_Sup_R,0.2946349272017435,0.1584037063873929,1.0,0.2596043052585641,-0.09088949273521678,0.2786962887341717,0.18759911527521259,0.2155682988263491,0.028119579295352238,0.2896894927655292,0.15248775984681315,0.38416439291633697,0.03764008379763682,0.00349312417796124,0.39498333046828243,0.2861209647797212,0.18556225555081896,0.32151787840596174,0.2570316346055818,0.5080706003313015,0.14850587075015245,0.1087405178600453,0.12128905961915364,0.23801606793475275,0.1863951790038087,0.3216807558570066,0.4666955226001811,0.6945079446592044,0.5065363551781464,0.13511386341154585,0.5049365790424323,0.6018326886548655,0.016166484934410915,0.5076511557901139,0.6201364233010151,-0.18488580149260267,-0.013025839856374203,-0.2559363805145595,0.36236208098899686,0.32665897830283447,0.530353745455163,0.3692490547151329,0.04466024446606135,-0.1535657054327338,-0.1316738488810769,-0.37755663966918646,0.9466740566973203,0.7681172206628426,0.03751764559716329,0.12049771282523736,-0.010349583224894095,0.002066777705911592,0.34221170172293425,0.004187652440733256,0.41100915572720204,0.432273573399145,0.507441224610894,0.5282643190835062,0.20839924618327657,0.11094430580887767,0.3504478610432041,0.29570579265054736,0.3887238036688559,-0.15207031129744003,-0.11662945634856693,0.07259798050149625,0.16526968689783864,0.4746047583191418,-0.2404847737671888,0.027324366043801812,0.03224499875664065,0.3879181013929309,0.31128932980710866,0.001229458864837511,0.43535230828009575,0.2215924378176365,0.036484332335363225,0.49376170738026703,0.17260650392853377,-0.0825207405001762,0.323359146075062,0.4172871998544453,-0.18214964252930607,0.3841368298060055,0.5010914661495595
Calcarine_L,0.6694336990042743,0.02331330798383149,0.2596043052585641,1.0,-0.1708607902495605,0.37441650584122177,-0.468601598093286,0.45272006921561625,0.4036560820483138,0.08438602221300551,-0.19119130270775994,0.33658700766056976,0.27549585895359513,-0.1863331317923933,0.3616776619792718,-0.03528424935255974,0.49307481837089345,0.5788125561545838,0.32970507156320367,0.5736559581107872,0.5251454886284934,0.3122595856270519,0.3857698666212786,0.5648089324656483,0.8053565162575864,0.7303650097585013,0.24898070871116587,0.673149510299152,0.5461782426635338,0.2178282020537425,0.6830261721133799,0.5333486508917948,0.4377467381630722,0.6329833378484657,0.4078822968227781,0.07604935564731431,0.5267163131156862,-0.11463714428657004,-0.3042198386219666,0.22282154055876657,0.5723404087027613,0.47038410169393813,0.4018010747718533,-0.17576198744627577,-0.10737438141027596,-0.41196655571484414,0.3371115155705489,0.31972384685454175,-0.16174535000584875,0.3850715631003142,0.3539326716643967,-0.10292632880087867,0.18016067856418128,0.3538126248574199,0.30850610871857304,0.03206554061849837,0.6023919594350073,0.17539284369037936,-0.16347803547382203,0.6349808703088098,0.4078590631895702,0.5648872638315925,0.7573272582338126,-0.12452672818681809,-0.09433651443206295,0.7654755587420947,0.7856555390414939,0.3324094494078741,0.13995438833908563,-0.1953124369036094,0.2402876480497639,0.2887663848553649,0.7167442554314031,0.3718071827197299,0.36695695649166665,0.1837906753620833,0.11550679723580691,0.43138896840238855,0.542454503658741,-0.10589992959785015,0.8187377482018093,0.6819017824955341,-0.11073919037051518,0.43267850509386047,0.6829795092196537
Frontal_Sup_2_R,0.012853669173521844,0.7374796622121612,-0.09088949273521678,-0.1708607902495605,1.0,0.28909081461401953,0.08139239578349122,0.10718230760427679,0.20066531113425667,0.6380285625179458,-0.12056642065642356,0.0830251837666441,0.13191152074081613,0.07152336311241592,-0.06594159412008181,0.31435139728808414,0.5261985890272501,0.2493438450342142,0.4148274627791736,0.1250548320619492,0.36469574287639406,0.11938539376518845,0.15620644368962794,-0.01798571510161269,0.15187191986770987,-0.34808374098054307,-0.28668437957148807,0.12527793385694722,-0.5462524929115502,-0.11283642973366201,-0.057696493820711035,0.3044292821572403,0.27351935751336354,0.0919109194424569,0.30410946105142805,0.3002576642016403,0.4564429792880581,0.770335037759246,0.036328653994654465,0.08191892817102031,0.3037795604034139,0.03126325296147229,-0.032521699288025105,0.8692384668906555,0.1671436324197482,0.41783835924546736,0.025069114553453422,0.19899684613305366,0.10822407574939989,0.32718284358391925,0.5784936823286462,0.8653974799929373,0.5677206119530737,0.31051463613541663,-0.34887365547260163,-0.15433255040218744,-0.42946127874332696,-0.10621627471488249,0.14960053873263668,0.3158165099208662,-0.21638397498297843,-0.05423418282252752,0.010489490534291079,0.23616613583217014,0.6793401604968635,0.13478887995327704,0.053076435876127946,0.5103174643262507,0.37404155287275476,0.2297385789883467,0.37761225920235797,0.09243775053111405,-0.3851337444791773,0.18098734856334373,0.4242831420663517,0.29382056660840294,-0.17777849866499806,0.28126668195044674,0.23823784932018796,0.6993277925788104,-0.16140512128415574,0.09308584882359697,0.6646772019093853,-0.10407374495029288,-0.06442739940040783
Heschl_R,0.17492333841228694,0.41894425927552437,0.2786962887341717,0.37441650584122177,0.28909081461401953,1.0,0.2439283121479356,0.4626308379469508,0.31107786805227416,0.7320761082737178,0.2354241726967457,0.5765335919639424,0.2794719116938476,-0.0726358498667899,0.2904064300681566,0.17446541983876196,0.5146582771531845,0.6046563067963439,0.590669986820108,0.6551127672885293,0.508723359803672,0.367389148737858,0.5969029635236243,0.42359698878584734,0.4035507255117508,0.22387093233778785,0.3687370795921507,0.5338206154857384,0.2624363814539804,0.11529651041010021,0.06767319587161581,0.7969404797992014,0.47809611142300634,0.6493178244667108,0.7675066804397663,0.3519150953522577,0.5401103184125128,0.2488998633287689,0.129649279608841,0.3214685132294451,0.7383459494416525,0.33754221026767856,0.014313703712994903,0.2288502772648274,0.1366950407770319,0.018950972310237506,0.37327880338419656,0.2447860160596017,-0.04147648918032524,0.3784741589431761,0.26738997318945734,0.3056628580071274,0.7423905318355151,0.2305238421650718,0.12969340061358686,0.436460945277353,0.4468711252830352,0.37038873266027816,-0.12293385381838726,0.5640056494591227,0.01222251591414975,0.4263498464955533,0.1938148801983883,-0.0050122739379041,0.30319067922776866,0.33753690753373267,0.12342557956689706,0.7343400609675996,0.3092148585212918,0.1475171245719998,0.498345106973561,0.3861038493219577,0.13909073341187705,0.623641090358338,0.7518012763884966,0.5883356611817226,0.49584797555161375,0.5488936285906618,0.6388301011791497,0.3136095571648875,0.3284236221904065,0.25337764455993816,0.3260074330300851,0.5562567443268811,0.03754061348497346
Vermis_7,-0.5372613082112773,-0.058646923295738555,0.18759911527521259,-0.468601598093286,0.08139239578349122,0.2439283121479356,1.0,0.12936856081433756,-0.14661043575945898,0.4055109858381897,0.29500448717164696,0.09638154003136366,0.1865811167225224,-0.07991680798613339,0.26863546574569347,0.027495813271771363,-0.26945112697120543,0.13363345868891618,0.008357507157282446,0.1704158177443705,0.09985480828968782,-0.123575452013579,0.08673829534630735,-0.028876760597178704,-0.37945272835470545,-0.48718062549526947,0.3625166645607382,-0.016990428946669054,-0.04305235044565565,0.1585786188984245,-0.6452995760129503,0.07764487408433927,0.11231328520014605,0.13159736414669854,0.27071725616423964,0.13035238765693935,-0.030115300240185723,-0.013391309702613074,0.603858915046186,0.2820990855434372,-0.10614205660271124,-0.06162654387726614,-0.38846348015082255,-0.0791336506500993,0.10230868219690745,-0.021475750027427607,0.1589025605291418,-0.1053007071437249,-0.04649763858359712,-0.11098457150238294,-0.31807426858128895,-0.0037884971993833757,0.27254169965660746,-0.08639100399107935,-0.2838469174674947,0.7317672402089327,0.049968872868306084,0.45896774457489636,-0.005123710049024651,-0.06864725533397267,-0.6396649055794278,0.047751030544864785,-0.5405043236946229,0.06676489272192367,0.06248206655825895,-0.3727718856475289,-0.786825666220763,0.07053444456298996,-0.011270286690207009,0.1485303762914268,0.11429826926279428,0.021577352149865565,-0.520695088470761,0.3319655396685645,0.09201370506789264,0.37249218896596137,0.44514090645577814,0.10487124498370808,0.18242123230780363,0.2410381482196704,-0.35177408774517865,-0.5534055787478023,0.007275523251247976,0.1841874518620137,-0.5627747319258531
OFClat_L,0.30082113307932234,0.1410212010003762,0.2155682988263491,0.45272006921561625,0.10718230760427679,0.4626308379469508,0.12936856081433756,1.0,0.2183605815807043,0.39455197177431944,0.0001917375947573857,0.16307053214326103,0.30282451846201736,-0.11994764573854538,0.34650142153338087,-0.09898633565238917,0.45253788223050084,0.6061891493387155,0.3651863818047376,0.48462833545834466,0.6051984614285368,0.07030785393314698,0.45858786394299006,0.37576356687216417,0.44036878212845476,0.32597435359385624,0.40604970002338947,0.5449073064003622,0.3012645983097958,0.35888394891979547,0.23190257372794956,0.556683115424872,0.584492021504768,0.5373902171099927,0.5002094899169667,0.2797453576680318,0.6211349525416918,0.2276736976228956,-0.07967637196399299,0.4158855800641249,0.4537709303410702,0.3099762384911592,0.18368564403014312,0.03034673517806153,-0.020554692616831963,-0.18876950237200094,0.2646505861709173,0.08542801922123235,0.03071062963493319,0.5079549402425052,0.4192416045987465,0.16943700193935538,0.37636966817997675,0.24536777343541502,-0.05138300910400307,0.3165681175752436,0.5134266542233454,0.3605030698606748,-0.16659624449797883,0.6451093506921727,-0.059050303120583285,0.5153226217835297,0.306048517192647,-0.13841557073392535,0.226803724897631,0.5230361959832273,0.2863507487245951,0.3476987044589495,0.32722341520212384,-0.03419388684191968,0.49397808226473583,0.46643470618253835,0.30327929452652835,0.5490853250025475,0.4216826440253527,0.3698944437634242,0.32279891420423085,0.4434944330118622,0.6400117316655941,0.2818075229274928,0.48692466994053973,0.30211063573976243,0.05884428551639971,0.5513547730322643,0.25157639221186096
Thal_IL_R,0.1261703157033648,0.4104264486086518,0.028119579295352238,0.4036560820483138,0.20066531113425667,0.31107786805227416,-0.14661043575945898,0.2183605815807043,1.0,0.39036187741462747,-0.20029070992179313,0.4812075507923698,0.36173330357917266,0.031659642112545315,0.09171965946036181,0.27590097695299165,0.27371458066265736,0.5591536781872526,0.47068223196787207,0.46104157406091134,0.43159643942094167,0.3333028734872808,0.36267802216378364,0.5970599768813442,0.5353984428459089,0.2929625090866,-0.1721050868126703,0.4363716640617328,-0.007720098845177858,0.08310003721311415,0.26956824068313884,0.356837368943777,0.3734573358055375,0.43304018692766677,0.30535536295695953,0.22464404378236533,0.31400243840918657,0.17660718639317208,-0.23719317519519836,-0.030995879402528407,0.33602713303410886,0.2927165936365869,-0.3082244657113444,0.25704690465541785,0.24097619990117589,-0.030628928364287773,0.18824396141712824,0.16161723204474712,-0.5154704751582385,0.22284636938972693,0.15428097281492575,0.28121611542448605,0.3753018813389793,0.23079630534330825,-0.023106759985678488,-0.032754941327011844,0.10203363237803427,-0.06449261804379601,-0.20905726028657298,0.5079142798008848,0.13981771135399992,0.2862390144678352,0.5074329469015518,0.0005181722261983244,0.11349895203896743,0.39821251667346574,0.4662106060882388,0.3236571113216176,0.3124909335380653,0.0924307239835496,0.14929688750514872,-0.20031251169484274,0.2514890978094722,0.36391002690737134,0.3438065031469895,0.16678274991793834,0.22749184498016195,0.556384205530791,0.3270815963975648,0.14886472603449552,0.2241153276852773,0.28516928509534256,0.35168864682891776,0.3965818660923604,0.18384027431547498
Frontal_Mid_2_R,0.0006188919910721926,0.686691656030066,0.2896894927655292,0.08438602221300551,0.6380285625179458,0.7320761082737178,0.4055109858381897,0.39455197177431944,0.39036187741462747,1.0,0.18656920849806333,0.46301688643199046,0.2125954908622139,-0.02092501136871251,0.3221914807446937,0.27921479510888036,0.49818062469790314,0.6373220421123279,0.6603752269667985,0.605924839071163,0.5516996991779315,0.24989522054960708,0.5471411778260264,0.29499443070000764,0.23551201779495645,-0.03287356042175706,0.22139667641359412,0.5079321832280653,-0.0390364859507441,0.02337008554771071,-0.04559494165342772,0.7376105858086524,0.4411979616935326,0.5493076423998597,0.7845353276118342,0.4478903617833547,0.5960827600963343,0.5905213964812438,0.29792977634394785,0.310627035611215,0.6099073983472095,0.27863360435787055,-0.1732262622751837,0.5272925624279989,0.24276899585058745,0.20074360216379572,0.4379831087723893,0.3653428655167459,-0.06615529337064978,0.43699895990692234,0.35402971585973586,0.648145188942399,0.8850569721953073,0.17610025358198958,-0.06857925264660762,0.4500354339883546,0.15725399562211326,0.38957929240347083,-0.0674685944643581,0.564798898718827,-0.12779955873932686,0.24587645210800535,0.09960283865374599,0.15789214276603658,0.55057817151667,0.2472008353384758,-0.014988334120128628,0.7938382949670895,0.37354235482573445,0.36342369951360676,0.5390597048283393,0.3338271227482823,-0.11216071314542846,0.5844934191443866,0.8196697765780391,0.5875603536965892,0.391770717135825,0.5755582981505692,0.5711776115287358,0.6631002609493861,0.1172485077069358,0.07262878063435521,0.563566336107682,0.4235838022598915,-0.1136361872337339
