,Thal_PuA_L,Occipital_Sup_L,Thal_PuA_R,OFClat_R,Cerebellum_7b_R,Heschl_R,Parietal_Inf_R,Precuneus_L,Thal_PuI_R,Amygdala_R,Angular_L,Cuneus_L,Cerebellum_9_R,Vermis_1_2,Cerebellum_10_L
Thal_PuA_L,1.0,0.4403944031993804,0.786293335839657,0.09461218794342262,0.22108340534300927,0.30172723009743957,0.4021200194665604,0.353363099123457,0.6028644724384894,-0.23446155810025598,0.13465585332964788,0.6393930903032453,0.22889725480172,0.399522339277869,-0.0622991055762745
Occipital_Sup_L,0.4403944031993804,1.0,0.4240214070364595,0.34390250708712533,0.3052465968500065,0.07186241096678171,0.6876749752284321,0.6362484866199942,0.15637395487241967,-0.3104091053518918,0.7089281470780028,0.7939343546144204,0.14961171753453995,0.3227885968435991,-0.14707414195700808
Thal_PuA_R,0.786293335839657,0.4240214070364595,1.0,0.27242819888316816,0.16861282793381185,0.23936822158856513,0.4023756588238722,0.3430425428725772,0.5886346055800564,-0.20673902591791546,0.13122454958493748,0.5791396125835198,0.13666186885533008,0.3245114802631726,0.045695197525964876
OFClat_R,0.09461218794342262,0.34390250708712533,0.27242819888316816,1.0,0.23925381456923306,0.041572612536880806,0.5001362211402257,0.35094799933798,0.2964455972022689,-0.015125428332911795,0.17123348392626345,0.41331994695276136,0.1518459451243045,0.0004678060326886244,0.18884679831021675
Cerebellum_7b_R,0.22108340534300927,0.3052465968500065,0.16861282793381185,0.23925381456923306,1.0,0.2624363814539804,0.5921545898544359,0.5311314002599176,0.3113159358556639,0.21167499968172013,0.2141349881725316,0.4103892248627223,0.7133854889141104,0.3006778567860974,-0.2534210916511511
Heschl_R,0.30172723009743957,0.07186241096678171,0.23936822158856513,0.041572612536880806,0.2624363814539804,1.0,0.44831985485922665,0.6065365406768097,0.6388301011791497,0.2354241726967457,0.2447860160596017,0.12921664715899767,0.567275253044107,0.014313703712994903,0.2523630684943792
Parietal_Inf_R,0.4021200194665604,0.6876749752284321,0.4023756588238722,0.5001362211402257,0.5921545898544359,0.44831985485922665,1.0,0.9048926941610685,0.5262963570376711,0.05752707889522625,0.6593219321946862,0.6608724633324008,0.5858614283328699,0.22559230810668943,0.033633151756971624
Precuneus_L,0.353363099123457,0.6362484866199942,0.3430425428725772,0.35094799933798,0.5311314002599176,0.6065365406768097,0.9048926941610685,1.0,0.5486569345258451,0.12144761137440466,0.7308165181355396,0.5647424098233841,0.6287360187945741,0.1414229086130842,0.10584254118453956
Thal_PuI_R,0.6028644724384894,0.15637395487241967,0.5886346055800564,0.2964455972022689,0.3113159358556639,0.6388301011791497,0.5262963570376711,0.5486569345258451,1.0,0.08258050974487328,0.19676768168972378,0.34060694690497684,0.5403981994221481,0.20242391305563756,0.1767320483927613
Amygdala_R,-0.23446155810025598,-0.3104091053518918,-0.20673902591791546,-0.015125428332911795,0.21167499968172013,0.2354241726967457,0.05752707889522625,0.12144761137440466,0.08258050974487328,1.0,-0.10245322066981462,-0.17411495297327306,0.27248358187363797,-0.09880952501812612,0.3293521753016815
Angular_L,0.13465585332964788,0.7089281470780028,0.13122454958493748,0.17123348392626345,0.2141349881725316,0.2447860160596017,0.6593219321946862,0.7308165181355396,0.19676768168972378,-0.10245322066981462,1.0,0.41082921812570444,0.3192839965783365,0.15729532767490997,-0.023608176046350928
Cuneus_L,0.6393930903032453,0.7939343546144204,0.5791396125835198,0.41331994695276136,0.4103892248627223,0.12921664715899767,0.6608724633324008,0.5647424098233841,0.34060694690497684,-0.17411495297327306,0.41082921812570444,1.0,0.21751249732552072,0.3628693866181613,-0.05094224548583018
Cerebellum_9_R,0.22889725480172,0.14961171753453995,0.13666186885533008,0.1518459451243045,0.7133854889141104,0.567275253044107,0.5858614283328699,0.6287360187945741,0.5403981994221481,0.27248358187363797,0.3192839965783365,0.21751249732552072,1.0,0.2526454344260801,0.0286490468858503
Vermis_1_2,0.399522339277869,0.3227885968435991,0.3245114802631726,0.0004678060326886244,0.3006778567860974,0.014313703712994903,0.22559230810668943,0.1414229086130842,0.20242391305563756,-0.09880952501812612,0.15729532767490997,0.3628693866181613,0.2526454344260801,1.0,-0.27624014922241846
Cerebellum_10_L,-0.0622991055762745,-0.14707414195700808,0.045695197525964876,0.18884679831021675,-0.2534210916511511,0.2523630684943792,0.033633151756971624,0.10584254118453956,0.1767320483927613,0.3293521753016815,-0.023608176046350928,-0.05094224548583018,0.0286490468858503,-0.27624014922241846,1.0
