,SN_pr_L,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pr_L,1.0,0.42399835926902957,0.4583444876271361,0.384889814279516,0.2854902802299546,0.4542804956023192,0.2526481502697404,-0.10935473617277555,0.2482786554345876,0.27522527106770844
Thal_MDl_L,0.42399835926902957,1.0,0.42152660290815847,0.6182584683248846,0.21442837312086302,0.40917183790531103,-0.09051197765743776,-0.29052618668708163,0.6178018987522009,0.6412552333680982
OFCpost_R,0.4583444876271361,0.42152660290815847,1.0,0.506293346429763,0.6788680753870499,0.48543516827753197,-0.23239030152448517,-0.5138100341438535,0.5842265876105766,0.5296197022825643
Temporal_Sup_R,0.384889814279516,0.6182584683248846,0.506293346429763,1.0,0.1010067460974615,0.7152752335433694,0.22790541407371945,-0.08462584903988087,0.7283578959148562,0.6142086485846004
OFClat_L,0.2854902802299546,0.21442837312086302,0.6788680753870499,0.1010067460974615,1.0,0.3134169518500496,-0.3455968240197659,-0.6359623320363746,0.12018434210071904,0.20075764975400495
Heschl_R,0.4542804956023192,0.40917183790531103,0.48543516827753197,0.7152752335433694,0.3134169518500496,1.0,0.3888913758603677,-0.035663118279848215,0.4848604655428138,0.4345999037592228
Cuneus_L,0.2526481502697404,-0.09051197765743776,-0.23239030152448517,0.22790541407371945,-0.3455968240197659,0.3888913758603677,1.0,0.7222824090386898,0.002838317252072907,-0.2093848172597534
Occipital_Inf_R,-0.10935473617277555,-0.29052618668708163,-0.5138100341438535,-0.08462584903988087,-0.6359623320363746,-0.035663118279848215,0.7222824090386898,1.0,-0.18345962269644525,-0.41616632813239884
Temporal_Inf_R,0.2482786554345876,0.6178018987522009,0.5842265876105766,0.7283578959148562,0.12018434210071904,0.4848604655428138,0.002838317252072907,-0.18345962269644525,1.0,0.8279422730454145
Vermis_8,0.27522527106770844,0.6412552333680982,0.5296197022825643,0.6142086485846004,0.20075764975400495,0.4345999037592228,-0.2093848172597534,-0.41616632813239884,0.8279422730454145,1.0
