,SN_pr_L,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
SN_pr_L,1.0,0.42399835926902957,0.4583444876271361,0.384889814279516,0.2854902802299546,0.4542804956023192,0.2526481502697404,-0.10935473617277555,0.2482786554345876,0.6690593798364562,0.27522527106770844,0.4395920295789608,0.4666480486422703,0.1821738397769603,-0.10844239901325256,0.33927239624663436,0.4684752897056093,0.3747708129092979,-0.1736742634533907,0.27656767638216195,0.054064412648703646,0.2629551756526578,0.2968265892175338,0.2479038134366583,0.0976812531737484,0.28524429879685415,0.2581549241923172,-0.028816977804374592,0.26185679677884327,0.2825377605466343
Thal_MDl_L,0.42399835926902957,1.0,0.42152660290815847,0.6182584683248846,0.21442837312086302,0.40917183790531103,-0.09051197765743776,-0.29052618668708163,0.6178018987522009,0.3464666557069464,0.6412552333680982,0.44887649447837136,0.6458152834715208,-0.46990047587228057,-0.02133109400171032,0.5275911621622182,0.5828932361047386,-0.13834518206023055,0.4096077254270628,-0.4349449357160805,-0.1595572055256929,0.4895932927849796,0.6604698219493969,-0.3613327135416016,0.037272624417665295,0.7059759232973336,0.6450428156932639,-0.5345864403662108,-0.1410657793499667,-0.08638484712184118
OFCpost_R,0.4583444876271361,0.42152660290815847,1.0,0.506293346429763,0.6788680753870499,0.48543516827753197,-0.23239030152448517,-0.5138100341438535,0.5842265876105766,0.5538243573069723,0.5296197022825643,0.7415444146423675,0.5702651802035679,-0.18501770760001604,-0.49779515598958485,0.8405418669887946,0.6585271130515326,0.048706406500134566,0.17207607136056635,-0.028225538001416056,-0.6238355284907067,0.5902612579827705,0.37138792144810656,-0.12324459586022353,0.2036897747633228,0.49619868660650496,0.7276934814940818,-0.295225247298851,-0.1042112642265623,-0.07358283138919046
Temporal_Sup_R,0.384889814279516,0.6182584683248846,0.506293346429763,1.0,0.1010067460974615,0.7152752335433694,0.22790541407371945,-0.08462584903988087,0.7283578959148562,0.29870417666552135,0.6142086485846004,0.41573823859426356,0.5558487718957212,-0.3087379987958758,0.1673208745722842,0.6699746181948668,0.8517470789915262,-0.13038652219009242,0.44194941126788695,-0.20521636340176486,-0.11260923555714926,0.4861169166637849,0.7984886086936783,-0.18006400823606694,0.08373445309292064,0.746093848090969,0.5117964182446836,-0.43703518103926187,0.09140806061823953,0.04206855971943906
OFClat_L,0.2854902802299546,0.21442837312086302,0.6788680753870499,0.1010067460974615,1.0,0.3134169518500496,-0.3455968240197659,-0.6359623320363746,0.12018434210071904,0.38886762351211773,0.20075764975400495,0.5941530230734047,0.45110926371886473,-0.07798016596691723,-0.7182710118264255,0.5794976373015781,0.4399535523367355,0.19995303371922366,-0.025299678257480893,0.0989736845061369,-0.6288390747759801,0.3843153476200903,0.13072123366112312,0.06588236923478488,0.13815627343566397,0.21124608604150122,0.5195834307135166,-0.0931089802535183,-0.17485905201199037,-0.13378696992311892
Heschl_R,0.4542804956023192,0.40917183790531103,0.48543516827753197,0.7152752335433694,0.3134169518500496,1.0,0.3888913758603677,-0.035663118279848215,0.4848604655428138,0.21834621772467938,0.4345999037592228,0.6099552746013591,0.3659425961922719,0.07875427566286267,0.02774852178625296,0.5374985019377334,0.7675251356965195,0.28735821543697027,0.0956679261182897,0.21290462163427745,-0.18359570189538624,0.14471186703873834,0.5026802108459315,0.25916076359300283,0.3295672661507712,0.36698438377666964,0.2921437009737886,-0.06602968281556135,0.32990952140055985,0.2516546184654472
Cuneus_L,0.2526481502697404,-0.09051197765743776,-0.23239030152448517,0.22790541407371945,-0.3455968240197659,0.3888913758603677,1.0,0.7222824090386898,0.002838317252072907,0.0017697294011759684,-0.2093848172597534,-0.011114303719417707,-0.26993152348178145,0.5912560694378105,0.5671289621490327,-0.23302681926056806,0.12147536011039291,0.45493424123206305,-0.27894341976044823,0.49107743935611176,0.41481603194040334,-0.47262531436482436,-0.058896211993294194,0.6646671848347081,0.2090219940618271,-0.2505298541913798,-0.4662987294780967,0.581782720591726,0.836064399407456,0.7215954056074017
Occipital_Inf_R,-0.10935473617277555,-0.29052618668708163,-0.5138100341438535,-0.08462584903988087,-0.6359623320363746,-0.035663118279848215,0.7222824090386898,1.0,-0.18345962269644525,-0.30205227320232236,-0.41616632813239884,-0.35627847398673634,-0.5313802086524023,0.49547460402081933,0.7255010054270795,-0.5279635776404226,-0.2827894613376343,0.21230454926805054,-0.22360308354392236,0.3124415494225228,0.536742325171348,-0.5679182056272528,-0.2527281611207298,0.445168603500216,0.06794006613404652,-0.4097814020310121,-0.6766847841444299,0.5850467819419573,0.6285815480239916,0.5545635931178228
Temporal_Inf_R,0.2482786554345876,0.6178018987522009,0.5842265876105766,0.7283578959148562,0.12018434210071904,0.4848604655428138,0.002838317252072907,-0.18345962269644525,1.0,0.3992678870762111,0.8279422730454145,0.6323070569685272,0.40734546447557196,-0.4964703777162274,0.06445364138750731,0.7267104986901376,0.655811778239988,-0.15303651476276212,0.4365264963350885,-0.47018764999556606,-0.397266894346298,0.32600058544338506,0.49470242189036934,-0.42254062297555606,0.44326055140614284,0.6618019945335046,0.7428683044449329,-0.49801728905708315,-0.12371778360142759,-0.08359287280169503
SN_pr_R,0.6690593798364562,0.3464666557069464,0.5538243573069723,0.29870417666552135,0.38886762351211773,0.21834621772467938,0.0017697294011759684,-0.30205227320232236,0.3992678870762111,1.0,0.41068073008312916,0.512536732270528,0.33053412601334864,-0.007013264829712469,-0.267310448081299,0.4430900137396934,0.38847996304806515,0.24642091381841164,0.008580454583918021,0.014096337493317153,-0.1923678943596528,0.25092538020312716,0.09393794088516512,0.03585780076925244,0.2921169568699772,0.29964842053421625,0.5022011605279897,-0.09689247290058832,0.08771674234144722,0.10139772563909276
