,Supp_Motor_Area_L,Frontal_Inf_Orb_2_L,Amygdala_L,Occipital_Sup_R,Thal_VPL_L,Calcarine_R,Cerebellum_6_L,Frontal_Inf_Oper_L,Paracentral_Lobule_R,Cerebellum_Crus2_L,Thal_MDl_L,Angular_R,Cerebellum_10_L,Olfactory_R,Cerebellum_4_5_R,Parietal_Sup_L,Frontal_Sup_2_R,Frontal_Inf_Tri_L,Hippocampus_R,Thal_PuM_R,Thal_PuM_L,ParaHippocampal_L,Temporal_Sup_R,Vermis_6,Thal_MDm_R,Cerebellum_10_R,Olfactory_L,Temporal_Mid_R,Caudate_R,Supp_Motor_Area_R,OFCmed_L,Occipital_Mid_R,Precuneus_R,VTA_L,Vermis_9,Frontal_Med_Orb_L,SN_pr_R,Thal_VL_L,OFClat_L,Thal_PuI_L,Red_N_R,Rectus_R,Temporal_Inf_R,Frontal_Sup_Medial_L,Thal_PuL_L
Supp_Motor_Area_L,1.0,-0.4209760043919119,-0.24822344482539538,0.568408771734957,-0.3432171920116447,0.4939216331888687,-0.062191473323859596,0.4763765720481198,0.793903492914112,0.17213481500783848,-0.19052711401553885,0.407845520049355,-0.051608866996896464,-0.5102887032402966,0.09475133024835301,0.6096128907810475,0.8862829407998407,-0.09977962284503242,-0.536444978712581,-0.044295564523759226,-0.5185444819046803,-0.2600643855291278,-0.14954590320199526,-0.18595430699490728,-0.2676629846494736,-0.3209080764550971,-0.47366028573934915,0.18205524872479972,-0.40063080489432623,0.9342300426584117,-0.5248826659644784,0.491319107782723,0.6767465170358107,-0.5445154731658137,0.06720030310714473,-0.22127133429314608,0.20620159595492693,-0.28541984499401896,0.14666220870985489,0.24303345605114615,0.021225890615700876,0.5969749180002318,-0.19308630483029618,0.1912052277655894,-0.3086001511679235
Frontal_Inf_Orb_2_L,-0.4209760043919119,1.0,0.6058765160218671,-0.8122969585823904,0.8008294144592298,-0.6110943369414211,-0.009416261804970585,0.10968255413425224,-0.5540409546263704,-0.4542740911598921,0.4652016870727148,-0.7768145202505391,0.37967862461145563,0.880024812070656,0.34130580753625334,-0.7436706377984933,-0.47977876414479775,0.8075681958221671,0.743619279424759,0.10824815820528187,0.6270942804328986,0.7162166155524865,0.4565938689249515,0.2542260022277176,0.5985771272269765,0.6415429279996504,0.8697391782320467,-0.28158394991380803,0.5643245150175341,-0.5645517956954302,0.905942998219519,-0.8757208540804549,-0.5664236966347829,0.6378497434965573,-0.5034497175720217,0.49929916477284336,0.1940804803596799,0.7259366628392182,0.4755753885548707,-0.38005518750044887,0.6690377475570839,-0.4951481959869618,0.2606879073234308,0.5600893711469171,0.30398317641153555
Amygdala_L,-0.24822344482539538,0.6058765160218671,1.0,-0.46463707905468316,0.7817225382390971,-0.21213861437296963,0.5597816150574322,0.14114768397654517,-0.5690391664626847,-0.6432785881011771,0.546724130517918,-0.5593361082984831,0.41325799794684515,0.786632529752353,0.5830236908534526,-0.6132626442053789,-0.46689500511763304,0.5696533918290337,0.7064195269051996,0.38809465234168167,0.5874991737233558,0.9018476743617839,0.6251595406457151,0.6629338334522602,0.6511167117926289,0.8416035498017044,0.8298149412712191,0.3650703566672022,0.47991328738478234,-0.35490253901062957,0.5642443313123084,-0.5005437229309049,-0.34965578745319326,0.17127419207741404,-0.3493526462947422,0.48767125042601134,0.39820588418423825,0.8660609217192172,0.4957054003863876,0.2063495578602486,0.5565894897615404,0.06314320653249232,0.8131849249208596,0.10432209575926442,0.4238763692288279
Occipital_Sup_R,0.568408771734957,-0.8122969585823904,-0.46463707905468316,1.0,-0.5624176516039471,0.7956073778407295,0.011887439396390552,0.22550508881432021,0.7073575308913651,0.38775601588905195,-0.2930005747866163,0.9417793975081805,-0.22489016695981112,-0.716023163761589,-0.14877280978201915,0.8856439236953162,0.647152279094034,-0.4927809679235259,-0.5945661077696245,0.20093946527632017,-0.4357521750355833,-0.5625561908431752,-0.19852527492281227,-0.27441009702097174,-0.3553777562214888,-0.550093744705694,-0.7072214491574661,0.44757825003278895,-0.2941046587577507,0.723768807816391,-0.8334404708235832,0.961436934006634,0.8661056992392354,-0.709051467728036,0.3939692501870277,-0.3291056133700547,-0.06754328751216189,-0.4866668584323615,-0.2211856999685264,0.5407014754621381,-0.44617602116953037,0.5281399237787759,-0.19369295550373375,-0.26559488003785076,-0.03221596809606623
Thal_VPL_L,-0.3432171920116447,0.8008294144592298,0.7817225382390971,-0.5624176516039471,1.0,-0.30172714942488743,0.3827211062729691,0.29941805777389796,-0.6108935091249992,-0.5898124252431489,0.7013408272457872,-0.5200879672059344,0.49597701293428803,0.8577441802488716,0.5346931551175133,-0.6822639606894967,-0.4629255483513339,0.8183282076784882,0.9014928453456741,0.6056081232847915,0.8805136644610907,0.8629069482632437,0.6798531858583159,0.5340323187938195,0.8503738913966405,0.7771992499660834,0.8857067740719645,0.17205760076386556,0.764779843437536,-0.45221091138510505,0.6916287482768992,-0.6373895296020965,-0.32999011488342805,0.47335309080097476,-0.3989981997720636,0.43321974116616163,0.3743395038801462,0.9605357811021554,0.49342649998486304,0.046821458248424874,0.6737480185384879,-0.24295462239534196,0.5888307395614505,0.346425463530931,0.7084681781504287
Calcarine_R,0.4939216331888687,-0.6110943369414211,-0.21213861437296963,0.7956073778407295,-0.30172714942488743,1.0,0.28543260028575246,0.5164242849363793,0.585337181163488,0.339182097527907,-0.08574675205811026,0.7545328467956997,-0.20308219232051852,-0.5214136996677307,0.34461676018409304,0.6250412079973121,0.48418738860544874,-0.22553771662392477,-0.26285415498705794,0.40849566221223577,-0.13260074076506176,-0.214035799462925,0.27170190100317637,0.14649980215136227,-0.17709451034838394,-0.4160546795693568,-0.48515984072042834,0.6822667329521287,0.011063362863796318,0.6459510049785698,-0.6740737247225405,0.8122059144263387,0.8274620461607209,-0.583872701158951,0.6179324297156039,-0.13737116051830545,0.038370191204086024,-0.2140850177056553,-0.27079918042138235,0.7152137296462984,-0.295070200221218,0.49126062839430945,0.10406721675632039,-0.0963427365608492,0.209791539238191
Cerebellum_6_L,-0.062191473323859596,-0.009416261804970585,0.5597816150574322,0.011887439396390552,0.3827211062729691,0.28543260028575246,1.0,0.21631265184915485,-0.35300546686478296,-0.44295267716988374,0.565639495068253,-0.013093204823324031,0.4288248611151905,0.17507539869682684,0.6616793568934227,-0.3243366764470858,-0.1919188597946212,0.17855330945879028,0.5123510655971469,0.45469399546029843,0.46045282690962414,0.6120526964953293,0.6163111587235188,0.8781914353130855,0.45031703107755267,0.5764872841538579,0.3152445534683397,0.7885354516811577,0.3127741234770485,0.027606117828025373,-0.031161505680018912,0.04723844681327083,0.042068495025251416,0.06265103244011623,0.2903847289106113,-0.029518282256534432,0.3827587803059667,0.45204286770544533,-0.028428369403021504,0.5331923219071505,0.32079644545579966,0.30185305915514715,0.8744402972895512,-0.2710627428247053,0.4607193438368607
Frontal_Inf_Oper_L,0.4763765720481198,0.10968255413425224,0.14114768397654517,0.22550508881432021,0.29941805777389796,0.5164242849363793,0.21631265184915485,1.0,0.32269695669514725,-0.023543171006919442,0.3446559713220197,0.22237938209752312,0.23074668424863332,0.07020956975499315,0.5833225117109269,0.0992444214813291,0.4014704260331056,0.5500808866641289,0.20175852624519877,0.528494675472213,0.3084155913507198,0.2734860444270283,0.6073038726162787,0.2800226963299879,0.3441496004432542,0.06641436703132467,0.1044221904069037,0.4138623241322171,0.46753005945354886,0.488537546491516,-0.0720105585720758,0.13989567924722743,0.5339089895786063,-0.0473349778638345,0.11529285352224138,0.08876613584428492,0.3091393957742309,0.34107788096759234,0.1665198824748836,0.3420221225169713,0.32359035442515577,0.1780399302186013,0.22928759397420576,0.5265214008162608,0.3978973276836471
Paracentral_Lobule_R,0.793903492914112,-0.5540409546263704,-0.5690391664626847,0.7073575308913651,-0.6108935091249992,0.585337181163488,-0.35300546686478296,0.32269695669514725,1.0,0.5330309223347224,-0.46990047587228057,0.6270169996732268,-0.25631724333729416,-0.6902723245774718,-0.0804756325087088,0.8481551241464048,0.8294910686508276,-0.3475373415145819,-0.6951025607899483,-0.18429929181972468,-0.6478638190056342,-0.562641034404464,-0.3087379987958758,-0.4819709098427302,-0.517445863925389,-0.6478311135777335,-0.6979046059955252,0.012946646543512477,-0.49522481822260805,0.857842002972359,-0.6151376367489966,0.6603543748618251,0.7643419290154481,-0.5708748529151029,0.23993572668563198,-0.2689536285347931,-0.007013264829712469,-0.5870297003273525,-0.07798016596691723,0.2002842715195557,-0.292110713817464,0.4170487122033431,-0.4964703777162274,0.10840711377408363,-0.38862626424161734
Cerebellum_Crus2_L,0.17213481500783848,-0.4542740911598921,-0.6432785881011771,0.38775601588905195,-0.5898124252431489,0.339182097527907,-0.44295267716988374,-0.023543171006919442,0.5330309223347224,1.0,-0.4981333891064858,0.42988707961388556,-0.36165050296925183,-0.5594038943515974,-0.29296522227000193,0.520966602528981,0.33502265551947324,-0.4193283087525311,-0.5280567150010667,-0.2549646632469236,-0.4380570210336956,-0.6158204764771722,-0.3571524573556908,-0.4407896966552335,-0.5338405479555458,-0.7228507678405395,-0.617484016314599,-0.19645291928365302,-0.30531540223696685,0.25759342868641344,-0.40044689333647054,0.44185268636873387,0.31495923353164956,-0.2949125621394279,0.36323828398505204,-0.15437348957093391,-0.2808999308497352,-0.6155006037280973,-0.38966828701517386,-0.02431244183002876,-0.5831368519673583,-0.0071933133806238005,-0.5657944514417012,0.032779750653947955,-0.30177590202981563
