,Temporal_Mid_L,Frontal_Sup_2_R,SN_pr_R,Frontal_Inf_Tri_L,Parietal_Sup_R,Cerebellum_4_5_L,Occipital_Inf_R,Occipital_Mid_R,Thal_PuA_L,Thal_PuM_L,ParaHippocampal_R,Calcarine_L,Thal_PuL_L,Cingulate_Mid_R,Frontal_Med_Orb_L,OFClat_L,Cerebellum_7b_R,Thal_MGN_L,Precuneus_L,SupraMarginal_L,Cerebellum_9_L,SN_pc_L,OFCpost_L,Caudate_L,Precentral_R,Hippocampus_R,Thal_PuL_R,Thal_LP_L,Cerebellum_6_L,Rectus_L,Occipital_Sup_L,Pallidum_R,VTA_R,Cerebellum_Crus2_R,Frontal_Inf_Tri_R,Caudate_R,Frontal_Sup_2_L,Olfactory_L,Frontal_Mid_2_R,Cerebellum_10_R,Raphe_M,Vermis_6,Thal_AV_R,Vermis_9,Cuneus_L,OFCmed_L,Olfactory_R,Lingual_R,Frontal_Sup_Medial_R,Postcentral_L,Thal_VL_L,Thal_LGN_L,Red_N_L,Temporal_Sup_R,Vermis_7,Precuneus_R,Cerebellum_7b_L,Cingulate_Mid_L,Vermis_8,Rolandic_Oper_L
Temporal_Mid_L,1.0,-0.2524786158822575,0.2269151539440336,0.40663767482466234,-0.34825325036888904,0.6239672239357658,0.013817749789945585,0.004403779243635408,0.5970762606247385,0.7019942868232438,0.6094629286367428,0.3720428089829785,0.7380454133936641,0.5561084906012698,0.25774080465613347,0.07198522202998223,-0.06875604537629665,0.30400101978948857,0.09721776314674778,0.139611621253561,0.6701412814705099,0.32428376513812596,0.36482719041404515,0.5876259428571894,-0.2822694546237471,0.6688651472296776,0.5439865800644795,0.45465442672871953,0.7242091680342536,0.2881961488610142,-0.1349196225452809,0.474945315645004,0.3066609156869998,-0.2534124434216074,0.3985877328885042,0.6599076132348171,-0.17605971814400279,0.46265659324100283,0.05171060506796018,0.4541057800660468,0.4588183905753951,0.8073161368004471,0.3315088336355733,0.25291330916323607,0.31233949030568936,0.15710293845776888,0.3729980852620544,0.47330032578929004,0.20055795923254865,-0.11098878771817354,0.6632432100093772,0.6639362925055112,0.2650180213141753,0.8270696729694196,0.3376579824695375,0.15344727896531105,-0.16118374078539327,0.5868526877987383,0.6362356009674989,0.4788531793576961
Frontal_Sup_2_R,-0.2524786158822575,1.0,0.12919641146111266,-0.16149293964716754,0.7202378199271854,0.09067267151475886,0.3256981229397684,0.5858707975187513,-0.14080869933097603,-0.5519546576065724,-0.505347001910385,0.4794385586291706,-0.327353059205899,0.3738496123660384,-0.3158959696973252,0.055430274956021805,0.4648965572786449,-0.1908257970506771,0.7270086842124921,0.5175838277748319,-0.3451041590168118,-0.23399458182181537,-0.34265331423463063,-0.41424970517334636,0.895484055128103,-0.5875824855984635,-0.1151044665255187,-0.361586898629423,-0.1919188597946212,0.11618156657313011,0.6733194250210299,-0.5111696995229844,-0.13490250601553455,0.3322758767995366,0.19119887865189736,-0.381596754504157,0.8266880723192636,-0.6061375619163889,0.8383771949603692,-0.4641873672363102,0.040242198940223614,-0.37447115162021605,-0.6977498345960174,0.14413547355266304,0.46183550404578955,-0.5821838723269146,-0.6267581458791878,0.22837785918702638,0.6380581888768063,0.8100002200541047,-0.4478829734243004,-0.16138623968553717,-0.11381269646292409,-0.253855779412549,0.24697846747227128,0.7422094025107095,0.5236843888852551,0.261398771686773,-0.3586484864032979,-0.043249048388918514
SN_pr_R,0.2269151539440336,0.12919641146111266,1.0,0.3095854606552084,-0.0511491829315606,0.36992117693693627,-0.30205227320232236,-0.15937148115005992,0.3369031701605691,0.21612239246625337,0.4453388541208459,0.07719643139763657,0.22718475477117958,0.3961530877700067,-0.024163037167562587,0.38886762351211773,-0.1901497343595721,0.0997758496512759,0.08771674234144722,-0.11755029819426514,0.11029562736055018,0.563437868469341,0.28203537472951373,0.3222251190570076,0.05463617977353246,0.29964842053421625,0.1908207912435275,0.20983311407050192,0.3827587803059667,0.4416542332399689,-0.1237834961625409,0.2889331233477747,0.49203723232268626,-0.31346840745301735,0.4291415699682426,0.1541002764231515,0.18780558218314455,0.31609250924179316,0.3202891213523705,0.5022011605279897,-0.02740444175534771,0.25358599803695203,0.06813037058021235,-0.267310448081299,0.0017697294011759684,0.046146965330019905,0.2500400127267977,0.004288471113811963,0.33027880413409527,0.03585780076925244,0.41595690659233703,0.07807196703619843,0.45138210872308765,0.29870417666552135,0.2921169568699772,0.14098836671658277,-0.03114345042831979,0.3431958758691745,0.41068073008312916,0.11010435239432041
Frontal_Inf_Tri_L,0.40663767482466234,-0.16149293964716754,0.3095854606552084,1.0,-0.5373035968601582,0.4240812038551448,-0.44000004734596976,-0.5772871832415194,0.6375997004392843,0.6975180838606546,0.7255153289959577,-0.1560760291161914,0.5070816507660284,0.3888092222412431,0.3959854692384009,0.439399882616237,-0.4850898734356032,-0.08273490295202228,-0.18619295537659186,-0.3255197345575259,0.20922050678740858,0.6105210969923393,0.7149986736553984,0.8750546619829188,-0.3091006491454636,0.7290531422323291,0.3120693402624596,0.3809214921495115,0.17855330945879028,0.1955181945872785,-0.5087888243385625,0.8009410916081867,0.519308064790385,-0.2233315962460064,0.740829188534196,0.7181478804414408,0.24216321250336936,0.7404857155680643,0.05467705535728582,0.591868340777913,-0.018143977393288883,0.341597957631476,0.6396927924244453,-0.3406323663756884,-0.1861700858696944,0.6459916186630986,0.7355041374512044,0.06017834146832747,0.44896558573462214,-0.22720245945082368,0.781301973551801,0.5389828956922402,0.6627575581997188,0.6694772546260983,-0.3074414154390676,-0.1710535753875497,-0.5151792596886283,0.5836623941726218,0.3968235319703016,0.6822383630317529
Parietal_Sup_R,-0.34825325036888904,0.7202378199271854,-0.0511491829315606,-0.5373035968601582,1.0,-0.22322013035978136,0.49259394572047077,0.8102320162925292,-0.300981481427996,-0.6902848280685429,-0.6836821825889994,0.545588032532312,-0.3276717284754127,0.16216027597241947,-0.2743333762500118,0.006676914828646898,0.5439103481630483,-0.057846318518865236,0.7154956765772849,0.6369686203515941,-0.5364546363528626,-0.5583397641506858,-0.4481237222568951,-0.6488067062980499,0.8485157545970117,-0.7624839396875817,-0.06695667337755361,-0.2979266004133648,-0.3214948798060855,0.16880332872603745,0.8944585074874212,-0.8021300121603048,-0.3320148621439189,0.3082893650344996,-0.08195236477973836,-0.5542043396326113,0.33065314526174894,-0.748605402780093,0.5959160956227234,-0.6119466498721674,-0.08954557144668675,-0.6004818452644907,-0.8401325542940459,0.1167926988803016,0.4983385086961053,-0.7532857233648269,-0.7169722721411704,0.17739650243512076,0.15223554087994706,0.8482886131992339,-0.613967081091161,-0.3251968559148768,-0.4691538439353329,-0.4692558313286622,0.29189540593366653,0.7525837035082337,0.6482296608338508,-0.020641498039788528,-0.5919496429018005,-0.4026593623796015
Cerebellum_4_5_L,0.6239672239357658,0.09067267151475886,0.36992117693693627,0.4240812038551448,-0.22322013035978136,1.0,0.09117787075114153,-0.028703604915140474,0.19727180001649594,0.3805275422059117,0.3856298553068226,0.5259657399109493,0.3360868182157168,0.5066519259559155,0.1538585209192071,-0.04346855775305745,0.1564636713856968,0.13745945004094381,0.362191684716361,0.06489837194126884,0.5724147488780914,0.35358920840445723,0.23088487928358498,0.31361916226842945,0.08843183207769856,0.4442934311951244,0.4448691106904501,0.3982161827784825,0.5534757847184204,0.08028075103164434,0.03713401260814555,0.32289684199071883,0.2568685303326967,0.11681603776198951,0.34719479850157264,0.3958377211908209,0.2283868022729484,0.22524876814730752,0.216008471571824,0.2358628155251027,0.47150059975045816,0.6232769714520708,0.2114521465212615,0.37167770537375844,0.40692120621263217,0.08895935636793117,0.12827816236448794,0.7359087890607585,0.38533675708418613,0.04090128260805942,0.3306805740226513,0.3387413594940938,0.389921556806918,0.7495895859116068,0.09096072291288158,0.29043631326032127,0.07831658902989326,0.5004625549200672,0.4353129150831365,0.6859560834419449
Occipital_Inf_R,0.013817749789945585,0.3256981229397684,-0.30205227320232236,-0.44000004734596976,0.49259394572047077,0.09117787075114153,1.0,0.7767115534468011,-0.31664011594872526,-0.27274222759090866,-0.5922120385229643,0.665377753586409,-0.025378107648187147,0.11797296850626503,-0.24820927027624562,-0.6359623320363746,0.8045032162329455,-0.0034320594119105195,0.6285815480239916,0.601531627985785,0.14212783643429752,-0.46712565126442007,-0.580163164728758,-0.4911927800804064,0.46152629446405047,-0.4097814020310121,0.18389689092657244,0.006657749117172974,-0.04221612025188943,-0.36151761536768434,0.7329767791151419,-0.5817159499777402,-0.5024457532779909,0.6519875398067727,-0.2778128415226728,-0.14602715993076146,0.0728642297879191,-0.6225487159387488,0.29432964410719625,-0.6766847841444299,0.36361013511060525,-0.12402052565048258,-0.47938976893811563,0.7255010054270795,0.7222824090386898,-0.6173930554923344,-0.5978633529790478,0.6392691171962946,-0.01395972714864038,0.445168603500216,-0.5049501481695483,-0.02750739136090643,-0.5688387797546206,-0.08462584903988087,0.06794006613404652,0.5284734161188211,0.5962135137353293,0.027634123947351798,-0.41616632813239884,-0.039296667920818366
Occipital_Mid_R,0.004403779243635408,0.5858707975187513,-0.15937148115005992,-0.5772871832415194,0.8102320162925292,-0.028703604915140474,0.7767115534468011,1.0,-0.25633726385397265,-0.4559644709643953,-0.6306516071096153,0.735546317683339,-0.0670317647698379,0.3276623178345672,-0.3591859306814849,-0.36612211910928544,0.7678892563988243,0.04840219855214068,0.792995297516434,0.7927909014871106,-0.05792428470708732,-0.5393468292184285,-0.6087593308119309,-0.6007737430750982,0.6946647293044216,-0.5933320230320401,0.12408668983321987,-0.16117080445705845,0.04723844681327083,-0.0024925149557005837,0.9250252041187149,-0.7347308735604546,-0.4086764864598082,0.46241012838817325,-0.18022878941100354,-0.3391274689490814,0.16335441122894692,-0.7635443820160066,0.5985382421575518,-0.6126324866655596,0.2339775614332494,-0.2138231713985029,-0.7793462910328226,0.5568793364890096,0.745804945368256,-0.8617730598732962,-0.7731014399140861,0.4615543492950301,0.12493221207006222,0.7063936722668719,-0.5598227647619028,-0.08709398854911421,-0.5509100908614288,-0.20532548969150424,0.4341660568562489,0.7922099255987516,0.7027281855918154,0.10201043969404917,-0.37148065143845893,-0.2825961748554604
Thal_PuA_L,0.5970762606247385,-0.14080869933097603,0.3369031701605691,0.6375997004392843,-0.300981481427996,0.19727180001649594,-0.31664011594872526,-0.25633726385397265,1.0,0.7201267348914074,0.5941332254195809,0.04397931906536474,0.7345218083676023,0.5581893713766218,0.265388198896549,0.44838398031951815,-0.4410001337745536,-0.04226123633020769,-0.07455302562459157,0.03845765992537314,0.10397692781891524,0.4381163248940596,0.47498660657386843,0.8119553255435479,-0.2415576021550911,0.5913338254977881,0.3068687549642246,0.17458144454033359,0.29537515479073284,0.3544725140340119,-0.3093336895615975,0.5688192024720471,0.34713301295152615,-0.43915131565010646,0.6081681246836833,0.725405614037289,0.10626732034459069,0.5909420192004997,0.14793707426630645,0.5078742292205936,0.06001418975371621,0.3560410145622792,0.32587090986569783,-0.376497185206548,0.06553670771594602,0.32598919341667565,0.5655594204538986,0.009804487462922153,0.3440043000787662,0.02501085672249056,0.8048335142580122,0.8314279842325191,0.3631687714225825,0.5505409792192979,0.06989946226511314,0.06225143474526309,-0.3918433087722632,0.7204554322145398,0.41745986832488846,0.4231615238817166
Thal_PuM_L,0.7019942868232438,-0.5519546576065724,0.21612239246625337,0.6975180838606546,-0.6902848280685429,0.3805275422059117,-0.27274222759090866,-0.4559644709643953,0.7201267348914074,1.0,0.7434196417041492,-0.12793501280463482,0.8736910485842598,0.29327320367905046,0.31567398339221037,0.12143288962677957,-0.4542926449032666,0.07751615695807694,-0.31397474053399166,-0.1574902162999033,0.48295169898327706,0.6231343221744251,0.4803658543630053,0.860124012861074,-0.6488093424742047,0.933434672761597,0.5364057897776473,0.6152281741944945,0.46045282690962414,-0.007884627190920587,-0.5369258878852742,0.7909166878692183,0.3849865178219872,-0.18375056756768368,0.3725591085492992,0.8853049180780279,-0.25831686556293426,0.756135413101723,-0.220977215508743,0.605787001482904,0.19942941510764223,0.6034523117791125,0.7602430853836334,-0.06900433123767861,-0.06608503019542573,0.5662600784253645,0.7244763519549138,0.16864280207614632,0.0146912163495178,-0.46256344237890973,0.8314718045678876,0.7596244624742311,0.4031855273186501,0.7457867131893059,-0.21481701650518104,-0.27931600430882275,-0.48162171706517065,0.4497749263436961,0.5214920711702147,0.6096712193641588
