,SN_pr_L,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pr_L,1.0,0.42399835926902957,0.4583444876271361,0.384889814279516,0.2854902802299546,0.4542804956023192,0.2526481502697404,-0.10935473617277555,0.2482786554345876,0.27522527106770844,0.4395920295789608,0.4666480486422703,0.1821738397769603,-0.10844239901325256,0.33927239624663436
Thal_MDl_L,0.42399835926902957,1.0,0.42152660290815847,0.6182584683248846,0.21442837312086302,0.40917183790531103,-0.09051197765743776,-0.29052618668708163,0.6178018987522009,0.6412552333680982,0.44887649447837136,0.6458152834715208,-0.46990047587228057,-0.02133109400171032,0.5275911621622182
OFCpost_R,0.4583444876271361,0.42152660290815847,1.0,0.506293346429763,0.6788680753870499,0.48543516827753197,-0.23239030152448517,-0.5138100341438535,0.5842265876105766,0.5296197022825643,0.7415444146423675,0.5702651802035679,-0.18501770760001604,-0.49779515598958485,0.8405418669887946
Temporal_Sup_R,0.384889814279516,0.6182584683248846,0.506293346429763,1.0,0.1010067460974615,0.7152752335433694,0.22790541407371945,-0.08462584903988087,0.7283578959148562,0.6142086485846004,0.41573823859426356,0.5558487718957212,-0.3087379987958758,0.1673208745722842,0.6699746181948668
OFClat_L,0.2854902802299546,0.21442837312086302,0.6788680753870499,0.1010067460974615,1.0,0.3134169518500496,-0.3455968240197659,-0.6359623320363746,0.12018434210071904,0.20075764975400495,0.5941530230734047,0.45110926371886473,-0.07798016596691723,-0.7182710118264255,0.5794976373015781
Heschl_R,0.4542804956023192,0.40917183790531103,0.48543516827753197,0.7152752335433694,0.3134169518500496,1.0,0.3888913758603677,-0.035663118279848215,0.4848604655428138,0.4345999037592228,0.6099552746013591,0.3659425961922719,0.07875427566286267,0.02774852178625296,0.5374985019377334
Cuneus_L,0.2526481502697404,-0.09051197765743776,-0.23239030152448517,0.22790541407371945,-0.3455968240197659,0.3888913758603677,1.0,0.7222824090386898,0.002838317252072907,-0.2093848172597534,-0.011114303719417707,-0.26993152348178145,0.5912560694378105,0.5671289621490327,-0.23302681926056806
Occipital_Inf_R,-0.10935473617277555,-0.29052618668708163,-0.5138100341438535,-0.08462584903988087,-0.6359623320363746,-0.035663118279848215,0.7222824090386898,1.0,-0.18345962269644525,-0.41616632813239884,-0.35627847398673634,-0.5313802086524023,0.49547460402081933,0.7255010054270795,-0.5279635776404226
Temporal_Inf_R,0.2482786554345876,0.6178018987522009,0.5842265876105766,0.7283578959148562,0.12018434210071904,0.4848604655428138,0.002838317252072907,-0.18345962269644525,1.0,0.8279422730454145,0.6323070569685272,0.40734546447557196,-0.4964703777162274,0.06445364138750731,0.7267104986901376
Vermis_8,0.27522527106770844,0.6412552333680982,0.5296197022825643,0.6142086485846004,0.20075764975400495,0.4345999037592228,-0.2093848172597534,-0.41616632813239884,0.8279422730454145,1.0,0.5858291825874681,0.4116841657362633,-0.5348005372077204,-0.056959234038420924,0.6582121580504342
Thal_AV_L,0.4395920295789608,0.44887649447837136,0.7415444146423675,0.41573823859426356,0.5941530230734047,0.6099552746013591,-0.011114303719417707,-0.35627847398673634,0.6323070569685272,0.5858291825874681,1.0,0.4490721922742685,-0.18799114256231617,-0.4108684004091117,0.753128955296298
Thal_LGN_R,0.4666480486422703,0.6458152834715208,0.5702651802035679,0.5558487718957212,0.45110926371886473,0.3659425961922719,-0.26993152348178145,-0.5313802086524023,0.40734546447557196,0.4116841657362633,0.4490721922742685,1.0,-0.5143791873229073,-0.44623546402622133,0.6747397640222966
Paracentral_Lobule_R,0.1821738397769603,-0.46990047587228057,-0.18501770760001604,-0.3087379987958758,-0.07798016596691723,0.07875427566286267,0.5912560694378105,0.49547460402081933,-0.4964703777162274,-0.5348005372077204,-0.18799114256231617,-0.5143791873229073,1.0,0.23993572668563198,-0.4931424040255615
Vermis_9,-0.10844239901325256,-0.02133109400171032,-0.49779515598958485,0.1673208745722842,-0.7182710118264255,0.02774852178625296,0.5671289621490327,0.7255010054270795,0.06445364138750731,-0.056959234038420924,-0.4108684004091117,-0.44623546402622133,0.23993572668563198,1.0,-0.4104916201387685
Amygdala_R,0.33927239624663436,0.5275911621622182,0.8405418669887946,0.6699746181948668,0.5794976373015781,0.5374985019377334,-0.23302681926056806,-0.5279635776404226,0.7267104986901376,0.6582121580504342,0.753128955296298,0.6747397640222966,-0.4931424040255615,-0.4104916201387685,1.0
