,SN_pr_L,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_Re_L,Red_N_R,Precentral_L,Frontal_Inf_Orb_2_R
SN_pr_L,1.0,0.42399835926902957,0.4583444876271361,0.384889814279516,0.2854902802299546,0.4542804956023192,0.2526481502697404,-0.10935473617277555,0.2482786554345876,0.27522527106770844,0.4395920295789608,0.4666480486422703,0.1821738397769603,-0.10844239901325256,0.33927239624663436,0.4684752897056093,-0.1736742634533907,0.5075762560780553,0.27656767638216195,0.2629551756526578
Thal_MDl_L,0.42399835926902957,1.0,0.42152660290815847,0.6182584683248846,0.21442837312086302,0.40917183790531103,-0.09051197765743776,-0.29052618668708163,0.6178018987522009,0.6412552333680982,0.44887649447837136,0.6458152834715208,-0.46990047587228057,-0.02133109400171032,0.5275911621622182,0.5828932361047386,0.4096077254270628,0.588639315802512,-0.4349449357160805,0.4895932927849796
OFCpost_R,0.4583444876271361,0.42152660290815847,1.0,0.506293346429763,0.6788680753870499,0.48543516827753197,-0.23239030152448517,-0.5138100341438535,0.5842265876105766,0.5296197022825643,0.7415444146423675,0.5702651802035679,-0.18501770760001604,-0.49779515598958485,0.8405418669887946,0.6585271130515326,0.17207607136056635,0.6615023783953037,-0.028225538001416056,0.5902612579827705
Temporal_Sup_R,0.384889814279516,0.6182584683248846,0.506293346429763,1.0,0.1010067460974615,0.7152752335433694,0.22790541407371945,-0.08462584903988087,0.7283578959148562,0.6142086485846004,0.41573823859426356,0.5558487718957212,-0.3087379987958758,0.1673208745722842,0.6699746181948668,0.8517470789915262,0.44194941126788695,0.49020240261631054,-0.20521636340176486,0.4861169166637849
OFClat_L,0.2854902802299546,0.21442837312086302,0.6788680753870499,0.1010067460974615,1.0,0.3134169518500496,-0.3455968240197659,-0.6359623320363746,0.12018434210071904,0.20075764975400495,0.5941530230734047,0.45110926371886473,-0.07798016596691723,-0.7182710118264255,0.5794976373015781,0.4399535523367355,-0.025299678257480893,0.5321590463657981,0.0989736845061369,0.3843153476200903
Heschl_R,0.4542804956023192,0.40917183790531103,0.48543516827753197,0.7152752335433694,0.3134169518500496,1.0,0.3888913758603677,-0.035663118279848215,0.4848604655428138,0.4345999037592228,0.6099552746013591,0.3659425961922719,0.07875427566286267,0.02774852178625296,0.5374985019377334,0.7675251356965195,0.0956679261182897,0.4177244380576003,0.21290462163427745,0.14471186703873834
Cuneus_L,0.2526481502697404,-0.09051197765743776,-0.23239030152448517,0.22790541407371945,-0.3455968240197659,0.3888913758603677,1.0,0.7222824090386898,0.002838317252072907,-0.2093848172597534,-0.011114303719417707,-0.26993152348178145,0.5912560694378105,0.5671289621490327,-0.23302681926056806,0.12147536011039291,-0.27894341976044823,-0.3358448795751069,0.49107743935611176,-0.47262531436482436
Occipital_Inf_R,-0.10935473617277555,-0.29052618668708163,-0.5138100341438535,-0.08462584903988087,-0.6359623320363746,-0.035663118279848215,0.7222824090386898,1.0,-0.18345962269644525,-0.41616632813239884,-0.35627847398673634,-0.5313802086524023,0.49547460402081933,0.7255010054270795,-0.5279635776404226,-0.2827894613376343,-0.22360308354392236,-0.6033707170071944,0.3124415494225228,-0.5679182056272528
Temporal_Inf_R,0.2482786554345876,0.6178018987522009,0.5842265876105766,0.7283578959148562,0.12018434210071904,0.4848604655428138,0.002838317252072907,-0.18345962269644525,1.0,0.8279422730454145,0.6323070569685272,0.40734546447557196,-0.4964703777162274,0.06445364138750731,0.7267104986901376,0.655811778239988,0.4365264963350885,0.39698671534411567,-0.47018764999556606,0.32600058544338506
Vermis_8,0.27522527106770844,0.6412552333680982,0.5296197022825643,0.6142086485846004,0.20075764975400495,0.4345999037592228,-0.2093848172597534,-0.41616632813239884,0.8279422730454145,1.0,0.5858291825874681,0.4116841657362633,-0.5348005372077204,-0.056959234038420924,0.6582121580504342,0.5810661871574404,0.40698320739895316,0.5609301352916537,-0.4587833029895843,0.33737520668622795
Thal_AV_L,0.4395920295789608,0.44887649447837136,0.7415444146423675,0.41573823859426356,0.5941530230734047,0.6099552746013591,-0.011114303719417707,-0.35627847398673634,0.6323070569685272,0.5858291825874681,1.0,0.4490721922742685,-0.18799114256231617,-0.4108684004091117,0.753128955296298,0.6676412339874657,0.057930592774580056,0.4600189527240602,-0.024919973688137014,0.22778645993180188
Thal_LGN_R,0.4666480486422703,0.6458152834715208,0.5702651802035679,0.5558487718957212,0.45110926371886473,0.3659425961922719,-0.26993152348178145,-0.5313802086524023,0.40734546447557196,0.4116841657362633,0.4490721922742685,1.0,-0.5143791873229073,-0.44623546402622133,0.6747397640222966,0.6617056273355376,0.34007809834231945,0.6599755406375927,-0.34839071920999853,0.7825697752491622
Paracentral_Lobule_R,0.1821738397769603,-0.46990047587228057,-0.18501770760001604,-0.3087379987958758,-0.07798016596691723,0.07875427566286267,0.5912560694378105,0.49547460402081933,-0.4964703777162274,-0.5348005372077204,-0.18799114256231617,-0.5143791873229073,1.0,0.23993572668563198,-0.4931424040255615,-0.2815855902662401,-0.5415700044484435,-0.292110713817464,0.8811836704957984,-0.5563132241791848
Vermis_9,-0.10844239901325256,-0.02133109400171032,-0.49779515598958485,0.1673208745722842,-0.7182710118264255,0.02774852178625296,0.5671289621490327,0.7255010054270795,0.06445364138750731,-0.056959234038420924,-0.4108684004091117,-0.44623546402622133,0.23993572668563198,1.0,-0.4104916201387685,-0.1451930400843563,0.04336201052556147,-0.41073988934460864,0.054914848462205665,-0.4753063551799355
Amygdala_R,0.33927239624663436,0.5275911621622182,0.8405418669887946,0.6699746181948668,0.5794976373015781,0.5374985019377334,-0.23302681926056806,-0.5279635776404226,0.7267104986901376,0.6582121580504342,0.753128955296298,0.6747397640222966,-0.4931424040255615,-0.4104916201387685,1.0,0.805643618936574,0.41237916678412456,0.6007098237387651,-0.2949809623245125,0.6810611015167204
Temporal_Sup_L,0.4684752897056093,0.5828932361047386,0.6585271130515326,0.8517470789915262,0.4399535523367355,0.7675251356965195,0.12147536011039291,-0.2827894613376343,0.655811778239988,0.5810661871574404,0.6676412339874657,0.6617056273355376,-0.2815855902662401,-0.1451930400843563,0.805643618936574,1.0,0.31191020791000224,0.5351248867605235,-0.06082302322118361,0.4850565807767004
Thal_Re_L,-0.1736742634533907,0.4096077254270628,0.17207607136056635,0.44194941126788695,-0.025299678257480893,0.0956679261182897,-0.27894341976044823,-0.22360308354392236,0.4365264963350885,0.40698320739895316,0.057930592774580056,0.34007809834231945,-0.5415700044484435,0.04336201052556147,0.41237916678412456,0.31191020791000224,1.0,0.2796881292537541,-0.5242146623170495,0.48115518289165166
Red_N_R,0.5075762560780553,0.588639315802512,0.6615023783953037,0.49020240261631054,0.5321590463657981,0.4177244380576003,-0.3358448795751069,-0.6033707170071944,0.39698671534411567,0.5609301352916537,0.4600189527240602,0.6599755406375927,-0.292110713817464,-0.41073988934460864,0.6007098237387651,0.5351248867605235,0.2796881292537541,1.0,-0.1836465087119465,0.6243560916284431
Precentral_L,0.27656767638216195,-0.4349449357160805,-0.028225538001416056,-0.20521636340176486,0.0989736845061369,0.21290462163427745,0.49107743935611176,0.3124415494225228,-0.47018764999556606,-0.4587833029895843,-0.024919973688137014,-0.34839071920999853,0.8811836704957984,0.054914848462205665,-0.2949809623245125,-0.06082302322118361,-0.5242146623170495,-0.1836465087119465,1.0,-0.4036323945804243
Frontal_Inf_Orb_2_R,0.2629551756526578,0.4895932927849796,0.5902612579827705,0.4861169166637849,0.3843153476200903,0.14471186703873834,-0.47262531436482436,-0.5679182056272528,0.32600058544338506,0.33737520668622795,0.22778645993180188,0.7825697752491622,-0.5563132241791848,-0.4753063551799355,0.6810611015167204,0.4850565807767004,0.48115518289165166,0.6243560916284431,-0.4036323945804243,1.0
