,OFCpost_R,Frontal_Sup_Medial_R,ACC_pre_L,Cerebellum_4_5_L,Temporal_Inf_R,Thal_IL_L,Temporal_Pole_Sup_L,Occipital_Mid_R,Vermis_10,Thal_IL_R,N_Acc_R,Parietal_Sup_R,Heschl_R,VTA_R,Rectus_R,Hippocampus_L,Precuneus_R,Occipital_Inf_R,Red_N_R,SupraMarginal_L,Thal_VA_L,Vermis_1_2,Hippocampus_R,Precentral_L,Thal_PuL_R,ACC_sub_L,ParaHippocampal_L,Vermis_9,ParaHippocampal_R,Heschl_L
OFCpost_R,1.0,0.35216288446502797,0.5454809926231298,0.30140114052857636,0.5842265876105766,0.8483556118452973,0.5826203326983819,-0.38748949105145697,-0.2352967573025218,0.3522147652702344,0.29804684358754835,-0.2107652405698842,0.48543516827753197,0.7332277047387281,0.21868712757449155,0.7109051574871016,-0.07926166126335178,-0.5138100341438535,0.6615023783953037,-0.4581809155837459,0.5327775995389243,0.29740990205127665,0.49619868660650496,-0.028225538001416056,0.11061259782656853,0.561815060172137,0.7603585070092478,-0.49779515598958485,0.7805919595587051,0.40883685743616305
Frontal_Sup_Medial_R,0.35216288446502797,1.0,0.0010603654909819252,0.38533675708418613,0.08265305801853011,0.4656116636300234,-0.03328156866754447,0.12493221207006222,0.027477436171193977,-0.04849825612866194,-0.16265959128429702,0.15223554087994706,0.5227598307231411,0.16576976332091575,0.30642446948868035,0.2207448529158281,0.47009134451318463,-0.01395972714864038,0.4178888163859076,0.20161120115041783,0.49052889507327413,-0.10879128750569582,-0.01913803381283158,0.526779012450101,0.1134869467940142,-0.032267785425511675,0.14250777245691293,-0.008505880735984754,0.09150929233198435,-0.09870444309647296
ACC_pre_L,0.5454809926231298,0.0010603654909819252,1.0,0.10136767006512609,0.19201159488114855,0.35956831341220824,0.8675939369194187,-0.8409311500792914,-0.15915939243305377,0.7435453103974466,0.7386309682222938,-0.6442730699590248,0.16762535730603867,0.4144403757913301,-0.5099356411857159,0.5339089069537617,-0.5654590826724188,-0.629496968294405,0.572926604481318,-0.6649468335407732,-0.0503687784928596,0.35369978647101846,0.658910173257895,-0.3194433040059045,0.07467526322221281,0.9349564235224437,0.6450662769441653,-0.5345822445713485,0.6842247278163269,0.7562459942347721
Cerebellum_4_5_L,0.30140114052857636,0.38533675708418613,0.10136767006512609,1.0,0.4764421733559034,0.27129184309769916,0.2200235188667594,-0.028703604915140474,0.5986363557016376,0.2865120101179072,0.21716129113013066,-0.22322013035978136,0.6033573531171229,0.2568685303326967,0.1270121156516022,0.5858519942808172,0.29043631326032127,0.09117787075114153,0.41125759705769926,0.06489837194126884,0.43327364035119303,0.5899239563182681,0.4442934311951244,0.09911854687107588,0.4448691106904501,0.12101333720227839,0.5313979663131562,0.37167770537375844,0.3856298553068226,0.3652119986831672
Temporal_Inf_R,0.5842265876105766,0.08265305801853011,0.19201159488114855,0.4764421733559034,1.0,0.6126137099218468,0.43104823501125905,-0.1732454678584985,0.1794853389481236,0.4823613577782266,0.3581326131012455,-0.4756816145083738,0.4848604655428138,0.5576626976136126,0.15511888343108504,0.7787321286104558,-0.15405800517469656,-0.18345962269644525,0.39698671534411567,-0.28885884882124485,0.6886070878961394,0.6695383956307286,0.6618019945335046,-0.47018764999556606,0.29653283782185336,0.372335764062576,0.7911218076339809,0.06445364138750731,0.8021761365290959,0.5782409225739202
Thal_IL_L,0.8483556118452973,0.4656116636300234,0.35956831341220824,0.27129184309769916,0.6126137099218468,1.0,0.3906826253442597,-0.26604338875528855,-0.2551331390962243,0.24619766853495553,0.15104404451728928,-0.16355644548046852,0.5580466118654283,0.628741580148134,0.3735794334266756,0.6947413696752248,0.02548905702212484,-0.4942204851844768,0.6448369322775297,-0.3005897717566482,0.7356387794772518,0.23212895340113868,0.39750368707232664,0.014615620968738738,0.0847618676205394,0.38017583407942457,0.6932998717336001,-0.44314393650746736,0.7031170204972778,0.3004252207923227
Temporal_Pole_Sup_L,0.5826203326983819,-0.03328156866754447,0.8675939369194187,0.2200235188667594,0.43104823501125905,0.3906826253442597,1.0,-0.6643551674175644,-0.08402059111061333,0.7045078479714166,0.6881562042896425,-0.6191000881137056,0.2841390374618617,0.3836792990749845,-0.4359731794080907,0.6369814129601241,-0.5171348022694062,-0.43600759324223165,0.4104533211706035,-0.6351989416824524,0.042339590036580256,0.4449669400847097,0.7118727677728334,-0.3305944449137739,0.18762691888367777,0.8816985970966831,0.7240007389021968,-0.31477939710687397,0.7595302147610227,0.7954420495285878
Occipital_Mid_R,-0.38748949105145697,0.12493221207006222,-0.8409311500792914,-0.028703604915140474,-0.1732454678584985,-0.26604338875528855,-0.6643551674175644,1.0,0.22203837586012723,-0.7437744619530635,-0.7410650015862262,0.8102320162925292,0.06319310495964274,-0.4086764864598082,0.49847065653358624,-0.3877616437620991,0.7922099255987516,0.7767115534468011,-0.5539998174462789,0.7927909014871106,0.0924576310359586,-0.4516845760902422,-0.5933320230320401,0.46830879851328444,0.12408668983321987,-0.8266369217403966,-0.5919372305879101,0.5568793364890096,-0.6306516071096153,-0.71403064054214
Vermis_10,-0.2352967573025218,0.027477436171193977,-0.15915939243305377,0.5986363557016376,0.1794853389481236,-0.2551331390962243,-0.08402059111061333,0.22203837586012723,1.0,0.2007325054946074,0.14485498899886984,-0.11420857716881438,0.1447359334152721,-0.05215063141016743,-0.2091867275693361,0.2510556865301166,0.2577711811668458,0.3787604603600054,0.006227178123075817,0.3755561952033455,0.07402906599991936,0.44162284115410233,0.3548003584637272,-0.16952610101715235,0.46617677602139046,-0.144150127559478,0.12262150109338918,0.6227811913512733,0.009615777441161969,0.2337467964017646
Thal_IL_R,0.3522147652702344,-0.04849825612866194,0.7435453103974466,0.2865120101179072,0.4823613577782266,0.24619766853495553,0.7045078479714166,-0.7437744619530635,0.2007325054946074,1.0,0.81487321554559,-0.869778262613237,0.18552229109694232,0.4390643638487134,-0.5626846250981924,0.6305582363071033,-0.582425489278061,-0.4832043005740582,0.5828120438418936,-0.5254697329551414,0.13882244105997793,0.6511890656478653,0.8702413957299436,-0.6521152917644099,0.2031259508220797,0.8287465565199384,0.7362045030637877,-0.17846704351414966,0.7607469382994559,0.9270979653301037
N_Acc_R,0.29804684358754835,-0.16265959128429702,0.7386309682222938,0.21716129113013066,0.3581326131012455,0.15104404451728928,0.6881562042896425,-0.7410650015862262,0.14485498899886984,0.81487321554559,1.0,-0.803399210139034,0.12870936851184608,0.45235888447986233,-0.5373355351758308,0.5484999978200658,-0.57800583689559,-0.42267120767220384,0.4938994895887632,-0.5161931599834699,0.03277167966387756,0.6034902732987666,0.8072945246925646,-0.6141007225491355,0.12748447885605135,0.7756630730419094,0.6391663152550885,-0.22848577979923987,0.6624211641602462,0.856915678249643
