,Thal_MGN_L,Cerebellum_6_R,Vermis_8,OFCant_L,Red_N_R,Occipital_Inf_R,Thal_IL_R,Frontal_Inf_Orb_2_R,Cuneus_L,Rolandic_Oper_R,Frontal_Inf_Tri_L,Frontal_Med_Orb_L,Vermis_7,Thal_LP_R,Thal_PuA_R,Thal_PuA_L,Postcentral_R,Angular_R,ParaHippocampal_L,Temporal_Mid_L,Thal_PuM_L,Parietal_Inf_R,Thal_MDm_R,Vermis_10,ACC_pre_R,Occipital_Sup_L,SN_pc_L,Caudate_R,N_Acc_R,Lingual_R,Insula_L,Vermis_6,Cerebellum_6_L,ACC_sup_R,OFCant_R,Fusiform_L,Angular_L,Hippocampus_L,Occipital_Sup_R,OFCpost_R,ACC_sub_L,Frontal_Sup_Medial_L,SupraMarginal_R,Thal_MDl_L,OFClat_L,ParaHippocampal_R,Frontal_Mid_2_L,OFClat_R,Frontal_Inf_Oper_R,Rolandic_Oper_L
Thal_MGN_L,1.0,0.3464000196407332,0.3377763554834218,-0.12199364324079041,0.06834767349543282,-0.0034320594119105195,0.07713996814432968,-0.06558969917668293,-0.006864171796231935,-0.19593741613014926,-0.08273490295202228,0.02166820083674699,0.28110062768099653,-0.023694515602194637,-0.028167818355897007,-0.04226123633020769,-0.1626465190724345,-0.014964649370186999,0.2587317217087823,0.30400101978948857,0.07751615695807694,-0.11760847064082056,0.15225537502759162,0.049032409172784605,0.1405165021585699,-0.02971227544645381,0.00800423412961576,-0.08198816905642897,0.12098135776915139,0.07513321619451108,0.05480897297211909,0.3119187575882276,0.3832066305713324,-0.27157690432348774,-0.1555669020246556,0.14773892342358674,-0.040565782840330515,0.18297267416344645,0.00658777200152221,0.17224814011240647,0.017828553718458588,-0.37250037878443365,-0.10667600150771941,0.03788134154953296,0.038134130354885644,0.22843187802827863,-0.21218239356326452,0.06601944448649356,-0.2132374401975893,-0.1647835589964131
Cerebellum_6_R,0.3464000196407332,1.0,0.8637915657999283,-0.3519562553335912,0.4831836533968642,-0.22734086255085287,0.6948968300057727,0.42845295072399064,-0.10108824403091694,-0.03655870604529623,0.4684875308060511,0.16304483081882,0.2132082626017688,0.3301207585714976,0.15242646542462723,0.38247854325745123,-0.6347984444760031,-0.38145275216377933,0.8223564759327919,0.7338333113899577,0.7160023285152919,-0.6785417831420066,0.6477090773006994,0.39033242352701947,0.39933162778931836,-0.520313680504985,0.5843312335429529,0.5344363021377968,0.5619837866741924,0.19508095519820937,0.6642410215987369,0.9290178478664803,0.8588159995888417,0.08601995152342563,-0.4605857241617908,0.7649609319913383,-0.46571147029449916,0.760367271608553,-0.4027167015665987,0.42690024122997183,0.454714265404201,-0.024857319028892634,-0.24892491793515284,0.6836746215281826,-0.002435464967373784,0.799088768737775,-0.20380870635603646,0.10176363097708754,0.2868408329134964,0.3693337468818668
Vermis_8,0.3377763554834218,0.8637915657999283,1.0,-0.2688524877361402,0.5609301352916537,-0.41616632813239884,0.5347942472221572,0.33737520668622795,-0.2093848172597534,-0.05180516410598382,0.3968235319703016,0.15056766819902193,0.4435089962753342,0.22898139609552035,0.19717076672720024,0.41745986832488846,-0.5509768145592099,-0.4382701707372732,0.7912885958181508,0.6362356009674989,0.5214920711702147,-0.6205672923203697,0.5899669298386003,0.06144204720024484,0.40565100421412587,-0.5328960208423247,0.5393729249600131,0.3804114484953351,0.41545340744343084,-0.057347122351810685,0.48217027676286545,0.8647365582410353,0.8145623256236919,0.09189211653682285,-0.43050501674891445,0.5359221212598125,-0.4845914138075038,0.6885069667191878,-0.36831665807930847,0.5296197022825643,0.3981400869791656,-0.08432615047368767,-0.274902452823164,0.6412552333680982,0.20075764975400495,0.77522419987884,-0.08163532451567049,0.26348591447779807,0.2665285901693255,0.21458169500721125
OFCant_L,-0.12199364324079041,-0.3519562553335912,-0.2688524877361402,1.0,-0.3142196040146572,0.2548677784863757,-0.5125070638651797,-0.5698777289649173,0.22775228555020885,0.25887130614204856,-0.4499324619950364,-0.4120715182444502,0.20559191873344804,-0.17354887199950678,0.02488717971848196,-0.18059942163441997,0.37396447116090414,0.43906437884106586,-0.5118825551152348,-0.2582891129284558,-0.3853378090809452,0.4524561944071054,-0.36077087834999993,-0.00046406485174124555,-0.4455754114448433,0.4359430931917804,-0.24282725906872166,-0.4128775960383558,-0.5420217014822764,0.044965626161746854,-0.4696753856133315,-0.2828390857857583,-0.08899116230560869,0.18827562358016628,0.8709388867531959,-0.19429660049442127,0.4251476070077789,-0.4229046623724392,0.449862975864533,-0.3620124198817009,-0.6205799425752897,-0.26706843678163755,0.3475146372809985,-0.23689643897215887,-0.1683883961480526,-0.5287359447558774,0.3479086767261903,-0.1386300057505156,0.04659709638969135,-0.24067836941928406
Red_N_R,0.06834767349543282,0.4831836533968642,0.5609301352916537,-0.3142196040146572,1.0,-0.6033707170071944,0.5828120438418936,0.6243560916284431,-0.3358448795751069,0.19259059972726825,0.7329867950066489,0.24884258840492354,-0.04523665908113148,0.2680777281031599,0.32060120510756573,0.4788801537522325,-0.29734901958328036,-0.4684153808475092,0.7025424881523538,0.30896038359608746,0.44746994230784315,-0.4257011899168543,0.6180476403133612,0.006227178123075817,0.4885773759943476,-0.5083173084432504,0.7042305214104095,0.4207010294324259,0.4938994895887632,-0.13740888815785066,0.5486214362191888,0.3591616830206908,0.32079644545579966,0.4429101129731818,-0.446847704561096,0.41585009297047226,-0.4991878301469038,0.6344467496833344,-0.44617602116953037,0.6615023783953037,0.5943959727183323,0.40620593002833616,-0.16063860676200947,0.588639315802512,0.5321590463657981,0.6853800472118643,0.21153954670128325,0.5364311229729141,0.4895463289837086,0.41024480302829414
Occipital_Inf_R,-0.0034320594119105195,-0.22734086255085287,-0.41616632813239884,0.2548677784863757,-0.6033707170071944,1.0,-0.4832043005740582,-0.5679182056272528,0.7222824090386898,0.24369286362081308,-0.44000004734596976,-0.24820927027624562,0.06794006613404652,-0.06143724302692851,-0.08654852641007764,-0.31664011594872526,0.4830180495547279,0.6947724652303595,-0.5494932355255622,0.013817749789945585,-0.27274222759090866,0.5910109150095122,-0.379020100696144,0.3787604603600054,-0.25418221544735825,0.7329767791151419,-0.46712565126442007,-0.14602715993076146,-0.42267120767220384,0.6392691171962946,-0.2527281611207298,-0.12402052565048258,-0.04221612025188943,-0.1442384860906545,0.4137220864463867,-0.03720068216423252,0.6712278938792183,-0.39185952766135923,0.6782663856817368,-0.5138100341438535,-0.6181691317315322,-0.1881922318559807,0.5545635931178228,-0.29052618668708163,-0.6359623320363746,-0.5922120385229643,0.07199272530291495,-0.5041058207773746,-0.04068672403519506,-0.039296667920818366
Thal_IL_R,0.07713996814432968,0.6948968300057727,0.5347942472221572,-0.5125070638651797,0.5828120438418936,-0.4832043005740582,1.0,0.8013568542572801,-0.427677359251823,-0.16053734958560592,0.7248945461147446,0.3610683788979202,-0.3889825488762122,0.290034876823878,0.1523443547242911,0.40627745706821333,-0.7589306606847407,-0.6445464629490851,0.7362045030637877,0.4128272921717247,0.8039428019800193,-0.8236945876293371,0.7809279135240169,0.2007325054946074,0.4599200067904823,-0.7820173485281701,0.6425860948716831,0.6874903380973576,0.81487321554559,-0.0938808913253093,0.830586415572611,0.5360113175268056,0.30972691224963383,0.18154657198847882,-0.6502976994749261,0.5837751198285417,-0.6830011582231782,0.6305582363071033,-0.7470585598932792,0.3522147652702344,0.8287465565199384,0.32353377836931657,-0.5171062685355078,0.6938457124995908,0.14554192048583275,0.7607469382994559,-0.31234506255313643,0.10691644569517948,0.2560587125366537,0.5367576443216922
Frontal_Inf_Orb_2_R,-0.06558969917668293,0.42845295072399064,0.33737520668622795,-0.5698777289649173,0.6243560916284431,-0.5679182056272528,0.8013568542572801,1.0,-0.47262531436482436,-0.1563807360336232,0.822557810924934,0.48797438159752926,-0.5043642125316861,0.2826209912594538,0.10529313283699572,0.42345120724637136,-0.5353837250873855,-0.7201585394907172,0.6972419805544335,0.17849047268203766,0.6443561089208437,-0.6822442185086893,0.5638428505478025,-0.02857391156881811,0.6107929101228916,-0.7293558850262178,0.6141118043233221,0.5941685157060768,0.7761740471383959,-0.17577278256535114,0.7288401706233776,0.23518478643137328,0.01671902968069972,0.135904773836424,-0.6646769878345099,0.3557673857457152,-0.7242119896846319,0.5868613727938988,-0.7628937705823515,0.5902612579827705,0.9195309190802965,0.5159833412020121,-0.47412547052598963,0.4895932927849796,0.3843153476200903,0.7450771704525503,-0.21316629580306792,0.4054254714108464,0.19152099002532147,0.469494378186481
Cuneus_L,-0.006864171796231935,-0.10108824403091694,-0.2093848172597534,0.22775228555020885,-0.3358448795751069,0.7222824090386898,-0.427677359251823,-0.47262531436482436,1.0,0.563517172558371,-0.1861700858696944,-0.13772265379336165,0.2090219940618271,0.22717814568146907,0.28556946280774986,0.06553670771594602,0.6125518549419514,0.7532995869574418,-0.2675837127744473,0.31233949030568936,-0.06608503019542573,0.6484739052301309,-0.14500371713791918,0.42158415971176827,0.004119005180973215,0.7677774027747929,-0.2999833660829482,0.09469668564154371,-0.3870553943485254,0.7838804355072216,-0.058896211993294194,0.05983479398140896,0.1409111265040392,0.08227463602540186,0.3313172870807349,0.20049028203245203,0.7408459476571545,-0.041252205535392314,0.7528974424736324,-0.23239030152448517,-0.5225913355002856,0.04145084855344826,0.7215954056074017,-0.09051197765743776,-0.3455968240197659,-0.35137999044497686,0.2860401064616024,-0.2697118076973022,0.31282724346754115,0.2386963891068894
Rolandic_Oper_R,-0.19593741613014926,-0.03655870604529623,-0.05180516410598382,0.25887130614204856,0.19259059972726825,0.24369286362081308,-0.16053734958560592,-0.1563807360336232,0.563517172558371,1.0,0.2813044142704766,-0.18988263586660653,0.02833866248235236,0.3092863558267742,0.3804858123000024,0.23994985442725658,0.5729054393528383,0.45134482810476517,-0.0565280565033691,0.22134354702140835,0.0632056154871735,0.48390658309358514,0.06658029726790907,0.3683099470092394,0.0788404490272685,0.44688931397589743,0.06063139452473828,0.19314657665661902,-0.21294165243177945,0.5725223674126744,0.20397236310012096,0.02685280084099341,0.09988844341363488,0.7249207367657827,0.24858513879521946,0.3120829366224135,0.4103865479866005,0.1262692772290249,0.41528381498822686,0.07073101458336048,-0.2957156267027928,0.3709375577827616,0.6804969154251365,0.13930659155422062,0.002240250025503828,-0.14147285377362107,0.6829486994946933,0.10976442668807887,0.7522031746226107,0.5973280105872265
