,Occipital_Sup_L,Thal_LP_R,Cerebellum_Crus1_L,Thal_LP_L,Cingulate_Mid_L,Insula_R,Thal_PuL_L,Fusiform_R,Parietal_Inf_L,Thal_VL_R,Thal_Re_L,Rectus_L,Cerebellum_10_R,Cerebellum_6_L,Thal_AV_L
Occipital_Sup_L,1.0,-0.025870380306983857,-0.5442251968443648,-0.15603529152672677,0.11535892292016195,-0.26713161608843006,-0.15888694608275208,0.0889431638611501,0.900445366908897,-0.6445064971117827,-0.5552373676862556,-0.0035369495277445873,-0.6818974921297194,-0.15384453953606228,-0.20814360255751568
Thal_LP_R,-0.025870380306983857,1.0,0.1792446575583865,0.7213433852876593,0.5310243537988465,0.622682773599719,0.7896819364238129,0.5112341880329411,0.03861937670345439,0.6162616923444062,0.06340984910284475,0.24544799459306463,0.32762699731459194,0.34547993731428983,0.4274251392866293
Cerebellum_Crus1_L,-0.5442251968443648,0.1792446575583865,1.0,0.27575822822692736,0.18684440501002542,0.5154946467131597,0.4421362561248508,0.5152446739171832,-0.5692460073744096,0.517563227923354,0.5301447894286573,0.019861176641095348,0.5897877693574992,0.7646223228315432,0.2869280977096149
Thal_LP_L,-0.15603529152672677,0.7213433852876593,0.27575822822692736,1.0,0.07747055730620507,0.5091148244753524,0.6195343896603718,0.557859843637113,-0.25246492284024974,0.3671018831230381,0.3360963825217898,-0.13270674925579484,0.23684488474739154,0.28195472977819774,-0.07813379265587013
Cingulate_Mid_L,0.11535892292016195,0.5310243537988465,0.18684440501002542,0.07747055730620507,1.0,0.6700618662368966,0.5475270300058217,0.44437815550318704,0.2865658899004837,0.5162283280694722,-0.005339317550892421,0.35955705880875516,0.2582260940436585,0.3290024466140881,0.5742817796348391
Insula_R,-0.26713161608843006,0.622682773599719,0.5154946467131597,0.5091148244753524,0.6700618662368966,1.0,0.7173935611549658,0.6275060767511019,-0.18621229407433765,0.6638881727093651,0.2786381424296812,0.15305969475715178,0.47527774705881765,0.4454391207940493,0.3852283523484944
Thal_PuL_L,-0.15888694608275208,0.7896819364238129,0.4421362561248508,0.6195343896603718,0.5475270300058217,0.7173935611549658,1.0,0.550307535665234,-0.06143073557718271,0.6635689380784191,0.1757913640882889,0.08170592207715183,0.3999085695458063,0.4607193438368607,0.3547214241106111
Fusiform_R,0.0889431638611501,0.5112341880329411,0.5152446739171832,0.557859843637113,0.44437815550318704,0.6275060767511019,0.550307535665234,1.0,-0.059067200484390237,0.3157616026467929,0.2974844488272457,0.147155024739934,0.2902225533471614,0.7301667302920553,0.24137915373077962
Parietal_Inf_L,0.900445366908897,0.03861937670345439,-0.5692460073744096,-0.25246492284024974,0.2865658899004837,-0.18621229407433765,-0.06143073557718271,-0.059067200484390237,1.0,-0.5173139271351391,-0.6158997778423938,-0.04078592547148286,-0.6600833161090588,-0.2379386514927543,-0.13605063305977486
Thal_VL_R,-0.6445064971117827,0.6162616923444062,0.517563227923354,0.3671018831230381,0.5162283280694722,0.6638881727093651,0.6635689380784191,0.3157616026467929,-0.5173139271351391,1.0,0.43043204923478706,0.3371171683170157,0.7910638479553382,0.4015057366133401,0.6553031384270632
Thal_Re_L,-0.5552373676862556,0.06340984910284475,0.5301447894286573,0.3360963825217898,-0.005339317550892421,0.2786381424296812,0.1757913640882889,0.2974844488272457,-0.6158997778423938,0.43043204923478706,1.0,-0.06275643281707802,0.45126221691419943,0.31335218847896434,0.057930592774580056
Rectus_L,-0.0035369495277445873,0.24544799459306463,0.019861176641095348,-0.13270674925579484,0.35955705880875516,0.15305969475715178,0.08170592207715183,0.147155024739934,-0.04078592547148286,0.3371171683170157,-0.06275643281707802,1.0,0.4820154996933713,0.30249090972801984,0.8075590099555459
Cerebellum_10_R,-0.6818974921297194,0.32762699731459194,0.5897877693574992,0.23684488474739154,0.2582260940436585,0.47527774705881765,0.3999085695458063,0.2902225533471614,-0.6600833161090588,0.7910638479553382,0.45126221691419943,0.4820154996933713,1.0,0.5764872841538579,0.6345771519550566
Cerebellum_6_L,-0.15384453953606228,0.34547993731428983,0.7646223228315432,0.28195472977819774,0.3290024466140881,0.4454391207940493,0.4607193438368607,0.7301667302920553,-0.2379386514927543,0.4015057366133401,0.31335218847896434,0.30249090972801984,0.5764872841538579,1.0,0.4749114046044452
Thal_AV_L,-0.20814360255751568,0.4274251392866293,0.2869280977096149,-0.07813379265587013,0.5742817796348391,0.3852283523484944,0.3547214241106111,0.24137915373077962,-0.13605063305977486,0.6553031384270632,0.057930592774580056,0.8075590099555459,0.6345771519550566,0.4749114046044452,1.0
