,SN_pr_L,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_L,1.0,0.42399835926902957,0.4583444876271361,0.384889814279516,0.2854902802299546,0.4542804956023192,0.2526481502697404,-0.10935473617277555,0.2482786554345876,0.6690593798364562,0.27522527106770844,0.4395920295789608,0.4666480486422703,0.1821738397769603,-0.10844239901325256,0.33927239624663436,0.4684752897056093,0.3747708129092979,-0.1736742634533907,0.27656767638216195,0.054064412648703646,0.2629551756526578,0.2968265892175338,0.2479038134366583,0.0976812531737484
Thal_MDl_L,0.42399835926902957,1.0,0.42152660290815847,0.6182584683248846,0.21442837312086302,0.40917183790531103,-0.09051197765743776,-0.29052618668708163,0.6178018987522009,0.3464666557069464,0.6412552333680982,0.44887649447837136,0.6458152834715208,-0.46990047587228057,-0.02133109400171032,0.5275911621622182,0.5828932361047386,-0.13834518206023055,0.4096077254270628,-0.4349449357160805,-0.1595572055256929,0.4895932927849796,0.6604698219493969,-0.3613327135416016,0.037272624417665295
OFCpost_R,0.4583444876271361,0.42152660290815847,1.0,0.506293346429763,0.6788680753870499,0.48543516827753197,-0.23239030152448517,-0.5138100341438535,0.5842265876105766,0.5538243573069723,0.5296197022825643,0.7415444146423675,0.5702651802035679,-0.18501770760001604,-0.49779515598958485,0.8405418669887946,0.6585271130515326,0.048706406500134566,0.17207607136056635,-0.028225538001416056,-0.6238355284907067,0.5902612579827705,0.37138792144810656,-0.12324459586022353,0.2036897747633228
Temporal_Sup_R,0.384889814279516,0.6182584683248846,0.506293346429763,1.0,0.1010067460974615,0.7152752335433694,0.22790541407371945,-0.08462584903988087,0.7283578959148562,0.29870417666552135,0.6142086485846004,0.41573823859426356,0.5558487718957212,-0.3087379987958758,0.1673208745722842,0.6699746181948668,0.8517470789915262,-0.13038652219009242,0.44194941126788695,-0.20521636340176486,-0.11260923555714926,0.4861169166637849,0.7984886086936783,-0.18006400823606694,0.08373445309292064
OFClat_L,0.2854902802299546,0.21442837312086302,0.6788680753870499,0.1010067460974615,1.0,0.3134169518500496,-0.3455968240197659,-0.6359623320363746,0.12018434210071904,0.38886762351211773,0.20075764975400495,0.5941530230734047,0.45110926371886473,-0.07798016596691723,-0.7182710118264255,0.5794976373015781,0.4399535523367355,0.19995303371922366,-0.025299678257480893,0.0989736845061369,-0.6288390747759801,0.3843153476200903,0.13072123366112312,0.06588236923478488,0.13815627343566397
Heschl_R,0.4542804956023192,0.40917183790531103,0.48543516827753197,0.7152752335433694,0.3134169518500496,1.0,0.3888913758603677,-0.035663118279848215,0.4848604655428138,0.21834621772467938,0.4345999037592228,0.6099552746013591,0.3659425961922719,0.07875427566286267,0.02774852178625296,0.5374985019377334,0.7675251356965195,0.28735821543697027,0.0956679261182897,0.21290462163427745,-0.18359570189538624,0.14471186703873834,0.5026802108459315,0.25916076359300283,0.3295672661507712
Cuneus_L,0.2526481502697404,-0.09051197765743776,-0.23239030152448517,0.22790541407371945,-0.3455968240197659,0.3888913758603677,1.0,0.7222824090386898,0.002838317252072907,0.0017697294011759684,-0.2093848172597534,-0.011114303719417707,-0.26993152348178145,0.5912560694378105,0.5671289621490327,-0.23302681926056806,0.12147536011039291,0.45493424123206305,-0.27894341976044823,0.49107743935611176,0.41481603194040334,-0.47262531436482436,-0.058896211993294194,0.6646671848347081,0.2090219940618271
Occipital_Inf_R,-0.10935473617277555,-0.29052618668708163,-0.5138100341438535,-0.08462584903988087,-0.6359623320363746,-0.035663118279848215,0.7222824090386898,1.0,-0.18345962269644525,-0.30205227320232236,-0.41616632813239884,-0.35627847398673634,-0.5313802086524023,0.49547460402081933,0.7255010054270795,-0.5279635776404226,-0.2827894613376343,0.21230454926805054,-0.22360308354392236,0.3124415494225228,0.536742325171348,-0.5679182056272528,-0.2527281611207298,0.445168603500216,0.06794006613404652
Temporal_Inf_R,0.2482786554345876,0.6178018987522009,0.5842265876105766,0.7283578959148562,0.12018434210071904,0.4848604655428138,0.002838317252072907,-0.18345962269644525,1.0,0.3992678870762111,0.8279422730454145,0.6323070569685272,0.40734546447557196,-0.4964703777162274,0.06445364138750731,0.7267104986901376,0.655811778239988,-0.15303651476276212,0.4365264963350885,-0.47018764999556606,-0.397266894346298,0.32600058544338506,0.49470242189036934,-0.42254062297555606,0.44326055140614284
SN_pr_R,0.6690593798364562,0.3464666557069464,0.5538243573069723,0.29870417666552135,0.38886762351211773,0.21834621772467938,0.0017697294011759684,-0.30205227320232236,0.3992678870762111,1.0,0.41068073008312916,0.512536732270528,0.33053412601334864,-0.007013264829712469,-0.267310448081299,0.4430900137396934,0.38847996304806515,0.24642091381841164,0.008580454583918021,0.014096337493317153,-0.1923678943596528,0.25092538020312716,0.09393794088516512,0.03585780076925244,0.2921169568699772
Vermis_8,0.27522527106770844,0.6412552333680982,0.5296197022825643,0.6142086485846004,0.20075764975400495,0.4345999037592228,-0.2093848172597534,-0.41616632813239884,0.8279422730454145,0.41068073008312916,1.0,0.5858291825874681,0.4116841657362633,-0.5348005372077204,-0.056959234038420924,0.6582121580504342,0.5810661871574404,-0.11860001642224184,0.40698320739895316,-0.4587833029895843,-0.38097816564007897,0.33737520668622795,0.48217027676286545,-0.4714312412518078,0.4435089962753342
Thal_AV_L,0.4395920295789608,0.44887649447837136,0.7415444146423675,0.41573823859426356,0.5941530230734047,0.6099552746013591,-0.011114303719417707,-0.35627847398673634,0.6323070569685272,0.512536732270528,0.5858291825874681,1.0,0.4490721922742685,-0.18799114256231617,-0.4108684004091117,0.753128955296298,0.6676412339874657,0.23984768013383043,0.057930592774580056,-0.024919973688137014,-0.5960884312657988,0.22778645993180188,0.2110089886734763,0.029338232205484812,0.5539459585644521
Thal_LGN_R,0.4666480486422703,0.6458152834715208,0.5702651802035679,0.5558487718957212,0.45110926371886473,0.3659425961922719,-0.26993152348178145,-0.5313802086524023,0.40734546447557196,0.33053412601334864,0.4116841657362633,0.4490721922742685,1.0,-0.5143791873229073,-0.44623546402622133,0.6747397640222966,0.6617056273355376,-0.2272347509196569,0.34007809834231945,-0.34839071920999853,-0.23694885928472115,0.7825697752491622,0.7551478135814704,-0.35587884455419905,-0.329773622525206
Paracentral_Lobule_R,0.1821738397769603,-0.46990047587228057,-0.18501770760001604,-0.3087379987958758,-0.07798016596691723,0.07875427566286267,0.5912560694378105,0.49547460402081933,-0.4964703777162274,-0.007013264829712469,-0.5348005372077204,-0.18799114256231617,-0.5143791873229073,1.0,0.23993572668563198,-0.4931424040255615,-0.2815855902662401,0.6416861412401974,-0.5415700044484435,0.8811836704957984,0.3263429835916597,-0.5563132241791848,-0.5130085037280592,0.8626229352882092,0.1271218223854682
Vermis_9,-0.10844239901325256,-0.02133109400171032,-0.49779515598958485,0.1673208745722842,-0.7182710118264255,0.02774852178625296,0.5671289621490327,0.7255010054270795,0.06445364138750731,-0.267310448081299,-0.056959234038420924,-0.4108684004091117,-0.44623546402622133,0.23993572668563198,1.0,-0.4104916201387685,-0.1451930400843563,0.050917890617643,0.04336201052556147,0.054914848462205665,0.5714646040115677,-0.4753063551799355,-0.031224486259679246,0.11364502431530144,0.14469356960884225
Amygdala_R,0.33927239624663436,0.5275911621622182,0.8405418669887946,0.6699746181948668,0.5794976373015781,0.5374985019377334,-0.23302681926056806,-0.5279635776404226,0.7267104986901376,0.4430900137396934,0.6582121580504342,0.753128955296298,0.6747397640222966,-0.4931424040255615,-0.4104916201387685,1.0,0.805643618936574,-0.25308584809360957,0.41237916678412456,-0.2949809623245125,-0.6314146755403492,0.6810611015167204,0.5916860699279732,-0.3621359979754555,0.17030085888800678
Temporal_Sup_L,0.4684752897056093,0.5828932361047386,0.6585271130515326,0.8517470789915262,0.4399535523367355,0.7675251356965195,0.12147536011039291,-0.2827894613376343,0.655811778239988,0.38847996304806515,0.5810661871574404,0.6676412339874657,0.6617056273355376,-0.2815855902662401,-0.1451930400843563,0.805643618936574,1.0,0.03962059723571482,0.31191020791000224,-0.06082302322118361,-0.3687751871815153,0.4850565807767004,0.6727762287607585,-0.05448454020041059,0.19879972547357921
ACC_sup_L,0.3747708129092979,-0.13834518206023055,0.048706406500134566,-0.13038652219009242,0.19995303371922366,0.28735821543697027,0.45493424123206305,0.21230454926805054,-0.15303651476276212,0.24642091381841164,-0.11860001642224184,0.23984768013383043,-0.2272347509196569,0.6416861412401974,0.050917890617643,-0.25308584809360957,0.03962059723571482,1.0,-0.6358588113534287,0.6682008052366181,0.06529049782635135,-0.5933521462314907,-0.42059026587802223,0.8053054684800879,0.5190528574140658
Thal_Re_L,-0.1736742634533907,0.4096077254270628,0.17207607136056635,0.44194941126788695,-0.025299678257480893,0.0956679261182897,-0.27894341976044823,-0.22360308354392236,0.4365264963350885,0.008580454583918021,0.40698320739895316,0.057930592774580056,0.34007809834231945,-0.5415700044484435,0.04336201052556147,0.41237916678412456,0.31191020791000224,-0.6358588113534287,1.0,-0.5242146623170495,-0.16694636408086147,0.48115518289165166,0.5201779440109839,-0.6202092882979013,-0.17139150050726362
Precentral_L,0.27656767638216195,-0.4349449357160805,-0.028225538001416056,-0.20521636340176486,0.0989736845061369,0.21290462163427745,0.49107743935611176,0.3124415494225228,-0.47018764999556606,0.014096337493317153,-0.4587833029895843,-0.024919973688137014,-0.34839071920999853,0.8811836704957984,0.054914848462205665,-0.2949809623245125,-0.06082302322118361,0.6682008052366181,-0.5242146623170495,1.0,0.11971112373495717,-0.4036323945804243,-0.4117467876257463,0.8777002977954468,0.1244588064702547
Raphe_D,0.054064412648703646,-0.1595572055256929,-0.6238355284907067,-0.11260923555714926,-0.6288390747759801,-0.18359570189538624,0.41481603194040334,0.536742325171348,-0.397266894346298,-0.1923678943596528,-0.38097816564007897,-0.5960884312657988,-0.23694885928472115,0.3263429835916597,0.5714646040115677,-0.6314146755403492,-0.3687751871815153,0.06529049782635135,-0.16694636408086147,0.11971112373495717,1.0,-0.3000734441223491,-0.006341156798497315,0.21564557051539815,-0.3314409928238641
Frontal_Inf_Orb_2_R,0.2629551756526578,0.4895932927849796,0.5902612579827705,0.4861169166637849,0.3843153476200903,0.14471186703873834,-0.47262531436482436,-0.5679182056272528,0.32600058544338506,0.25092538020312716,0.33737520668622795,0.22778645993180188,0.7825697752491622,-0.5563132241791848,-0.4753063551799355,0.6810611015167204,0.4850565807767004,-0.5933521462314907,0.48115518289165166,-0.4036323945804243,-0.3000734441223491,1.0,0.7288401706233776,-0.5625781613447628,-0.5043642125316861
Insula_L,0.2968265892175338,0.6604698219493969,0.37138792144810656,0.7984886086936783,0.13072123366112312,0.5026802108459315,-0.058896211993294194,-0.2527281611207298,0.49470242189036934,0.09393794088516512,0.48217027676286545,0.2110089886734763,0.7551478135814704,-0.5130085037280592,-0.031224486259679246,0.5916860699279732,0.6727762287607585,-0.42059026587802223,0.5201779440109839,-0.4117467876257463,-0.006341156798497315,0.7288401706233776,1.0,-0.4076479709406792,-0.3387632771148593
Postcentral_L,0.2479038134366583,-0.3613327135416016,-0.12324459586022353,-0.18006400823606694,0.06588236923478488,0.25916076359300283,0.6646671848347081,0.445168603500216,-0.42254062297555606,0.03585780076925244,-0.4714312412518078,0.029338232205484812,-0.35587884455419905,0.8626229352882092,0.11364502431530144,-0.3621359979754555,-0.05448454020041059,0.8053054684800879,-0.6202092882979013,0.8777002977954468,0.21564557051539815,-0.5625781613447628,-0.4076479709406792,1.0,0.23674471502633493
Vermis_7,0.0976812531737484,0.037272624417665295,0.2036897747633228,0.08373445309292064,0.13815627343566397,0.3295672661507712,0.2090219940618271,0.06794006613404652,0.44326055140614284,0.2921169568699772,0.4435089962753342,0.5539459585644521,-0.329773622525206,0.1271218223854682,0.14469356960884225,0.17030085888800678,0.19879972547357921,0.5190528574140658,-0.17139150050726362,0.1244588064702547,-0.3314409928238641,-0.5043642125316861,-0.3387632771148593,0.23674471502633493,1.0
