,Angular_L,Vermis_7,Temporal_Pole_Mid_R,Cerebellum_Crus1_R,Calcarine_R,Thal_MDl_L,Frontal_Mid_2_L,Lingual_R,Cerebellum_6_L,ACC_sup_R,Parietal_Inf_R,ACC_sub_L,Vermis_4_5,Cerebellum_3_L,Postcentral_R,Cingulate_Mid_L,Thal_PuI_R,Thal_VPL_L,Vermis_9,Precuneus_L,Parietal_Inf_L,Caudate_R,SN_pc_R,OFCant_R,Precuneus_R,Rolandic_Oper_R,Olfactory_R,Cerebellum_10_R,Amygdala_R,OFCant_L,Cerebellum_4_5_R,Cerebellum_8_L,Fusiform_L,Occipital_Mid_L,Thal_VL_L,Heschl_L,Cerebellum_3_R,Thal_AV_L,OFCmed_L,Rectus_R
Angular_L,1.0,0.25978802333567175,-0.24033657258004265,-0.23054786078997383,0.7515321918147202,-0.30651073340632373,0.2719742488480371,0.4278846332821389,-0.10709094096764257,0.07303224520110718,0.8393070906827571,-0.742736545740567,-0.3639372164024043,-0.0434287758770497,0.6793368897407702,0.20959541997445294,0.6328797274007909,-0.49567907282218987,0.3902355340256213,0.768309026967076,0.9263359454869955,-0.1524385371646318,-0.058500101231536455,0.4936549665489497,0.8362155123658275,0.4103865479866005,-0.6858291613162718,-0.6250318914294339,-0.5171440583675981,0.4251476070077789,-0.2202498144219208,-0.5007294698517702,-0.17208102149022894,0.943472236288858,-0.4703114130879255,-0.6424703560800413,0.1517022919479729,-0.14662288032994125,-0.7770564507720352,0.37268878232584757
Vermis_7,0.25978802333567175,1.0,-0.45761250459957675,0.5512556577119745,0.4326632276773249,0.037272624417665295,0.1769674335694212,0.015068861842640668,0.5852848348444789,-0.15432631338443692,0.1730244576537762,-0.39602956206100975,-0.06402198813085189,0.17569868587733053,0.16078057798638776,0.16131623727274907,0.2714929907687706,-0.11338424952354126,0.14469356960884225,0.25617192297474844,0.19493456343232002,-0.23780133570154258,0.0011400334519163862,0.2167759360885824,0.33668885149687033,0.02833866248235236,-0.27333354084236283,0.15149852246992174,0.17030085888800678,0.20559191873344804,0.2029240651373489,-0.17276903195775384,-0.04190945787645852,0.3437319562285968,0.023392584569977098,-0.3318206552457311,-0.3331395916143781,0.5539459585644521,-0.4961748358992281,0.7446899434407239
Temporal_Pole_Mid_R,-0.24033657258004265,-0.45761250459957675,1.0,0.055893640753221494,-0.01404543138080862,0.1874907191479091,-0.16973392055108782,0.3927134052333373,-0.1089719574857539,-0.034516047979655136,-0.31845942009153744,0.42888797221366554,0.38497178536675436,0.21381089112634052,-0.22313373717725235,0.09822136742965883,0.10957903589897401,0.27394387232018136,0.28720842605947405,-0.17168289035331447,-0.2606398405211638,0.4862260675194124,0.07907160110146574,-0.293338902880206,-0.24710206874662757,-0.024711064339910015,0.38269441520495334,-0.04502132247760554,0.20844822510665964,-0.3457233811459344,0.27626951567745306,0.5171964320713293,0.43303975625950447,-0.20761911805552502,0.25338377946313917,0.5119461513111001,0.48181336660341845,-0.23119073007784416,0.45083102347846626,-0.5645425884749403
Cerebellum_Crus1_R,-0.23054786078997383,0.5512556577119745,0.055893640753221494,1.0,0.23958503164282077,0.5212602582551822,-0.07135757855981743,0.22939575760474484,0.8683658020747574,-0.08141653792818397,-0.3915354647102998,0.09373946043020505,0.501850210591202,0.45550794380741333,-0.3282810567198436,0.2622469993129988,0.2044290849008092,0.29615669166668074,0.3715410887511943,-0.01194064693424379,-0.3070875637598733,0.25040022591164307,-0.03006973455616592,-0.1723425442277667,-0.0871667572085569,0.007483282284270771,0.21144840644088475,0.47949465262394586,0.4488219296894167,-0.15509256818509606,0.5921911889948188,0.5628420517269189,0.4568688405877511,-0.10476199088668789,0.4117689228197899,0.3554825863760683,0.028801595369850778,0.44987517014949985,0.0031884967186506397,0.21237742701653728
Calcarine_R,0.7515321918147202,0.4326632276773249,-0.01404543138080862,0.23958503164282077,1.0,-0.08574675205811026,0.3224536540577999,0.8023552486774919,0.28543260028575246,0.07103725798173122,0.6470590077139038,-0.5970643140428852,0.11453732836226939,0.34199937385044116,0.6313229582348654,0.44207306001640095,0.6935781216277608,-0.30172714942488743,0.6179324297156039,0.8423980389864559,0.7076596068798735,0.011063362863796318,-0.05372247551106697,0.39429438591422583,0.8274620461607209,0.5819888581050585,-0.5214136996677307,-0.4160546795693568,-0.18115414916892592,0.27816253331690705,0.34461676018409304,-0.18159395871473896,0.22610074254539844,0.840395394216123,-0.2140850177056553,-0.38343768444338006,0.4000211309903744,0.07357155011024571,-0.6740737247225405,0.49126062839430945
Thal_MDl_L,-0.30651073340632373,0.037272624417665295,0.1874907191479091,0.5212602582551822,-0.08574675205811026,1.0,0.022916772524394044,0.05344371850420519,0.565639495068253,0.3484317081549508,-0.50468741200048,0.4943636053897917,0.6453919227526094,0.43519184980186265,-0.4665789314570892,0.46318503058949545,0.19400334805304423,0.7013408272457872,-0.02133109400171032,-0.1410657793499667,-0.3332007398634673,0.6695744231240964,0.17891131335156235,-0.3517773590873573,-0.1277772474285066,0.13930659155422062,0.5445149660469232,0.6450428156932639,0.5275911621622182,-0.23689643897215887,0.49596802331422907,0.6032687489786979,0.5686597610609442,-0.3746215947653242,0.7268165698642877,0.6493518268352538,0.19401214901206626,0.44887649447837136,0.3540948024085449,-0.1581879234689281
Frontal_Mid_2_L,0.2719742488480371,0.1769674335694212,-0.16973392055108782,-0.07135757855981743,0.3224536540577999,0.022916772524394044,1.0,0.17634157145237275,-0.03220258590525975,0.6953795095184713,0.48918436549776334,-0.34039451485416844,0.02380623776848234,0.04644740182948303,0.6218655911148001,0.41264234559779506,0.0785657000372026,-0.1192488613610238,0.018970213850241894,0.5257138033342729,0.47707615365809863,-0.17171625861125833,0.12749665609087382,0.35876369335147623,0.5423298480312313,0.6829486994946933,-0.3679936843895197,-0.19573748815049524,-0.19638971307040812,0.3479086767261903,0.16587734035922494,-0.2722481231060527,-0.016830023190046676,0.23362924882431763,-0.14265073799865596,-0.38903105953305916,0.19865053918595257,0.11016784241647672,-0.35276505608131825,0.37292683316117486
Lingual_R,0.4278846332821389,0.015068861842640668,0.3927134052333373,0.22939575760474484,0.8023552486774919,0.05344371850420519,0.17634157145237275,1.0,0.2756232033128854,0.1488821792546816,0.33221048861431884,-0.26128805810015404,0.4661614088518442,0.5673208735670191,0.36949541445614514,0.41493005552914863,0.5760623803010037,-0.0656513900226932,0.7009323205065302,0.6411009091359775,0.3834367783524897,0.25600028229027433,-0.005801093379083643,0.1446775508412606,0.5526336348821768,0.5725223674126744,-0.24472020749915466,-0.3130994741386433,-0.07151738186912134,0.044965626161746854,0.5802148889467915,0.2099292731511979,0.5800215066865493,0.518198461563054,-0.05111406407602469,0.027716013169072466,0.7574752300245309,-0.14564632002596106,-0.2699986146842153,0.09014701374738408
Cerebellum_6_L,-0.10709094096764257,0.5852848348444789,-0.1089719574857539,0.8683658020747574,0.28543260028575246,0.565639495068253,-0.03220258590525975,0.2756232033128854,1.0,0.09231009675945272,-0.34200454997273316,0.048317407673880895,0.5862941776527351,0.6230320289483555,-0.3484920066033316,0.3290024466140881,0.3135973577007063,0.3827211062729691,0.2903847289106113,0.04447757793568408,-0.2379386514927543,0.3127741234770485,0.0587371327641901,-0.17740565237757933,0.042068495025251416,0.09988844341363488,0.17507539869682684,0.5764872841538579,0.44176086063555,-0.08899116230560869,0.6616793568934227,0.511095363421125,0.6377325621359528,-0.062419413247248985,0.45204286770544533,0.359406361558953,0.11117454454288427,0.4749114046044452,-0.031161505680018912,0.30185305915514715
ACC_sup_R,0.07303224520110718,-0.15432631338443692,-0.034516047979655136,-0.08141653792818397,0.07103725798173122,0.3484317081549508,0.6953795095184713,0.1488821792546816,0.09231009675945272,1.0,0.11791060148569064,-0.006034089984835406,0.34339161824050185,0.19479538620597048,0.1764265888282215,0.44162102401232917,0.1601584912966689,0.2744113787362974,-0.06780999230069834,0.2494440972337366,0.2064256652386001,0.3153407509321952,0.12063258186911485,0.060071028166519255,0.2900436929704949,0.7249207367657827,-0.042483680907969584,0.08319260140207138,-0.07164753796063038,0.18827562358016628,0.2566098949100316,0.04500455516358931,0.34492880531973447,-0.07561881762168701,0.14829647531249612,0.07388280703624317,0.3609953751444828,-0.004235324752176069,-0.001533771351908748,0.033055353144509185
