,Temporal_Inf_R,Precentral_R,Hippocampus_R,VTA_R,Cerebellum_9_R,Fusiform_R,Pallidum_R,ACC_sup_R,Occipital_Inf_L,ParaHippocampal_L,Vermis_1_2,Rolandic_Oper_R,Thal_VA_L,Parietal_Sup_L,Temporal_Sup_L,Thal_LGN_R,SN_pr_R,Cerebellum_4_5_R,Heschl_L,SN_pr_L,Fusiform_L,Thal_MDl_R,Insula_R,Vermis_9,N_Acc_L,Frontal_Mid_2_R,Thal_MGN_R,OFCpost_L,Olfactory_L,Temporal_Inf_L,Parietal_Sup_R,Amygdala_L,Frontal_Inf_Orb_2_L,Vermis_10,Cerebellum_10_R,Vermis_4_5,OFCmed_L,OFCmed_R,Caudate_R,Thal_IL_L,Cerebellum_Crus1_R,Temporal_Pole_Mid_L,ACC_sub_L,Cuneus_L,Thal_VL_L,Thal_PuA_L,ACC_pre_L,Pallidum_L,Cingulate_Post_R,Frontal_Med_Orb_R,Cingulate_Post_L,Supp_Motor_Area_L,Cerebellum_3_L,Heschl_R,OFClat_R
Temporal_Inf_R,1.0,0.34080483868392625,0.6322391038251878,0.003120211411373986,0.39620707493656615,0.7696347061996197,0.030358574067813487,0.4261797032652467,0.30660335187709553,0.1088392332168078,0.18072382602964904,0.5069214083937409,0.296066412742603,0.5184355763153999,0.46019669427563586,0.2254738677577361,0.05713887257769323,0.6459015392313292,0.2767835976834359,0.251370410110118,0.49353080445210995,0.06001788543935264,0.5364011935394858,0.5413975254248413,0.2891190311053324,0.583475228168604,-0.11080089739437116,0.1379019850137311,0.11977586154992068,0.22024331053282348,0.23953346849659343,0.05219889593539606,0.2848021173015562,0.5590285991762965,0.31498822437128887,0.6341435409871965,0.2209659701585549,0.1463523040799649,0.31323260057580155,0.22661309879646138,0.6553681221876989,-0.003925126462740871,0.10763094028446103,0.3525488805300886,0.5121149230377271,0.19817088838717672,0.27862722051152555,0.24860746171125123,0.32852035418083253,0.28344236170729137,0.36132593325296497,0.45958763680004344,0.4853313049586237,0.16045116774071963,-0.03595867647487856
Precentral_R,0.34080483868392625,1.0,0.2440434052790787,0.16320902323129646,-0.3922754621612474,0.6447768975601835,0.39306685813364284,0.7337899775268696,0.027604267032430033,0.38691580447125723,0.5840446485725551,0.2477372769566524,0.27585432089205725,0.30576251438074303,0.45047804931832075,0.14282939849237244,0.39961476663045653,0.7702726340701668,0.25113562430941966,0.14283145162735844,0.4787274942015288,0.39924179132205045,0.5794393541173372,0.31422005311268647,0.19910079177178028,0.6747267970682382,0.31027782581673796,0.26891188367991625,0.07595554864628551,0.3688650094786447,0.592028266417612,0.005304367292159276,0.5665900946202234,0.5190553859880048,-0.3341242376227569,0.7953618557394257,-0.000722562468877888,-0.07513102104973318,0.36505421055854104,0.3952326681489929,0.11825580061579381,0.1603346823400634,0.02676403244856348,0.5123993498180848,0.5075107792400322,0.3963652882616214,0.691172458288547,0.6608056921118188,0.6105174895052015,-0.013168387580871176,0.5804431085670324,0.8602618624847432,0.41151003293105287,0.8046414244212733,0.017302393260115755
Hippocampus_R,0.6322391038251878,0.2440434052790787,1.0,0.18695481149601265,0.4894364805629871,0.5714709537472978,0.014305305825221416,0.3870193706189109,0.281535458521197,0.22419872916217837,0.3492937161981322,0.8295083414633105,0.5161671069257341,0.3560199301576086,0.5233660153974764,0.28922219686945433,0.3616799343152601,0.6195082252855831,0.4829524297979741,0.6622943193135228,0.5493717344574425,0.04271590940987871,0.7567787505618807,0.3327387236755187,0.7217599364192026,0.5465226676303571,-0.39426082467901646,0.4103615867092214,0.5246958462383627,0.041509593712496386,0.13302408873737318,0.1257874043652746,0.5488887454051509,0.6551905625900866,0.4425409443167753,0.5367336582792551,0.2968474563295603,0.09939987747388634,0.3378375891408821,0.06758765469545663,0.5019682869100333,-0.04611393597877534,0.4976488774606986,0.10149985906545482,0.6956061527969561,0.36508544920421715,0.44960143196976426,0.16217970271269697,0.32486315435607793,0.5396054044916232,0.3807060976151289,0.28957793855826536,0.5273926011098697,0.07246100642764941,0.08872191440465418
VTA_R,0.003120211411373986,0.16320902323129646,0.18695481149601265,1.0,-0.10809171559507845,-0.13312759859856044,-0.3102102744949947,0.24672072195108014,-0.1782693789454162,-0.26876433168076225,0.0631188942365383,0.11969877283397007,0.44573747390355006,-0.23115572124832376,0.06670656183699532,-0.2261670727195922,0.10769458725163732,0.1520406913271864,0.09866055774509458,0.4041367124527373,0.01542116806324381,0.5853418851648455,0.3109056670486466,-0.18580990034807757,0.4434449738674013,0.18494920057652486,-0.022241053282113055,0.3459684658938661,0.6070776498299807,-0.15214888547206135,-0.20715885212960156,-0.16981178555412438,0.14078126356027823,0.029638523907989756,-0.07644898933517263,0.19855945758613677,-0.025436582512000244,-0.307606334275001,0.4798743209524782,-0.34129269305882615,-0.2013359542561043,-0.0430410143914561,0.1934161605671324,-0.32353451446665854,0.405321204283945,0.3080356774844732,0.21643281729479089,0.09009665448364318,0.17422517576255658,0.38010702960415055,0.07073099404116057,0.0433777957281728,0.2430604163939222,0.1851279056710684,0.45823843674070436
Cerebellum_9_R,0.39620707493656615,-0.3922754621612474,0.4894364805629871,-0.10809171559507845,1.0,0.20024740313055503,-0.1873272536714799,-0.09628303726343382,0.41905824301040784,-0.02921550398140154,-0.10192383583459144,0.40910042706034633,0.22815356384320945,0.05862351050349873,0.2932612090893632,0.15577072491922267,-0.028836037005390263,0.04131670470065567,0.2491340825300982,0.256134090590625,0.31263686088475556,-0.2682019220470786,0.1673162691500403,0.3070563284267732,0.31048394037136723,0.09465593493738812,-0.36602337055557327,0.028177295097836622,0.1770301868861815,0.05799518311186687,-0.28814166335419295,0.3151953104761225,-0.10100736245282634,0.2671767329402073,0.6995562407295141,0.05046511018316739,0.06648525101727423,0.1824979560359477,0.052652289731823065,-0.0917085447639426,0.43378702502180566,-0.1490809790598678,0.1667241955831725,-0.1624239685121758,0.2176930850410199,0.04276717392157771,-0.1090668489024934,-0.21066127056754905,-0.2316154060266533,0.3524881778660716,-0.23015441924285263,-0.2570827791896094,0.1327936970942677,-0.48154763421656127,0.08082490978365424
Fusiform_R,0.7696347061996197,0.6447768975601835,0.5714709537472978,-0.13312759859856044,0.20024740313055503,1.0,0.40576586289117905,0.5374793084515854,0.2513780921069039,0.47776302938750814,0.5005232385059467,0.5214630869802519,0.28359441057666057,0.5604273153734466,0.5496485861824251,0.4213490518515302,0.29090659431849464,0.847513958427202,0.25814318539678555,0.14506971890256218,0.6360256688113718,-0.036051213230472196,0.5670206554264081,0.5790956118977784,0.25004301610585794,0.7516424494359498,-0.006176953056426501,0.16633303719802991,0.035958046276543816,0.3449407352257338,0.430212990935556,0.11540157934349152,0.5238008076399839,0.7192356259206986,0.23109731623623897,0.794008633348084,0.23823353271802203,0.2793643375845648,0.2292637655126951,0.5158640134902517,0.5723398696781501,0.05713252922423907,0.09796138634683663,0.5061060346245643,0.5076245351176523,0.2959751457723579,0.4896307575229044,0.5190560677545629,0.5487052263350106,0.04451598461306478,0.5631153511183405,0.7337762468956597,0.5244921582036146,0.39214264331139026,-0.1317783480014379
Pallidum_R,0.030358574067813487,0.39306685813364284,0.014305305825221416,-0.3102102744949947,-0.1873272536714799,0.40576586289117905,1.0,0.19140928507406718,-0.1588375743747874,0.8277039651772741,0.32733896746621843,0.07270034927648476,-0.0790659372428967,0.15455677619018449,0.02871528589406479,0.7144428082268897,0.5195721557277464,0.24982313306825701,-0.18347522172043798,-0.37433714736466267,0.18856891647137444,-0.32911071568372746,0.0482319916454554,-0.03886417517548337,-0.08712499937817654,0.16180112761548907,0.12096063214572977,0.027181194726369682,-0.017868376348489853,0.20884138897081916,0.35798059189976267,-0.009011524161828155,0.5845264766184074,0.37252737770028793,0.04942955093712519,0.23160153745509596,0.19113471712502775,0.31704761729696307,-0.014159909720660262,0.8488685014930254,-0.10031878895800767,-0.07348131453133588,0.09171306217539774,0.31554310135143415,-0.039224557266704055,0.35343230829751326,0.2709998485125753,0.5214774382202563,0.2695936200641732,-0.4423304909349655,0.22374277129656822,0.49126086340947933,0.05230024823311346,0.2333553157737118,-0.16039676993036175
ACC_sup_R,0.4261797032652467,0.7337899775268696,0.3870193706189109,0.24672072195108014,-0.09628303726343382,0.5374793084515854,0.19140928507406718,1.0,0.07248966337060694,0.1750423769765426,0.4064161347850284,0.3067446720955801,0.43423117280024476,0.2060794839109162,0.4542424235568563,0.08088982376922463,0.19119642806698148,0.6515672511528318,0.37942768009933164,0.22964143824565295,0.43016337814617767,0.5124060618836673,0.7035369611146381,0.2662543462208109,0.28456170179567164,0.6892720340846863,0.16123195329094833,0.39979693279462203,0.25627606516586116,0.17326189217110494,0.36076535467868853,0.07323862504982986,0.497493497819955,0.44233763464542103,-0.08407647995776246,0.6524857553495951,0.18119288906124628,-0.10300558847581003,0.6706906883997439,0.19078741605462912,0.14826398355863882,0.15652265986098948,0.22591568981167193,0.3575565313954556,0.6137649454462761,0.3252645142700521,0.7801838843626092,0.3791149102744066,0.4842294475756693,0.15969209282458385,0.4367200819017385,0.6322631727317342,0.406089729129785,0.5644809100163627,0.24092728822938006
Occipital_Inf_L,0.30660335187709553,0.027604267032430033,0.281535458521197,-0.1782693789454162,0.41905824301040784,0.2513780921069039,-0.1588375743747874,0.07248966337060694,1.0,-0.07201157433454701,-0.09665500615266397,0.26073230500093914,-0.09521448545789088,0.42066733078976426,0.6770228844383467,0.1826675101775115,-0.21964392228079696,0.20742650793408537,0.4620671598803153,0.3177938569191507,0.5876652202343429,-0.17298519525707207,0.280705716436736,0.7524574354425352,0.4009582529417303,0.23700077411661,-0.3228770459491205,0.19570702778826315,0.02580657519313862,0.5017353863567066,0.3527935741768886,0.6888820917813685,-0.003912987671170719,0.07239180624922177,-0.045618217742463454,0.36665401434418676,-0.16887430537073764,0.042349262654266834,0.0851421136683745,0.11022435608121978,0.6351095229426553,0.09177756102010266,0.05261216538650772,0.5194177160358465,0.2861453060310453,0.08415291284316805,0.01591785630929103,-0.055129742056658715,-0.026167985539104738,0.1326245240192813,-0.03792289253422096,0.009287929977162913,0.05906443151468931,-0.05324736519286625,0.08356615527205685
ParaHippocampal_L,0.1088392332168078,0.38691580447125723,0.22419872916217837,-0.26876433168076225,-0.02921550398140154,0.47776302938750814,0.8277039651772741,0.1750423769765426,-0.07201157433454701,1.0,0.4428592892466327,0.1814028809057175,-0.09147411018387097,0.11889792172382914,0.2294639867822691,0.6462618782899954,0.5917678764208069,0.2891356935976569,-0.03463845885522547,-0.1698955900644832,0.39567572362541514,-0.3149708795411941,0.20408333167807527,-0.010299935005213414,0.05472718871186463,0.23975234351050076,-0.015342422088034408,0.20257976756003876,0.12317350833159385,0.3250466219506956,0.39703414706908924,0.19575867190267088,0.6474493572635149,0.4300666195789241,0.18016669302972704,0.3048573843772078,0.22729270821284484,0.33570738915801646,-0.03511753222755836,0.7478207761722343,-0.06623989244584705,-0.13242429846301312,0.2500159191038813,0.2939082014807105,0.0474649294322459,0.45616416288118034,0.3525317423158889,0.3783082929326716,0.32180794147712394,-0.29632252986684116,0.2681897089780832,0.46546792970060663,0.09691413578046114,0.22158577299141097,-0.01403187903997484
