,Cerebellum_10_L,Cerebellum_7b_R,Thal_VL_L,Thal_PuI_L,Vermis_4_5,SN_pc_L,Frontal_Med_Orb_L,Cingulate_Mid_R,Thal_MDm_L,Frontal_Sup_2_R,Raphe_D,Supp_Motor_Area_R,Frontal_Mid_2_R,ACC_sub_L,Rectus_R,Frontal_Sup_2_L,SupraMarginal_L,Cerebellum_7b_L,Cerebellum_6_R,Amygdala_R,Frontal_Sup_Medial_L,Thal_AV_R,Frontal_Inf_Orb_2_R,Thal_IL_R,Thal_MDl_L,Thal_IL_L,Cerebellum_8_L,Temporal_Mid_L,OFCmed_L,Cuneus_L,Vermis_8,Cuneus_R,Cerebellum_3_R,Thal_VL_R,Rectus_L,OFCpost_R,Cingulate_Mid_L,Cerebellum_9_L,Thal_Re_L,Cerebellum_3_L,Rolandic_Oper_R,Thal_PuM_L,Cerebellum_Crus1_L,Frontal_Med_Orb_R,OFClat_R,Insula_R,ParaHippocampal_R,Insula_L,Red_N_L,Caudate_R
Cerebellum_10_L,1.0,0.43399761321083,0.4542506851824368,0.39198591433752483,0.6941859471616395,0.28878454690570826,-0.0015084109819800298,0.6637185834595146,0.46718969205771554,0.7010158994590995,0.1038275145169187,0.5809854380622848,0.6015485019317011,0.2917489048695903,0.08815342413194097,0.8003434481513265,0.26955992835418563,0.14795823735911484,0.23736943637542823,0.19218780368305854,0.5496853920499564,0.0015543690060617896,0.46130337925911674,0.42303457511540826,0.5967183894916048,0.4035745394917199,0.06390715522902192,0.42800517254062265,0.24519945630867704,0.4013980602631792,-0.08821226276839171,0.5055801032597207,0.5769418156926459,0.6705289648627907,0.30965043533830156,0.21966140190673464,0.6211631290653415,0.34659214969930946,0.19611456073417444,0.5696997585387635,0.3577214638977009,0.6844049433622185,-0.06421055076224588,-0.014935697803262453,0.30546811278291625,0.5935149880086347,0.1862492983197376,0.6119144268888317,0.1333241967265146,0.3784422434539313
Cerebellum_7b_R,0.43399761321083,1.0,0.18272343969907381,0.27334450962630163,0.3865165207416692,0.041874665113448443,-0.024161682193920023,0.4498445356005816,0.31410359615896966,0.46387600247600475,0.18741292945412089,0.5543630065955734,0.44394242020144103,-0.01775811504674953,0.13032283575429868,0.5928998405340581,0.23449680609303017,0.14717592384047057,0.1013297594603701,0.23402051670619448,0.17700817362431376,0.16326314200747644,0.3024560530039855,0.22264250504241156,0.2896794702891858,0.30693270538201745,-0.15834318360593122,0.04069698429884651,0.20528978460690792,0.3259637240956623,-0.20020143728583506,0.3736635454442944,0.5371101404848796,0.4503658730932304,0.31459999531317057,-0.021786934590458662,0.5798893907322697,0.2854779563797623,-0.02638865400091917,0.5356666117187212,0.2874205826722302,0.5032151636710598,-0.26299920261425036,-0.1701271348192609,-0.29176122655240533,0.2649316511865106,0.17078074696574766,0.2761324725792215,0.15795432691509573,0.08631328280650123
Thal_VL_L,0.4542506851824368,0.18272343969907381,1.0,0.21703754345071474,0.6891946204539345,0.025502083364486425,-0.0546563052067029,0.4920522166601804,0.5925069930384835,0.5815319287350125,0.2280224069477783,0.43993422659702347,0.5974432657803596,0.27021624736574285,-0.07623098898273833,0.5442515749261171,0.35745640809862234,0.1037597689040268,0.4659620843786034,0.3132647977087094,0.5493438578675607,0.14703768671088216,0.20267527854810055,0.24720495032987116,0.5111820476021922,0.08120621175766919,0.3053401262865471,0.30336259569427615,0.18592966997481955,0.13256444867348838,0.13905494940803173,0.356551614021083,0.42167838717562156,0.6570719202502449,0.09735770737182588,-0.159057471402764,0.5116691945390092,0.4245408351408138,-0.18608904809966317,0.5219485413027853,0.617589170922485,0.2051200898818963,0.18460338222337763,0.5274618671544212,0.1520288100025826,0.7942707806724432,-0.07569778445016913,0.44579448726871956,0.41239767901274493,0.6176210251834049
Thal_PuI_L,0.39198591433752483,0.27334450962630163,0.21703754345071474,1.0,0.25670461927542143,0.31781747404675814,-0.010828752400019915,0.13005999605076093,0.22322055835253699,0.22604527759359844,0.37965604938180647,0.17339390294646836,0.2776157496446909,0.10214384835126901,0.3219749870252666,0.29836716972091226,-0.012851571069359318,-0.2746807502105358,0.3242291534113154,0.1263022247638434,0.3044062962514292,0.23195495831773705,0.20696769654183683,0.24854790995193266,0.13772450640859496,0.3224623138699283,-0.037385549906960455,0.25501690401986127,0.48289660957355857,0.1785426520755435,0.09819775911766729,0.177780841759614,0.1812878758707161,0.3065116933913546,0.5365559445476409,0.10601281437062658,0.07227174812631428,0.5982996425160148,-0.1123072827645795,0.5108610840008917,0.29392479738305105,0.5866112361431114,0.1553261179493172,-0.055849237073824436,-0.03730925484777603,0.1278411604802018,0.08281878442753333,0.19310770932337196,-0.023727031134547612,0.1922625456409228
Vermis_4_5,0.6941859471616395,0.3865165207416692,0.6891946204539345,0.25670461927542143,1.0,0.000587789883004059,-0.10571694536542549,0.790498249359315,0.5397846725080209,0.8475346876966151,0.27685760296712614,0.7235142454218747,0.7515453196272939,0.13705630856274878,-0.08585946212079838,0.8226898372759543,0.5992690954554106,0.2582195668390338,0.5398154073748683,0.25710666110824637,0.5846393835956617,0.21047120770914227,0.267637168294596,0.24350162652977358,0.45332860904536193,0.38835711590802596,0.37433104818164126,0.5079670658302954,-0.025038847094654152,0.5167371960825585,0.11579944842522849,0.662665676890425,0.6164941508209781,0.7118554771107891,0.033236426805655236,-0.06200023694246109,0.7342886989304477,0.4365978231695559,0.02259836590071152,0.5179099211453745,0.47550483776301056,0.42677945760564207,0.1508808147532145,0.22399449075808933,0.107531883967149,0.6675351984288154,0.09760188508593527,0.4922287135388822,0.20494402313675128,0.4059427921084184
SN_pc_L,0.28878454690570826,0.041874665113448443,0.025502083364486425,0.31781747404675814,0.000587789883004059,1.0,-0.0457508738928809,-0.07837908693402376,0.26615827292055433,-0.018007009138357975,-0.14767874542741208,0.024575870461340955,0.004112659706099996,0.42292594290300206,0.26376875707125585,0.08754224607120037,-0.11371814607971438,-0.2395066269618672,-0.054104650051213524,0.027594158382796236,0.059104254232164366,-0.32435676793971213,0.2379865232687127,0.2693263301134084,0.27072899646892934,0.15351305667434081,-0.07419761337661948,0.12248383807198501,0.2772993185484387,-0.04861599608813502,0.05084991231951302,-0.02670453196469993,0.1123247584862645,0.20948701901484643,0.17072590622685144,0.3112561586789309,-0.0016639214463939121,0.30174347344174784,0.3437723605592161,0.3198384884002868,0.2856266842213901,0.2750979128301587,0.16544962506143127,-0.057378879624264086,0.1764138006078463,0.08173704558276722,0.036044790665401054,0.43587041695302514,0.06528756988608063,-0.018006452311529066
Frontal_Med_Orb_L,-0.0015084109819800298,-0.024161682193920023,-0.0546563052067029,-0.010828752400019915,-0.10571694536542549,-0.0457508738928809,1.0,0.02305160434970227,-0.15357831601880467,-0.05052947529589104,-0.2567998727397339,-0.17522975973976607,0.14927207994015193,-0.09130185713193045,0.02352325552694324,-0.047655439899311924,-0.18426087789169954,0.2297446326624013,-0.08240980048014543,0.178620216215728,0.1135121116835325,0.0021655886290899615,0.018009352748839007,0.1497585008373615,-0.08275914059626155,-0.17694948319266823,0.10670212343089981,-0.1619596490572358,0.26306819576772533,-0.0006235037476329816,-0.0479149487787821,-0.056204645717136854,0.058741659329549785,-0.1044735951260823,0.22772426342674248,0.17085891765823158,0.009574720829233658,-0.13416482500450216,0.04982740204819865,0.014130039429689153,-0.20668737160152825,0.09232274367182773,-0.09983368612961518,-0.19331914558401672,0.20993994679065647,-0.08690385702123185,0.320558696119289,-0.060556616956753725,0.017656355212256263,0.16351083242037187
Cingulate_Mid_R,0.6637185834595146,0.4498445356005816,0.4920522166601804,0.13005999605076093,0.790498249359315,-0.07837908693402376,0.02305160434970227,1.0,0.42936675778120303,0.8155345287851965,0.1740906087962594,0.7182516829875536,0.6646276905218552,-0.02215348433659363,-0.10387576805026101,0.7925084571622959,0.6010142825851144,0.29416068049772315,0.39702777830519526,0.1995854999017344,0.48648094018386284,0.2425026227945501,0.27154675057967564,0.3697892475254267,0.381916993232422,0.34349887218075104,0.19872300997763867,0.34626778464066577,-0.09631770282441215,0.5501633320777708,-0.00039598609888627983,0.5872316525375646,0.5786528953947232,0.6761685842734603,-0.010277349384267371,0.007247546476565208,0.8909693834164895,0.29156309823995386,0.01235630994477938,0.3905460097134066,0.21926841805582087,0.4707666224063175,-0.007563022055886469,0.12337357687755102,0.04832222764332457,0.5901094844040788,0.2314613712474137,0.3689700251417161,0.089069576703167,0.47467046842917715
Thal_MDm_L,0.46718969205771554,0.31410359615896966,0.5925069930384835,0.22322055835253699,0.5397846725080209,0.26615827292055433,-0.15357831601880467,0.42936675778120303,1.0,0.5180287254600214,0.3387249453139702,0.4782219866295325,0.4267614834508088,0.1090388595892167,0.2031224141360463,0.5413018950810118,0.28817143811825996,0.1534950528697712,0.08740596230208655,0.2612446472052882,0.43201488337936733,-0.04122571020423871,0.2836232383034528,0.40101285717767543,0.6592440444080476,0.4573847501032553,0.032157180947121375,0.161339915851187,0.10774019711525977,0.16032733620891004,-0.07592595405662039,0.3442032837688884,0.43413626435425173,0.6631227044292903,0.04862738040621387,0.053244862485674095,0.4869944962556392,0.23769167643041128,0.15067688716087077,0.36257831883947794,0.491930407511838,0.3424467740457485,-0.10415184907845973,0.15915730591907412,0.052108311250218226,0.38734566746314386,0.042770318104423076,0.4565424043772294,0.32297969874007243,0.3422092592677701
Frontal_Sup_2_R,0.7010158994590995,0.46387600247600475,0.5815319287350125,0.22604527759359844,0.8475346876966151,-0.018007009138357975,-0.05052947529589104,0.8155345287851965,0.5180287254600214,1.0,0.36304397502689834,0.8160454520255124,0.8008578438528341,0.11734445690421569,0.09160935326004463,0.9052716320397104,0.6353817141419246,0.39477008163459665,0.35588795912000987,0.16825253404849314,0.765422981997459,0.23672335393711727,0.4417373681492715,0.3906121953363531,0.3893883862246387,0.4974130424377507,0.27793770935564144,0.4455620064037187,0.05432585398117815,0.6262859234139059,-0.06012977691932937,0.7111666804716159,0.6376080998614342,0.7730587716021909,0.1094342070625919,0.13130678408966268,0.7486970495056333,0.3821064452879419,0.05832003167861578,0.3740644904228261,0.43490669826911676,0.4480012227297799,-0.024589277032717308,0.11897315921554763,0.10221092393443491,0.6712672154601961,0.11351166117164656,0.5059283262791545,0.1370812806494313,0.43145992832991675
