,Thal_PuA_R,VTA_L,Precentral_R,Insula_L,Thal_MGN_R,Cuneus_L,Calcarine_R,Vermis_3,Cingulate_Mid_L,Parietal_Inf_L,Occipital_Mid_R,ACC_sup_R,Fusiform_L,Vermis_6,Temporal_Inf_L,Thal_VPL_L,Cerebellum_Crus1_R,Amygdala_R,SupraMarginal_R,Vermis_4_5,Temporal_Sup_R,Precentral_L,Temporal_Pole_Mid_R,Thal_PuA_L,SupraMarginal_L,Vermis_1_2,Thal_VA_L,ACC_pre_L,Thal_LGN_L,Precuneus_R,Thal_PuI_R,Thal_PuM_R,Putamen_R,Frontal_Inf_Oper_L,Olfactory_L
Thal_PuA_R,1.0,-0.5366858939714512,0.4169416107897912,0.053106667845153444,-0.1474397697021395,0.372976820790079,0.03830091473894589,-0.05043668734243912,0.28101600753975564,0.24876370412374646,0.2711956531724395,0.19538123312505806,0.4363918304339027,0.4412605719067758,0.29597875580551625,-0.07453972745963375,0.14863576850353197,-0.3677567682993713,0.3348132033035059,0.36986166861074005,0.1711375864209583,0.16915648067430625,0.12463297174189508,0.3344420292943018,0.08948282044979676,0.2927514626561505,-0.09259453314487709,0.14842995860392982,0.3877061835044126,0.3489984164552138,0.6003454516037696,-0.038012257105263514,0.49489674648715576,0.2273222926603722,-0.014758631172337206
VTA_L,-0.5366858939714512,1.0,0.051478379612916375,-0.025806391092360288,0.40660934374015534,-0.18143955738331372,0.02412205388709125,0.29182102300566537,0.12492280916567322,-0.0193539024274895,-0.28296774250802853,0.11875703738967984,-0.29868500491538447,-0.4337657690480472,-0.13085095922095064,0.4552777729844534,-0.26385278228543385,0.4551167272035252,0.053248136988729385,0.028424719209297844,-0.09780729888130542,0.1292774294444069,-0.3685712530918076,-0.11695824766568103,0.0027477496108593742,-0.09454056130722872,0.22176607982053162,0.13059768343996153,-0.4899932483496268,-0.17176809280246494,-0.4825330439877328,0.2744447236334273,-0.004710613690772705,-0.08012962559586037,0.058737170123455584
Precentral_R,0.4169416107897912,0.051478379612916375,1.0,0.46280396219797404,0.31027782581673796,0.5123993498180848,0.5092235404836528,0.4918077044856076,0.8327211984943362,0.5482769496769967,0.22765958043090304,0.7337899775268696,0.4787274942015288,0.1434778042761649,0.3688650094786447,0.5825240210849894,0.11825580061579381,0.19975304560320695,0.8575889041686671,0.7953618557394257,0.3175565826887827,0.6379190364571391,-0.2626013197143573,0.3963652882616214,0.4222579158402958,0.5840446485725551,0.27585432089205725,0.691172458288547,0.1148613748385915,0.6374972653391744,0.3114612780645845,0.5191803949864389,0.7947617703148022,0.6698094456787534,0.07595554864628551
Insula_L,0.053106667845153444,-0.025806391092360288,0.46280396219797404,1.0,0.09865794019374276,0.28148261043772665,0.3853998352829004,0.5360522742709818,0.43010869963686366,0.1339515260606153,0.2374178325121479,0.40681855248715987,0.454378466564059,0.07466330757576274,0.38620433046301145,0.289529096474168,0.0771954131821882,0.3028635441004982,0.5064126908899033,0.4922287135388822,0.3238710068550583,0.1490991014260731,-0.1101492450096181,0.5085720922490098,0.3066997998981138,0.444557291359411,0.15338013881212023,0.615845256578526,0.32352574957053293,0.41602120501061746,0.4011835975747726,0.12642178673718993,0.5836735907810334,0.7069583781015558,0.3774163045857687
Thal_MGN_R,-0.1474397697021395,0.40660934374015534,0.31027782581673796,0.09865794019374276,1.0,0.10132006979318076,-0.061148092117918953,0.08189421111241688,0.2844350044344728,0.13919204914152145,-0.29832965835967407,0.16123195329094833,-0.3572360015968166,-0.3199473094378582,-0.027830756401187966,0.6015797014046876,-0.4014889961086595,0.4782008184592679,0.3132183438544564,0.025065680217241284,-0.16606750127953795,0.2251878686720746,-0.3993848328617616,-0.09626416154902352,0.01337958866808991,0.14271252452023467,-0.09388168519150311,0.20610344299491723,-0.3619170639441599,-0.16171093148826546,-0.47657627696629795,0.2599938638991045,0.25782645573108987,0.06816421911982748,-0.3434872290793112
Cuneus_L,0.372976820790079,-0.18143955738331372,0.5123993498180848,0.28148261043772665,0.10132006979318076,1.0,0.5686228752544183,0.10046554353482447,0.48038086413938835,0.5973800547931467,0.7961827806225742,0.3575565313954556,0.400532453902376,0.3895974410281475,0.4218780825612883,0.134552426479396,0.3771516698792864,-0.09510845017230375,0.5749419394891649,0.5167371960825585,0.24324775217808023,0.3077434988109092,-0.11101244271613611,0.1512629045840447,0.4987930556955349,0.1496131359464692,-0.22503692282089535,0.29909095671043895,0.35573441324100674,0.6478083604914766,0.3493395211634962,0.37429124064713654,0.3199156028777629,0.3376374265673174,-0.21919234701140253
Calcarine_R,0.03830091473894589,0.02412205388709125,0.5092235404836528,0.3853998352829004,-0.061148092117918953,0.5686228752544183,1.0,0.5510344849965805,0.5648267548504029,0.6568159562706187,0.6047931214266377,0.4322229104185616,0.5619598567712212,0.5309285616575175,0.31907589504271827,0.19369925018545153,0.743363757863547,0.30350825871184384,0.4811054937621561,0.7481130640535062,0.5926016683760942,0.6004194256315433,0.14674034023649643,0.17017806423283183,0.65813243135162,0.27328512313081155,0.30738974047713213,0.3864418754154035,0.3612908272869617,0.7656328042885794,0.40355562601057654,0.4601825269449464,0.28687285354081354,0.4665574582431687,0.06293490655020563
Vermis_3,-0.05043668734243912,0.29182102300566537,0.4918077044856076,0.5360522742709818,0.08189421111241688,0.10046554353482447,0.5510344849965805,1.0,0.6098170361127969,0.40066487419056523,0.03597840762213621,0.5751521596868368,0.37425746603552207,0.16844627129403164,0.08894247571221285,0.5492037759787767,0.2608682681931655,0.5874518886757004,0.46378349412689346,0.6659732902664832,0.640737015544139,0.5630527472244271,0.15864872539334332,0.39694425969974556,0.4159701896893291,0.5054504216087843,0.6203865220070861,0.6312439472277136,0.23221620734768428,0.451019539810569,0.2704001537445037,0.2950087251705301,0.54379726574532,0.5537893028689805,0.43713647814048234
Cingulate_Mid_L,0.28101600753975564,0.12492280916567322,0.8327211984943362,0.43010869963686366,0.2844350044344728,0.48038086413938835,0.5648267548504029,0.6098170361127969,1.0,0.6721604836586899,0.22837376013012248,0.6611873916939219,0.4023832333936841,0.1386021479401327,0.1873709977893209,0.551744588126146,0.22083063563735036,0.314138719533513,0.760875809489636,0.7342886989304477,0.3177033535201339,0.7399026131732632,-0.18350483774186196,0.4062360688088511,0.571675567105915,0.5808405221849295,0.3619058595902276,0.5338970187433106,0.13239384042421024,0.6383828531427054,0.24668736068378097,0.48209372031163134,0.6988100180780015,0.6492983641576148,0.09719655583626087
Parietal_Inf_L,0.24876370412374646,-0.0193539024274895,0.5482769496769967,0.1339515260606153,0.13919204914152145,0.5973800547931467,0.6568159562706187,0.40066487419056523,0.6721604836586899,1.0,0.4619613012632719,0.4064497769787155,0.28314418902044597,0.3711769125081179,0.07275843839549563,0.21781735787550596,0.4449267594799201,0.31501808497690464,0.43340866256435406,0.609040446304724,0.47910694298886863,0.8211725476581452,0.19907564877568437,0.030276932121056845,0.7894465111468286,0.3726466656478422,0.23990113466074614,0.3147541523350281,0.1982309467265401,0.7494779999459641,0.2255929274480884,0.42525497060198747,0.3831727083523523,0.3890674631699805,-0.1755418327519231
