,Occipital_Sup_L,Cerebellum_8_L,ACC_sub_L,Precentral_R,Heschl_L,Temporal_Pole_Mid_R,Vermis_10,Red_N_R,OFCant_R,Hippocampus_L,Thal_AV_R,Frontal_Inf_Oper_R,OFCmed_R,Frontal_Sup_Medial_L,Thal_IL_R,Cerebellum_4_5_R,Lingual_R,Cerebellum_Crus2_L,Thal_PuL_L,Thal_LGN_L,Thal_LP_L,Thal_MDm_R,OFCpost_L,OFClat_L,Angular_L,Frontal_Inf_Oper_L,Calcarine_L,SupraMarginal_L,Vermis_9,ACC_sup_L,Angular_R,Cerebellum_3_R,VTA_R,Precuneus_L,Temporal_Inf_R,Calcarine_R,Frontal_Sup_Medial_R,Cerebellum_Crus1_L,Thal_MDl_L,Precuneus_R,Thal_Re_L,Parietal_Inf_R,Thal_AV_L,Cuneus_R,Hippocampus_R
Occipital_Sup_L,1.0,0.3290789742873456,-0.047181774405629366,0.222978808565545,0.24094872496884986,0.11645260914580141,0.1347243604889231,-0.10492330489899816,-0.09339442567590403,-0.06299595932075897,0.44600818187181596,0.3771041599154527,0.17409305364738117,0.4130194781733936,-0.023365928733536483,0.2921212547980832,0.5142905688908259,0.29550081419222884,-0.2623955457764663,0.44722870311362467,-0.20740215933165665,0.16033951679419145,0.04465055802145029,0.22466444775010688,0.7469536241170207,0.2603050105090496,0.471960701267092,0.570744941485824,0.5515990284204905,0.27668074151423855,0.8006433050611584,-0.007173819410145632,-0.3907253572621258,0.6886049708881556,0.2685057684975228,0.48817792611208,0.397147232824516,0.18780897211781442,0.06061823587020918,0.6311288894792423,-0.13714170334056314,0.5347564044275485,-0.2021055931115357,0.7255866173762836,0.22404387640723333
Cerebellum_8_L,0.3290789742873456,1.0,-0.09288373820825899,0.15845417434646195,0.37639033509126996,-0.15559142386017832,0.06719219331844398,0.1084085262456671,0.15429901698334278,0.0603234027046953,0.2501772430001236,0.32154098177645474,-0.11760824036968838,0.31858681913216447,-0.056236229858148704,0.22794376089301188,0.5430168903066759,0.5350038980621333,-0.17157964270785916,0.09444383549428287,-0.17464020282486176,0.12772870218412447,0.06732754114059632,-0.04047241070758244,0.310132580697566,0.05982377233651849,0.5453058878990865,0.4110458697569199,0.6206100764387111,0.1632571578870372,0.25823462763589833,0.13699150877313604,-0.05487061155012757,0.2558793634818649,0.15179416654903172,0.5613108983022471,0.3414241817016063,0.6497565241637885,-0.005115191869210508,0.3290373482613147,0.09234937706651263,0.14020768592525937,0.0015114340073046192,0.22665184857202744,0.1509972642850863
ACC_sub_L,-0.047181774405629366,-0.09288373820825899,1.0,0.02676403244856348,0.32269131255855765,0.17125564460648718,0.28245694608064836,-0.23462317428413323,-0.025328689552129746,0.423514220266629,-0.2498464025860854,0.39934426024220065,0.012748444595875543,0.20580034184496004,0.12378702731926985,0.10830631396097504,0.015496718609297438,-0.04174918105727263,0.06032738498425397,0.21083492539768486,0.5052047454352134,-0.0033320353497672886,0.5455094210287615,0.1711141632357629,-0.12762746070125883,0.22652123921184975,0.14331059234770932,-0.08182636974286467,-0.08939749725934906,0.25481793984468926,0.029268335293902676,-0.02720828787431512,0.1934161605671324,0.040070673526385124,0.10763094028446103,-0.02027160429407941,0.21323230613917052,0.03028484235187146,0.36180470769081696,0.08042956394290342,0.009168804715372614,0.08118495702898966,0.012723662000345375,0.04824356993680616,0.4976488774606986
Precentral_R,0.222978808565545,0.15845417434646195,0.02676403244856348,1.0,0.25113562430941966,-0.2626013197143573,0.5190553859880048,0.19066885791850713,-0.10676743255291189,0.6025153290240326,0.12416852632862176,0.44760802097777336,-0.07513102104973318,0.46147221224117224,0.4001983465405985,0.7702726340701668,0.4533908103502811,0.4476203353697956,0.30994646904426015,0.1148613748385915,0.37668686624437997,0.375066781694476,0.26891188367991625,-0.10314069629757981,0.2527581435069784,0.6698094456787534,0.5149734841881527,0.4222579158402958,0.31422005311268647,0.789953425593577,0.5418960187005831,0.6784804885430442,0.16320902323129646,0.7169637502962458,0.34080483868392625,0.5092235404836528,0.4687091365483263,-0.19446752652370008,0.48741251477968667,0.6374972653391744,0.11316567271312927,0.7782535352479379,0.41934513089080117,0.662023126017767,0.2440434052790787
Heschl_L,0.24094872496884986,0.37639033509126996,0.32269131255855765,0.25113562430941966,1.0,-0.07077162938928112,0.4107946855083612,0.0860664433367119,-0.2726567171689548,0.38515403380956054,0.22404592749254712,0.6476104652968028,-0.16107729107370783,0.47752985030936485,0.059483653082714166,0.4405242269207834,0.41595795407457165,0.08860856903829116,0.22890015043116207,0.36059774130692346,0.28986773009562256,0.2228762014876942,0.6306959231526884,0.35620143174406604,0.11615593470969637,0.5770346573132374,0.6142172296144419,0.21508037493046164,0.43423802962946895,0.4129474524014989,0.42650006903433235,0.2460016452582372,0.09866055774509458,0.24672144564425008,0.2767835976834359,0.507104328856071,0.42976018739622385,0.39922856995118433,0.47319038564526406,0.4366180719274162,-0.04981453902582008,0.3275276797377098,0.0799500390704395,0.31811326264342465,0.4829524297979741
Temporal_Pole_Mid_R,0.11645260914580141,-0.15559142386017832,0.17125564460648718,-0.2626013197143573,-0.07077162938928112,1.0,0.19565406538344968,-0.22217771337312836,0.18944744839310937,-0.22410308141354784,0.042867202161574816,0.19128706959987912,0.37986260640314207,0.1948380678942277,-0.10950592429948758,0.17434017634480836,0.30611430369192383,-0.044250696822070945,-0.2034677302998849,0.3536360207128293,-0.03172431107303733,-0.02727914884855554,0.02410864523890866,0.16259490815264233,0.33614182906309203,-0.12210615697219104,0.0595363923862928,0.1118077119354681,0.13341577448637423,0.05992633181291704,-0.07243258033088207,0.07843231262316795,-0.18777868242249196,0.0750493976515645,0.3877542569528803,0.14674034023649643,0.08079979844545136,-0.035752600679653454,-0.25800228450775475,0.09300489246665584,-0.2873633064908792,-0.3629025977627624,0.0027936652017785317,-0.10285696543590069,0.4701433630900745
Vermis_10,0.1347243604889231,0.06719219331844398,0.28245694608064836,0.5190553859880048,0.4107946855083612,0.19565406538344968,1.0,0.19969162354711148,-0.07880581278879141,0.5031878236726324,0.04622984583988219,0.5561536265890034,0.13730787911985531,0.45080476213183596,0.19031807016718272,0.7603412922174604,0.606102165954646,0.08839504243415454,0.2603809339035969,0.4414207997212205,0.3170272984924723,0.033986621612751726,0.30411157063172856,0.2907367296363838,0.2763083256510077,0.6583051163351428,0.5799968531452573,0.41923223238617047,0.26574766050189746,0.606723371861223,0.2894669382302838,0.6902502392599895,0.029638523907989756,0.4943609103026267,0.5590285991762965,0.49933348235860636,0.3290745973893274,0.06971237116405474,0.40822083484364613,0.49566890984008155,0.15066176002171322,0.30794543805699526,0.42592903528504267,0.3628331593426325,0.6551905625900866
Red_N_R,-0.10492330489899816,0.1084085262456671,-0.23462317428413323,0.19066885791850713,0.0860664433367119,-0.22217771337312836,0.19969162354711148,1.0,0.056740507420094455,0.23614578668769676,0.03427487174206548,0.0031312211044134293,-0.11088554765780224,0.10514450692649717,0.43502558187118123,0.15796844385325554,0.06553253585820096,-0.1458341430894711,0.2531190574015168,-0.038217149598083464,0.10645712792303139,-0.14540717074844633,0.05530024933464991,-0.056409046861178334,-0.1114711996259635,0.3524593811825135,0.03833049512678572,0.09982733837636651,-0.06825284784805882,0.19428860905158948,-0.04522543877194824,0.32950772118481897,0.060687057379802796,0.05115644536100822,-0.13346040819706184,0.016372987671945293,0.14541358413651154,-0.051184333536802684,0.3593330975449625,0.05895711230404159,0.37749236575077827,0.07153671631548135,0.15766350997095727,-0.05079754584975861,-0.0868354129636611
OFCant_R,-0.09339442567590403,0.15429901698334278,-0.025328689552129746,-0.10676743255291189,-0.2726567171689548,0.18944744839310937,-0.07880581278879141,0.056740507420094455,1.0,-0.035976669753584566,-0.18402722525956078,-0.14787421144218152,-0.026014711951207636,0.2198082533364988,0.02379276037098438,-0.06191981751560946,-0.047065913753865186,0.13122199465710832,-0.039313110906380025,-0.29390972594955345,-0.01806610081708887,-0.007906786029029991,-0.08898661126837654,-0.32327054187147225,0.030491525070737654,-0.3418645758956155,-0.13280019425141038,0.0721351850794229,-0.12748565528195796,-0.0656497271401379,-0.36820594441807986,0.11358631090864009,0.22644369271757972,-0.08979116292414241,-0.007830016090931558,-0.11010367007788328,0.1898765176400478,-0.05952640679516642,-0.1997183091678875,-0.22184959465084544,0.18306014568122495,-0.3446519051462848,0.10101583277942981,-0.2079059711065414,0.09534810484388342
Hippocampus_L,-0.06299595932075897,0.0603234027046953,0.423514220266629,0.6025153290240326,0.38515403380956054,-0.22410308141354784,0.5031878236726324,0.23614578668769676,-0.035976669753584566,1.0,-0.06963154586479908,0.2676353702152682,-0.16640123979978177,0.36738432615144356,0.45027084214764107,0.4482287564217001,0.1498188607350437,0.1549995144395632,0.4195759069003833,0.11940070719282214,0.5912409433197777,0.2149920438896656,0.5329590437261911,-0.08099039667601782,-0.16604273332021235,0.5599259160562935,0.25320837368143684,0.10162507339362718,-0.01025481395094679,0.5848621432471063,0.1792382326336933,0.47149564622662155,0.19353586817885315,0.31388821523526034,0.18706824255774487,0.08957463569204273,0.36454713972181496,-0.1422557861544003,0.548307600272568,0.24912916851662753,0.27502012970700995,0.5219304942623934,0.27037877571684393,0.24329411379622082,0.30134508758246403
