,Frontal_Sup_2_L,Insula_R,Frontal_Sup_Medial_R,Thal_PuI_L,Cerebellum_3_R,Olfactory_R,Fusiform_L,Frontal_Inf_Tri_L,Precentral_R,Cerebellum_8_R,Thal_LGN_L,Temporal_Sup_L,Thal_VL_R,Thal_LGN_R,Amygdala_R,Frontal_Inf_Orb_2_R,ParaHippocampal_L,Thal_AV_L,Precentral_L,Vermis_4_5
Frontal_Sup_2_L,1.0,0.6364971055876886,0.6132733280098168,0.29836716972091226,0.6411265173524213,0.1971761756351045,0.6054232542247077,0.7854867122991547,0.8631903422563107,0.17290445072140223,0.37470390648542373,0.6557708805102141,0.766149554888058,0.3219372714682507,0.1881476320788393,0.42811798605323537,0.5218173162242404,0.40971103387388613,0.5859235188517551,0.8226898372759543
Insula_R,0.6364971055876886,1.0,0.5463438541230479,0.1278411604802018,0.4792577404076151,0.6032507017695147,0.6269055302267649,0.6792401067217946,0.5794393541173372,0.41639242104049284,0.2487776435765544,0.6457315616135743,0.6578391254448152,0.11124090062265649,0.21417039068389723,0.3989788377813337,0.20408333167807527,0.28056919657021645,0.44874817277646806,0.6675351984288154
Frontal_Sup_Medial_R,0.6132733280098168,0.5463438541230479,1.0,0.18523511830543882,0.3395526840213574,0.3699011690472383,0.4521381005993625,0.4846065323246037,0.4687091365483263,0.24844638702603616,0.2633443324151507,0.5515129247558207,0.5981256765228868,0.1448478279961855,0.14141873240791514,0.23876735164971355,0.2990701969911918,0.24173344680574396,0.15003068244285828,0.5705147712533621
Thal_PuI_L,0.29836716972091226,0.1278411604802018,0.18523511830543882,1.0,0.1812878758707161,0.16653695736780663,0.247253015255127,0.2293883456730093,0.05393742500470228,0.4116856031792625,0.5636070429582226,0.35732786044849346,0.3065116933913546,0.32326772116580715,0.1263022247638434,0.20696769654183683,0.2656304977277217,0.014037645467640303,0.09760020852619754,0.25670461927542143
Cerebellum_3_R,0.6411265173524213,0.4792577404076151,0.3395526840213574,0.1812878758707161,1.0,0.07542740930181864,0.20662905145045887,0.6735919209173377,0.6784804885430442,0.22117736866042936,0.14998124224668208,0.306743697700811,0.5162880305383795,0.17957760890292834,0.5567037213736491,0.4194248609783721,0.31398469756986275,0.5065119812075749,0.6905754522102867,0.6164941508209781
Olfactory_R,0.1971761756351045,0.6032507017695147,0.3699011690472383,0.16653695736780663,0.07542740930181864,1.0,0.3703523112994445,0.3671622443747769,0.037956215266471915,0.3262954482708702,0.20114558540248917,0.411789177463775,0.29617454081380723,-0.007569443025916137,0.15845531856831982,0.26127543143347937,0.05012878141716278,0.09351682912701569,-0.023635985646837852,0.22811060662810365
Fusiform_L,0.6054232542247077,0.6269055302267649,0.4521381005993625,0.247253015255127,0.20662905145045887,0.3703523112994445,1.0,0.4713014657189462,0.4787274942015288,0.4397228276940223,0.4842886545566531,0.8166546650709509,0.5965603080406903,0.3468260699610213,-0.131660638593238,0.2214224289262926,0.39567572362541514,0.10374276382374681,0.18692922461200573,0.721121024702361
Frontal_Inf_Tri_L,0.7854867122991547,0.6792401067217946,0.4846065323246037,0.2293883456730093,0.6735919209173377,0.3671622443747769,0.4713014657189462,1.0,0.7863456668733324,0.13706554087973638,0.14352431829042028,0.6198556063029492,0.6302759169582774,0.13890517415250442,0.3652753450931445,0.3731151934667456,0.2764530447512139,0.397249981004966,0.5169972736364346,0.7225100780695677
Precentral_R,0.8631903422563107,0.5794393541173372,0.4687091365483263,0.05393742500470228,0.6784804885430442,0.037956215266471915,0.4787274942015288,0.7863456668733324,1.0,-0.05783567733043408,0.1148613748385915,0.45047804931832075,0.6755665271089987,0.14282939849237244,0.19975304560320695,0.376772248414334,0.38691580447125723,0.41934513089080117,0.6379190364571391,0.7953618557394257
Cerebellum_8_R,0.17290445072140223,0.41639242104049284,0.24844638702603616,0.4116856031792625,0.22117736866042936,0.3262954482708702,0.4397228276940223,0.13706554087973638,-0.05783567733043408,1.0,0.46026510952968713,0.5229310598302839,0.30652928207355484,0.16474066878237723,0.29049739542873665,-0.01818454137686658,-0.09404052462133727,0.1783923931878278,0.2652337868830727,0.3726279540977169
Thal_LGN_L,0.37470390648542373,0.2487776435765544,0.2633443324151507,0.5636070429582226,0.14998124224668208,0.20114558540248917,0.4842886545566531,0.14352431829042028,0.1148613748385915,0.46026510952968713,1.0,0.4781526770144837,0.3857875511330123,0.478726299411068,-0.12445776067085534,0.2485517202817192,0.48957536760403275,0.011568803405755494,0.05482136329380581,0.2939920132438824
Temporal_Sup_L,0.6557708805102141,0.6457315616135743,0.5515129247558207,0.35732786044849346,0.306743697700811,0.411789177463775,0.8166546650709509,0.6198556063029492,0.45047804931832075,0.5229310598302839,0.4781526770144837,1.0,0.5794049535283312,0.25873510370813957,0.06796590165142279,0.08418714396583234,0.2294639867822691,0.1409935411878494,0.20181579880971443,0.7141843704088897
Thal_VL_R,0.766149554888058,0.6578391254448152,0.5981256765228868,0.3065116933913546,0.5162880305383795,0.29617454081380723,0.5965603080406903,0.6302759169582774,0.6755665271089987,0.30652928207355484,0.3857875511330123,0.5794049535283312,1.0,0.447367270324162,0.14342876578585073,0.5005335595148083,0.4960296600582851,0.43531196620341317,0.4397099248936264,0.7118554771107891
Thal_LGN_R,0.3219372714682507,0.11124090062265649,0.1448478279961855,0.32326772116580715,0.17957760890292834,-0.007569443025916137,0.3468260699610213,0.13890517415250442,0.14282939849237244,0.16474066878237723,0.478726299411068,0.25873510370813957,0.447367270324162,1.0,-0.22533762569494586,0.52202023211702,0.6462618782899954,0.06479137106139325,0.07064129470464116,0.23265881689137333
Amygdala_R,0.1881476320788393,0.21417039068389723,0.14141873240791514,0.1263022247638434,0.5567037213736491,0.15845531856831982,-0.131660638593238,0.3652753450931445,0.19975304560320695,0.29049739542873665,-0.12445776067085534,0.06796590165142279,0.14342876578585073,-0.22533762569494586,1.0,0.06215985825714179,-0.22530749495166774,0.3870565044084639,0.45974348258901443,0.25710666110824637
