,Occipital_Sup_R,Thal_AV_L,ACC_pre_R,Cerebellum_10_L,Cerebellum_4_5_L,Cerebellum_8_R,Thal_MDl_L,Frontal_Inf_Tri_R,ACC_sub_L,Hippocampus_L,Thal_MDl_R,Insula_R,Frontal_Mid_2_L,Cerebellum_3_R,Frontal_Med_Orb_L,OFCpost_L,Thal_VPL_L,SN_pc_R,OFClat_R,Temporal_Pole_Mid_R,Rolandic_Oper_L,ACC_sub_R,Thal_IL_R,Frontal_Med_Orb_R,Temporal_Sup_R,Temporal_Inf_R,Caudate_L,Frontal_Sup_2_L,SN_pc_L,Vermis_4_5,Vermis_8,Vermis_7,ACC_sup_L,Frontal_Inf_Oper_L,Thal_PuM_L,Thal_PuL_L,Vermis_1_2,Pallidum_R,Vermis_3,Cerebellum_4_5_R,Thal_Re_L,Raphe_D,Angular_R,Cingulate_Post_R,Cerebellum_9_R,Fusiform_R,SupraMarginal_R,Occipital_Mid_R,Temporal_Pole_Sup_L,Precentral_L,Pallidum_L,OFCmed_R,Amygdala_L,Thal_PuL_R,OFCant_L,Amygdala_R,Thal_VL_R,Heschl_R,Cerebellum_Crus1_L,Cingulate_Mid_L,Thal_MDm_R,Lingual_R,SN_pr_R,Thal_MGN_L,VTA_R,Cerebellum_7b_L,OFCant_R,Temporal_Sup_L,Thal_AV_R,Parietal_Inf_L,Frontal_Sup_Medial_L,Thal_LP_L,Occipital_Inf_L,Postcentral_R,Red_N_R
Occipital_Sup_R,1.0,-0.06552500912355015,-0.10760310776849433,0.3151328208177837,0.4296757085674878,0.3079681948837409,0.2029875542780925,0.0918794780352379,0.03416813723226647,0.07170956051181207,-0.11113194306806833,0.36243657279521685,0.24980936289868977,0.08744387044560793,-0.13840964947260972,0.20903762252967237,-0.04459989149396955,-0.1519576452648975,-0.11743556757945472,0.014751522597748448,0.3090632995118959,-0.11084791866841935,0.02201632078455336,0.13464474257938217,0.32777298794531723,0.4395725549667916,0.28244774595779537,0.5272052867760848,-0.08179204265643938,0.555915529681214,0.21493795597457943,0.2906238672954623,0.4204353673820271,0.3925454348088494,0.05365060675205461,-0.10761811936199642,0.13165341918231344,0.1506913953788834,0.15211287429678297,0.45123367784120644,-0.17993740963779586,0.5174044102386427,0.9223191981302478,0.1733638958816544,0.059524746040057634,0.496817315512754,0.48507528836265096,0.9516168199954259,0.39668531772771615,0.22111738358485714,0.21177994251508506,0.1492991837763852,0.49286532080564366,0.17646647372057378,-0.2804641513962945,-0.14002671496227936,0.33927822864153895,0.30914282183084163,0.28411184348879825,0.3754295337469539,0.296577852438015,0.599086768837587,0.06612331410064187,0.1848452704626147,-0.24716165387645728,0.016323024319990366,-0.24832473581031164,0.6169950502889807,0.5100938392597648,0.5579281773579021,0.4423541398713105,-0.10243594996225969,0.638870047735534,0.6180273658317972,-0.09291671637133025
Thal_AV_L,-0.06552500912355015,1.0,0.32554294976546444,0.28765193539443856,0.45490946710275776,0.1783923931878278,0.1853563217148574,0.4590124722990066,0.012723662000345375,0.27037877571684393,0.22317240072224034,0.28056919657021645,0.5316753998193621,0.5065119812075749,0.1362854663454589,0.09151440381536352,0.37658606713521703,0.35976921536704476,0.06621556241678593,0.0027936652017785317,0.3510218048795724,0.055796522591383964,0.264435195317169,0.03903096546466847,0.2666623084322255,0.28178207245045667,0.45924272125967663,0.40971103387388613,0.1331524207727439,0.36647461307082246,-0.013561664547658798,-0.03870004592161613,0.4061660927517085,0.2327502283577112,0.2792012292252919,0.28834426501810934,0.3032863055017718,0.12170648886534478,0.5351517925580785,0.44113120450829496,0.18809926144597605,-0.10714205433774815,0.02137570294390334,0.30547017731760917,0.011294002446947254,0.3654010785196514,0.3345986905896098,-0.13293575833251092,0.12239136178674173,0.5037181118383174,0.4325854196738509,-0.08641081370348958,-0.22190209065170668,-0.031146124874132354,0.17391202390491334,0.3870565044084639,0.43531196620341317,0.2509221563422254,-0.12329980171835722,0.5083355460888315,0.16038046486298432,0.22404385833122736,0.24378304485069852,0.02822969806758532,0.28596539400028614,0.19577951889824233,0.10101583277942981,0.1409935411878494,0.03425026648947368,0.3396365177266892,0.23267020791973356,0.19736095989411953,-0.15466222747499633,0.2938065892959895,0.15766350997095727
ACC_pre_R,-0.10760310776849433,0.32554294976546444,1.0,0.49214487509776966,0.46015482025745047,0.02622804679806603,0.4207342248806688,0.6575234793785113,0.16563921369507134,0.44397583006432645,0.56051784527103,0.4376508084162141,0.4481592935336037,0.5204078533369811,0.3377578973153649,0.5877966268364399,0.6777169598942323,0.5573611472756207,0.4677003448540993,-0.0542173104214142,0.6081108925978037,-0.10667828163784654,0.3888881277259289,0.1333707450496929,0.3228332167710167,0.13700239924880386,0.4266029450867314,0.43350967935765233,0.09859222744818669,0.3693095947300136,-0.19426739287578548,0.13091638193875615,0.5349094949291362,0.36718662212293063,0.41842005148316636,0.5018168951164923,0.30701134933235036,-0.08499927592395233,0.5293406169002206,0.4614902815830894,0.030830576225662126,-0.2431910448614954,0.02667614122543492,0.5136343374354708,-0.20321200943302503,0.1844635690095443,0.44591566139852823,-0.19609816073872682,0.4774595155761868,0.3149973035224961,0.3263248734148752,-0.16918101817590714,0.023289985945261826,-0.07605839967817976,0.622263105047327,0.4872527253409025,0.32842595400887786,0.45713507955125116,-0.2548155629480578,0.3529069156573815,0.29140023046392793,0.09908115408029995,0.14045245413546817,-0.07517503680338128,0.4666145944828574,0.2843307005438628,0.20624779736759086,0.22858085018822005,-0.06973428115735732,0.13579735670045348,0.5307592899060599,0.48808506599998136,-0.13485898694831022,0.36671156151571277,0.32261814926134746
Cerebellum_10_L,0.3151328208177837,0.28765193539443856,0.49214487509776966,1.0,0.7479259925757665,0.17131982839998702,0.5967183894916048,0.6142719539184452,0.2917489048695903,0.6790250075449967,0.25759945505142545,0.5935149880086347,0.5743689888681474,0.5769418156926459,-0.0015084109819800298,0.5630861194915276,0.5735634689694635,0.4269913934013375,0.30546811278291625,-0.10321960996305947,0.5322171304556835,0.07535051617193661,0.42303457511540826,-0.014935697803262453,0.4113028678180456,0.3379480896697926,0.7193479628110608,0.8003434481513265,0.28878454690570826,0.6941859471616395,-0.08821226276839171,0.14044314770477637,0.7325380936647031,0.7149666074143293,0.6844049433622185,0.5130800601091362,0.5352836589516199,0.3954973451564073,0.6159990637870729,0.6747301261234308,0.19611456073417444,0.1038275145169187,0.44543864396027505,0.5947145776545192,-0.07703987733484403,0.5847937140968016,0.7350124820506119,0.19935980430684028,0.7308967249079711,0.3348387691841275,0.48767901698241006,-0.004743351121290654,0.2364964407356748,0.061498816761275395,0.3818794715959881,0.19218780368305854,0.6705289648627907,0.6872936410191209,-0.06421055076224588,0.6211631290653415,0.21545304816499766,0.44155351428355755,0.38763812779494916,0.10731505889945556,0.17227369179473703,0.14795823735911484,-0.15490928339808918,0.5979060937494934,0.0015543690060617896,0.2561885834871077,0.5496853920499564,0.6093031820785535,0.12408834355740235,0.6950036841712129,0.24677383879310724
Cerebellum_4_5_L,0.4296757085674878,0.45490946710275776,0.46015482025745047,0.7479259925757665,1.0,0.3789366590900608,0.4091259848788918,0.7452625032486372,0.19690862328537312,0.5091997133150425,0.1433493825987467,0.6854179158368366,0.8411275537109019,0.7700621046238362,-0.05072802291554352,0.45475024872931297,0.47041066328037856,0.35333946618890816,0.016832803892531795,0.1451024513137334,0.5930084302031342,0.11047603273286327,0.30245153657813134,0.11166616255632668,0.627477005514373,0.6183742633282617,0.8123820766490909,0.8389855564308563,0.19071736388344998,0.8493188012839298,-0.07000110401441711,0.07638064362521096,0.7812407923466989,0.7162271855102698,0.5840395374412247,0.3767700374984581,0.5857394228057128,0.36135249866285,0.7549523085365413,0.938256209305098,-0.003442187961303058,0.2467684762067831,0.520913258919644,0.6569069309496895,0.022941704245613346,0.8346898388753513,0.7101699002325373,0.3091427615428426,0.5678914402946759,0.711978818093007,0.6202425316241813,0.09962377559892004,0.1044405156787636,0.12010711324842381,0.1636116597705655,0.3376858373520933,0.7321120384350269,0.6213700851754365,-0.027596492965253062,0.7591011621547306,0.28661649142012935,0.7344952594841149,0.42699043365070016,0.06860923940740293,0.16632419938396392,0.17537015208379186,-0.11980021767947704,0.636042669410352,0.10245954706658499,0.5959164894432827,0.5558913394818261,0.43585320207766853,0.21957465117982566,0.7240825710039122,0.13198189987702363
Cerebellum_8_R,0.3079681948837409,0.1783923931878278,0.02622804679806603,0.17131982839998702,0.3789366590900608,1.0,-0.009920656385391522,0.17598897803781943,0.12638782548843386,-0.017537777929885284,-0.14975568052698165,0.41639242104049284,0.32063702422428536,0.22117736866042936,-0.13913432730130193,0.11490369316273859,-0.015600112517815725,0.07955208335712655,0.05556226111344913,0.4589348809048027,0.3095418214530098,-0.1333085133015252,-0.11040592164669435,0.39271702327275365,0.6140316012008076,0.6220250130676677,0.20377912777474375,0.17290445072140223,0.17900909584666072,0.3726279540977169,0.6376841605689002,0.48090908668874377,0.237237687421901,0.18112849399171757,0.022081304485006226,-0.015756501296761344,0.08467533212238974,-0.19664650370737335,0.5473337439187741,0.42144208377568604,-0.15958458602776987,0.28827042353344184,0.15746438322296363,0.07773858814998555,0.7881836862479558,0.4668023777979688,-0.07100076837058608,0.3158323905698907,0.08424391230115708,0.2652337868830727,0.022097699062433925,0.0754569955902214,0.3209627064971622,0.6396638953029731,-0.21006442802767214,0.29049739542873665,0.30652928207355484,-0.18949159940960705,0.6295378246369442,0.19741578087495365,0.11688964687867259,0.6990020053317784,0.008698773352422572,-0.0016435902713375495,-0.05890691715372648,-0.16703890352390446,0.010580072922671206,0.5229310598302839,0.3034774770797323,0.3274500781363866,0.30910748397103627,-0.02706737920394182,0.5756182921003183,-0.020518019504882593,-0.025607764798879978
Thal_MDl_L,0.2029875542780925,0.1853563217148574,0.4207342248806688,0.5967183894916048,0.4091259848788918,-0.009920656385391522,1.0,0.4871460064970404,0.36180470769081696,0.548307600272568,0.3525527345721992,0.5014721707673709,0.2786677112431754,0.29291654858888816,-0.08275914059626155,0.5803200112385729,0.3986381411908864,0.4005942850495725,0.24763744237031443,-0.25800228450775475,0.4872408312279631,-0.08063701350839521,0.2943783941649277,0.2094037485275138,0.07028964378903613,0.07077571040392058,0.5373230336699351,0.5647590890959152,0.27072899646892934,0.45332860904536193,-0.05263480024191736,0.04951040648047053,0.503776424884973,0.6888729082087309,0.4719747951124012,0.32494608526356317,0.37621817392635465,0.19731085170338725,0.40360913256349107,0.3763673685070369,0.15773004778048977,0.09637370067327898,0.3098616746728277,0.3861250701075727,-0.13456571138016385,0.14919050212548468,0.5059941707190351,0.061340857627351385,0.5642949620264334,0.08652386724201398,0.4039543694053969,-0.16076948608466063,0.2364395879045632,-0.20185100003584422,0.41007387597890205,0.13909712952265058,0.5383935500309782,0.5966318339753743,-0.07165979615254482,0.4377244813050199,0.18472720629289777,0.0806276436448868,0.513724287185184,0.030723914799364937,0.28677333480591893,0.0009101100042861087,-0.1997183091678875,0.4266821755727511,-0.033747597364169546,0.027889119637832503,0.32561444155046154,0.5771543244014745,-0.03852254345543097,0.5331817284724997,0.3593330975449625
Frontal_Inf_Tri_R,0.0918794780352379,0.4590124722990066,0.6575234793785113,0.6142719539184452,0.7452625032486372,0.17598897803781943,0.4871460064970404,1.0,0.28045848583208965,0.5296940473926584,0.34977486385129297,0.7189376137154119,0.7301475959636415,0.7311991057528747,0.08173680264834363,0.4596843077675002,0.4968074601542487,0.534756352262623,0.24327930254460145,0.1638712731555806,0.6378490819259443,0.19490979033960623,0.4086477923123565,0.28133584508895987,0.5778982495665428,0.3722556785086636,0.6427955138280245,0.6177273488339206,0.17148037907760383,0.6006994989995972,-0.23357042486572724,-0.0477840591298642,0.7088009432837197,0.6204341422640343,0.4235518796703158,0.28243449432685275,0.5452596830325114,0.2414390263510804,0.7298294553889255,0.7513939488941486,0.0995014817645973,0.0747933547735139,0.16862334230814577,0.5508769244701474,-0.042234349742059155,0.5337384533180232,0.57340224581724,-0.029491555258612526,0.35832375994703847,0.5693878290159855,0.5197530331805483,-0.02690571714176979,-0.1116419753967792,-0.09431288328081074,0.41606890149220954,0.4702305186718192,0.5884196627881345,0.4718191686852227,-0.1839369896480404,0.5811587320078034,0.2646381785307681,0.44852445048648937,0.5676137306486071,0.13560771517793377,0.39017850535371273,0.3281965756124548,0.12784948110009586,0.33601729249035883,-0.15343738857676922,0.35447674122613704,0.5251348595373535,0.4611031287122199,-0.10342439092870688,0.5471479787573833,0.3076867657719087
ACC_sub_L,0.03416813723226647,0.012723662000345375,0.16563921369507134,0.2917489048695903,0.19690862328537312,0.12638782548843386,0.36180470769081696,0.28045848583208965,1.0,0.423514220266629,0.01191078065985475,0.4565818679512079,0.0773450683398821,-0.02720828787431512,-0.09130185713193045,0.5455094210287615,-0.11960995932230879,0.181882765856255,0.2512384123461873,0.17125564460648718,0.0687351577835723,0.35383756547870154,0.12378702731926985,0.2288156353985165,0.21423983894613793,0.10763094028446103,0.42367087467364517,0.19920500676895342,0.42292594290300206,0.13705630856274878,-0.008251834340590994,0.0048731872712220745,0.25481793984468926,0.22652123921184975,0.1447444468521398,0.06032738498425397,0.1364142645050264,0.09171306217539774,0.18012927313149932,0.10830631396097504,0.009168804715372614,-0.06975729236754451,0.029268335293902676,0.1289469430516405,0.1667241955831725,0.09796138634683663,-0.017526600380924195,-0.02386068202143302,0.31222057380505064,-0.1476485808658394,-0.2481311591025451,0.012748444595875543,0.2032856681761446,0.12008988097339786,0.4665553851559449,-0.22025840656844103,0.2811193321585861,0.046491449442058845,0.03028484235187146,-0.04151114633538403,-0.0033320353497672886,0.015496718609297438,0.21082640665637947,0.07316842093584652,0.1934161605671324,-0.22191645757654715,-0.025328689552129746,0.36823759669751904,-0.2498464025860854,-0.19840189953120205,0.20580034184496004,0.5052047454352134,0.05261216538650772,0.06077791484951788,-0.23462317428413323
Hippocampus_L,0.07170956051181207,0.27037877571684393,0.44397583006432645,0.6790250075449967,0.5091997133150425,-0.017537777929885284,0.548307600272568,0.5296940473926584,0.423514220266629,1.0,0.42267166178160426,0.5601381908205463,0.43827483594197914,0.47149564622662155,0.18094602167727256,0.5329590437261911,0.5842281276722381,0.3211846255610445,0.3226411954022197,-0.22410308141354784,0.49355417460562356,0.13147882435954347,0.45027084214764107,0.01786979186888545,0.20854705119227002,0.18706824255774487,0.6662583991320055,0.6167274899844374,0.22818085694476004,0.4750576824979914,-0.18805175029588342,-0.0700526906575425,0.5848621432471063,0.5599259160562935,0.6288209615551889,0.4195759069003833,0.49227056858292173,0.32505495253594746,0.47488535688010935,0.4482287564217001,0.27502012970700995,-0.10006768375429265,0.1792382326336933,0.4065187343191455,-0.08197327381183472,0.40121279897127726,0.5551841882116957,-0.09671321847956975,0.5835796076758926,0.15971385886514455,0.323163190544538,-0.16640123979978177,0.09209638389490533,-0.12422397896181159,0.5860501195891816,0.22292485483851932,0.5477797289757238,0.5880402272829713,-0.1422557861544003,0.4795431164173953,0.2149920438896656,0.1498188607350437,0.3910963700045097,0.2982530563085014,0.19353586817885315,0.3077163800702257,-0.035976669753584566,0.42853931858562844,-0.06963154586479908,0.02907144295182438,0.36738432615144356,0.5912409433197777,-0.11076002316822066,0.5307938476631842,0.23614578668769676
