,Thal_PuM_L,Temporal_Sup_R,Postcentral_R,Cerebellum_3_R,OFCpost_L,Thal_PuL_L,Cerebellum_8_L,Thal_MDm_L,Thal_LGN_R,Calcarine_R,Parietal_Sup_R,Temporal_Pole_Sup_L,Vermis_1_2,Rolandic_Oper_R,VTA_R,Occipital_Sup_L,Frontal_Inf_Oper_R,Raphe_D,Temporal_Mid_L,Occipital_Mid_R,Olfactory_L,Thal_PuI_L,Temporal_Sup_L,SN_pr_L,Precuneus_L,Supp_Motor_Area_L,Thal_PuL_R,Vermis_9,Thal_MGN_L,ACC_pre_R,Lingual_L,Frontal_Inf_Tri_L,Postcentral_L,Paracentral_Lobule_L,OFCmed_R,SupraMarginal_L,Cingulate_Mid_L,N_Acc_L,Thal_VA_L,Cerebellum_Crus2_L,Insula_R,Cingulate_Post_R,Fusiform_L,Cerebellum_Crus1_R,Red_N_L,Thal_LGN_L,Frontal_Inf_Tri_R,Rolandic_Oper_L,Occipital_Mid_L,Cerebellum_8_R,OFClat_L,Pallidum_R,Olfactory_R,Frontal_Med_Orb_R,Occipital_Sup_R,Frontal_Sup_2_L,ParaHippocampal_L,Temporal_Pole_Mid_L,Thal_VPL_L,OFClat_R
Thal_PuM_L,1.0,0.17635530515299278,0.4862428080735238,0.47167154778959436,0.46375614800863263,0.776449969712946,-0.26047301137804535,0.3424467740457485,0.2684669792622511,0.09872107514420746,0.21478334044160802,0.5450114777348534,0.41390786758939396,0.13331166018437235,0.08502157759169046,-0.07406855547726048,0.1451076176390161,0.025341311900857123,0.1438763727913226,-0.04862180200865986,0.2945369917825862,0.5866112361431114,0.28859188776848516,-0.02210847777323019,0.2843601959785129,0.5325480229617172,0.08990118636954605,0.029867525358822533,-0.07592198665160403,0.41842005148316636,0.299561841880095,0.5589086961087975,0.09079487960659426,0.4270293585408952,-0.00044060012526174204,-0.017614503462484457,0.4758895997075127,0.07670358508177176,0.09581245375325285,-0.16140063928852927,0.28782442748356796,0.44887274304046276,0.22094738653114834,-0.06664887248992227,0.11082755636662923,0.2875597821886398,0.4235518796703158,0.28255144186962394,-0.17793571297425914,0.022081304485006226,0.05645046779055465,0.462649753800717,0.14288056389932335,-0.153384914946148,0.05365060675205461,0.6096770924968347,0.49555157248813686,0.2696400809201231,0.6408397576283403,0.115912584088812
Temporal_Sup_R,0.17635530515299278,1.0,0.2920515970690593,0.5172127174062203,0.2609158637068483,0.06378287949134416,0.2302773619353165,0.3664644317301515,0.3261845008565119,0.5926016683760942,0.12999007832323847,0.20348306078759842,0.34793683600736713,0.7068077703089475,0.00871630717735381,0.3167679581422247,0.5620557222487893,0.3812808731537997,0.17646389296743803,0.31574749312395045,0.2575321776629282,0.3688951916099482,0.4697087549397099,0.29515540246828714,0.5243876043922379,0.3308540668950553,0.4669345457054685,0.4890594518171723,0.30435263180649164,0.3228332167710167,0.5753080525931035,0.3074953405376086,0.4831736487959169,0.31362466360315955,0.27732531272792543,0.4218449571872904,0.3177033535201339,0.3983597059843336,0.4478696843226038,0.287539166102271,0.594633845658078,0.4921980641311131,0.4582350374545773,0.5388514522136776,0.15571838142811154,0.43188777293586655,0.5778982495665428,0.34883925950884975,0.3258660036592083,0.6140316012008076,0.12705548261275199,0.14039823830924003,0.3148876418565679,0.27830198077691265,0.32777298794531723,0.47501231100634056,0.28510941510047244,-0.04069087074837924,0.18990696589345654,0.09284189089391157
Postcentral_R,0.4862428080735238,0.2920515970690593,1.0,0.5399838451267557,0.3373263552001895,0.24513984368552835,0.1387411979657944,0.45488526167828064,0.11596624629149765,0.535109820049131,0.7942272302350193,0.5768115798820922,0.535607742508151,0.2517987602355983,0.08177677369252244,0.4559794301858807,0.5442614578757626,0.25300899179907,0.36611662383206617,0.47844566977849295,0.09030513467127446,0.14648386939442712,0.523251856917405,0.25375681103568803,0.7991798725284321,0.7929832365783617,-0.2389330890013978,0.3718216120646669,0.235540426984849,0.36671156151571277,0.6029775877205198,0.7505485284845819,0.46822823670670927,0.8514781063920877,-0.0536376560454764,0.4679691097555482,0.8140181511425023,0.2893462198695293,0.17639824076607838,0.3852621126741957,0.5850036089710304,0.5660817750973703,0.5012461962275883,0.18643807040872118,0.20012730466986,0.24682759192431314,0.5471479787573833,0.5954629710385267,0.37707148912455923,-0.020518019504882593,0.11311633344982087,0.3461978448760255,0.10115635646962746,0.06753620616569372,0.6180273658317972,0.8793639522487661,0.36763856048940274,0.19298001599991269,0.4837120493827267,-0.028012645213827268
Cerebellum_3_R,0.47167154778959436,0.5172127174062203,0.5399838451267557,1.0,0.20590508251632342,0.3365885554404854,0.13699150877313604,0.43413626435425173,0.17957760890292834,0.5080620110356805,0.1195781618076159,0.32754106718648995,0.6341998448602593,0.4885343669100612,0.14547599069414607,-0.007173819410145632,0.3550421822243069,0.09870357887062821,-0.03210574354782733,-0.008007058149272108,0.10998545788618586,0.1812878758707161,0.306743697700811,0.08386872429482309,0.45450350835666237,0.6363950496533277,-0.07515327010782032,0.2756261517010037,0.11341790934353742,0.5204078533369811,0.5460803489211076,0.6735919209173377,0.6109173474807695,0.5750785841121971,0.03197377932963884,0.38401109839651393,0.6737922302875705,0.11924479303209498,0.4074363987165598,0.25375336824349753,0.4792577404076151,0.6041637351101985,0.20662905145045887,0.16099948092814875,0.3019452426158887,0.14998124224668208,0.7311991057528747,0.605603634312756,0.05975710049093857,0.22117736866042936,-0.044587088056711834,0.2963701967047765,0.07542740930181864,0.03256358811354844,0.08744387044560793,0.6411265173524213,0.31398469756986275,0.26997665878148397,0.5486020998106456,0.07393540060707261
OFCpost_L,0.46375614800863263,0.2609158637068483,0.3373263552001895,0.20590508251632342,1.0,0.44424430916322083,0.06732754114059632,0.28667510141531266,0.16448594161073973,0.22238345202030424,0.2124225854733283,0.7470022685888298,0.22029042327549186,0.34976119763301744,0.3459684658938661,0.04465055802145029,0.43111478486565313,-0.006338730379941504,0.4236754070648336,0.139304031015862,0.7542428717767321,0.3967756533502851,0.5742895266990123,0.40726766416497767,0.14983790052841317,0.1457156199324095,0.1318927582972038,0.16832195671661138,-0.1723287685247624,0.5877966268364399,0.29235883300615584,0.5745617296646195,-0.08880116008169796,0.20385229158888493,-0.039567103863636106,-0.11533391880786587,0.1451151311714048,0.5320290291617343,0.22545147941785904,-0.01537237589592589,0.4868104499627013,0.3263417502174016,0.4175531982001966,0.08502620445537254,0.28404707802913753,0.2647550318172753,0.4596843077675002,0.3578926933897222,0.013521480203069567,0.11490369316273859,0.10055178982503672,0.027181194726369682,0.674076417875093,0.13993562668735987,0.20903762252967237,0.44689304475955277,0.20257976756003876,0.4633873810613626,0.2914191729546496,0.42444125378367603
Thal_PuL_L,0.776449969712946,0.06378287949134416,0.24513984368552835,0.3365885554404854,0.44424430916322083,1.0,-0.17157964270785916,0.17797463773933275,0.10514250329167794,0.061341723490161496,-0.03033393156702005,0.46533238156997697,0.13792573173692926,-0.0381915865654323,0.2848262247978409,-0.2623955457764663,-0.011508041045424305,-0.29497542429892076,0.05211456803282156,-0.15979550190995787,0.32444534315337703,0.43954291855900823,0.17271239622995854,-0.0787857839076765,-0.029850299546250746,0.261285810791203,0.10226480087566002,0.0329913496887069,-0.2614888120744818,0.5018168951164923,0.23420968207896503,0.40713069353058123,-0.07544779633551717,0.2666663268732912,-0.1335604132906956,-0.25056579078022256,0.3049997286570733,-0.010794124089124427,0.07814693096821924,-0.24496136565103016,0.12608378844081614,0.22815928954364015,0.012839739096017596,-0.1139074343870611,0.006070310355785458,0.0053688253995671535,0.28243449432685275,0.23961121645416913,-0.26727459983059615,-0.015756501296761344,-0.04459666066940297,0.16458399046376482,0.05173563527220716,-0.20847734772260926,-0.10761811936199642,0.3429202016809549,0.11874955335687273,0.3491051675729085,0.68784678926855,0.3588985878402331
Cerebellum_8_L,-0.26047301137804535,0.2302773619353165,0.1387411979657944,0.13699150877313604,0.06732754114059632,-0.17157964270785916,1.0,0.032157180947121375,-0.12552182619570784,0.5613108983022471,0.15988022443144173,0.28110116893569026,0.005943987776129874,0.16579422216318843,-0.05487061155012757,0.3290789742873456,0.32154098177645474,0.16760716740737125,0.504062273365785,0.35700834020723515,-0.07344341739035322,-0.037385549906960455,0.4903575798726153,0.23229404646435878,0.2558793634818649,-0.030134322678651994,0.1585017720421416,0.6206100764387111,0.2803704271949329,0.09690345161072662,0.5060818481197309,0.21863060638420492,0.0804859763358223,0.10831865487989101,-0.11760824036968838,0.4110458697569199,0.12741693946391214,0.2294212141396205,0.09470925321713522,0.5350038980621333,0.2498320725507576,-0.04296432186701193,0.4275235309321107,0.3172007955507223,0.0627701034682396,0.09444383549428287,0.09450908534966711,0.38113711185294813,0.5175175058929535,0.4434819103626553,-0.04047241070758244,-0.23785274610906074,0.10082607392795427,0.2043022035232755,0.389162831493005,0.09697067431289765,-0.19007932270976888,0.1347212166771662,0.007555109667267839,0.1990977917628461
Thal_MDm_L,0.3424467740457485,0.3664644317301515,0.45488526167828064,0.43413626435425173,0.28667510141531266,0.17797463773933275,0.032157180947121375,1.0,0.3004364768384706,0.3061207804237919,0.2816723533431536,0.3235566513187992,0.3421129354806854,0.491930407511838,0.2271364719799051,0.13856476492289216,0.45808899707692036,0.3387249453139702,0.161339915851187,0.10806704038101594,0.3735245418009616,0.22322055835253699,0.2778069937377414,0.26961898568936576,0.46559677153430945,0.45768949152110244,0.05823303455771649,0.1450677120435557,0.16970682060113432,0.32747240588823967,0.3717216519768497,0.47338300692877266,0.3390798423795114,0.4952757349340021,0.15481885936130935,0.28817143811825996,0.4869944962556392,0.43904685255624565,0.34537190443723736,0.10509381841378772,0.38734566746314386,0.45170611229109386,0.33342230099522074,0.12591304420137192,0.32297969874007243,0.21930777271142912,0.5738545107090511,0.31752398089084594,0.13371213308239682,0.1529833364756065,0.03393538111686609,0.4389926226842146,0.23836026290631748,0.15915730591907412,0.23731114970930028,0.5413018950810118,0.37965154395936546,0.09405363812702416,0.32493860646549333,0.052108311250218226
Thal_LGN_R,0.2684669792622511,0.3261845008565119,0.11596624629149765,0.17957760890292834,0.16448594161073973,0.10514250329167794,-0.12552182619570784,0.3004364768384706,1.0,0.13772488800808372,0.21595161704837254,0.28265438829337225,0.16063516760152058,0.34539130589907246,-0.2261670727195922,0.23165630979608481,0.13570985417674689,0.24632990681242087,0.25240591369590887,0.20048107683782634,0.15447706874337372,0.32326772116580715,0.25873510370813957,-0.1628185991802852,0.27540946390575394,0.30146207813404,0.3637304182738515,0.13724930292249468,0.10151697742299276,-0.18928947987777686,0.4113827965695644,0.13890517415250442,0.04329599507488778,0.04349903699976486,0.35553483924943174,0.04726194019260446,0.0630084729704285,0.14848377715558692,-0.053800338518369156,-0.06923436584763612,0.11124090062265649,0.14621862431699614,0.3468260699610213,0.2114047481231198,-0.12138720337514203,0.478726299411068,0.18072401085931095,-0.23493143913637346,0.18118869963230833,0.16474066878237723,0.09460099039570667,0.7144428082268897,-0.007569443025916137,-0.33870094046597554,0.21871285708366547,0.3219372714682507,0.6462618782899954,-0.08568251531798693,-0.18950425506689622,-0.04075845252318722
Calcarine_R,0.09872107514420746,0.5926016683760942,0.535109820049131,0.5080620110356805,0.22238345202030424,0.061341723490161496,0.5613108983022471,0.3061207804237919,0.13772488800808372,1.0,0.40271342848192704,0.36212305708716563,0.27328512313081155,0.5861763845903596,0.016059634968432886,0.48817792611208,0.6952640439346012,0.33330875696716733,0.46764001119818815,0.6047931214266377,0.06293490655020563,0.2988454444066735,0.6929751085698921,0.41299485359030164,0.6166456708818044,0.49807030821753895,0.22796097688336095,0.8304320255056699,0.055317637627944345,0.2495025751733224,0.8840656172204946,0.5370358409805821,0.6566994883935663,0.4602518302661831,0.08434312664205938,0.65813243135162,0.5648267548504029,0.43421209228978086,0.30738974047713213,0.43254301491999797,0.5380474315987623,0.3948103989788923,0.5619598567712212,0.743363757863547,0.1849837356518284,0.3612908272869617,0.43618022985670607,0.6115889310687193,0.7127894551881162,0.6277863913827884,0.1669101774950042,-0.0782224303782577,0.15290818732813427,0.23445132632041138,0.6405822521176227,0.5555487104239898,-0.04544953013733388,0.2766105505638251,0.19369925018545153,-0.05398432453657563
