,Rolandic_Oper_R,Vermis_9,Thal_AV_R,Thal_IL_L,ACC_sub_L,Thal_PuL_L,Hippocampus_L,Thal_MDm_L,Rolandic_Oper_L,Rectus_R
Rolandic_Oper_R,1.0,0.35757489239543894,-0.02709897658108419,0.08615715939033891,0.42202297862295934,-0.0381915865654323,0.17084873088258887,0.491930407511838,0.46388426384550996,0.1370378609861519
Vermis_9,0.35757489239543894,1.0,0.39475365115445693,0.20589489206069148,-0.08939749725934906,0.0329913496887069,-0.01025481395094679,0.1450677120435557,0.33931710842320534,-0.13388398711655114
Thal_AV_R,-0.02709897658108419,0.39475365115445693,1.0,-0.05463904101336126,-0.2498464025860854,-0.057653368495894135,-0.06963154586479908,-0.04122571020423871,0.15953510640965307,-0.16789649526386968
Thal_IL_L,0.08615715939033891,0.20589489206069148,-0.05463904101336126,1.0,-0.0315719387545884,0.1557780987881902,0.2080231849608379,0.4573847501032553,-0.1737446462768008,0.5186655565924875
ACC_sub_L,0.42202297862295934,-0.08939749725934906,-0.2498464025860854,-0.0315719387545884,1.0,0.06032738498425397,0.423514220266629,0.1090388595892167,0.0687351577835723,0.1589639450443988
Thal_PuL_L,-0.0381915865654323,0.0329913496887069,-0.057653368495894135,0.1557780987881902,0.06032738498425397,1.0,0.4195759069003833,0.17797463773933275,0.23961121645416913,0.025326520041093745
Hippocampus_L,0.17084873088258887,-0.01025481395094679,-0.06963154586479908,0.2080231849608379,0.423514220266629,0.4195759069003833,1.0,0.26335851381949527,0.49355417460562356,0.07219299341985994
Thal_MDm_L,0.491930407511838,0.1450677120435557,-0.04122571020423871,0.4573847501032553,0.1090388595892167,0.17797463773933275,0.26335851381949527,1.0,0.31752398089084594,0.2031224141360463
Rolandic_Oper_L,0.46388426384550996,0.33931710842320534,0.15953510640965307,-0.1737446462768008,0.0687351577835723,0.23961121645416913,0.49355417460562356,0.31752398089084594,1.0,-0.43499102764683645
Rectus_R,0.1370378609861519,-0.13388398711655114,-0.16789649526386968,0.5186655565924875,0.1589639450443988,0.025326520041093745,0.07219299341985994,0.2031224141360463,-0.43499102764683645,1.0
