,Insula_L,LC_L,Cerebellum_9_L,Thal_MGN_L,Vermis_4_5,Frontal_Inf_Orb_2_L,Cerebellum_10_L,Fusiform_R,Rolandic_Oper_L,OFCmed_R
Insula_L,1.0,0.06253277239298567,0.69658869334722,0.21023371768275398,0.684987854936945,0.4141259001545019,0.7177020268779235,0.3665797885138731,0.5749170841350306,-0.17717572584446162
LC_L,0.06253277239298567,1.0,0.22921635367906787,0.48146325957348524,0.4157755213010823,0.21852832309207704,-0.06963621658244924,0.26824585691000136,0.39585953852457273,0.233265984307829
Cerebellum_9_L,0.69658869334722,0.22921635367906787,1.0,0.1167031163427082,0.7334466433728335,0.16143219979215964,0.6237592823817192,0.5174509013714129,0.4325359392727405,-0.19247513269419808
Thal_MGN_L,0.21023371768275398,0.48146325957348524,0.1167031163427082,1.0,0.4133095583975687,0.32768961659010476,-0.09586148568738406,0.270142404993902,0.43736396641015124,0.10499102964885011
Vermis_4_5,0.684987854936945,0.4157755213010823,0.7334466433728335,0.4133095583975687,1.0,0.3243925924487033,0.4304946234688946,0.7551414923236948,0.6069375734418292,-0.2076629172382413
Frontal_Inf_Orb_2_L,0.4141259001545019,0.21852832309207704,0.16143219979215964,0.32768961659010476,0.3243925924487033,1.0,0.2802169337035834,0.2096625958728726,0.7045712828133979,0.25858427640230414
Cerebellum_10_L,0.7177020268779235,-0.06963621658244924,0.6237592823817192,-0.09586148568738406,0.4304946234688946,0.2802169337035834,1.0,0.1300003768799202,0.27836643479525675,-0.4014410045130541
Fusiform_R,0.3665797885138731,0.26824585691000136,0.5174509013714129,0.270142404993902,0.7551414923236948,0.2096625958728726,0.1300003768799202,1.0,0.3638944543152935,-0.20422308245248375
Rolandic_Oper_L,0.5749170841350306,0.39585953852457273,0.4325359392727405,0.43736396641015124,0.6069375734418292,0.7045712828133979,0.27836643479525675,0.3638944543152935,1.0,0.34569252305246817
OFCmed_R,-0.17717572584446162,0.233265984307829,-0.19247513269419808,0.10499102964885011,-0.2076629172382413,0.25858427640230414,-0.4014410045130541,-0.20422308245248375,0.34569252305246817,1.0
