,Heschl_R,Thal_AV_R,Calcarine_L,SupraMarginal_L,Cerebellum_Crus1_R,Red_N_R,Cerebellum_10_R,Thal_VL_R,Frontal_Med_Orb_R,Frontal_Inf_Orb_2_L,Thal_MDl_L,Occipital_Sup_R,Cerebellum_7b_L,Caudate_L,Occipital_Inf_L,Temporal_Pole_Sup_L,Thal_MDm_R,Frontal_Inf_Orb_2_R,Rectus_R,Precuneus_L,Thal_MDm_L,N_Acc_R,ACC_pre_R,Frontal_Inf_Tri_R,Pallidum_R,OFCpost_R,Parietal_Inf_L,Thal_LGN_R,Precentral_L,Vermis_1_2,Temporal_Pole_Mid_L,Fusiform_L,Frontal_Sup_Medial_R,Thal_VL_L,LC_R
Thal_MDl_L,0.3230494320642938,0.42246901845337315,0.11178851684629186,0.23611460290140124,-0.09263982938069815,0.4956264459397331,0.28376123065346515,0.8350154157664516,0.1200845706923859,0.21846617811117955,1.0,-0.020265074759313207,0.0741902083757432,0.5697630348085364,-0.37997893304119135,0.06955591893334295,0.7917765000722583,0.36189520709199813,0.09272557134482991,0.47588611274021053,0.6888960107680643,0.02834234948257362,0.2789579493235995,0.7133698136948007,0.5419405082752141,-0.2079924952547465,0.352753132017563,0.6049563740727163,0.5685334730812867,0.31343349832935125,-0.07180656049179462,-0.036562299105600785,0.5229878763622787,0.6446544458849967,0.2998009737684393
Occipital_Sup_R,-0.0848009918141973,-0.44825689523261636,0.731332659482498,0.4594553446179548,0.09462168021978803,-0.41608854792174843,0.312471411497196,0.1709965011193161,-0.28172749279242737,-0.06090136500808366,-0.020265074759313207,1.0,0.35753632573517824,-0.019175189326924177,0.342188141204724,0.22378173837955817,-0.11995575982840978,-0.1101714947472994,-0.33017317966309817,0.5163465743979598,0.07851173783879174,-0.21880092242347193,-0.3091351765843504,0.2310271760283361,0.023779422639530423,-0.06303273121510583,0.5044622217610317,0.03659070617738655,0.27577881995518094,0.14635383914710162,-0.14716646212644627,0.4355248931031519,0.26524993166414707,0.23720731320230176,0.3045085766369603
Cerebellum_7b_L,-0.0931362330743553,-0.013954267900869025,0.518281556218126,0.562984574520237,0.2231460104240795,-0.1667098192669052,0.11518863174173412,0.2489659399841069,0.20474495038233712,0.18964221825146535,0.0741902083757432,0.35753632573517824,1.0,0.12014263796522767,0.4516565673078698,0.020542750217542576,0.07857155722120321,-0.10489440876132894,0.1398419688558378,0.489737549985156,0.2572172341940112,-0.07851101662028709,0.12777110903924224,0.11941579128108785,0.1796686109170826,0.12931214751139744,0.5311038376783096,0.1040896471548681,0.5683111662288465,0.3639412774209098,0.00840040158328903,0.4910857156944456,0.41145299753633924,0.3000690526555526,0.2711158461573168
Caudate_L,0.4086300664004085,0.4472807146897412,-0.011737945147150014,0.25744131546278576,-0.009658707314071844,0.5340597323154217,0.2837225272778836,0.4749343674592627,0.21585376338511686,0.49418676762193636,0.5697630348085364,-0.019175189326924177,0.12014263796522767,1.0,-0.43839451580634786,0.2151130241326315,0.4553053155917539,0.6397024612810221,0.20868527764221856,0.5461307221264755,0.453685620992573,-0.10071429355198826,0.4484839619749518,0.7909656204022449,0.4631640179628878,0.01991297072350944,0.4905849436645737,0.6386731009479817,0.6644733398374023,0.515150487056579,0.3686319923855806,0.006302925498364551,0.6796179950427336,0.42539979945866807,0.1174284701715967
Occipital_Inf_L,-0.32693641635865783,-0.3931835044770834,0.4943141739345445,0.41810454444121437,0.4069807543727042,-0.4779853802018938,-0.1411110827919069,-0.0995591393191401,0.2806762140994778,0.04079178779172875,-0.37997893304119135,0.342188141204724,0.4516565673078698,-0.43839451580634786,1.0,0.04906368413336849,-0.2478642799445125,-0.33556697439209454,0.23562522464617125,0.08459813555423029,-0.08320195362442373,0.13621820561246523,-0.05182577526618582,-0.42864041525868796,-0.06698664251691978,0.28299677538774654,0.2528741478704171,-0.3594196020871552,0.04703202176488016,-0.08867889984770393,-0.020743536433582167,0.45043282557694503,-0.01897922645377085,0.0007060258573635344,0.10470288988991139
Temporal_Pole_Sup_L,0.25349429275405627,-0.001518194878162097,0.16680882566399857,0.0856729870708605,0.5271882748642044,0.10019050793023074,-0.0042376765052889905,0.08748998009070838,0.28435317929968423,-0.08813499784897698,0.06955591893334295,0.22378173837955817,0.020542750217542576,0.2151130241326315,0.04906368413336849,1.0,-0.07844823017879396,0.4024202006799069,0.27888432947550257,0.2228966983676888,-0.01782538213550519,0.3622105423875066,0.08411113735000544,0.34805007075655653,0.09414492912465454,0.30383176410561424,0.2115970520445989,0.02176175368206885,0.16445381073522575,0.11835021789460627,0.4003463287038243,-0.1419904772510767,0.23658085841397727,0.03867702526894876,0.037814015985559876
Thal_MDm_R,0.12733345952895556,0.5035093485868012,0.16280358162921246,0.2676844881382098,-0.0753923698806994,0.6060450053736661,0.21507342614080507,0.8690696490871849,0.05888844340790952,0.22226304491566345,0.7917765000722583,-0.11995575982840978,0.07857155722120321,0.4553053155917539,-0.2478642799445125,-0.07844823017879396,1.0,0.20885300367846382,0.06670480986350112,0.35816050594713206,0.8690952157384981,-0.014440372481030979,0.16841705202924304,0.5647490251278676,0.6152731088123182,0.03394262080602201,0.24136301047549397,0.5433609662673384,0.44960901997830355,0.18017344188615914,-0.036578006986380314,0.03255620525144897,0.3228853749054908,0.82856167155094,0.37401738107332116
Frontal_Inf_Orb_2_R,0.492664971149125,0.3922486071038601,-0.14404001669297076,0.05516326121475117,0.10176976410301676,0.3720874835588492,0.3093115180256228,0.21797075314692713,0.24444153454620218,0.5353748802670738,0.36189520709199813,-0.1101714947472994,-0.10489440876132894,0.6397024612810221,-0.33556697439209454,0.4024202006799069,0.20885300367846382,1.0,0.21734248109964202,0.291644160157858,0.2004649534933986,0.06635574576606372,0.4004645524968185,0.6401198095145234,0.44350008385843753,0.130636652051329,0.2438688626785456,0.31456854820639724,0.3154098597017089,0.20105928930690975,0.46695579285615907,-0.12039562106487288,0.5472048386602469,0.10190989282020714,0.003440654664664779
Rectus_R,0.02864281311602791,0.16301004742744465,-0.25807486860723783,0.04278785726750971,0.4922993239344858,0.2768216737130224,-0.35395158311366925,0.03150836776565072,0.9277502761391574,0.27305636600111344,0.09272557134482991,-0.33017317966309817,0.1398419688558378,0.20868527764221856,0.23562522464617125,0.27888432947550257,0.06670480986350112,0.21734248109964202,1.0,-0.04810684486078721,0.0009256376286358874,0.6030984247469565,0.6866118972842344,-0.06676752542279975,0.13542999874556588,0.3677209816386164,0.12447480496857032,-0.000997667898548582,0.20523478505063567,0.02525309119509926,0.2947240155215868,-0.17478906857789084,0.12714328584270443,-0.028747235446881098,-0.13892516864266877
Precuneus_L,0.1547664930401213,0.1391131966925436,0.6894877262827962,0.851716978774535,-0.006049536468237594,0.17568987317157392,0.48722578277242884,0.6276593124167444,0.033413499073850564,0.43293562830072324,0.47588611274021053,0.5163465743979598,0.489737549985156,0.5461307221264755,0.08459813555423029,0.2228966983676888,0.35816050594713206,0.291644160157858,-0.04810684486078721,1.0,0.5141056402002252,-0.14182892153397467,0.11254498087773916,0.6333900340502026,0.5524889041344085,-0.04508270112309894,0.9360271339592483,0.6055153541187185,0.8854795032918238,0.6789543841154673,0.12568286324872885,0.6216593370121302,0.8525334001599626,0.6044149954796902,0.4686835054126848
