,Thal_MGN_R,Rectus_L,Cerebellum_4_5_R,SupraMarginal_R,Paracentral_Lobule_L,Raphe_M,Occipital_Sup_R,Red_N_R,Thal_MDl_R,Cerebellum_4_5_L,Cerebellum_Crus1_R,Rolandic_Oper_R,Thal_PuM_R,Paracentral_Lobule_R,Precentral_L,Postcentral_L,Thal_MDm_R,Temporal_Mid_R,Temporal_Pole_Mid_R,Cerebellum_9_R,Thal_MDm_L,Thal_VL_R,Hippocampus_R,Cerebellum_3_L,ACC_pre_R,OFCpost_R,ACC_sup_R,Temporal_Pole_Mid_L,Vermis_6,LC_L
Thal_MGN_R,1.0,-0.03046505809198364,0.381145272182228,0.2995926794170885,0.5761106405323778,0.23457472293890227,-0.019914852252396704,0.2055635942095018,0.6035005319541225,0.42547707044959365,-0.10888339145624597,0.12038631073832519,0.38398182954364,0.5010793435383617,0.4823058097010753,0.4828039386753078,0.15789974669123624,-0.04007187358788272,0.028710546585225646,0.1342286746007859,0.09184722532680935,0.2128068085390915,0.2884460226727568,0.409436619951291,0.08641665271343049,-0.1132060744931028,0.09647296151608244,-0.03692898317253997,0.0025309670441095882,0.38489911400863946
Rectus_L,-0.03046505809198364,1.0,0.14509164038316813,-0.3173707804711557,0.0213587442046185,-0.18551552494805496,-0.3014603264964148,0.2818292479549094,0.04089481523084884,-0.03328534878521612,0.49760238422880676,-0.14211190532222234,-0.1928312024473108,-0.22598726443228337,0.27059638276319997,0.18644643523508703,0.05787132488605877,-0.33403392079728883,-0.24442966738123043,0.0015334667484145292,0.0054747214316021664,0.04398433633768477,0.2629685214027608,0.07742842401558958,0.7150236795321863,0.3335857941341969,0.028403626928810568,0.3077577209432005,-0.10115737450540388,0.22668671553909328
Cerebellum_4_5_R,0.381145272182228,0.14509164038316813,1.0,0.5691857784986926,0.6199540243158101,0.22880408543070777,0.11356426459227036,0.5155807303048356,0.42387795517379456,0.5849777702168927,-0.012879225751651876,0.39828868022526137,0.6796654087826927,0.5575632119730014,0.7927948601032775,0.7834405705075479,0.5361481080408603,0.0008962227674625602,0.0471515250560341,0.13815873110130855,0.4939884046147543,0.6352212093183977,0.8540170064169889,0.7911182116909995,0.37952464778542716,-0.12067705968187263,0.5587292924124272,0.2761411759739139,0.008816684311482515,0.4702986298058376
SupraMarginal_R,0.2995926794170885,-0.3173707804711557,0.5691857784986926,1.0,0.5409424368877457,0.5113852710868044,0.574204765000594,0.00022807841318574757,0.36125886303610677,0.5949148873080333,-0.11201797216475544,0.7890952488229208,0.77702477431945,0.8227372741009772,0.5372078543971436,0.5907270556644659,0.23675011745887703,0.5308625791357019,0.35764619295139677,0.4169910458377531,0.34219848109447415,0.47340231025005397,0.3362709753265051,0.6561940379157782,-0.10711415888487538,-0.2414247325598619,0.41193457424313074,-0.05550297251151841,0.2769694483068875,0.26583338105565524
Paracentral_Lobule_L,0.5761106405323778,0.0213587442046185,0.6199540243158101,0.5409424368877457,1.0,0.5420153997756989,0.38161703444262385,0.20276316872307604,0.3877482974707399,0.8402793293347611,-0.07518682555520453,0.28287670441401797,0.7267946034080707,0.8428760790003731,0.8507364974093523,0.887570867031824,0.22642310078027703,0.09477692826577833,0.21114024317076702,0.4341872192530924,0.38039260677156594,0.4737703186861685,0.4506990899932401,0.773877635615045,0.05292893081393449,-0.07029844159788685,0.30232930173631845,0.07566060291810435,0.308037659005322,0.4859872464998959
Raphe_M,0.23457472293890227,-0.18551552494805496,0.22880408543070777,0.5113852710868044,0.5420153997756989,1.0,0.5145803643702768,-0.2281401790068211,0.3749978575636098,0.4737100785147093,-0.187938387041688,0.28051222486326194,0.4083333397410915,0.5658632626229679,0.43020838444444764,0.43279372283024625,0.06498465093763618,0.3433109956157982,0.06543898760379853,0.3123235965596136,0.19605115838410764,0.3066554694897337,0.05445277701030495,0.563363758400017,-0.11591589589525143,-0.3804341872103403,-0.05655368338846719,-0.4039393008495421,0.23314349194945114,0.1886787857597962
Occipital_Sup_R,-0.019914852252396704,-0.3014603264964148,0.11356426459227036,0.574204765000594,0.38161703444262385,0.5145803643702768,1.0,-0.41608854792174843,-0.012940457145565696,0.5070288534838787,0.09462168021978803,0.4554128370439503,0.5845207081705756,0.5236096249981201,0.27577881995518094,0.35260716415767906,-0.11995575982840978,0.7148313651271554,0.3320282291851405,0.5641430403205409,0.07851173783879174,0.1709965011193161,-0.1367196887669998,0.32684730813416835,-0.3091351765843504,-0.06303273121510583,-0.08310144788889708,-0.14716646212644627,0.6403111027335061,0.09882899748185914
Red_N_R,0.2055635942095018,0.2818292479549094,0.5155807303048356,0.00022807841318574757,0.20276316872307604,-0.2281401790068211,-0.41608854792174843,1.0,0.1554464824031839,0.060138830453811236,-0.022889131213743464,-0.16049456608065016,0.08025830669655591,0.05330938582876384,0.307979256018399,0.263920140702029,0.6060450053736661,-0.4047792986886073,-0.049056174777796356,-0.34290968668680377,0.46593894565961985,0.443452912404428,0.776086366765204,0.27421834169915665,0.2572112701032648,0.21022584981254713,0.36391427952794336,0.3332465155669425,-0.4575272485189582,0.09727426706194893
Thal_MDl_R,0.6035005319541225,0.04089481523084884,0.42387795517379456,0.36125886303610677,0.3877482974707399,0.3749978575636098,-0.012940457145565696,0.1554464824031839,1.0,0.22496882029623141,-0.28217158693530087,0.1240780369918833,0.29932205395575395,0.36703359213707465,0.4061345796148856,0.36264529597250755,0.24625495547947593,-0.13330746009231734,-0.1356483096224098,-0.10270517082753544,0.0656413740500142,0.30694306805646204,0.3732493486977044,0.3994941583907881,0.23968046929370146,-0.4297395177476783,0.014135639693153047,-0.22896322961231366,-0.2416091290274947,0.5208918900564937
Cerebellum_4_5_L,0.42547707044959365,-0.03328534878521612,0.5849777702168927,0.5949148873080333,0.8402793293347611,0.4737100785147093,0.5070288534838787,0.060138830453811236,0.22496882029623141,1.0,0.033838965895206706,0.3314116866167826,0.7603221273307437,0.8599554704005083,0.8236033341392022,0.8762875693624228,0.32621503865210283,0.25427298222657246,0.2721104464537118,0.4843681861040264,0.5097502414422803,0.5754323502678358,0.32227286014618034,0.7836228749398272,0.0017733616963385357,0.01076491190553798,0.2140950521904065,0.05897293723743796,0.40737574926785186,0.34814507399897343
