,Cingulate_Post_R,Thal_PuI_R,Postcentral_R,Heschl_R,Temporal_Pole_Sup_L,Lingual_L,Insula_R,Calcarine_L,Thal_VA_L,Cerebellum_10_R
Cingulate_Post_R,1.0,0.6190449892215751,0.09585257422065428,0.20648111987651938,0.28484970295655343,0.5897208483022612,0.5481875468303459,0.5346338322373154,0.32154044215806304,0.4201125693113642
Thal_PuI_R,0.6190449892215751,1.0,0.26222381745058254,-0.10281904823301422,0.0111563613141746,0.7492934311824678,0.4354084787207756,0.6207937125765145,-0.005452868828588134,0.3563640334970249
Postcentral_R,0.09585257422065428,0.26222381745058254,1.0,0.38669329699635785,-0.5959782486485828,0.5577347971170183,0.44337937102502156,0.6237623133601243,-0.5057889850579902,0.20185716008323326
Heschl_R,0.20648111987651938,-0.10281904823301422,0.38669329699635785,1.0,0.03207045950617521,0.24279440462759025,0.5603316200938785,0.3734664782753227,0.15362165946910156,-0.02858576250306922
Temporal_Pole_Sup_L,0.28484970295655343,0.0111563613141746,-0.5959782486485828,0.03207045950617521,1.0,-0.1155662025688456,0.17659339322080972,-0.06976721975678431,0.7626915565739256,0.0797200818918183
Lingual_L,0.5897208483022612,0.7492934311824678,0.5577347971170183,0.24279440462759025,-0.1155662025688456,1.0,0.6452332444329997,0.8874885674861205,-0.12934141878103642,0.4259198044892398
Insula_R,0.5481875468303459,0.4354084787207756,0.44337937102502156,0.5603316200938785,0.17659339322080972,0.6452332444329997,1.0,0.6851286188314656,0.18345930786399348,0.43608473912079193
Calcarine_L,0.5346338322373154,0.6207937125765145,0.6237623133601243,0.3734664782753227,-0.06976721975678431,0.8874885674861205,0.6851286188314656,1.0,0.050972503677676514,0.4548808232634846
Thal_VA_L,0.32154044215806304,-0.005452868828588134,-0.5057889850579902,0.15362165946910156,0.7626915565739256,-0.12934141878103642,0.18345930786399348,0.050972503677676514,1.0,0.18788619100413442
Cerebellum_10_R,0.4201125693113642,0.3563640334970249,0.20185716008323326,-0.02858576250306922,0.0797200818918183,0.4259198044892398,0.43608473912079193,0.4548808232634846,0.18788619100413442,1.0
