,SN_pr_L,Angular_R,Thal_PuA_L,ACC_sub_L,OFCpost_R,Angular_L,OFCmed_R,Temporal_Sup_R,Vermis_4_5,Cingulate_Post_L,Cuneus_L,Vermis_9,Thal_LGN_R,Cerebellum_7b_R,Thal_MDl_L,Occipital_Inf_L,Frontal_Med_Orb_L,Thal_VL_L,Temporal_Pole_Sup_R,Thal_PuA_R,Vermis_7,SN_pc_R,Parietal_Inf_L,Cerebellum_8_R,Thal_MDl_R,Temporal_Sup_L,ACC_pre_L,Frontal_Inf_Orb_2_L,ParaHippocampal_R,N_Acc_R,Raphe_D,Temporal_Mid_L,Supp_Motor_Area_R,Amygdala_L,Thal_AV_R
SN_pr_L,1.0,-0.31414398076552474,-0.11955352328768468,0.609460509615317,0.7889453897155542,-0.3206000141967828,0.718829334492972,-0.1546536139792891,0.38767929108576027,-0.05669567162013981,-0.39883193834441827,0.6113514746816314,0.39840332703467796,0.37839359813690976,0.7289788995025274,-0.24681851969258914,0.44784363360273943,0.5785381524069788,0.6329623365104384,-0.34069839028075044,-0.4085613098162869,0.30336414357345604,-0.31388374169326355,0.11642393233911369,0.6174308472964685,0.2926712301580791,0.4926962816509421,0.6218207494411224,0.6366121538065254,-0.33107164119613613,0.4443740331634907,0.34857249458218986,-0.24782523476290136,0.0672991693393194,0.3973678173311374
Angular_R,-0.31414398076552474,1.0,0.24030226980099298,-0.5684219618320936,-0.2762655914657143,0.6179831042642194,-0.558619298063728,0.499225869317206,0.18492683990887687,0.197370099797825,0.7009462710132994,-0.17979078041628496,0.35974505194900425,-0.03948960886827154,-0.20742323711350963,0.26527722286459754,-0.23132031457483154,-0.2539368529197817,-0.20951340887093758,0.4675142010815998,0.38048821635528385,-0.10425477411595946,0.6626800027741852,0.23859218952760694,0.038222423060536644,0.2564438731282553,-0.43137392598197327,-0.06467016412905387,-0.15245265398228275,0.43310733974622545,-0.5536097029529485,0.03239959425391258,0.7829725472483371,0.31812796136066535,0.15714825258475132
Thal_PuA_L,-0.11955352328768468,0.24030226980099298,1.0,-0.22738066902999382,-0.08334647450075415,0.16419329496901783,-0.18853950453186483,0.8029928099463,0.4775771942795553,0.7632449385123513,0.41157860914468886,0.13921375597150693,0.34212951170476424,0.06700522731644692,0.07151980148016528,0.33897862339256646,-0.09468937554034008,0.5380245174651431,0.39659075142292405,0.8198107643110015,0.48625123529673037,0.22261914547896886,0.18027872351373184,0.5048600682196807,0.18718819880524676,0.48405156109106073,0.05810355879220583,0.17690718721415175,0.13071803126616177,0.5594038537338888,0.06097637088632057,0.2847668941421928,0.2834878314900154,0.42647063541566754,0.49557499261681376
ACC_sub_L,0.609460509615317,-0.5684219618320936,-0.22738066902999382,1.0,0.4617582749785269,-0.21081272014032398,0.5760968508799567,-0.37980182852138233,0.0680265789229574,-0.37599561281162774,-0.2849866858510821,0.37320399832404344,-0.09041950997910166,0.1458899169205266,0.5416349122792832,0.027162477517763958,0.27443739320783667,0.45443533683204984,0.3824517199513836,-0.3646201845529741,-0.2745585818120331,0.12421510853701115,-0.3226688042559545,-0.06855838964606113,0.3289117278548727,0.20976321173182885,0.8312846545826802,0.26444426049753417,0.4129708404854389,-0.3462553187072716,0.5249940229801094,0.4205961549610282,-0.6016753934761371,-0.18324710451978457,0.2495581574828954
OFCpost_R,0.7889453897155542,-0.2762655914657143,-0.08334647450075415,0.4617582749785269,1.0,-0.4080478530456318,0.900366866075148,-0.06341081819860311,0.40209234432577934,0.09770400250421535,-0.47903643062324425,0.619859806443101,0.4270123609022076,0.3069907430509214,0.6549499765515447,-0.4551705181801915,0.6198728055009215,0.4783476230634565,0.742096689527997,-0.38088745472670177,-0.39123720366473747,0.4276336260257594,-0.2589087007050293,0.018359089157597982,0.5808113064705009,0.1788254864053521,0.31649089665888996,0.722488938592773,0.7267789942102962,-0.4166424144173519,0.38808771100977213,0.19036559093348868,-0.19018948527738463,0.12624437710505812,0.29930492106284085
Angular_L,-0.3206000141967828,0.6179831042642194,0.16419329496901783,-0.21081272014032398,-0.4080478530456318,1.0,-0.5372938855016937,0.08472058191265552,0.0575084081052908,-0.08538624048729967,0.7482141270097783,-0.2536109567275183,-0.032415367930456164,-0.4594331047655197,-0.16056008099610916,0.6951834714998061,-0.5053105723886419,-0.05787882754034188,-0.38875133225165165,0.5520078677618271,0.19734004822301376,-0.4169549063679253,0.8655186234298325,-0.00037770835059974025,-0.03473422954045877,0.6051595789425828,0.05314391665219068,-0.23640107393864698,-0.23576185341350073,0.13372428629997485,-0.618224806314778,0.38443810893589647,0.45526643537791356,-0.057034298677256574,0.07473490739981624
OFCmed_R,0.718829334492972,-0.558619298063728,-0.18853950453186483,0.5760968508799567,0.900366866075148,-0.5372938855016937,1.0,-0.2534871925527513,0.22760301665324073,-0.017486361556420194,-0.6542066913888269,0.6063421837759202,0.17339088572159508,0.2098553487812311,0.5830050619530317,-0.48883639318227906,0.6024285342994073,0.43572719744877353,0.666003475252107,-0.5053352911578508,-0.4844854047587044,0.39381253521734483,-0.41474448999392877,-0.12903364856149435,0.4365477850342557,0.024781069436518356,0.4006129587433773,0.5945732465858239,0.6419933408182379,-0.5435527361884605,0.48609429853310565,0.1133998202810816,-0.44939705779580613,-0.030407898922764444,0.09861318356106935
Temporal_Sup_R,-0.1546536139792891,0.499225869317206,0.8029928099463,-0.37980182852138233,-0.06341081819860311,0.08472058191265552,-0.2534871925527513,1.0,0.5334287641920308,0.7323288800146572,0.41058076253544223,0.2017941173533375,0.501644474859745,0.23542754505932387,0.04580886134087781,0.12058852881199356,0.0022292515854229655,0.306164085687131,0.3805243783175083,0.6466393271636288,0.530805145897739,0.3287293057349982,0.10411187437140788,0.6442386189051786,0.20704076009733943,0.3042766761366197,-0.19668664297018384,0.2866018102158923,0.16356060132338648,0.6882556597266551,-0.02299747886921268,0.07795447636637902,0.4992130512618885,0.6363626364150023,0.4401991848221764
Vermis_4_5,0.38767929108576027,0.18492683990887687,0.4775771942795553,0.0680265789229574,0.40209234432577934,0.0575084081052908,0.22760301665324073,0.5334287641920308,1.0,0.43168351221717494,0.10655330018969023,0.6450937485952343,0.6628061260817449,0.3214461759728244,0.6019264470684293,0.0388193048104879,0.19093651647665888,0.6337570459514502,0.6953514062784086,0.3013863490653803,0.013279006316291258,0.5420835194655599,-0.026906190494590875,0.6205792365991865,0.6132560804443047,0.5222128284649165,0.29718685171912856,0.5676055832000847,0.653784870484887,0.29876785776740566,0.04679566184716712,0.5056541411079031,0.4401540792474779,0.6736438656075309,0.5360060856726266
Cingulate_Post_L,-0.05669567162013981,0.197370099797825,0.7632449385123513,-0.37599561281162774,0.09770400250421535,-0.08538624048729967,-0.017486361556420194,0.7323288800146572,0.43168351221717494,1.0,0.07816588220731228,0.12360959045112736,0.30257438150797095,0.022758474612769093,-0.04521375316993572,-0.054065772396809895,0.1019303262162245,0.30694463038404557,0.4121927604667973,0.5454469533453237,0.34559451285534276,0.1854210383076963,0.09580087912229462,0.31955664741035106,0.05554871276141235,0.21681099976420987,-0.16781025941788233,0.2640370422781675,0.05351604189816744,0.3420736534726966,0.03827326149872557,-0.023164389891048454,0.3004462277049719,0.37654515335532557,0.28449125372825496
