,Thal_VL_L,Vermis_8,Temporal_Mid_L,Temporal_Inf_R,Insula_L,Temporal_Sup_R,Thal_PuA_R,Cerebellum_7b_R,ParaHippocampal_L,Precuneus_R,Amygdala_L,Temporal_Pole_Mid_R,Temporal_Sup_L,Raphe_D,Frontal_Inf_Tri_L,Cerebellum_4_5_L,VTA_R,Thal_MDm_R,Cerebellum_8_R,OFClat_L,Thal_PuL_L,SN_pc_R,Parietal_Sup_R,Temporal_Inf_L,Occipital_Mid_L,Temporal_Mid_R,Thal_VPL_L,Thal_AV_L,Cerebellum_9_R,N_Acc_R
Thal_VL_L,1.0,0.17874062020011303,0.5777652212304206,0.46067174115276693,0.5936353316579979,0.306164085687131,0.24297390618963824,0.3191106957000145,0.6806447460588777,0.22038336480089263,0.36038972647910494,0.4764383408930653,0.6324831531597713,0.3815336365130935,0.7206628539740106,0.5177009378086417,0.36042791596078405,0.4174711944564672,0.46821936594568103,0.49256317447249853,0.6543172876132795,0.4479673180186932,0.044280838758266126,0.7338666901315912,-0.11376747922326999,0.08960784572196667,0.9519520173021447,0.6971247360216001,0.4968433667440835,0.05390491009941927
Vermis_8,0.17874062020011303,1.0,0.16493135557956762,0.6929061326670023,0.4203630734956535,0.727736503295521,0.3947503142377033,0.3134583909909065,0.265678235930611,0.37421990789420384,0.5622990141095535,0.027128413741922205,0.13028609815867234,0.10934649760251808,0.03512725432276884,0.4247431154771028,-0.07725387266202731,0.2720228732302801,0.6633584769388623,0.19078815830077409,0.27695420817379646,0.3211544951364679,-0.06584003928238275,-0.016307067690270318,-0.021097727586922313,0.7321300665919986,0.14788072890698328,0.27793354779523577,0.6447968055350911,0.4593491554292007
Temporal_Mid_L,0.5777652212304206,0.16493135557956762,1.0,0.3727976846992494,0.4771630694088215,0.07795447636637902,0.35858430857153734,0.2031419923809434,0.3869023353661426,0.4167920736455874,0.2769575063979511,0.314220090057185,0.6981362713657715,0.13928618361888526,0.613367098686193,0.4823507503501405,0.04359498916523303,0.25712789852166956,0.46479146296616847,0.10106563245069469,0.47370918327090883,0.11278626861811625,0.2566533499467799,0.70022317672085,0.4104032049264223,0.11792924584161317,0.5123606525503176,0.4417787800162687,0.4005322150717462,0.007854364848747108
Temporal_Inf_R,0.46067174115276693,0.6929061326670023,0.3727976846992494,1.0,0.6541973331494059,0.7548090498735577,0.43172507436415664,0.5182553007657899,0.62809545278304,0.3426406778099831,0.7155570673295955,0.2551807114291224,0.19693477591685507,0.3152907403183619,0.1454680921519322,0.5225233178114244,0.12216423646910299,0.5072060069606421,0.7466384541889065,0.23306300412491435,0.4227922216157036,0.5764074127547006,-0.10573595502982196,0.30470379164880157,0.01857151590228866,0.7566917858554452,0.38143541552755555,0.5463878436102871,0.8143690765441772,0.5947294473099312
Insula_L,0.5936353316579979,0.4203630734956535,0.4771630694088215,0.6541973331494059,1.0,0.618215119530429,0.4475407293150555,0.2719788474422901,0.5891074768143213,0.6439863529518527,0.6011463906329219,0.16443972294507822,0.5968471401568045,0.007501383336609158,0.5281809261702315,0.6652682506026678,0.2966975539754829,0.6440541068100399,0.6265505705524544,0.05296860087448324,0.5439230183484091,0.42200503343978896,0.09334158931012818,0.3111358585537535,0.1962993182282209,0.5387879437589588,0.567769933874783,0.6020518713770354,0.6138301420177021,0.518438405290183
Temporal_Sup_R,0.306164085687131,0.727736503295521,0.07795447636637902,0.7548090498735577,0.618215119530429,1.0,0.6466393271636288,0.23542754505932387,0.30671881641806825,0.5519310755894256,0.6363626364150023,-0.09940075923891184,0.3042766761366197,-0.02299747886921268,0.027182734250275092,0.5076854990585186,-0.022882381000624896,0.4063627572589236,0.6442386189051786,0.140320095285108,0.5793117180395353,0.3287293057349982,-0.08970871426690682,-0.09784691773789836,0.15927887073132377,0.857007568865164,0.33542762072371135,0.2979316617867213,0.7226541360896364,0.6882556597266551
Thal_PuA_R,0.24297390618963824,0.3947503142377033,0.35858430857153734,0.43172507436415664,0.4475407293150555,0.6466393271636288,1.0,-0.17083980828071943,-0.0461970939654472,0.5662938672045649,0.2917782371965333,-0.3899835862380202,0.5524317882377422,-0.2190582449447756,0.23380080273467907,0.2945380748716646,-0.39101558801024877,0.05316359282249424,0.3982330954374026,-0.1525187639503738,0.806543411634864,-0.1432581942930529,0.35583953983661387,-0.06692525506259106,0.6332539361448709,0.6150588351281053,0.34984750415397775,0.02139959175607597,0.5208679623156154,0.5548944848753333
Cerebellum_7b_R,0.3191106957000145,0.3134583909909065,0.2031419923809434,0.5182553007657899,0.2719788474422901,0.23542754505932387,-0.17083980828071943,1.0,0.6323351027621738,0.007809812188673336,0.503048874880422,0.47224504995490874,-0.12380563546497146,0.4259319052037319,-0.026886344083314615,0.32981933859534845,0.3992008778919186,0.5312559555931419,0.6350763733394595,0.1953052913492122,-0.0866315738924029,0.5506258566567176,-0.46579108690612286,0.4077471970615339,-0.40251959390591574,0.1555572806179352,0.13598492738706675,0.5812428967878169,0.3917836787885802,0.11679374803595058
ParaHippocampal_L,0.6806447460588777,0.265678235930611,0.3869023353661426,0.62809545278304,0.5891074768143213,0.30671881641806825,-0.0461970939654472,0.6323351027621738,1.0,0.18691089276907746,0.6349542874941683,0.6829751458513142,0.22436125373467714,0.31112519791179705,0.349842716114706,0.5765166134117491,0.661852709228245,0.7828382958012996,0.5433990093660082,0.4907349203615951,0.20400447849800477,0.7477036575560702,-0.27002969638209195,0.5941484919067577,-0.32342750965428435,0.2203502170844362,0.5346584028952042,0.861415201989357,0.5093203342705487,0.08619089088833407
Precuneus_R,0.22038336480089263,0.37421990789420384,0.4167920736455874,0.3426406778099831,0.6439863529518527,0.5519310755894256,0.5662938672045649,0.007809812188673336,0.18691089276907746,1.0,0.5287116368121065,-0.18606574457385058,0.6263148187202484,-0.44170636110585537,0.3570247248379565,0.6384363912284299,0.0658486305564577,0.47443130478610157,0.5161887302877066,-0.22071473492670715,0.5046972073640192,0.03570774462968212,0.15451914075514267,-0.02170976460348846,0.5210064439360904,0.5593422242670235,0.2566806892709767,0.23109144928998845,0.4474263939433287,0.4283281253491964
Amygdala_L,0.36038972647910494,0.5622990141095535,0.2769575063979511,0.7155570673295955,0.6011463906329219,0.6363626364150023,0.2917782371965333,0.503048874880422,0.6349542874941683,0.5287116368121065,1.0,0.20032886095706537,0.16563274820470691,0.0888278629576529,0.13634885077520292,0.5530507383509479,0.28487598156954114,0.6773137996831003,0.7745953227526234,0.1916289890796602,0.30525326640727324,0.48930046987831677,-0.19350563367878318,0.17060762163307347,-0.07342797630453701,0.6426792294613747,0.27620716789070787,0.5632598185618398,0.7944133469138019,0.5008600271130424
Temporal_Pole_Mid_R,0.4764383408930653,0.027128413741922205,0.314220090057185,0.2551807114291224,0.16443972294507822,-0.09940075923891184,-0.3899835862380202,0.47224504995490874,0.6829751458513142,-0.18606574457385058,0.20032886095706537,1.0,0.05699526270548744,0.4946765545416353,0.1638026628228286,0.2556349792966398,0.5372835114047478,0.4391078435100866,0.1534033955585577,0.6651312603482817,-0.05435139910105385,0.48985364333041903,-0.27130875400742044,0.5859367815118494,-0.4191085856122598,-0.1323616289033245,0.31327039726528777,0.6393339142999236,0.07882602182920954,-0.34469409235629966
Temporal_Sup_L,0.6324831531597713,0.13028609815867234,0.6981362713657715,0.19693477591685507,0.5968471401568045,0.3042766761366197,0.5524317882377422,-0.12380563546497146,0.22436125373467714,0.6263148187202484,0.16563274820470691,0.05699526270548744,1.0,-0.13669936038651476,0.6706677359301155,0.5095504475430468,0.040925227898571295,0.2531581939136702,0.2866667294507571,0.08930292533930922,0.7257523269407982,0.006770676160175988,0.2955133113324207,0.4295299422112029,0.5251635444816665,0.16809644226837103,0.661720919804394,0.3441160125695184,0.28792044287788016,0.07463132585661134
Raphe_D,0.3815336365130935,0.10934649760251808,0.13928618361888526,0.3152907403183619,0.007501383336609158,-0.02299747886921268,-0.2190582449447756,0.4259319052037319,0.31112519791179705,-0.44170636110585537,0.0888278629576529,0.4946765545416353,-0.13669936038651476,1.0,0.09611288950116686,-0.13768296321378629,0.014966916955057896,-0.05058157184028227,0.2230725384281539,0.3832225254709263,-0.0418791715406836,0.28059575439712253,-0.09593248466618863,0.5523198649837091,-0.4316410663205925,-0.12910459778815214,0.28273446779012734,0.3377225281211592,0.22731308794545294,-0.09099927643372173
Frontal_Inf_Tri_L,0.7206628539740106,0.03512725432276884,0.613367098686193,0.1454680921519322,0.5281809261702315,0.027182734250275092,0.23380080273467907,-0.026886344083314615,0.349842716114706,0.3570247248379565,0.13634885077520292,0.1638026628228286,0.6706677359301155,0.09611288950116686,1.0,0.40751549876894827,0.16315891979662764,0.14864372971981804,0.24565085300466225,0.04086965149734529,0.4901302964341111,0.10218312409305108,0.49450824274873284,0.6123858261933096,0.1661419658185496,-0.09010804290398099,0.7615160751877204,0.3911890978857818,0.24724294066909772,-0.02115933822638504
Cerebellum_4_5_L,0.5177009378086417,0.4247431154771028,0.4823507503501405,0.5225233178114244,0.6652682506026678,0.5076854990585186,0.2945380748716646,0.32981933859534845,0.5765166134117491,0.6384363912284299,0.5530507383509479,0.2556349792966398,0.5095504475430468,-0.13768296321378629,0.40751549876894827,1.0,0.4258330141226932,0.6162760400932586,0.538332771341195,0.25648414189753344,0.4574895486485768,0.44629366603607096,-0.0571101828327886,0.27723608005821915,0.0926346367589949,0.46853936114250144,0.4980830327284918,0.47390771816304444,0.4377967836136191,0.2672648602203613
