,N_Acc_R,VTA_L,ParaHippocampal_R,Fusiform_L,OFCmed_R,Cerebellum_7b_R,Temporal_Sup_L,Thal_LGN_R,Frontal_Med_Orb_L,OFClat_R,Frontal_Sup_Medial_R,Thal_LP_L,Cingulate_Post_R,Occipital_Inf_L,Thal_IL_R,Cingulate_Mid_L,Supp_Motor_Area_L,Parietal_Sup_L,Precuneus_L,Calcarine_R,Cerebellum_4_5_L,Hippocampus_R,Thal_MDl_R,Hippocampus_L,Thal_PuA_L,Thal_LGN_L,Amygdala_R,Thal_AV_R,Occipital_Mid_R,Thal_PuL_R,Temporal_Inf_L,Putamen_R,Raphe_M,Rectus_R,Thal_VPL_R,Temporal_Mid_R,Vermis_4_5,ACC_sub_L,Vermis_8,Occipital_Sup_R,Occipital_Sup_L,Postcentral_R,Thal_VA_R,Thal_IL_L,Thal_PuI_L,Angular_L,Occipital_Inf_R,Frontal_Med_Orb_R,Angular_R,Frontal_Mid_2_R,Cerebellum_9_R,Frontal_Inf_Orb_2_L,Frontal_Sup_2_R,Rolandic_Oper_L,Pallidum_L,Cerebellum_Crus1_L,Temporal_Pole_Mid_R,Frontal_Inf_Oper_R,Thal_LP_R,Parietal_Inf_R
N_Acc_R,1.0,-0.22317903913636086,-0.07987581969977742,0.09077813017465906,-0.5435527361884605,0.11679374803595058,0.07463132585661134,0.24646258683556035,-0.2905736517938589,-0.06334119527560682,-0.17349765594688282,0.5028286619699697,0.29728516958931805,0.26653689726616625,0.06205608742714098,0.3967831803116854,0.5121416269829352,-0.326601841181993,0.4088560156169815,0.5328629164838549,0.2672648602203613,0.48552421430777226,-0.02337704713235225,0.3770662649270659,0.5594038537338888,0.14268167854883224,0.5949883401056092,0.257278818421113,0.23505192379555565,0.5606172144812758,-0.24262627986524724,-0.09487120679395364,0.5342882604821212,-0.4725549908971792,0.4731400085150881,0.7267052429677178,0.29876785776740566,-0.3462553187072716,0.4593491554292007,0.4431844781997235,0.24357943051809347,0.5824070835391434,0.14710078619157557,-0.2583282317476643,0.3750396501145537,0.13372428629997485,0.568098891373163,-0.45185483340428223,0.43310733974622545,0.5307781469390177,0.5772251839654883,0.00021111443071103169,0.1291831477132165,0.13089301882243806,-0.4742047934808902,0.19948423034702636,-0.34469409235629966,0.5411449859097914,0.3544044284149973,0.06953309367542716
VTA_L,-0.22317903913636086,1.0,0.5613336232501716,0.39237207587928513,0.3023549106992052,0.520240022449982,0.12289531459132699,0.5907020186267129,0.34642941359213303,0.06105549241009254,0.08477650735665028,0.2392612397803637,0.034114995756964,-0.3147200641624857,0.5646486915866411,0.024778150494322648,-0.11529293053986522,0.08766231839877463,-0.12959479731729795,0.0668209851600806,0.29901920426980466,0.19616683165056262,0.6394999393706351,0.2969657542767366,-0.25336391058508345,-0.05966830991284821,-0.10487599655785293,0.38400367914033023,-0.21320479468055065,-0.41385817307654466,0.2538081011180384,0.4084147468043506,-0.26305508671390376,0.5521900966071787,0.038316515659752276,-0.1414663226340945,0.309435649997486,0.19122426693908937,-0.07177067719761666,-0.18269057791101692,-0.23054905650051602,-0.025069418762242047,0.3140802152542263,0.3916124192223402,0.10793729997249892,-0.10319516639834327,-0.2672913042019786,0.3169381492065573,0.12296092579945354,-0.06714397837667335,-0.02533455852931874,0.33347012935637493,0.2330390966493542,-0.02458003130559988,0.5147552773296609,0.016735691610918903,0.5578423872296632,-0.21064671402076818,0.06761052913659625,-0.07213694257520334
ParaHippocampal_R,-0.07987581969977742,0.5613336232501716,1.0,0.7152833482716248,0.6419933408182379,0.5303753462781553,0.3036063618937667,0.6249006132911075,0.437799468727708,0.16077449500447463,0.21623314793506182,0.1366473054332667,0.32365156668837936,-0.20604490111046278,0.7614586899757805,0.12423718960407637,-0.11244185179014425,0.04900435246928754,-0.03714023114820117,0.08492857579229596,0.5841038749143401,0.41508706930395106,0.8229877946235263,0.5497493485287693,0.13071803126616177,0.3240959574414219,0.14724799601384161,0.5384952277598998,-0.4026198473206032,-0.4964378035164131,0.6330065295128596,0.6381692202276255,-0.15018543540361276,0.7743415267675708,0.36251436073610926,0.06990018631463747,0.653784870484887,0.4129708404854389,0.1378772349026383,-0.3020676084930018,-0.3290855982755812,-0.23646538321413485,0.7540977915068934,0.7008892621485253,0.3461107367531519,-0.23576185341350073,-0.2733196049587905,0.3903055794158411,-0.15245265398228275,-0.10395523254822532,0.36102037375397616,0.6207041103207468,0.18683138919201678,0.4166239691025117,0.6166827454525861,0.1196818469513888,0.754470371309711,-0.036283743600740964,-0.2290633006499497,-0.17124169042818935
Fusiform_L,0.09077813017465906,0.39237207587928513,0.7152833482716248,1.0,0.23620410449329457,0.36748143092404434,0.7209551900333069,0.4923644146061698,0.11223534000123181,-0.20850933091784246,0.10131548156766922,0.2813364655385675,0.603772220099687,0.3763724793765603,0.375390804537707,0.35997880275476146,0.10769821757095556,0.2587965604495536,0.308406282459457,0.5740461662567723,0.671932400910685,0.39879119226917226,0.7430374101742167,0.632849763273023,0.3540853067995372,0.4965057843000366,0.31459596147996777,0.6143116311073532,-0.05360568012440986,-0.08973258618343259,0.7478533178212923,0.843972830548379,-0.007460155534614044,0.3441302704536523,0.4820389440942999,0.11868807418089511,0.6517903201876404,0.3918143100104719,0.1594378364898377,0.15994826346772822,0.01476010751498346,-0.13114889599415167,0.5577453821629422,0.4981227310576311,0.62875653434943,0.2665462941410148,-0.042380458734690804,0.1806325615574766,0.05658628850733193,0.11710409970299956,0.4949325053081225,0.47262163489928355,0.1778774988148949,0.6244600796213243,0.48528948936593697,0.6450116567867831,0.4296853086764247,0.3786692243136849,-0.020934136792784233,-0.16781979760472188
OFCmed_R,-0.5435527361884605,0.3023549106992052,0.6419933408182379,0.23620410449329457,1.0,0.2098553487812311,0.024781069436518356,0.17339088572159508,0.6024285342994073,0.40032304412506825,0.4153472630897074,-0.4117470778050518,-0.013531942746681194,-0.48883639318227906,0.4954486753562502,-0.2593375820960155,-0.5174326748842611,0.06442593960956856,-0.45332811593648026,-0.48480709193423693,0.06552364893915973,-0.1439785634394366,0.4365477850342557,-0.009407327451447352,-0.18853950453186483,0.12173200719470516,-0.3508170378532262,0.09861318356106935,-0.5162241825859126,-0.7601171468380633,0.5448175013651534,0.2917933674176521,-0.5069540536512545,0.8646754772913016,-0.011175978729167285,-0.34009586726602853,0.22760301665324073,0.5760968508799567,-0.05193006963084724,-0.7115691559132927,-0.4877565725831411,-0.624972061729459,0.5224642154055756,0.7256985807759427,-0.13172353954104726,-0.5372938855016937,-0.5692313275175587,0.6565743743979449,-0.558619298063728,-0.5134487419826863,-0.07514691969311599,0.5945732465858239,0.04951433776240599,0.17633188708938818,0.6749368582306782,-0.29590095436022085,0.7765200740086361,-0.4739214881123942,-0.5944586100309187,-0.19081757701882385
Cerebellum_7b_R,0.11679374803595058,0.520240022449982,0.5303753462781553,0.36748143092404434,0.2098553487812311,1.0,-0.12380563546497146,0.4424444516948182,0.44607921775783466,0.18494308758362554,-0.061890443699399014,0.13998566672588114,0.07390023970016481,-0.20045865286387504,0.4625774295081861,0.10125700202404102,-0.16607781909553027,-0.359129790741369,-0.2037206429861436,0.26235566082338696,0.32981933859534845,0.1444524753520824,0.5295003312245643,0.12640259966362827,0.06700522731644692,-0.11260826712216379,0.052966868788341774,0.40508990861318284,-0.32995490909739084,-0.3275537561236508,0.4077471970615339,0.3337496540244534,-0.22575083856433314,0.33698362668985765,0.19140521907346564,0.1555572806179352,0.3214461759728244,0.1458899169205266,0.3134583909909065,-0.24501298061016274,-0.24840501751832736,-0.07256785588685898,0.5579890407477436,0.38072247703540196,0.07772395697217033,-0.4594331047655197,0.026419287269005495,0.2510469938005252,-0.03948960886827154,-0.20176394104386963,0.3917836787885802,0.21367852725666664,0.006550178576484811,-0.023617402447552123,0.10664915114999086,0.22364517626881047,0.47224504995490874,-0.15702019700322134,-0.1806591036247793,-0.2358869718568447
Temporal_Sup_L,0.07463132585661134,0.12289531459132699,0.3036063618937667,0.7209551900333069,0.024781069436518356,-0.12380563546497146,1.0,0.321394775717731,-0.1486321895454703,-0.2276446964039938,0.1502361760706281,0.4120045038262402,0.6890269625234415,0.5452434086974536,0.07655303282070892,0.537584417726189,0.36162553526520996,0.43832814775162426,0.6028985755935599,0.5505049866032062,0.5095504475430468,0.4211442007472485,0.4596680480344925,0.5939237878319078,0.48405156109106073,0.5919323343996992,0.37423273160866394,0.5019717763499588,0.23065121250148823,0.26228449609958915,0.4295299422112029,0.6969615119925597,0.20003189165900198,-0.004212206567905076,0.5370485861396675,0.16809644226837103,0.5222128284649165,0.20976321173182885,0.13028609815867234,0.4198022673659081,0.3065548827839819,0.07991155118093089,0.19495102828250485,0.2331589256939891,0.7275168110690814,0.6051595789425828,0.06256302765876075,0.007778256208048711,0.2564438731282553,0.24745685409984378,0.28792044287788016,0.3345579143156686,0.20391501562216613,0.755586376826516,0.3211189528057378,0.5058190294333961,0.05699526270548744,0.5016686685770221,0.20898192895494616,0.020440817408969473
Thal_LGN_R,0.24646258683556035,0.5907020186267129,0.6249006132911075,0.4923644146061698,0.17339088572159508,0.4424444516948182,0.321394775717731,1.0,0.23159917538037292,0.2510408018057726,0.19471514331547754,0.6203728204360812,0.34557669002375235,-0.18640675852134708,0.7694221435843023,0.47629867990500907,0.368252284626022,-0.11048226763222208,0.2549853734090301,0.3084661723172662,0.6048899634638826,0.7494488352787797,0.6496087910867268,0.7380920101039483,0.34212951170476424,0.35624271957196857,0.43145729047516224,0.5252835790667354,-0.1648838309036676,-0.014738109796119631,0.09110807786905081,0.37541073091346583,0.23195878603466435,0.36204530158573583,0.5356059325693137,0.4456979641751356,0.6628061260817449,-0.09041950997910166,0.35432453806986997,0.002524921050892787,-0.05284182235853763,0.37646302486068417,0.45972907104625854,0.35173145942997563,0.5995035810212735,-0.032415367930456164,0.010038842101736395,0.036948024711576356,0.35974505194900425,0.28646228641810456,0.43175916118900803,0.5373179945759291,0.45238682123031954,0.31082713497467757,0.25293545366340253,-0.06328693217623427,0.3505631251588688,0.14184548264445548,0.3355731431640608,0.009231205001787895
Frontal_Med_Orb_L,-0.2905736517938589,0.34642941359213303,0.437799468727708,0.11223534000123181,0.6024285342994073,0.44607921775783466,-0.1486321895454703,0.23159917538037292,1.0,0.45787050866330764,0.30940668423098433,-0.192396599692568,-0.03579343231228955,-0.41775897187149885,0.39889180505666216,-0.06830048641700964,-0.3940573754669789,-0.17106574627791143,-0.26024527853799995,-0.14933207567820486,0.07508541702895759,-0.136994262390103,0.3466864873070408,-0.07874512752441962,-0.09468937554034008,-0.18646942730801308,-0.2051128273559879,0.059767339252627116,-0.3292208948025481,-0.4686006823459695,0.30482067947672936,0.18869990458478011,-0.29407766608857444,0.5128508682566791,-0.025336772853034695,-0.02036170951476718,0.19093651647665888,0.27443739320783667,0.2052581851749545,-0.40905459430860597,-0.11935736456709906,-0.3023012985143425,0.4658086837842574,0.4368362385595855,-0.1497444543923952,-0.5053105723886419,-0.1393968219286165,0.6112466070379127,-0.23132031457483154,-0.5482115508044983,0.15806090291900524,0.34497278958034666,0.07904307986121548,-0.1654681825939731,0.24019987227372078,-0.20218562972825568,0.6404050171332004,-0.5732251415381927,-0.3532027966789722,-0.15304299932690327
OFClat_R,-0.06334119527560682,0.06105549241009254,0.16077449500447463,-0.20850933091784246,0.40032304412506825,0.18494308758362554,-0.2276446964039938,0.2510408018057726,0.45787050866330764,1.0,0.563280855964147,0.12864729990449744,0.0042400779380551805,-0.5570068764160752,0.3295220290441534,0.13741102734836885,-0.03564078317819691,-0.2169659290177989,-0.10396608459445296,-0.18018021376951635,0.01624861333763304,0.13037315914663306,0.0786308360938173,0.10569589299546388,0.17381532800076857,0.05274148582277772,0.14975188064834843,-0.023147865839340902,-0.23732996585700383,-0.05817943878101163,-0.15008351488075056,-0.23483914959877064,0.037961036123383966,0.26248779166010033,0.21409670613094345,0.24364169309049397,0.13099957421397326,-0.3522662573183347,0.2513099121188533,-0.49277895760823004,0.0343239499881705,0.14788219092063837,0.1806466646915186,0.12903163161898976,0.008929850613430141,-0.4901526988097013,0.0503179133653514,0.3547064107492667,0.020093996898924535,-0.29221261346791794,0.11828069668951238,0.4547640815362282,0.44942062760036644,-0.10326751046974252,-0.09649807610200431,-0.621764079835192,0.3271024778283214,-0.5694014300822149,-0.0912952328160826,0.3134848088455799
