,Temporal_Sup_R,Raphe_M,Thal_PuM_L,Cerebellum_9_R,Angular_R,Cerebellum_8_R,Thal_IL_L,ACC_pre_R,Amygdala_L,Precuneus_R,Temporal_Inf_R,Postcentral_R,Frontal_Inf_Oper_L,Frontal_Sup_2_L,Frontal_Sup_Medial_L,SupraMarginal_L,SN_pc_L,VTA_L,Thal_PuL_R,Frontal_Mid_2_R,Cingulate_Mid_L,Cerebellum_6_R,Frontal_Inf_Orb_2_L,Thal_IL_R,OFCant_L,Thal_PuI_R,Heschl_L,Rolandic_Oper_L,Cuneus_R,Cerebellum_Crus1_R,Cerebellum_4_5_L,Vermis_3,Thal_MGN_R,Insula_R,Supp_Motor_Area_R,Frontal_Inf_Oper_R,OFCmed_R,Thal_MDl_L,Temporal_Sup_L,Lingual_L,Pallidum_L,Raphe_D,ACC_sub_L,Thal_VA_L,Calcarine_R,Temporal_Pole_Mid_L,Fusiform_L,Thal_LP_L,Paracentral_Lobule_L,Cingulate_Post_L,Frontal_Inf_Orb_2_R,OFCant_R,Vermis_4_5,Cerebellum_3_L,Thal_MDm_R,Red_N_L,Paracentral_Lobule_R,Cerebellum_3_R,Occipital_Mid_R,Cerebellum_4_5_R,Thal_VPL_L,Vermis_10,SN_pc_R,ParaHippocampal_L,Cerebellum_Crus2_L,OFClat_R,Lingual_R,Cerebellum_7b_L,Thal_VL_R,OFCmed_L
Temporal_Sup_R,1.0,0.6059020298998662,0.815198348476239,0.7226541360896364,0.499225869317206,0.6442386189051786,-0.07275138614427587,-0.028675541356301664,0.6363626364150023,0.5519310755894256,0.7548090498735577,0.633654427689509,0.14121123633613653,0.08964219398157415,0.15375943427574892,0.2482151010279687,0.08186518341718371,-0.10146136338179913,0.5025494252443555,0.43315929301654543,0.7001197877104354,0.6203477033504703,0.2866018102158923,0.26752789731252014,0.06376781782773899,0.5382748902571483,0.4884985742213099,0.44461501269797454,0.23324853449250452,0.6817845512988066,0.5076854990585186,0.239098950343379,-0.018948360028508696,0.7108285165977032,0.4992130512618885,0.47253997016175014,-0.2534871925527513,0.04580886134087781,0.3042766761366197,0.6922430863968783,-0.3606198403709115,-0.02299747886921268,-0.37980182852138233,-0.07627684212063106,0.6083069937273803,0.13973450523848313,0.266866450337804,0.6501233398451457,0.584449110660683,0.7323288800146572,0.05149130824547973,0.08212862086896149,0.5334287641920308,0.27726944753672844,0.4063627572589236,0.6200257301535529,0.4917176211951268,0.4627027741949225,0.15220992625955607,0.5203003155835967,0.33542762072371135,0.45930386713552324,0.3287293057349982,0.30671881641806825,0.09650698872665105,0.2906778170010761,0.7977866423097693,-0.0684861377792535,0.6995242440668837,-0.12852559091167895
Raphe_M,0.6059020298998662,1.0,0.5966536909179566,0.40231776621253534,0.4911723581223991,0.2928739292796511,-0.39022665825949465,0.018835746687945187,0.3815587094945783,0.5211278868301018,0.31734053958376557,0.6475746472790053,0.13283277530713072,0.30316142024399517,0.33712496601087283,0.28576083801143276,-0.010581408599370868,-0.26305508671390376,0.6103848657574819,0.602639460648294,0.5702429357894102,0.3441782491745489,-0.0692272685688459,0.01731372621554883,0.1067892772753784,0.35572879590427325,0.5912770469301737,0.24234594539132875,0.42243305643847023,0.4295047667984254,0.35828608117948135,0.09912542825348215,-0.2142726033149861,0.5312014279380107,0.5842070844967564,0.4725066103086075,-0.5069540536512545,-0.2634573252766658,0.20003189165900198,0.6492631284518485,-0.4125858451955063,-0.4725989215832047,-0.5751451726748231,-0.38024738784463785,0.43865796543067176,0.18030393335748554,-0.007460155534614044,0.5570305420878953,0.5913355071500871,0.49127247210502695,-0.20876571266613866,-0.06562786236640558,0.28776128078063107,-0.10783901202173024,0.19172018460109633,0.6774335365817772,0.5573441834466177,0.35742732190867077,0.29393432986923346,0.1161778873067692,0.07654445314490062,0.35194073731498926,0.07561407534358552,-0.0497588968169148,-0.0667787948160643,0.037961036123383966,0.5160983952682442,-0.14745060578076263,0.2388270135455931,-0.3122735020857034
Thal_PuM_L,0.815198348476239,0.5966536909179566,1.0,0.6489580419681579,0.5389414465624235,0.5603949991937343,-0.0920016275358523,0.15464578515330882,0.5359257860150175,0.6347748845294101,0.6408062683123706,0.6016468896599946,0.35795432610514205,0.28038092445220164,0.28999251971651435,0.5083074102210912,0.17149255383684558,-0.04552549435328969,0.6515266504584428,0.45190905530466907,0.7696987805144152,0.6644527840986605,0.2254821910425653,0.15299861619753372,0.03946312577722471,0.7479927171050355,0.6692898448128404,0.5390803471376581,0.4693523043666595,0.6136786095670829,0.5355635242906247,0.263337737839069,-0.0851269190288228,0.7327855311526227,0.5579867501087129,0.5507226573050834,-0.29261480094034,0.14337342434868908,0.5912510027918799,0.7968027501438111,-0.25652266505787197,-0.14012410968779943,-0.33290199892083816,-0.02112081415579299,0.716033644839326,0.25426820290369734,0.45604787517251455,0.8034356165018154,0.6451687702998777,0.6530624865452355,-0.04728884017005856,-0.019250176328254,0.5503574091487908,0.12456576465237484,0.42566306127533454,0.6975505138447684,0.5901979292545764,0.4099132335250809,0.35998556207575616,0.40856820930927296,0.5160834988786541,0.6599104548388063,0.19101241003051275,0.30291939877231605,0.16471282746809834,0.1354575832528946,0.7358155339170881,0.11604233386959774,0.7078210694092016,-0.1864414147466788
Cerebellum_9_R,0.7226541360896364,0.40231776621253534,0.6489580419681579,1.0,0.15063524863392086,0.8631236979787515,0.13975580672149684,0.1551925458715621,0.7944133469138019,0.4474263939433287,0.8143690765441772,0.25361917047550936,0.20296802202410288,0.19105951329773357,0.2899746747668559,0.08125679834161272,0.1830453232129483,-0.02533455852931874,0.25863743319226046,0.31227182991141583,0.46179183154299447,0.6321539749397471,0.30803098963263725,0.3452362252694816,0.04594568118792646,0.6165740431137071,0.25130050510572577,0.3803407164123603,0.17014412500071474,0.6863744597681474,0.4377967836136191,0.46742964500780493,0.1662654307005562,0.6180079277046557,0.2963254382764187,0.38657346928589376,-0.07514691969311599,0.2658655916272902,0.28792044287788016,0.6438099398733643,-0.14780737582452294,0.22731308794545294,-0.10609350423294144,0.27589458433144726,0.5676183697973068,0.2525496988720564,0.4949325053081225,0.3534865057705277,0.25345716410914826,0.4877814385738635,0.017032618983327388,-0.025959161695528317,0.6056247335400713,0.4102226958437275,0.4553970375314535,0.6264449016699682,0.25334404424072793,0.5006612579700057,0.016490399192524124,0.5819983156504092,0.45450983097657816,0.3066727321671937,0.38297841467422544,0.5093203342705487,0.44595897013589153,0.11828069668951238,0.7969924328878801,0.29905139447102813,0.7581910023259045,0.03316095225945555
Angular_R,0.499225869317206,0.4911723581223991,0.5389414465624235,0.15063524863392086,1.0,0.23859218952760694,-0.5567387393224473,-0.16036211177672885,0.31812796136066535,0.7235551091344313,0.18564352281015406,0.8797032799062194,0.0035119718586164505,0.17267033343307153,0.0728780085835606,0.37499165674545365,0.12428480534916446,0.12296092579945354,0.706376196103612,0.4100815170052227,0.5380539726978177,0.41579091192347756,-0.06467016412905387,-0.027528494348581727,0.2658763077041311,0.28937850263530607,0.33269039532353195,-0.016917807824010388,0.5346877038258159,0.3688361421358103,0.3182541318362509,0.01721604171878219,-0.24966918195441334,0.4127498502079751,0.7829725472483371,0.24110570766704745,-0.558619298063728,-0.20742323711350963,0.2564438731282553,0.5974343760277291,-0.45871995718213443,-0.5536097029529485,-0.5684219618320936,-0.37595876982578336,0.5717859526061294,0.2086809943156741,0.05658628850733193,0.8165740911931362,0.6589107698113059,0.197370099797825,-0.11029037786974671,0.04740118089779618,0.18492683990887687,-0.3332297207364084,0.3629994287271076,0.42431704009909715,0.8107551270468598,0.08268850981699741,0.510194874703175,-0.01996688292815054,-0.24010447367976465,0.297774231173355,-0.10425477411595946,-0.10137473581897537,-0.10284040835856409,0.020093996898924535,0.38140961686302804,-0.150647486373329,0.007141819304332854,-0.4879841836511937
Cerebellum_8_R,0.6442386189051786,0.2928739292796511,0.5603949991937343,0.8631236979787515,0.23859218952760694,1.0,0.1685509318660542,0.167488387786868,0.7745953227526234,0.5161887302877066,0.7466384541889065,0.26081222431890533,0.24165265294407387,0.2368281345921655,0.2927202126196339,0.04861544888706765,0.3309568188554911,0.23266663025830406,0.1651170834666542,0.31328297889737167,0.4848103690350631,0.699595715080544,0.2611868012561779,0.3605293957391488,0.2133671363746239,0.5247795221515976,0.10390046638407005,0.29168379142161127,0.17657779025570422,0.664421448966774,0.538332771341195,0.47945834205534016,0.2447527908804426,0.596130251544462,0.3428342190458805,0.3672157398770221,-0.12903364856149435,0.3595559320938986,0.2866667294507571,0.5968552857137418,-0.07455953527785177,0.2230725384281539,-0.06855838964606113,0.34432825843062903,0.6638608627632024,0.2792938281120622,0.5768986103256022,0.41498272712339723,0.19532892324038162,0.31955664741035106,-0.0025369487705320325,-0.028006346416967826,0.6205792365991865,0.3028754083030258,0.5348385105748628,0.4096121330536269,0.23895582216185618,0.4892946703218106,0.00987184806850234,0.5232679699935363,0.3906996943402384,0.2968223681091617,0.4101708012594313,0.5433990093660082,0.5202881881786372,0.016180716556258832,0.7445450657348806,0.4333041412327932,0.6384220847482511,0.016265673168484637
Thal_IL_L,-0.07275138614427587,-0.39022665825949465,-0.0920016275358523,0.13975580672149684,-0.5567387393224473,0.1685509318660542,1.0,0.26212503667200193,0.1305128357543087,-0.17581022141723127,0.1895396253836152,-0.5921550800139196,0.31075396598556493,0.007252221552492549,0.12296553351256431,-0.10182455476811399,0.4102884467130986,0.3916124192223402,-0.7136835418647032,-0.1891261796514964,-0.03237856171812644,0.07505845974927422,0.5148691143289584,0.5992170347868403,0.18269114634006295,-0.16235657329474176,-0.28721515141590415,0.39557266369887667,-0.45286571530685654,-0.2551196761949746,0.3005140683402675,0.44491272500618917,0.7222150068695347,0.0865634998216865,-0.36205714232134095,-0.056952719836715036,0.7256985807759427,0.8111821197227348,0.2331589256939891,-0.2897430510529354,0.7554622712386199,0.5000505506581819,0.60649023071133,0.8226643309893517,-0.1354727930859699,-0.27343744304804113,0.4981227310576311,-0.2684920111972209,-0.47391749945602724,0.020273195255691937,0.3927998338553219,0.19126249542322107,0.44198047161175885,0.6165036858584562,0.3320064193124072,-0.29547574726985476,-0.4433866101333015,0.3917385156699609,-0.518407665931814,0.4695738224482761,0.6522657852543458,-0.02040565733892465,0.5878233744863633,0.6550733459310695,0.05466946063918086,0.12903163161898976,-0.016361475151669667,0.2954414297590239,0.4773621389010895,0.6548293102853449
ACC_pre_R,-0.028675541356301664,0.018835746687945187,0.15464578515330882,0.1551925458715621,-0.16036211177672885,0.167488387786868,0.26212503667200193,1.0,0.035060853993803674,0.3255914132123254,0.14274579277099478,-0.24000216646110753,0.7424288634126112,0.810211119236118,0.7003034892950679,-0.08183389039620663,0.14823231209797258,-0.034509352836821786,-0.05522543565260058,0.35621621613572924,0.1195058502864164,0.3458925256937052,-0.0866658187227554,-0.04877680559486172,-0.058521868575079176,0.2296092348154852,0.26575244296132444,0.49633060362032394,0.5148626091597776,0.09989717033078613,0.26534810176870766,0.09432926056324709,0.03548297867537008,0.35358619388059576,-0.07455409149609539,0.7231939859024872,-0.09754753151297821,0.35016852935676124,0.48864031735902996,0.2224479872520467,0.30511235846365187,0.018552830003010976,0.5562509608568516,0.27716358828023324,0.20127469579897292,0.6810283613740058,0.48054365377303765,-0.04314578795899314,-0.3573189744506669,-0.1691743141897252,-0.6167442292184512,-0.5728047571540708,0.2773571949898601,0.09619349061347217,0.04626202764721676,0.16006129553443302,-0.1615204780757291,0.13082705747797374,0.17670332368551261,0.2514702742503841,0.497088455355597,0.4561504581875276,-0.0288153436178589,0.17437495114472548,0.48987222260648533,-0.780011207335391,0.06525482750382633,0.6515556921766502,0.19517505384165462,0.11393403055995097
Amygdala_L,0.6363626364150023,0.3815587094945783,0.5359257860150175,0.7944133469138019,0.31812796136066535,0.7745953227526234,0.1305128357543087,0.035060853993803674,1.0,0.5287116368121065,0.7155570673295955,0.36846914595432423,0.10162749618295766,0.1714753952803511,0.20417010295879495,-0.041809946253137505,0.34311954426419977,0.26026795213053283,0.1480471081982203,0.2980094790042577,0.43868666742311785,0.5112666257101527,0.3522457424183265,0.5569116762382292,0.3452025037173767,0.3787923225384214,0.04315245495848007,0.23356236203249253,0.051958941642488786,0.4470792622447011,0.5530507383509479,0.5951719523516483,0.3975046578261994,0.607291152703832,0.4912503343808679,0.21073803228227592,-0.030407898922764444,0.3623913902690774,0.16563274820470691,0.5133317326852793,-0.06491756344109287,0.0888278629576529,-0.18324710451978457,0.3233418513632272,0.4509898099379961,0.1373326977727443,0.45255880662018294,0.46335591951637484,0.26474436428711434,0.37654515335532557,0.14827013385410662,0.18263017395752526,0.6736438656075309,0.3019338868900819,0.6773137996831003,0.5156402709678437,0.3827375753279424,0.5861386469377299,-0.09165704051072325,0.5623171159475077,0.27620716789070787,0.10338484913717765,0.48930046987831677,0.6349542874941683,0.23048139251923142,0.16679045674732243,0.6948106699023517,0.15979835836732711,0.6350245588662787,0.13946804453698647
Precuneus_R,0.5519310755894256,0.5211278868301018,0.6347748845294101,0.4474263939433287,0.7235551091344313,0.5161887302877066,-0.17581022141723127,0.3255914132123254,0.5287116368121065,1.0,0.3426406778099831,0.6061390566473837,0.5423014178975532,0.6035933710361924,0.511689916710261,0.3942429343064618,0.31695263527958295,0.12484779515961829,0.5064970866395511,0.6126440350844139,0.6883114810314385,0.6727023780452953,0.12631343549971866,0.16842910025521052,0.32688226261001735,0.3954507849705654,0.43458935441221686,0.4643888102095437,0.692697884075008,0.38447305642688523,0.6384363912284299,0.338916805525174,0.005023197898245637,0.7058504592657,0.7401322063069415,0.6110241379551404,-0.39728027064946214,0.1794774379200182,0.6263148187202484,0.7722372577331301,-0.07710930648055485,-0.44170636110585537,-0.23813684866020876,-0.02073682112635103,0.6896356479851584,0.46222507150667713,0.5085375539694793,0.7016141485489987,0.44619256294841325,0.24502407696383202,-0.301826494635461,-0.1051639301580841,0.5723867973435031,0.015651710297013084,0.47443130478610157,0.5976411045228885,0.7368401578693642,0.41764350605420264,0.31544989304926513,0.3597950001238561,0.2566806892709767,0.5174900979862554,0.03570774462968212,0.18691089276907746,0.19022686009059733,-0.2661648238654866,0.5753745573643029,0.27423072553692696,0.30458578764123945,-0.2143565996078702
