,Thal_PuL_L,Cerebellum_Crus1_R,ACC_sup_R,Cerebellum_7b_R,Olfactory_R,Precentral_L,Temporal_Sup_R,Frontal_Med_Orb_L,VTA_R,Frontal_Inf_Oper_L,Vermis_4_5,Frontal_Inf_Tri_L,Precuneus_L,Lingual_L,Vermis_6,Thal_MGN_L,Supp_Motor_Area_R,Thal_LGN_R,Rectus_L,Calcarine_R,Raphe_M,ACC_pre_L,SupraMarginal_L,Thal_LP_L,Cerebellum_4_5_L,Vermis_7,ACC_pre_R,Cerebellum_Crus2_R,Olfactory_L,SN_pc_R,Calcarine_L,OFCant_R,Cerebellum_Crus1_L,Frontal_Inf_Tri_R,SupraMarginal_R,Cuneus_L,Heschl_L,Cuneus_R,ACC_sub_R,Thal_VPL_R,Cerebellum_Crus2_L,ACC_sub_L,Parietal_Sup_L,Cerebellum_8_L,Occipital_Inf_L,Insula_L,N_Acc_R,OFCant_L,Thal_LP_R,Frontal_Mid_2_R,Temporal_Pole_Sup_R,Supp_Motor_Area_L,Frontal_Sup_2_R,Temporal_Pole_Mid_R,Thal_MDm_L,Insula_R,Occipital_Mid_L,Occipital_Sup_L,Paracentral_Lobule_L,Thal_VA_L,Hippocampus_R,Cerebellum_4_5_R,Thal_VL_L,Thal_VA_R,Frontal_Inf_Oper_R,Thal_AV_R,Occipital_Inf_R,Frontal_Inf_Orb_2_R,Caudate_L,Temporal_Pole_Mid_L,OFClat_L,Thal_LGN_L,Fusiform_R,Caudate_R,Occipital_Sup_R,Thal_AV_L,Thal_PuA_R,Putamen_L,Cerebellum_9_R,Cerebellum_6_L,Precentral_R,Red_N_R,Rectus_R,Frontal_Sup_Medial_L,Temporal_Inf_R,ParaHippocampal_L,Postcentral_L,Fusiform_L,Thal_PuI_R,Thal_PuL_R
Thal_PuL_L,1.0,0.463086679679882,0.5089381718460209,-0.0866315738924029,0.3793109594594208,0.5809192145779005,0.5793117180395353,-0.2287573063804313,-0.08431550018973426,0.5359036037629126,0.46939040557021283,0.4901302964341111,0.6442180529396926,0.6780331444407448,0.296599794147197,0.19159445582376855,0.3018489733084104,0.3004844999853231,-0.20753089441909975,0.6014260729587725,0.4567069292029154,0.21191046513050912,0.619883613529537,0.5419745343654445,0.4574895486485768,0.281441425978143,0.33592628679418396,0.15850947925051645,0.2868706863217627,0.0260144037536094,0.572694814368174,-0.13638556317675962,0.3690438431169618,0.46556270927170046,0.3300400165489171,0.4655047152448633,0.7390775227531381,0.5194333130700762,-0.1159557743102005,0.8412289411758537,0.2119560675743194,-0.08978537356271803,0.20568149788754653,0.2961347388127428,0.46232149975516085,0.5439230183484091,0.356190859335507,-0.034828850799129035,0.15858482578605368,0.3906283539412799,0.3043055946828382,0.5736838611512468,0.33417804056983047,-0.05435139910105385,0.31069940058965856,0.6034723559421634,0.42975156834569866,0.40427130436750275,0.5076458921512803,0.061797031256681796,0.5321815245691667,0.3547785699428359,0.6543172876132795,0.28106348934092723,0.5950536660474814,0.5849137694404994,0.2790164825081191,-0.09882234620936711,0.4356745021909478,0.24649728589202194,0.1546669998309872,0.7226448260657841,0.4476716079566187,0.3726663310458686,0.42386820613601806,0.23946165524741123,0.806543411634864,0.2744773607820905,0.5134993022029927,0.546359509334473,0.5038427895942145,0.5947528957045807,-0.2084946456868977,0.40656707705745465,0.4227922216157036,0.20400447849800477,0.4726289879609521,0.5399011398350219,0.727321955473391,0.5032227910923981
Cerebellum_Crus1_R,0.463086679679882,1.0,0.3553841995752034,0.2453594807979961,0.1689030709322578,0.19445510054229334,0.6817845512988066,-0.047728968500232304,-0.29244450726446986,0.04159330663147039,0.20977265195120476,-0.009396406375212324,0.502274344770552,0.6952971912420237,0.6537766244115999,-0.209795579999418,0.16897749816537372,0.05953446355341443,-0.48515902906681724,0.7285094171423184,0.4295047667984254,-0.07433386899793111,0.22134619294862437,0.3785299446602866,0.2215288807702773,0.8546879661482837,0.09989717033078613,0.7946850011787882,-0.10426009163968127,0.09516683741480263,0.6508997040208984,-0.27100614376025123,0.553822303119589,0.15062341391575856,0.43685841138412135,0.6274322373398643,0.42310957805632027,0.4178924942934424,-0.23143827065720274,0.4828568972923796,0.5834419853895702,-0.22658012385045576,-0.1939525938383433,0.49226233141401343,0.44930839909994824,0.4419083095392435,0.6384897286120124,-0.2245651270818033,0.126570783805274,0.2221997891081211,0.06840505135987854,0.33232619530220586,0.05239771882683655,-0.16861435943112188,0.11087598272982628,0.4257475367089626,0.35487529576085075,0.4869551958531916,0.4055394214083767,-0.1337617390579276,0.21047084705234137,0.2863445551646058,0.15404223601897832,0.22955400319518168,0.39781306460966775,0.29120721030270563,0.713748399641491,-0.18854667049889592,0.05734426711885969,0.4099076753463396,-0.1524915741325312,0.0836547617443489,0.5535302181479037,0.34861123603690625,0.5125305006280182,0.170103749049679,0.6442959973683487,0.4459329524850086,0.6863744597681474,0.7355334141207523,0.4184571480667945,0.5885457707292381,-0.4905742590574704,0.12875478417917832,0.7080877822393148,0.11722668720903219,0.0408330737141136,0.24879053642070628,0.7549720981940273,0.5327469693631095
ACC_sup_R,0.5089381718460209,0.3553841995752034,1.0,0.12671054732260953,0.3084786081103207,0.18505656677084883,0.4222759423988334,-0.16997933059062728,0.05715081616720196,0.6399655629956927,0.5956787356592134,0.7311253595618676,0.3533364404739877,0.4723942356614144,0.3113169242862967,0.3097574531442274,0.17592961239948143,0.2703290098887673,0.04578223409259457,0.40649172770494896,0.2452443844726369,0.5983603489011937,-0.04868221833787276,0.19268296442242466,0.47444229751213435,0.1647533352901567,0.7956659244024024,0.34803833605607826,0.4524367827406068,0.2220570312331098,0.39905652532747266,-0.3521950144974527,0.4895200914245788,0.7123827778137193,0.02509794463223946,0.28032011012960373,0.3002169754022195,0.43300380019241064,0.2904911782937992,0.5609063267535771,0.4700727660796387,0.3440311322698512,-0.06552463003980735,0.4798643506804803,0.3695445900278016,0.7431574331738455,0.4590110483534859,0.13027750829986962,-0.07779752731633884,0.4900837011701861,0.4124425401366444,0.3368660914805417,0.005163067977838607,0.05717348933638777,0.4432060640254645,0.621390926377056,0.16552920965489515,-0.08362720116568825,-0.08725347219859081,0.34220441183071304,0.38695782053448996,0.4927521191883781,0.6011324299648225,0.508190449137017,0.7609412368420152,0.5805641632403105,0.06528287772931163,-0.38780829075412576,0.5345368912532031,0.5403786667507681,-0.04832012896941855,0.43807000355832676,0.47162373356669735,0.617225540507762,0.331061633702849,0.4918083792399772,0.4187285196224738,0.5476241525812129,0.552522187729706,0.538679784685461,0.28293621849417766,0.489025415276748,-0.0016965725203216247,0.6689833395626505,0.4999330451394188,0.38778807512751745,0.07662855807885281,0.5649438638846669,0.4322535262468387,0.06103435876080712
Cerebellum_7b_R,-0.0866315738924029,0.2453594807979961,0.12671054732260953,1.0,0.0065645034954374985,-0.24076648621389352,0.23542754505932387,0.44607921775783466,0.3992008778919186,-0.09135088480698018,0.3214461759728244,-0.026886344083314615,-0.2037206429861436,-0.03996268988756217,0.28481641203605634,0.34426640860726465,-0.029370093105560796,0.4424444516948182,0.30032657933321133,0.26235566082338696,-0.22575083856433314,0.05606175213108812,-0.24868113220899066,0.13998566672588114,0.32981933859534845,0.12086254975900845,-0.10167964183675976,0.6540963636953361,0.2909352104300111,0.5506258566567176,0.245700807347723,0.18367824506361055,0.22364517626881047,-0.05889984792906682,-0.1632151973978258,-0.05615162799655351,-0.3178897431811395,-0.38417594444047215,0.16040978918523838,0.19140521907346564,0.3093226184363012,0.1458899169205266,-0.359129790741369,0.7540525293474849,-0.20045865286387504,0.2719788474422901,0.11679374803595058,0.22992132997840362,-0.1806591036247793,-0.20176394104386963,0.43510150831847993,-0.16607781909553027,0.006550178576484811,0.47224504995490874,0.43707916917153744,0.18243900859922446,-0.40251959390591574,-0.24840501751832736,-0.17160886517021154,0.525672493773236,0.1444524753520824,0.3878641000457228,0.3191106957000145,0.5579890407477436,-0.15702019700322134,0.40508990861318284,0.026419287269005495,0.29630267590028775,0.34590467235316646,-0.14492195151151951,0.1953052913492122,-0.11260826712216379,0.6578382342604598,0.28532166710798634,-0.24501298061016274,0.5812428967878169,-0.17083980828071943,0.5222198471733709,0.3917836787885802,0.43385381406673407,-0.2333798854747458,-0.10982219101696174,0.33698362668985765,-0.19337759601130383,0.5182553007657899,0.6323351027621738,-0.34824690752189513,0.36748143092404434,0.07300157051597157,-0.3275537561236508
Olfactory_R,0.3793109594594208,0.1689030709322578,0.3084786081103207,0.0065645034954374985,1.0,0.1155574974917292,0.4766746589375727,0.06705718790145165,-0.08405894957108463,0.2670367553845582,0.45642252527090915,0.286214096874718,0.1829959660931085,0.22661669365598502,0.43251638512855006,0.34264246677433086,0.10719990778472273,0.2708949052466698,0.1496733319074353,0.09659010615845041,0.11850989955505781,0.1732845201040364,0.12007814721161879,0.14732293628344387,0.37220458966373876,0.06522432432134113,0.12897094556015515,-0.004698391996548696,0.5553462158406165,0.18769918142369435,0.16401161153302415,0.1567939878822961,-0.030353444104653515,0.24157109316827455,0.05870200034391451,-0.05117513981693091,0.3534439066809634,-0.018843037754785838,0.204186734075514,0.44379871723942965,-0.03737286817916381,0.11913000768364862,-0.09248562809966525,0.2550302308091321,0.007414695518346088,0.4226182749752318,0.30110303278548867,-0.06072197553854787,-0.04584869092758202,0.1955839438678006,0.48980838514349656,0.1869757820009252,0.25005579909981485,0.09448142935620454,0.19741514372893143,0.5162303433944928,-0.046480892459080235,-0.05823538309659052,0.11178069707243547,0.10656726531036069,0.3924376758086821,0.6767480717857488,0.38824739315774737,0.30905542808949626,0.2779727053174977,0.21874370908422064,0.014808715618797168,0.15232385150990524,0.2419152136536487,0.054601135686628145,0.43326774281914243,0.46361363965800534,0.3817406283771468,0.16308040294808088,-0.07660946402285683,0.10352651733599172,0.3221375497764068,0.16877942330300752,0.42003964859969295,0.35154142420393275,0.1501761028169338,0.556081872075223,0.1466879619114309,0.22826666697374545,0.43028623429014884,0.26901652367775303,-0.04015550549847386,0.3137691564788846,0.15884066683507825,0.08021941230877702
Precentral_L,0.5809192145779005,0.19445510054229334,0.18505656677084883,-0.24076648621389352,0.1155574974917292,1.0,0.4651541019412434,-0.3294211140100728,-0.009254605556126116,0.3991259485361183,0.411468657465644,0.1593088699540692,0.7909428672641945,0.6591832554695949,0.29450739072686144,-0.2896961981192678,0.8251580887467107,0.36192637091345664,-0.3075801998533206,0.4741013547726915,0.6290070640485148,-0.215113586184378,0.5852502647219617,0.7551864607675054,0.47599676861492046,0.18980693017238606,0.04209287001182973,-0.14718297846359513,0.09064671762454456,-0.10897335131584095,0.6496294352044756,0.06849227535734377,0.07957421459295594,0.3072314421315339,0.7241214540489342,0.5341518127651433,0.5912219036276936,0.5445431035056383,-0.5950015444110764,0.43019810359759286,-0.15317547571926324,-0.537995966939864,0.18410467528918767,0.12602769599291677,0.3194905399243247,0.32442647101931155,0.2767525349456717,0.220224329514736,0.7194565960017986,0.6028360753933997,-0.07114445109169285,0.8925619951579425,0.4476861737394867,-0.3464973808319697,0.3718494145800421,0.5247766091318534,0.5018711201967687,0.5399453673836389,0.7413885840176642,-0.28128987351118967,0.65744313661151,0.1003570094838662,0.07501991083253035,-0.26903260325305256,0.44935102487530165,0.22062147204916316,0.3351687799510515,-0.16105450344307393,0.2717420645290756,0.25913118271897045,-0.11138425958509447,0.33432085096800834,0.18214511935453806,0.3472664946078768,0.5474787115492736,-0.008368614898875514,0.6372372571251765,0.13537296221832448,0.2389878191177366,0.257539386629822,0.8044375575091323,0.31450068288538535,-0.30196430144360703,0.37113355159315264,0.0951754968752812,-0.06903377325737749,0.8020293864399137,0.19760912574483977,0.3213052226563966,0.6616102598222329
Temporal_Sup_R,0.5793117180395353,0.6817845512988066,0.4222759423988334,0.23542754505932387,0.4766746589375727,0.4651541019412434,1.0,0.0022292515854229655,-0.022882381000624896,0.14121123633613653,0.5334287641920308,0.027182734250275092,0.6166778847395311,0.6922430863968783,0.6709982686579679,0.05216122983544945,0.4992130512618885,0.501644474859745,-0.2638771161715544,0.6083069937273803,0.6059020298998662,-0.19668664297018384,0.2482151010279687,0.6501233398451457,0.5076854990585186,0.530805145897739,-0.028675541356301664,0.4423144026657525,0.2160190860675455,0.3287293057349982,0.7340196900883793,0.08212862086896149,0.12340458584756477,0.3203956979806871,0.6429507418561974,0.41058076253544223,0.4884985742213099,0.23324853449250452,-0.35153776260679215,0.7574771400424892,0.09650698872665105,-0.37980182852138233,-0.27434026094613845,0.5353330227972783,0.12058852881199356,0.618215119530429,0.6882556597266551,0.06376781782773899,0.3029842994887733,0.43315929301654543,0.3805243783175083,0.5852224771671859,0.3328110649945906,-0.09940075923891184,0.41111482954135353,0.7108285165977032,0.15927887073132377,0.3576302047077402,0.584449110660683,-0.07627684212063106,0.6899897166333548,0.5203003155835967,0.306164085687131,0.3362723204599752,0.47253997016175014,0.4401991848221764,0.5102750579729433,0.05149130824547973,0.21462197394949348,0.13973450523848313,0.140320095285108,0.38419400686856453,0.6935683193704333,0.5093709580060697,0.330744479041945,0.2979316617867213,0.6466393271636288,0.5906902714512812,0.7226541360896364,0.6617469603268602,0.651949724842563,0.6668153428595001,-0.24751456072373731,0.15375943427574892,0.7548090498735577,0.30671881641806825,0.12755383293516892,0.266866450337804,0.5382748902571483,0.5025494252443555
Frontal_Med_Orb_L,-0.2287573063804313,-0.047728968500232304,-0.16997933059062728,0.44607921775783466,0.06705718790145165,-0.3294211140100728,0.0022292515854229655,1.0,0.26351021020362086,-0.335045891010648,0.19093651647665888,-0.15816368567818148,-0.26024527853799995,-0.1878613426009514,0.10021282141979855,0.33520424084603445,-0.2829428735583186,0.23159917538037292,0.4327196645331434,-0.14933207567820486,-0.29407766608857444,0.1265730877241341,-0.05574740346473149,-0.192396599692568,0.07508541702895759,-0.015765674685347453,-0.33070485258605453,0.15460078974561442,0.2616649853154571,0.4017432447970114,-0.001209692943966744,0.49045758424824754,-0.20218562972825568,-0.47116775514586534,-0.30961254053092874,-0.316711295173629,-0.39897835160832534,-0.5175046148208096,0.3575737825454029,-0.025336772853034695,-0.08195377305163148,0.27443739320783667,-0.17106574627791143,0.2968496844353748,-0.41775897187149885,-0.0644868649586388,-0.2905736517938589,0.1050214031658845,-0.3532027966789722,-0.5482115508044983,0.4759932870707736,-0.3940573754669789,0.07904307986121548,0.6404050171332004,0.19166319434701365,-0.17382065923862772,-0.41273606916336636,-0.11935736456709906,-0.12699863254772575,0.5071452863148039,-0.136994262390103,0.2605620469807465,0.19514771399894745,0.4658086837842574,-0.5732251415381927,0.059767339252627116,-0.1393968219286165,0.6368233273884063,0.2565921599633468,-0.4053656027759469,0.5275252852993525,-0.18646942730801308,0.2861644962113722,-0.13502955037074665,-0.40905459430860597,0.4228266707589979,-0.36809636993242895,0.14794555452190541,0.15806090291900524,0.06847334832077041,-0.4947446823441034,-0.19830996958004918,0.5128508682566791,-0.4764831204728268,0.24819698148188069,0.4393990029685536,-0.3441668219356233,0.11223534000123181,-0.16753224970640865,-0.4686006823459695
VTA_R,-0.08431550018973426,-0.29244450726446986,0.05715081616720196,0.3992008778919186,-0.08405894957108463,-0.009254605556126116,-0.022882381000624896,0.26351021020362086,1.0,0.07987596586043483,0.3829273583851951,0.16315891979662764,-0.1588670286010046,-0.20940768876829427,-0.12052778526930685,0.48227822593430747,0.1153164250785031,0.5314497089848986,0.6717789874033282,-0.04706077095376087,0.004019328557249973,0.15996427061191013,-0.09436352161795535,0.1587156289864898,0.4258330141226932,-0.5061060887204221,0.0040797456476296895,-0.06098118077722473,0.5444748772506698,0.675392959790199,0.06666666062350055,0.36685050599608776,-0.10628946719637375,0.18307645444266796,-0.1821906081476331,-0.2692283820252215,-0.342460792226635,-0.36241675203131385,0.21418133401513728,0.0885980217131971,-0.18032598555448168,0.14643945779240639,0.0007706343205222924,0.3362953254672773,-0.4149636440102631,0.2966975539754829,-0.17594992232803264,0.5453256553105459,-0.04769045813591195,0.003956576694858555,0.46610392093607717,-0.075455844578855,0.23003868683023507,0.5372835114047478,0.5868307380143978,0.22576519866943345,-0.41162177808627315,-0.353929906151163,-0.2153602810111517,0.5641718163618165,0.3602002364711714,0.26854311251478946,0.36042791596078405,0.41960386759694585,-0.126344824281664,0.25653729629397254,-0.295463477889362,0.3926383419280048,0.5229163402652881,-0.28305434075706976,0.3471335654844055,0.2002058760871606,0.3706350167983529,0.3160605145309041,-0.35229956032193077,0.5517792560038057,-0.39101558801024877,0.31853204950584746,0.010413147732408215,0.09117297489322175,-0.20805966423218547,-0.33153160170903373,0.688729514547918,0.04036287043908321,0.12216423646910299,0.661852709228245,0.03733382224737715,0.35090920527168357,-0.27559031448913546,-0.5003713882061509
Frontal_Inf_Oper_L,0.5359036037629126,0.04159330663147039,0.6399655629956927,-0.09135088480698018,0.2670367553845582,0.3991259485361183,0.14121123633613653,-0.335045891010648,0.07987596586043483,1.0,0.40387599136084823,0.8804654156284512,0.3665512841190504,0.3502912778283183,0.10422452116368353,0.29363047591642366,0.14957006024163447,0.20686885084563467,0.06023873229489605,0.3716370249487943,0.13283277530713072,0.6064633567221211,0.2880874691215055,0.18420401284437132,0.4320411358586262,-0.10605652550740377,0.7424288634126112,-0.015656942185989543,0.43355729100747376,-0.021803950368758946,0.24514570187041973,-0.3561834321900828,0.5439009230865414,0.6314091928698259,-0.03871365399796991,0.22588195197404937,0.4107174957501619,0.48580167853051354,0.22264461600545588,0.3901773290111518,0.35252925444082484,0.30589746877732615,0.26031287999137803,0.27186490278235276,0.4935071442612187,0.5281368737410113,0.04573923650884961,0.045847736462856004,0.04268453415010913,0.4169224937709191,0.21056988107535157,0.34715206164638945,-0.008673179763675746,-0.1088246871326268,0.35253053374436605,0.5116094030638854,0.3270035892385579,-0.0835241678372032,-0.1018801816879923,0.2677806501183194,0.3835674355929357,0.33698763769570045,0.5860118621223854,0.18103682646415514,0.7219291901204767,0.4143836974147527,-0.22460753353779184,-0.46932898767316805,0.5973641083442013,0.490515683657462,-0.15045435609767133,0.5795442308372586,0.24269286358105002,0.32861882715679985,0.27833898303540394,0.2581958845666726,0.3751416667681829,0.19025627632476919,0.20296802202410288,0.40759305051550415,0.19050137058797076,0.24646107177354776,0.012239823620787274,0.6534332000225657,0.05912235119262028,0.1931292230935942,0.4900879787356531,0.6151359813779119,0.24214329100786688,0.0475462577677874
