,Caudate_L,Temporal_Inf_L,Heschl_R,Precentral_L,Occipital_Inf_R,Insula_R,ACC_sub_L,Temporal_Pole_Sup_L,Amygdala_L,Occipital_Sup_L,Frontal_Med_Orb_L,Fusiform_R,Cerebellum_8_L,Cuneus_L,Precentral_R,ParaHippocampal_R,Vermis_7,Frontal_Sup_2_L,Thal_AV_R,N_Acc_L,Cerebellum_6_L,Parietal_Sup_R,Precuneus_L,Cerebellum_10_L,Cuneus_R,Thal_LP_L,Temporal_Sup_L,OFCant_R,OFCmed_R,Cerebellum_10_R,Postcentral_R,VTA_L,OFClat_L,Vermis_8,Thal_PuM_L,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Cingulate_Mid_L,Raphe_M,Occipital_Mid_R,N_Acc_R,SN_pc_R,Frontal_Inf_Tri_R,OFClat_R,OFCpost_L,Cerebellum_6_R,Hippocampus_L,OFCmed_L,Thal_VA_R,Caudate_R,Thal_PuI_R,Thal_PuL_R,Thal_IL_L,Occipital_Mid_L,SN_pc_L,Vermis_4_5,Parietal_Inf_L,Thal_LGN_L,Lingual_L,Rolandic_Oper_L,Cerebellum_Crus1_R,Hippocampus_R,Supp_Motor_Area_L,Olfactory_L,Parietal_Sup_L
Frontal_Med_Orb_L,0.2565921599633468,0.30482067947672936,-0.22709405834826013,-0.3294211140100728,-0.1393968219286165,-0.17382065923862772,0.27443739320783667,0.32482492696732335,0.2105162134106702,-0.11935736456709906,1.0,0.2861644962113722,0.2968496844353748,-0.316711295173629,-0.4947446823441034,0.437799468727708,-0.015765674685347453,-0.5500890418841681,0.059767339252627116,0.25218110095018753,0.06847334832077041,-0.40145704045574027,-0.26024527853799995,-0.3755280723123454,-0.5175046148208096,-0.192396599692568,-0.1486321895454703,0.49045758424824754,0.6024285342994073,0.2060886710981322,-0.3023012985143425,0.34642941359213303,0.5275252852993525,0.2052581851749545,-0.1594302707192899,-0.4764831204728268,0.30940668423098433,-0.06830048641700964,-0.29407766608857444,-0.3292208948025481,-0.2905736517938589,0.4017432447970114,-0.47116775514586534,0.45787050866330764,0.26367751554344687,-0.0645289893973065,-0.07874512752441962,0.36560476179005513,0.4658086837842574,-0.13502955037074665,-0.16753224970640865,-0.4686006823459695,0.4368362385595855,-0.41273606916336636,0.23942510501266787,0.19093651647665888,-0.4433713151762733,-0.18646942730801308,-0.1878613426009514,-0.1654681825939731,-0.047728968500232304,-0.136994262390103,-0.3940573754669789,0.2616649853154571,-0.17106574627791143
Fusiform_R,0.6446159887279018,0.4406488268257109,0.31535495498107713,0.18214511935453806,0.2509303386025964,0.6912828804639028,0.0334227743226501,0.3772314355529935,0.7447222212412005,0.05144612407284546,0.2861644962113722,1.0,0.8623550547092426,0.2643549024067254,0.1599814258605774,0.6772301874972693,0.2836360879678077,0.08972259919254928,0.6165330428110232,0.27557758616777117,0.8280882612968473,-0.2569841126646245,0.3296166735997724,0.3252656068622058,0.004359104738042262,0.4849947322556795,0.3712742358213637,0.1553731557604975,0.12338896023257459,0.5194917683964497,0.2121201524912755,0.34551387889688856,0.3265415733543721,0.5765592266574986,0.6262337230139802,0.1282575270877031,0.10310994899727675,0.5281246070333274,0.21424785096614876,-0.14831885486570837,0.44405136610290574,0.6315910185187619,0.2946316452984262,0.1959209366478856,0.32376873720654836,0.7682445517436522,0.6400372454897981,0.256753511596487,0.6868025957317719,0.5752055727584839,0.45947495452972525,0.034426883493059154,0.3730486757934545,-0.06324088832914869,0.5474661454205926,0.7270780441542884,-0.19433944612242016,0.35624521891461824,0.4996123150701708,0.44596538568253064,0.5535302181479037,0.6120194581843815,0.23799405633096213,0.5315106584605711,-0.21287614869627297
Cerebellum_8_L,0.6241613221986743,0.5094863543046918,0.26446749185477514,0.12602769599291677,0.15007185347373586,0.5626371313199566,0.07875021763322078,0.4149021355968512,0.7638667988945254,-0.07490659833569395,0.2968496844353748,0.8623550547092426,1.0,0.17490994618907,0.0672780914345691,0.6298042469058668,0.2570157963939512,0.14361327669187954,0.5710445381510207,0.2687146597410194,0.7363344892139713,-0.26273632551553033,0.18345561300285548,0.21678647907777382,-0.04631494947472684,0.3296331535096401,0.3075011435439968,0.113530783120847,0.12817275920954685,0.49242153402071126,0.09175347726157818,0.40812985523834144,0.2415375353062639,0.5537581237129159,0.43974617313133035,0.18008460195299367,0.08410681141995666,0.42048181428906856,0.09299542809234508,-0.20757090287235944,0.32294125147785924,0.5291622190616561,0.2201645696848228,0.088434355042256,0.31473593733937405,0.651346057338,0.4886892204067483,0.2227264714533599,0.6493981964439571,0.44870898840067813,0.37306968511749666,-0.09072931692929849,0.3923198562508929,-0.14111745342103346,0.46849691274490457,0.6624965100940463,-0.33165943124983494,0.1932086180845465,0.4078818348962497,0.3684847802323192,0.49226233141401343,0.4561679604753412,0.19680488791278922,0.5004928172725686,-0.24452314019516316
Cuneus_L,0.14584173386708674,-0.11795600346824811,0.19741476038644476,0.5341518127651433,0.7277554464145339,0.45660861992825597,-0.2849866858510821,-0.18752666984575744,0.2407749160939153,0.7857337921765964,-0.316711295173629,0.2643549024067254,0.17490994618907,1.0,0.5574021924581719,-0.1857730778558257,0.6336156937100595,0.3657654251944206,0.21333407300178797,-0.14020380377660643,0.5115543162980111,0.27754321764912904,0.7881425790099723,0.5840655768015233,0.8114265289975834,0.6055928343806212,0.4325402689707072,-0.3984951134716592,-0.6542066913888269,0.004844191072886813,0.5648350867791224,-0.1344057550237346,-0.5232397271864963,0.2497179623764183,0.6004762062366134,0.24083042686713693,-0.34076520131556587,0.4629821305471766,0.45556244458787865,0.642616102944973,0.4861398091037743,-0.22599640235610607,0.22192425526913606,-0.37488920217335847,-0.23943748255747474,0.5950173397247964,0.3329943229964415,-0.4637475761219883,-0.19978326506556435,0.48903055031375037,0.6756035363440394,0.767217512203713,-0.53225827665734,0.8164906267269532,0.08771275979082395,0.10655330018969023,0.6204058341407677,-0.012403520431889695,0.7842791331918514,0.11875934631989493,0.6274322373398643,0.26753678830317834,0.4987063409978731,-0.1759898717107369,0.2417263781961402
Precentral_R,-0.06119397074005547,-0.5699820379412637,0.3781153521982385,0.8044375575091323,0.5255363059080456,0.5282924702203673,-0.6670592573547709,-0.48553535837646655,0.32959441437106024,0.4964235929956473,-0.4947446823441034,0.1599814258605774,0.0672780914345691,0.5574021924581719,1.0,-0.287816424463364,0.39688008620863974,0.43670192816911335,0.17798614538553148,-0.21134253037247774,0.25629124299451783,0.1537958381202765,0.7358324837340375,0.7232145532657431,0.5612071836200065,0.7476745373855639,0.22724001548307626,-0.09895193365935677,-0.6673460008995201,0.27482024350282586,0.877938467768715,-0.20640264081199192,-0.27463805501326016,0.4222953274361166,0.6905002337179423,0.4172399569542494,-0.03382382353285758,0.66771909269079,0.7399910831772416,0.4699223946175886,0.6226850671268889,-0.1473312294021851,0.44386421390187053,-0.02543783538634801,-0.4060974871452529,0.36000352494669535,0.4782969950848897,-0.49583800687728175,-0.27678338425389376,0.46806332532541445,0.3701286128294176,0.7952577440026171,-0.5298156351045725,0.41228895120831055,-0.13946778711417118,0.27184081052761266,0.5266123145565484,0.23585430137507038,0.6526821862591841,0.21762271800885194,0.4184571480667945,0.6151550258741398,0.9062418806719182,-0.12142317225589146,-0.09037045248990104
ParaHippocampal_R,0.7921291526531714,0.6330065295128596,0.3735990423466457,-0.06473609995726777,-0.2733196049587905,0.43206697188523835,0.4129708404854389,0.6848877367510673,0.53322717824189,-0.3290855982755812,0.437799468727708,0.6772301874972693,0.6298042469058668,-0.1857730778558257,-0.287816424463364,1.0,-0.33205902122244646,0.07520571439631145,0.5384952277598998,0.5483122991832642,0.3934902148542173,-0.25121360390340586,-0.03714023114820117,0.0029139625982676823,-0.29215466532908707,0.1366473054332667,0.3036063618937667,0.3879050016042358,0.6419933408182379,0.2950165615892004,-0.23646538321413485,0.5613336232501716,0.5659939396958052,0.1378772349026383,0.19707733900869262,0.07317635902847211,0.21623314793506182,0.12423718960407637,-0.15018543540361276,-0.4026198473206032,-0.07987581969977742,0.6538883757539226,0.20966514782769366,0.16077449500447463,0.7117582816817677,0.3298996462282148,0.5497493485287693,0.7220012493646157,0.7540977915068934,0.37745127566046266,0.009716938876781154,-0.4964378035164131,0.7008892621485253,-0.3297329309449596,0.651353598511999,0.653784870484887,-0.30302948441937805,0.3240959574414219,0.005708587168785822,0.4166239691025117,-0.08657244133490315,0.41508706930395106,-0.11244185179014425,0.8071338650694041,0.04900435246928754
Vermis_7,-0.16094875109762136,-0.14215318370040467,-0.26249407585141593,0.18980693017238606,0.7687802711201309,0.2181897544304337,-0.2745585818120331,-0.20824321443088514,0.26176195614583836,0.6170622826277653,-0.015765674685347453,0.2836360879678077,0.2570157963939512,0.6336156937100595,0.39688008620863974,-0.33205902122244646,1.0,-0.0709469437592243,0.08328300033126372,-0.2680906491521885,0.5018049153029797,0.19950318638650366,0.49407441122241086,0.24810612785562824,0.38964914030359166,0.2853070282524581,0.061956454806404576,-0.22928058795159528,-0.4844854047587044,0.26165837591055197,0.40287130245622,-0.374584144648168,-0.3062858655534253,0.6103833060763648,0.45664699649026463,-0.09346542125846934,-0.20605615515258074,0.371565353387061,0.36469749526505857,0.45424055528193735,0.5197676046819529,-0.11014857614713527,-0.14198016532524857,-0.0018180370245279695,-0.3494890647177346,0.4576711948304138,-0.07028961049349003,-0.5077988872674074,-0.03243545628231132,0.13239617016143676,0.612149435884002,0.6034832229543379,-0.4751396778439222,0.45582959139071544,-0.2050088968406302,0.013279006316291258,0.14616411712948738,-0.1871133122309172,0.6275635519001139,-0.02895743187873694,0.8546879661482837,0.037290828520815666,0.3040588937777491,-0.3197028172063766,-0.20812147906196657
Frontal_Sup_2_L,0.3901904971200988,0.07314163303582866,0.5245500084473305,0.43274947828645927,-0.006278575099796728,0.5232144417725589,0.13950345107546122,0.2680119511403124,0.1714753952803511,-0.04964088694073038,-0.5500890418841681,0.08972259919254928,0.14361327669187954,0.3657654251944206,0.43670192816911335,0.07520571439631145,-0.0709469437592243,1.0,0.2912404077010461,0.06196172566834969,0.2490908940973834,0.45650283348618853,0.3742648404749398,0.5456589870798207,0.629349751045766,0.27127247619585126,0.4684236771260027,-0.4966531102056255,-0.3673751940578526,0.002829539462374093,0.17080021399914083,0.023640159815874934,-0.40810925212615506,0.036607700199216935,0.28038092445220164,0.8879542567400738,-0.20266569037769397,0.2962135606941224,0.30316142024399517,0.22612306426817524,0.2931917946212123,-0.09194677616917211,0.8018211459518384,-0.7489840033598022,0.1925125019535099,0.35646317410785094,0.39415709946576327,-0.07103209344206954,-0.006491755831117478,0.558218126531865,0.15628592525365081,0.1965976261656787,0.007252221552492549,0.33899330190727245,0.1740785053978288,0.33933429302763796,0.2764519335013008,0.35797215411858163,0.35645197947100593,0.4309000508624473,0.060106731500514765,0.39444528883274205,0.5198489040898147,0.28865463794361,0.15467508268578153
Thal_AV_R,0.646550717060362,0.4178484992439724,0.30616222676112814,0.22062147204916316,0.05045843522745752,0.5337593348974863,0.2495581574828954,0.4389666765588876,0.4465319956008569,0.023959018569736455,0.059767339252627116,0.6165330428110232,0.5710445381510207,0.21333407300178797,0.17798614538553148,0.5384952277598998,0.08328300033126372,0.2912404077010461,1.0,0.32075898778622947,0.5355705482969485,0.05249999568303446,0.3326411362282826,0.3243678320355373,0.16891758759337325,0.463813859333504,0.5019717763499588,0.07238305468675632,0.09861318356106935,0.2246865161100505,0.12324407455980237,0.38400367914033023,0.19010438975647453,0.2553561489710878,0.5807698227766492,0.22013772731025988,0.04999775447156182,0.4042036036532143,0.08306297409275903,0.05171536263619463,0.257278818421113,0.2933829120827869,0.4441210657108601,-0.023147865839340902,0.31544993570271057,0.5335530056684348,0.501394297816819,0.16819671782573514,0.6034257340465079,0.6022686054238521,0.4229605676154774,0.018294912193109508,0.32265902598600954,0.04996810523992005,0.3131426068697083,0.5360060856726266,0.004427970846504424,0.3709265355225244,0.3498891813602964,0.5587167873232785,0.29120721030270563,0.4399688284445721,0.24223528556293109,0.45327098292789575,0.00835764782562533
N_Acc_L,0.5721786133533653,0.36909502886125356,0.2383759749272692,0.12113846211510453,-0.29134217375118115,0.3043021206130458,0.37335679250815224,0.34354941249672294,0.18368822411971245,-0.11576519080399143,0.25218110095018753,0.27557758616777117,0.2687146597410194,-0.14020380377660643,-0.21134253037247774,0.5483122991832642,-0.2680906491521885,0.06196172566834969,0.32075898778622947,1.0,0.1151620602133269,-0.1309302433591142,0.062125719067663364,0.021812137125201983,-0.1287547305429622,0.10211390057751059,0.5246663188315351,0.3607790981777337,0.5370626425445585,0.12960714874630483,-0.15714041906947357,0.34769956548249836,0.42219404341209654,0.058849175132336444,0.1161298499804529,0.05345632227943056,0.23776842199804718,0.091137937970835,-0.1962551427289247,-0.23385736549056843,-0.18222738056177903,0.13257550154856,0.01990184022334603,0.11792628450021872,0.20055194102787893,0.09146694056094117,0.427095756720282,0.20244760150611377,0.26685071941999916,0.09573558171043331,-0.11515251151433087,-0.24082284081973393,0.42295974396096137,-0.04843399190159479,0.3513654347050561,0.44916294181066974,0.04687980436738305,0.20850622630137725,0.042123436871319135,0.40011118898460935,-0.2698159842787255,0.2721245228328459,-0.04517643416204818,0.5162767615230884,0.18823740897677016
