,Frontal_Mid_2_R,Cerebellum_3_L,Thal_MDl_L,Temporal_Sup_L,Thal_AV_L,Cerebellum_4_5_L,Supp_Motor_Area_R,Parietal_Sup_R,ACC_sup_L,Thal_MDl_R,Parietal_Inf_R,Frontal_Sup_Medial_R,Thal_PuI_R,Thal_MGN_R,Cerebellum_10_R,Frontal_Inf_Tri_R,OFCmed_L,Cerebellum_8_L,Cingulate_Post_L,Frontal_Med_Orb_L,Vermis_6,Cingulate_Post_R,Cerebellum_4_5_R,Frontal_Mid_2_L,ACC_sup_R,Vermis_3,Occipital_Mid_R,Paracentral_Lobule_L,Frontal_Inf_Oper_R,Lingual_R,Temporal_Inf_L,Thal_VPL_R,Temporal_Pole_Sup_L,SN_pr_R,Thal_PuL_R,Temporal_Sup_R,Frontal_Sup_2_L,Vermis_4_5,Frontal_Sup_Medial_L,Cerebellum_10_L,Raphe_D,Thal_LP_R,Heschl_L,Thal_PuA_R,Cerebellum_Crus2_L,Cerebellum_7b_L,Thal_VA_L,Hippocampus_L,Frontal_Inf_Orb_2_R,Cerebellum_9_L
Frontal_Mid_2_R,1.0,-0.06889362857479757,-0.01091359890226073,0.24745685409984378,-0.02249148573894791,0.3626203528766927,0.6908327874803332,0.15435659000492527,0.1329498012296323,-0.01728910273623645,0.09283680104627083,0.08441151526035243,0.1528844183198448,-0.04987726263830692,0.27731694120569284,0.7835367391171854,-0.20818803240301645,0.13069019349285424,0.256464549131607,-0.5482115508044983,0.206835013145984,0.3523722029209565,0.11545291474078813,0.7054359333429796,0.4900837011701861,0.15532329633007638,0.279083473776451,0.3172996685642595,0.7727600204376315,0.3318985606081149,-0.3332926521627393,0.34958381706452757,-0.15920985888812636,0.17954690015279579,0.43728790469963136,0.43315929301654543,0.7393768080400727,0.3409360819671601,0.8022885736181821,0.6910231454053245,-0.4546768586372788,0.483257731693229,0.3983918932564678,0.45284934458097975,-0.05855555544742641,0.03128224970927516,-0.2388683309068173,0.5126834866424403,-0.40276407653448887,0.34952358299207015
Cerebellum_3_L,-0.06889362857479757,1.0,0.45649272970046806,0.2697710595976037,0.40120767734715596,0.42441961617632434,-0.19603752498047067,-0.0407568892047547,0.29535972277320266,0.39374866502939293,-0.10122383833672141,0.5237364711660379,0.03850261980561239,0.3783036280411522,0.49178176965622955,0.1162482176768117,0.4930701449764244,0.4241344250284698,0.38114151368718985,0.41047264591252985,0.3710886566899105,0.41549655026899684,0.7566875980339625,0.21021450370621908,0.32322997832383316,0.35994662752184453,-0.3433629565630577,-0.05860093578323168,0.014965971725242645,0.30394123387226896,0.5262354968535888,0.3548785767740697,0.4903942947434705,-0.00726998901373496,-0.36890900794404446,0.27726944753672844,-0.0950245895809053,0.5654446789950023,0.11527007564395468,-0.0767280820216776,0.4292733850231174,-0.4412282279974496,0.026678623099963106,0.005864769681178444,0.029874693740149606,0.11834657405707733,0.4579180280309305,0.2654016120871986,0.43358979101889644,0.3601623652018023
Thal_MDl_L,-0.01091359890226073,0.45649272970046806,1.0,0.41469486466897376,0.8580772274577024,0.5064165924658403,-0.025088602233303288,-0.21025503736823692,0.5403430668207148,0.8911680274975111,-0.30003232332155494,0.23400130767022465,-0.010444210458564003,0.8215517551010116,0.15493509936629032,0.3626107944695945,0.6224101045104977,0.5830844293802876,-0.04521375316993572,0.34383766236222557,-0.0008520666498016379,0.4233722374595999,0.5095457608087269,0.472482559955064,0.43016546408738787,0.535692947063326,-0.3710590947361219,-0.3440134428896943,0.08825553087592533,0.14265197931314483,0.6955723177133986,0.3588300227746862,0.7380638104059054,0.4215854391609688,-0.549086463167341,0.04580886134087781,0.22869153916484086,0.6019264470684293,0.23779078660843372,0.021107492551850123,0.30092310789021437,-0.28673476890387434,-0.2272152077872018,-0.16532174158300797,0.12203193134101681,0.4253192769233597,0.9200871362610424,0.48881068159532565,0.33168362566285514,0.44905350779294206
Temporal_Sup_L,0.24745685409984378,0.2697710595976037,0.41469486466897376,1.0,0.3441160125695184,0.5095504475430468,0.24716646616216684,0.2955133113324207,0.5937803726531866,0.4596680480344925,0.020440817408969473,0.1502361760706281,0.4848964501330607,0.04458263214571631,0.11105650992824452,0.4351006035392709,-0.062411457691598775,0.3075011435439968,0.21681099976420987,-0.1486321895454703,0.22866249424537927,0.6890269625234415,0.3700539927867123,0.6472999692042937,0.5184880670890619,0.2874482522457641,0.23065121250148823,0.21543415725237092,0.5016686685770221,0.3900775873433854,0.4295299422112029,0.5370485861396675,0.2885238112110208,-0.0036465019087573453,0.26228449609958915,0.3042766761366197,0.4684236771260027,0.5222128284649165,0.4302891988139282,0.5435855296383877,-0.13669936038651476,0.20898192895494616,0.5326655204377176,0.5524317882377422,0.2482936189446469,0.47361126214301036,0.2786624811259557,0.5939237878319078,-0.13194893217615344,0.38984963932031186
Thal_AV_L,-0.02249148573894791,0.40120767734715596,0.8580772274577024,0.3441160125695184,1.0,0.47390771816304444,0.07099902873893209,-0.2501303604073491,0.6169211373072029,0.9025146228765525,-0.20907283347071365,0.15557832931574325,0.24234810132773385,0.7123340209005922,0.3666885061729341,0.25487913708028026,0.43541940498416754,0.7278308554861757,0.12028319018158365,0.4228266707589979,0.21534514249620357,0.4700565195610306,0.4932698132397803,0.34129984922561246,0.4918083792399772,0.6067783275470723,-0.24024723555530503,-0.1322944806268486,0.08303768093812189,0.3783760282417266,0.5938529190721412,0.49770244771628985,0.6123356990200387,0.43326902307514126,-0.34213633636201846,0.2979316617867213,0.11774381446285054,0.625473376000479,0.1049720667404108,0.08949319587254966,0.3377225281211592,-0.21848498035859196,-0.1850270436523479,0.02139959175607597,0.2559563918667054,0.40218596415609376,0.8480201046749598,0.47803860959059724,0.3310473591224833,0.6514336561815591
Cerebellum_4_5_L,0.3626203528766927,0.42441961617632434,0.5064165924658403,0.5095504475430468,0.47390771816304444,1.0,0.4491738451984571,-0.0571101828327886,0.47816203459334067,0.5121428284120195,0.002953862662573059,0.2023912448793299,0.2262679974798256,0.37160796937322715,0.24977420412956128,0.4396743899665251,0.2870030584448553,0.5835611224096061,0.33566380245996197,0.07508541702895759,0.4920978562540044,0.5533144845250111,0.7719288673822812,0.6096278371238805,0.47444229751213435,0.36038547945011545,-0.06254354803902283,0.25313785753335133,0.3862695309487281,0.6132455824044767,0.27723608005821915,0.48110911925735045,0.2682971060660729,0.47304474935735275,0.07712144890050399,0.5076854990585186,0.3651429253936878,0.8350559556469666,0.37617156922994954,0.515778207507048,-0.13768296321378629,0.28686404768149554,0.3366283109982448,0.2945380748716646,0.08016068023859302,0.22214817168586384,0.3370644452006339,0.7232297844813212,0.0911685363753221,0.5777207057990074
Supp_Motor_Area_R,0.6908327874803332,-0.19603752498047067,-0.025088602233303288,0.24716646616216684,0.07099902873893209,0.4491738451984571,1.0,-0.14713131295606924,0.05662843236970339,0.1347849026897499,0.2972521542785675,0.007992245048008556,0.14940476029834318,0.03747772069002253,0.2275484858707912,0.3523221539857771,-0.34494793452384415,0.23515563284956165,0.3004462277049719,-0.2829428735583186,0.3290355604279168,0.20136284209839792,0.10716725255112218,0.6152805123930717,0.17592961239948143,0.3152985086931276,0.271878898404028,0.6115177420227546,0.34978036709351384,0.4557785001210305,-0.4702891087321867,0.3180934685125469,-0.38027495899886077,0.4799000035575394,0.5790559004481042,0.4992130512618885,0.41115618815180766,0.4401540792474779,0.3597244071845226,0.6315500933281196,-0.5708116692435828,0.8158133224723648,0.2810808498844553,0.43067755234602445,-0.22591856948218172,-0.22494982349188927,-0.24560011827553738,0.6485437635627894,-0.08152949882671072,0.4210585671623899
Parietal_Sup_R,0.15435659000492527,-0.0407568892047547,-0.21025503736823692,0.2955133113324207,-0.2501303604073491,-0.0571101828327886,-0.14713131295606924,1.0,0.33547030188381377,-0.22553110624397177,0.05616337925532685,-0.24472026648853015,0.2593760851974966,-0.4035795882813084,-0.13587171162592743,0.26897966129102274,-0.1588179131343598,-0.26273632551553033,-0.058814373193065275,-0.40145704045574027,0.03329927610695043,0.20505755538613002,-0.00827001783291627,0.0627247750547971,0.3708588792188202,-0.16964065640530387,0.31367241775201216,-0.006783390760405514,0.4753150392024312,-0.03768363916956386,0.08443642107407462,0.05368839849527503,0.17411202792248973,-0.5311790781930251,0.2210727900061789,-0.08970871426690682,0.45650283348618853,-0.0761500820750153,0.3390155333503405,0.20541203299408392,-0.09593248466618863,-0.07727772899421143,0.3910300330953276,0.35583953983661387,0.3549065208028813,0.3660461771896266,-0.2242393855144594,-0.13259125994044577,-0.5912077228294631,-0.17140877203060298
ACC_sup_L,0.1329498012296323,0.29535972277320266,0.5403430668207148,0.5937803726531866,0.6169211373072029,0.47816203459334067,0.05662843236970339,0.33547030188381377,1.0,0.5452935192413354,-0.26130870680427937,-0.0487065886624824,0.41558032222660146,0.291647717882609,0.24867645786976275,0.3568968226240314,0.15231504495126116,0.5303052921662178,0.13722799957503465,0.06185531475264483,0.26914874578413417,0.6387947845700686,0.4590659851087625,0.4498992772252505,0.7890251111268841,0.4763840353271314,0.002863694539107006,-0.10904047848763822,0.4617612359948277,0.4208686432144399,0.56899486464799,0.47985088833940526,0.6221412834833305,-0.006785688051722887,-0.07569193483069425,0.23421201161103114,0.5253358007939108,0.5935503731160386,0.3923660153758858,0.32054621751672147,0.1522741698464587,-0.1617065299556846,0.19309658346786887,0.31826362434669164,0.5139701883607479,0.6124595970507338,0.5338690993797673,0.3526793947663934,-0.24181152442675322,0.4962928708433515
Thal_MDl_R,-0.01728910273623645,0.39374866502939293,0.8911680274975111,0.4596680480344925,0.9025146228765525,0.5121428284120195,0.1347849026897499,-0.22553110624397177,0.5452935192413354,1.0,-0.16965686347490344,0.1778959405053138,0.19484701783147693,0.6846741139250889,0.22341737572575313,0.2553633052389251,0.4390878795050686,0.6812471427089636,0.05554871276141235,0.3466864873070408,0.21929916278856026,0.44004360457148844,0.5093849630804683,0.4312230629987014,0.3836184024897612,0.5700211521254814,-0.22502827452485274,-0.11291326271983504,0.06562789832819592,0.2796492548445681,0.6054391111499403,0.44743833847709374,0.5929457673086802,0.4310128984617783,-0.31548261898780244,0.20704076009733943,0.14133248495005857,0.6132560804443047,0.11675447868870817,0.0856208668426986,0.22152850617345227,-0.1291892372481957,-0.16285911420633684,0.06155148160513238,0.1898810020863949,0.3990962978988922,0.8142853510909711,0.5363030815232824,0.33705227786195396,0.5741330042217547
