,Frontal_Inf_Orb_2_L,Cerebellum_7b_L,Cuneus_L,Postcentral_L,Precuneus_R,Supp_Motor_Area_L,Thal_VL_R,Caudate_L,Putamen_L,Hippocampus_R,Cuneus_R,N_Acc_R,Cerebellum_Crus2_R,Vermis_9,Lingual_R,OFCant_R,Calcarine_L,Cerebellum_4_5_R,Amygdala_L,Vermis_1_2,Thal_PuM_L,Precentral_L,OFClat_R,ACC_sub_R,Precuneus_L,N_Acc_L,OFCmed_L,Red_N_L,SN_pr_L,Cerebellum_10_R,Rectus_R,Thal_AV_R,OFCpost_L,Rolandic_Oper_L,Temporal_Pole_Sup_L,OFCpost_R,ParaHippocampal_R,Frontal_Inf_Orb_2_R,Calcarine_R,Frontal_Med_Orb_L,Red_N_R,Caudate_R,Vermis_7,Precentral_R,Thal_VA_R,Cerebellum_Crus1_L,Cerebellum_3_L,Thal_PuM_R,Olfactory_R,Thal_VA_L,ACC_sup_R,Cerebellum_9_R,Parietal_Inf_L,Parietal_Sup_R,Thal_MGN_R
Frontal_Inf_Orb_2_L,1.0,-0.04038785230418081,-0.2764664910116114,0.0014598235415631037,0.12631343549971866,-0.04601363288840384,0.5146317791092611,0.4871648591632092,0.18609088597660053,0.34452621043388526,-0.25905283104542426,0.00021111443071103169,-0.06827308721934461,0.6340913428401298,0.31648483253038073,0.5229786902299983,0.1621653093944943,0.5723691218022401,0.3522457424183265,0.18416394315502516,0.2254821910425653,0.023932691279808998,0.4547640815362282,0.31350360682077005,-0.02903997402854356,0.5897503531711149,0.4668976561091828,0.08633845737259777,0.6218207494411224,0.3918706682238095,0.6082186522098502,0.3615369413214982,0.3922033082940597,0.37423498935870153,0.3611309226830477,0.722488938592773,0.6207041103207468,0.6474549802106184,0.015368317070588304,0.34497278958034666,0.12363930696191931,0.19455069722832782,-0.2566804219127175,-0.1066362845915269,0.4805621703968754,-0.14592370938279964,0.6608106024494691,-0.16467333737890094,0.5684582538127209,0.49025343458100656,0.18379439120668667,0.30803098963263725,-0.16950455913534104,-0.2697458396824794,0.525045632640271
Cerebellum_7b_L,-0.04038785230418081,1.0,0.3312847929668158,0.15049667273066644,0.27423072553692696,-0.11996165640165544,0.1712653008069918,0.4965118755120389,0.23328583661498692,-0.09061810688654073,0.423551941287669,0.031456426916540346,0.4949203447326258,0.30002602792030947,0.15750508535670185,-0.49730192109026816,0.2199233506021895,0.22652824840113944,0.15979835836732711,0.3145706528745826,0.11604233386959774,-0.0938293099631624,-0.5987484355475396,0.438605195350357,0.09765562217746677,0.04745755300320793,0.15761532261055516,0.11536948571674126,0.19290825386098712,-0.021300059748224968,0.02479689534821123,0.3582132789335169,0.4081122573011454,0.35636832930464213,0.6174665981968593,-0.08498849354746814,0.294361124899346,-0.3976826928378816,0.48471533125761196,-0.10427299094403411,0.097874033543997,0.26336916905755275,0.12142060547093769,-0.21594432114570722,0.35963153827634886,0.8691685548864487,0.11834657405707733,0.14686755071949334,-0.09202464850944206,0.45092146651496073,0.5565466358580288,0.29905139447102813,-0.03467469661959432,0.3660461771896266,0.06221523067256706
Cuneus_L,-0.2764664910116114,0.3312847929668158,1.0,0.49762786697607136,0.6546889346357903,0.4987063409978731,0.05159455689201741,0.14584173386708674,0.2706320996407387,0.26753678830317834,0.8114265289975834,0.4861398091037743,0.361554404623987,-0.2554012218501309,0.4726778805912674,-0.3984951134716592,0.7016844928462498,0.0397985817127292,0.2407749160939153,0.4745435202031498,0.6004762062366134,0.5341518127651433,-0.37488920217335847,-0.4017005074382781,0.7881425790099723,-0.14020380377660643,-0.4637475761219883,0.5881015739815749,-0.39883193834441827,0.004844191072886813,-0.6046311924077422,0.21333407300178797,-0.23943748255747474,0.11875934631989493,-0.18752666984575744,-0.47903643062324425,-0.1857730778558257,-0.4932397177962042,0.7687995734807466,-0.316711295173629,0.37114670673597777,0.48903055031375037,0.6336156937100595,0.5574021924581719,-0.19978326506556435,0.6228857095002045,-0.32005718688678514,0.8561971683593507,-0.05117513981693091,-0.2927446784061644,0.28032011012960373,0.3154648246946462,0.6204058341407677,0.27754321764912904,-0.4808388486472557
Postcentral_L,0.0014598235415631037,0.15049667273066644,0.49762786697607136,1.0,0.6553023744531316,0.550020543468394,-0.04868357267767332,0.3136693449803007,-0.03925312971598834,0.3452583696268469,0.6296691493390759,-0.049467109483377944,-0.29736435782844145,-0.04675315942510721,0.09599351487439302,-0.026834698384848497,0.4344892824671715,-0.025808843643892267,-0.038132749434563885,0.347010619308912,0.4143421323139201,0.8020293864399137,-0.17607417148477694,-0.34628860017011875,0.6816819485145018,0.17193146660634204,-0.2743291533904088,0.3045327453737331,-0.08400634447040667,-0.1918765465815189,-0.17431427559818385,0.145508141696113,-0.1512104030933034,0.3591230929452743,-0.20291707627185795,-0.11239627593093136,-0.06158181077496976,-0.15864384137740167,0.4459611534835941,-0.3441668219356233,-0.010132420182491704,0.22224246545347606,-0.005225269469706618,0.48542808185480857,-0.3660222586380686,0.2815050332763458,-0.14088501989688235,0.5454143574971887,-0.04015550549847386,-0.17803956282976466,0.07662855807885281,-0.09314113609220383,0.8367902864153075,0.18517934208728562,-0.19300682767042687
Precuneus_R,0.12631343549971866,0.27423072553692696,0.6546889346357903,0.6553023744531316,1.0,0.6912930450418432,0.30458578764123945,0.4745838116246856,0.39604562957767936,0.6602152204007832,0.692697884075008,0.4283281253491964,0.16058238107689746,0.19342530605772465,0.5753745573643029,-0.1051639301580841,0.7704481494207385,0.3597950001238561,0.5287116368121065,0.5610860863519468,0.6347748845294101,0.7425729834943475,-0.2661648238654866,-0.3180126484868031,0.8234775879085665,0.19878157805717311,-0.2143565996078702,0.5976411045228885,-0.122077704388978,0.21234111382834897,-0.21215781139904114,0.4028905791094936,-0.03976531560100836,0.4643888102095437,0.00704522504753253,-0.17777364887187447,0.18224170522466787,-0.301826494635461,0.6896356479851584,-0.2553850902169154,0.37005158190592563,0.6447909692540943,0.25665700714459827,0.6546941182777127,-0.020681780099933895,0.4437268450295589,0.015651710297013084,0.5917937865830205,0.2195876214016396,-0.02073682112635103,0.5007325060321557,0.4474263939433287,0.5488453695738964,0.15451914075514267,0.005023197898245637
Supp_Motor_Area_L,-0.04601363288840384,-0.11996165640165544,0.4987063409978731,0.550020543468394,0.6912930450418432,1.0,0.3456784620371133,0.17038392048486645,0.28605946100755175,0.7050251537853871,0.5010216449095788,0.5121416269829352,0.02268060710536023,-0.10233689960230323,0.52225582947157,-0.044264668078739106,0.636863993176305,0.15976820433599834,0.40269805988948953,0.6086171118266096,0.7082624265457574,0.8925619951579425,-0.03564078317819691,-0.5974921095602758,0.7219855702677829,-0.04517643416204818,-0.3812413425391919,0.6191673710788089,-0.3737076630533966,0.30539152463773883,-0.3974080283068084,0.24223528556293109,-0.28794350365346244,0.34037019831459825,-0.33842136769192815,-0.32646801598511804,-0.11244185179014425,-0.27264383934958564,0.4453783788238719,-0.3940573754669789,0.4737382354810753,0.4388931363106997,0.3040588937777491,0.9062418806719182,-0.15591715435258166,0.0528690255587155,-0.11771177878553199,0.6196174398344412,0.1869757820009252,-0.3322396783283507,0.3368660914805417,0.4021838705041623,0.4948693673695134,0.15841797693125284,-0.15081299925896496
Thal_VL_R,0.5146317791092611,0.1712653008069918,0.05159455689201741,-0.04868357267767332,0.30458578764123945,0.3456784620371133,1.0,0.5763005557607093,0.5761189123570638,0.6017444603166083,-0.035690637827487964,0.39624879793640205,0.38780981929578245,0.5518270307900544,0.6464708986272453,0.17447085687825165,0.510481780063312,0.6312255927198273,0.6350245588662787,0.6269723357946961,0.7078210694092016,0.23494747311456204,0.2899227857555226,0.1000186821510891,0.2873241823499771,0.29807240856698064,0.26540964907265907,0.39968774186340517,0.31682664151977047,0.7095521480800552,0.22010518922212133,0.6812717068862411,0.23659539126584092,0.6217329182526338,0.3629451560642184,0.34702395566685557,0.5791217615972284,0.25890844939821545,0.3669873676663955,0.20123241738294503,0.5835345237449555,0.4487189472385826,0.1515083970853135,0.25951136209143244,0.787215466232671,0.09716810578004222,0.5626903146141756,0.12740990454729598,0.48880825614889195,0.4877066890091661,0.5899564194143061,0.7581910023259045,-0.2066487945971952,-0.07793290077612221,0.4335864422690872
Caudate_L,0.4871648591632092,0.4965118755120389,0.14584173386708674,0.3136693449803007,0.4745838116246856,0.17038392048486645,0.5763005557607093,1.0,0.4490485671578995,0.4917110440459361,0.10948531297195231,-0.005591955461263922,0.15566485589062753,0.6194976906066892,0.3485053059506998,0.13636517114161725,0.4455956690362016,0.5572666715068336,0.4509332490342629,0.36238431456773723,0.41097784661530495,0.2717420645290756,-0.12610555320372796,0.3665980785193005,0.26517513675365045,0.5721786133533653,0.3854206310473908,0.17158969929133064,0.5567318883544708,0.19933849859895592,0.49493340742315806,0.646550717060362,0.5243861646442132,0.5858944437276531,0.6371801502836513,0.5275040805701307,0.7921291526531714,0.15488367164832498,0.3831302678160193,0.2565921599633468,0.0884483077853157,0.5152747243886996,-0.16094875109762136,-0.06119397074005547,0.613965570903566,0.39690288505992666,0.37696347015960024,0.02151633098042639,0.2419152136536487,0.7618440848217252,0.5345368912532031,0.4002650271117198,0.029890563140070426,-0.03309108963698016,0.6117410187275383
Putamen_L,0.18609088597660053,0.23328583661498692,0.2706320996407387,-0.03925312971598834,0.39604562957767936,0.28605946100755175,0.5761189123570638,0.4490485671578995,1.0,0.5197734872656639,0.10436230583693146,0.5266173480235479,0.5169119644949655,0.3157359418060072,0.5034299222520005,-0.04552679187331948,0.5542621555801788,0.4426311840785367,0.6075502181790993,0.3564325477565813,0.4718130910841991,0.13537296221832448,-0.05680106362513225,0.01083099757872686,0.2632866809493181,-0.06069009192465885,0.1607501391274573,0.24069385078372504,0.07943153474859314,0.41009322416376714,0.05853046335162454,0.5351262027924543,0.31725658491490477,0.23151152224923507,0.30795695904869347,0.0012834702170616472,0.42704186591938303,-0.013494332698857005,0.4853937505508334,0.14794555452190541,0.28435274803741056,0.7316287680172849,0.24432439578764883,0.29036194139633137,0.5700227054214053,0.2775086613333348,0.14938622204776508,0.13787121766758545,0.16877942330300752,0.36930730685034313,0.5476241525812129,0.5874175149392851,-0.21282421204272997,-0.11998228117635167,0.3523906185645655
Hippocampus_R,0.34452621043388526,-0.09061810688654073,0.26753678830317834,0.3452583696268469,0.6602152204007832,0.7050251537853871,0.6017444603166083,0.4917110440459361,0.5197734872656639,1.0,0.1784803790672741,0.48552421430777226,0.055424480766073,0.28670779330376617,0.6068184331329992,0.18564227409590267,0.6404242043966113,0.4950802206902299,0.6223781290281306,0.5568235593847043,0.724243717413281,0.65744313661151,0.13037315914663306,-0.33474048274662066,0.5468673619760253,0.2721245228328459,0.04540371587456427,0.5518517866177554,-0.019524342036731483,0.4580755399888771,0.03812234954521488,0.4399688284445721,0.07531665416910188,0.5067090159364095,-0.05640806800400723,0.08067209603097665,0.41508706930395106,0.028536252369692608,0.4259526335203743,-0.136994262390103,0.429168491017188,0.6042335415238549,0.037290828520815666,0.6151550258741398,0.2567613049713537,-0.0002477630108321213,0.14029381010664296,0.3729247125141546,0.3924376758086821,0.11095634577721222,0.38695782053448996,0.5036016655240059,0.2050922994781328,-0.11052945540612849,0.3440243506218253
