,Cuneus_R,Angular_R,OFClat_L,Pallidum_L,Putamen_L,Cerebellum_4_5_L,Caudate_R,Amygdala_L,N_Acc_R,Thal_AV_L,Temporal_Pole_Sup_R,Thal_VA_L,OFCpost_L,Temporal_Sup_L,Vermis_9,Occipital_Inf_L,Thal_VPL_R,Cerebellum_Crus1_L,Hippocampus_L,Temporal_Pole_Mid_L,Frontal_Sup_Medial_L,Angular_L,Putamen_R,Precentral_L,Pallidum_R
Temporal_Pole_Sup_R,-0.34891044404224664,-0.20951340887093758,0.727554911238143,0.47416317733813773,0.4137123279765226,0.49765268001266116,0.26825397848061844,0.476323529582128,0.03266187263373171,0.7295726613756116,1.0,0.678303256519764,0.5568821510477028,0.29746415005391813,0.7624724252896055,-0.26022234052765064,0.5802470203636191,-0.03487463056702383,0.4381388650363855,-0.12273348625655633,0.021307892271132844,-0.38875133225165165,0.4895464643562698,-0.07114445109169285,0.6848491832864647
Thal_VA_L,-0.3201975570384484,-0.37595876982578336,0.4771767781320842,0.7246432782015795,0.36930730685034313,0.3370644452006339,0.23067135362010874,0.3233418513632272,-0.2190632011537583,0.8480201046749598,0.678303256519764,1.0,0.6468259264800549,0.2786624811259557,0.6504520096160533,-0.15146285992235953,0.2245771459565066,0.20333775433742782,0.28172637429548947,-0.15084624542802635,0.06679151640960579,-0.3069614910244382,0.719377567355097,-0.28128987351118967,0.754872194912379
OFCpost_L,-0.20162194836821623,-0.388673280725194,0.3397228114978401,0.5899261578950912,0.31725658491490477,0.39012117833668136,0.25316016957373083,0.1691709095466875,-0.16211960764399566,0.5193706012434305,0.5568821510477028,0.6468259264800549,1.0,0.08764413719058421,0.5723186475847772,-0.14814800285584062,0.026939396490025407,0.22399384450295529,0.17397817315755437,0.05892376006526102,0.19740539569872378,-0.22682320626537428,0.4315487878799127,-0.30980351405411766,0.5892791627129516
Temporal_Sup_L,0.5570123288984073,0.2564438731282553,0.08930292533930922,0.3211189528057378,0.1445735065939793,0.5095504475430468,0.35428948950777467,0.16563274820470691,0.07463132585661134,0.3441160125695184,0.29746415005391813,0.2786624811259557,0.08764413719058421,1.0,0.321310354396069,0.5452434086974536,0.5370485861396675,0.5058190294333961,0.5939237878319078,0.3131327070158783,0.4302891988139282,0.6051595789425828,0.6969615119925597,0.5393948700800753,-0.07189785378322928
Vermis_9,-0.2629077598599543,-0.17979078041628496,0.6000834641902096,0.5673976752056327,0.3157359418060072,0.49991801521082513,0.23370118282254054,0.4310045521515238,-0.048744599313559324,0.6305766888425453,0.7624724252896055,0.6504520096160533,0.5723186475847772,0.321310354396069,1.0,-0.2147802017713671,0.332390587518745,0.11019602193471814,0.4133874458507069,-0.0001813942145874415,0.17478687178702948,-0.2536109567275183,0.49638853184441833,-0.06692656533011435,0.5794513438122234
Occipital_Inf_L,0.7701439962329987,0.26527722286459754,-0.5188816638464084,-0.2586786364752604,-0.022896925783576567,0.1321021903777822,0.2074005800861035,0.012509567027203627,0.26653689726616625,-0.08001424796367766,-0.26022234052765064,-0.15146285992235953,-0.14814800285584062,0.5452434086974536,-0.2147802017713671,1.0,0.1932906180102791,0.7308096846599139,0.13470790274670172,0.5733321918408846,0.34293646920059717,0.6951834714998061,0.341497404246428,0.3194905399243247,-0.6066259009392734
Thal_VPL_R,0.21095385446778098,0.207051576466626,0.33094132964395717,-0.011489397541146319,0.5179885799386348,0.48110911925735045,0.49683217575705124,0.5100267631055816,0.4731400085150881,0.49770244771628985,0.5802470203636191,0.2245771459565066,0.026939396490025407,0.5370485861396675,0.332390587518745,0.1932906180102791,1.0,0.1673910252056776,0.662346031370454,0.1229893068800966,0.2842449273369714,0.08353468869708795,0.4012161969208758,0.43019810359759286,0.0786919466839921
Cerebellum_Crus1_L,0.6121252906738638,0.1428189726264219,-0.4011108470345388,-8.618789639764206e-06,0.2775086613333348,0.2852051642227165,0.35922637983002664,0.15840156871432723,0.19948423034702636,0.2431467467895913,-0.03487463056702383,0.20333775433742782,0.22399384450295529,0.5058190294333961,0.11019602193471814,0.7308096846599139,0.1673910252056776,1.0,0.14423464982867268,0.6116309042501961,0.38082962498306444,0.48752624429379665,0.5589208052252548,0.07957421459295594,-0.2723533627626936
Hippocampus_L,0.28897837647830316,0.4520464717053323,0.2769859902929863,0.2132612140156855,0.4358191603386724,0.7232297844813212,0.6281193815086064,0.6348743324930787,0.3770662649270659,0.47803860959059724,0.4381388650363855,0.28172637429548947,0.17397817315755437,0.5939237878319078,0.4133874458507069,0.13470790274670172,0.662346031370454,0.14423464982867268,1.0,0.023985108235302515,0.4475217623982304,0.34556135523106024,0.45648196720176565,0.6286760889916895,0.06151000218512225
Temporal_Pole_Mid_L,0.652452222210734,0.2086809943156741,-0.5018556588471631,-0.21409306437263154,0.2124281168048781,0.14457542882140295,0.3419876894839191,0.1373326977727443,0.30383508929671654,0.0015007888913274616,-0.12273348625655633,-0.15084624542802635,0.05892376006526102,0.3131327070158783,-0.0001813942145874415,0.5733321918408846,0.1229893068800966,0.6116309042501961,0.023985108235302515,1.0,0.5028026187101308,0.47721098105593285,0.11318298604549325,0.25913118271897045,-0.40192954804432846
Frontal_Sup_Medial_L,0.5339588971425584,0.0728780085835606,-0.1686397851082092,0.22952110138793586,0.3054387181648625,0.37617156922994954,0.48529307994008053,0.20417010295879495,0.34471980824165704,0.1049720667404108,0.021307892271132844,0.06679151640960579,0.19740539569872378,0.4302891988139282,0.17478687178702948,0.34293646920059717,0.2842449273369714,0.38082962498306444,0.4475217623982304,0.5028026187101308,1.0,0.40461687239234245,0.2190961600319697,0.37113355159315264,-0.13292429452233392
Angular_L,0.8827563648361005,0.6179831042642194,-0.4981312832600282,-0.1567887444095955,-0.0573084315523839,0.22335847638477502,0.307475539192746,-0.057034298677256574,0.13372428629997485,-0.1680104527710508,-0.38875133225165165,-0.3069614910244382,-0.22682320626537428,0.6051595789425828,-0.2536109567275183,0.6951834714998061,0.08353468869708795,0.48752624429379665,0.34556135523106024,0.47721098105593285,0.40461687239234245,1.0,0.20211791418114383,0.663478881384354,-0.6155733661991317
Putamen_R,0.16245644780465548,-0.0839777411105043,0.17082592515205222,0.5536942526846682,0.32423207357193096,0.5182607563885876,0.30717070558912113,0.28309422298861997,-0.09487120679395364,0.6560750166455565,0.4895464643562698,0.719377567355097,0.4315487878799127,0.6969615119925597,0.49638853184441833,0.341497404246428,0.4012161969208758,0.5589208052252548,0.45648196720176565,0.11318298604549325,0.2190961600319697,0.20211791418114383,1.0,0.13354279112509634,0.3291693841764368
Precentral_L,0.5445431035056383,0.6863827181752967,-0.11138425958509447,-0.181630854706369,0.13537296221832448,0.47599676861492046,0.3472664946078768,0.28778979886496553,0.2767525349456717,-0.008368614898875514,-0.07114445109169285,-0.28128987351118967,-0.30980351405411766,0.5393948700800753,-0.06692656533011435,0.3194905399243247,0.43019810359759286,0.07957421459295594,0.6286760889916895,0.25913118271897045,0.37113355159315264,0.663478881384354,0.13354279112509634,1.0,-0.43349012447446134
Pallidum_R,-0.6325453743646968,-0.518230592614302,0.6513453481321358,0.7434814329303658,0.19887587052514152,0.11973921513023116,0.02698809718722808,0.10412385186033737,-0.3732694966304644,0.574872520579612,0.6848491832864647,0.754872194912379,0.5892791627129516,-0.07189785378322928,0.5794513438122234,-0.6066259009392734,0.0786919466839921,-0.2723533627626936,0.06151000218512225,-0.40192954804432846,-0.13292429452233392,-0.6155733661991317,0.3291693841764368,-0.43349012447446134,1.0
