,ACC_pre_L,OFClat_L,Thal_VL_R,Caudate_L,Paracentral_Lobule_R,Cerebellum_9_R,Frontal_Sup_Medial_L,Temporal_Inf_R,OFCmed_L,Thal_PuM_R,Caudate_R,VTA_L,Thal_PuI_R,Cerebellum_9_L,Thal_MDm_L,Calcarine_L,Red_N_R,Occipital_Sup_R,Cerebellum_6_R,Occipital_Inf_L,Frontal_Mid_2_R,Cerebellum_6_L,Postcentral_R,ACC_sup_L,Thal_PuA_R,Rectus_R,Amygdala_R,Lingual_R,Frontal_Med_Orb_R,Precuneus_L,Olfactory_R,Supp_Motor_Area_R,Temporal_Sup_L,Fusiform_R,Frontal_Inf_Orb_2_R,Occipital_Sup_L,Frontal_Inf_Orb_2_L,Thal_MDl_L,Insula_R,Postcentral_L,OFClat_R,Raphe_D,Hippocampus_R,Frontal_Mid_2_L,Thal_MGN_R
ACC_pre_L,1.0,0.1008675599340315,0.24766012521812492,0.6036231231314666,-0.39020444048146524,0.08439852552193781,0.4059658010049618,0.11441936422751893,0.4078367311918524,-0.21016400740141264,0.16760853452662056,0.16180100063179914,0.0666736581290581,0.073480942790444,0.21472220582054422,-0.10826909380453725,-0.015510008004855996,-0.004415005517777729,0.21135574824734019,0.25606957033528266,-0.07111571229299031,0.23105777285163243,-0.5951342013591671,0.7115886453028775,-0.05096236603324374,0.37422121223065224,-0.23693199527674677,-0.06723685590092203,0.38976358503962394,-0.056099595065069376,0.1732845201040364,-0.39549734886332194,0.4658683046414669,0.16064548062758077,-0.1735988536394288,-0.28249659531260995,0.16663142409122053,0.5969647080405358,0.13610291572194858,0.008428090818275379,-0.49370295488678906,0.31994699503860763,-0.08172756219447812,0.2788399963965695,0.30049555954924567
OFClat_L,0.1008675599340315,1.0,0.5118077817843065,0.30305829526204214,-0.05009100813002075,0.20006770163111423,-0.1686397851082092,0.23306300412491435,0.5613495590672681,-0.36015965869834,-0.13283756471362304,0.2066096792327999,-0.10394031971979223,0.2086332946939972,0.2840684695715873,-0.031163530726148213,0.008974953537428554,-0.6140209343315391,-0.023883718603681027,-0.5188816638464084,-0.2294168704301958,0.05969001192600534,-0.25864901696414394,0.016352206032826517,-0.1525187639503738,0.6668915941123146,0.055343801181305316,0.1451193381047236,0.5794438986609404,-0.21870346352765332,0.43326774281914243,-0.13498802000189802,0.08930292533930922,0.3265415733543721,0.8263814938093194,-0.26423485409918973,0.7628012747559738,0.47744947688580175,0.0492217228773354,-0.1383449735183818,0.7178343284077993,0.3832225254709263,0.12476387815852351,0.12993322918443412,0.5044834325569139
Thal_VL_R,0.24766012521812492,0.5118077817843065,1.0,0.5763005557607093,0.14835090674211923,0.7581910023259045,0.2396365737202038,0.7192152322237152,0.26540964907265907,0.12740990454729598,0.4487189472385826,0.15970215964841483,0.48947415306984193,0.7586156061418421,0.6255921684976302,0.510481780063312,0.5835345237449555,-0.03645680123763193,0.5103249649452778,-0.006767361903404433,0.25120743568542847,0.5805235287657133,0.1428268157057657,0.5332811693263616,0.46317869492640223,0.22010518922212133,0.5367585112239943,0.6464708986272453,0.13292116759462977,0.2873241823499771,0.48880825614889195,0.2093998455104558,0.4182997943795548,0.7507791315540455,0.25890844939821545,-0.05678179308725623,0.5146317791092611,0.5630521539405597,0.6117261163780698,-0.04868357267767332,0.2899227857555226,0.3243250112058855,0.6017444603166083,0.4272039873678774,0.4335864422690872
Caudate_L,0.6036231231314666,0.30305829526204214,0.5763005557607093,1.0,0.12494394482159009,0.4002650271117198,0.32704326133767153,0.4004479192617774,0.3854206310473908,0.02151633098042639,0.5152747243886996,0.5457783599400013,0.22349632518398266,0.5702762578408597,0.8303257061124382,0.4455956690362016,0.0884483077853157,0.0662762772672133,0.5185680094913414,0.16050707515100934,0.1024161705290041,0.5180296297703558,-0.0937492846168903,0.7253186198079413,0.14755776719439523,0.49493340742315806,0.2314760221649623,0.3485053059506998,0.2319713108948509,0.26517513675365045,0.2419152136536487,0.19321906170595213,0.6797107060344697,0.6446159887279018,0.15488367164832498,-0.08450066704075983,0.4871648591632092,0.8590610549933856,0.590514128887755,0.3136693449803007,-0.12610555320372796,0.07603018121595315,0.4917110440459361,0.619761043785453,0.6117410187275383
Paracentral_Lobule_R,-0.39020444048146524,-0.05009100813002075,0.14835090674211923,0.12494394482159009,1.0,0.25334404424072793,0.18718477493005078,0.14846168833781834,-0.38741420993344344,0.6107960701208058,0.42314161019515273,0.0339061724298646,0.24510580886861258,0.31983009993669487,0.35607242324626964,0.6400116660948112,0.28327045391157485,0.5375926761492504,0.31257049393607256,0.18748094374612964,0.49948360938950953,0.1862133547832694,0.8144971557037854,-0.011903067534373675,0.5095402247752184,-0.27928080685415063,0.6175791157097963,0.4513115510284134,-0.3895510652495632,0.7563631031742082,0.17029380404324945,0.8724875276670976,0.3461515089754492,0.19735791277009906,0.02685546035862555,0.5844342901289377,0.14387076730688064,-0.14389298066088638,0.45847364308400224,0.6258310845197478,0.1761460498222779,-0.5392192232358247,0.5619959185537236,0.48625878654418253,-0.16280920061083615
Cerebellum_9_R,0.08439852552193781,0.20006770163111423,0.7581910023259045,0.4002650271117198,0.25334404424072793,1.0,0.2899746747668559,0.8143690765441772,0.03316095225945555,0.3468130946084718,0.43082909428113975,-0.02533455852931874,0.6165740431137071,0.8987629655683632,0.4594596209570086,0.6818505034429366,0.7060196017257474,0.2105507588942601,0.6321539749397471,0.21098711906858536,0.31227182991141583,0.7083516219014986,0.25361917047550936,0.4636447575539214,0.5208679623156154,-0.07293789457021839,0.6530872626491437,0.7969924328878801,-0.13250008995356893,0.363528227625064,0.42003964859969295,0.2963254382764187,0.28792044287788016,0.7555543135697957,0.017032618983327388,0.1384509210172538,0.30803098963263725,0.2658655916272902,0.6180079277046557,-0.09314113609220383,0.11828069668951238,0.22731308794545294,0.5036016655240059,0.3223931934578189,0.1662654307005562
Frontal_Sup_Medial_L,0.4059658010049618,-0.1686397851082092,0.2396365737202038,0.32704326133767153,0.18718477493005078,0.2899746747668559,1.0,0.0890575347549352,-0.006733776297810276,0.28330718176759845,0.48529307994008053,-0.02426864421667255,0.17374632636783252,0.2971726420928386,0.2900750308149436,0.24384905366890902,0.3049017207383612,0.3533135254817188,0.3792651599585246,0.34293646920059717,0.8022885736181821,0.2571031384635523,0.12217816770280805,0.3923660153758858,0.33980628014184094,-0.09181024415778119,0.3498601509150597,0.19710091377766456,-0.3704992531308567,0.2691147083217886,0.22826666697374545,0.3597244071845226,0.4302891988139282,0.1282575270877031,-0.48476985502694053,-0.1017211032581872,0.08263834448200563,0.23779078660843372,0.5166227449848333,0.3578521261783364,-0.5569760867847938,-0.2537652088176465,0.38338238315766576,0.7454217206498169,0.059785703193330875
Temporal_Inf_R,0.11441936422751893,0.23306300412491435,0.7192152322237152,0.4004479192617774,0.14846168833781834,0.8143690765441772,0.0890575347549352,1.0,0.19740214026531597,0.28745067768856325,0.5153639070031856,-0.009769261855162727,0.5747790396490389,0.752345184993485,0.4593071084248092,0.6478375275404388,0.5661018638025629,0.19090825486631133,0.6450729567220099,0.15993825196449277,0.1317487498443123,0.7450165556272793,0.23229804093307957,0.44726956931676665,0.43172507436415664,-0.01194525082326749,0.5163368690044937,0.7758788282809608,0.05497780884045061,0.34447038001030855,0.43028623429014884,0.18545079509714837,0.19693477591685507,0.8382983392040342,0.10472015648255253,0.16792049821398142,0.30469537972497085,0.2932163143737315,0.6058989331567797,-0.20126038016985373,0.19529503080940921,0.3152907403183619,0.4879893234622441,0.10573641887696043,0.15574693094734463
OFCmed_L,0.4078367311918524,0.5613495590672681,0.26540964907265907,0.3854206310473908,-0.38741420993344344,0.03316095225945555,-0.006733776297810276,0.19740214026531597,1.0,-0.5142572295221861,0.03616120675916899,0.24256530191959505,-0.23644615240569472,0.08934917831708741,0.2948863350249546,-0.23447681520164668,-0.2110697473921337,-0.5386213929952484,-0.00019722696614632397,-0.37444987700714943,-0.20818803240301645,0.08773249348310276,-0.5091214886434487,0.15231504495126116,-0.4130209962400084,0.783612244801573,-0.18251399843107868,-0.10484793494918555,0.4776359621306011,-0.3780160703705106,0.2879971711080002,-0.34494793452384415,-0.062411457691598775,0.256753511596487,0.3902906100481897,-0.5200478401087019,0.4668976561091828,0.6224101045104977,0.058869081450208534,-0.2743291533904088,0.1371868885147416,0.33617423806578256,0.04540371587456427,0.061957005716883784,0.5974654126988753
Thal_PuM_R,-0.21016400740141264,-0.36015965869834,0.12740990454729598,0.02151633098042639,0.6107960701208058,0.3468130946084718,0.28330718176759845,0.28745067768856325,-0.5142572295221861,1.0,0.3710879691193834,-0.314842744382164,0.7458030564796173,0.285560054521236,0.058030065718379424,0.6585547852973902,0.566988702207372,0.8150526813296769,0.5055594800410218,0.6855327655376948,0.4183056200356495,0.41297418805869607,0.6112980388081588,0.12405501170572118,0.8478031389612436,-0.6773945331184986,0.6207954511499881,0.5391501560166866,-0.41111320213269237,0.779756379376948,0.12333266051697547,0.5026534006503144,0.4654772167111346,0.1949357920032098,-0.39551295736974734,0.7846749503026137,-0.16467333737890094,-0.3320650926182612,0.4765724163858544,0.5454143574971887,-0.16831499632441027,-0.4027417431779587,0.3729247125141546,0.2635964394308741,-0.5809068214037845
