,Frontal_Inf_Oper_R,Occipital_Inf_L,Thal_AV_L,Thal_VPL_L,Vermis_1_2,Thal_MDl_L,VTA_L,Cingulate_Mid_R,Cerebellum_3_L,Thal_PuM_R,Raphe_D,Putamen_L,Precuneus_L,Temporal_Inf_L,Rectus_R,OFCant_L,ACC_pre_L,Cuneus_L,Thal_IL_R,Cuneus_R,Cerebellum_4_5_L,Paracentral_Lobule_L,Cerebellum_9_L,N_Acc_R,Parietal_Sup_R,Cerebellum_6_R,Vermis_3,Temporal_Sup_L,N_Acc_L,Frontal_Inf_Oper_L,Cerebellum_6_L,Raphe_M,SupraMarginal_R,Thal_PuL_L,Frontal_Sup_Medial_L,Thal_PuA_R,Cerebellum_Crus2_R,Red_N_R,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L
Frontal_Inf_Oper_R,1.0,0.5289262971030865,0.08303768093812189,0.48726262431594897,0.5873980810423326,0.08825553087592533,-0.21064671402076818,0.4918734674233579,0.014965971725242645,0.4945465523650882,-0.23435059634325,0.40905980520911234,0.5317203006687395,0.044033148470402475,-0.36386483129589037,0.017427730508134263,0.3223209304941064,0.4781165042991002,-0.0842426763181293,0.6875376556221812,0.3862695309487281,0.12599736768152342,0.3644715485579255,0.5411449859097914,0.4753150392024312,0.5572511702878068,0.04791170080185716,0.5016686685770221,-0.10802718445773846,0.7219291901204767,0.48398634861876966,0.4725066103086075,0.33632612018227737,0.5950536660474814,0.7847858484548015,0.6263493579451355,0.17237403482564367,0.5139768028907963,0.8403228261681482,-0.0695625219087672
Occipital_Inf_L,0.5289262971030865,1.0,-0.08001424796367766,0.1805829641957247,0.46123968925079384,-0.13809943341357,-0.3147200641624857,0.18048136421588667,-0.2272331135789687,0.6855327655376948,-0.1563239351965948,-0.022896925783576567,0.5295519599279142,0.21083370503540494,-0.5632201734274854,-0.3872693840684933,0.25606957033528266,0.7184613906645161,-0.46137484721044764,0.7701439962329987,0.1321021903777822,0.12444643965716473,0.15250545380226885,0.26653689726616625,0.5434116791757986,0.451379088970572,-0.1284983539507981,0.5452434086974536,-0.03595181617167831,0.4935071442612187,0.3841212542625331,0.19298838850236633,0.1647702406663985,0.46232149975516085,0.34293646920059717,0.6229851198377807,0.28370110397227416,0.39027825611738565,0.2297014158544251,-0.2976860668509225
Thal_AV_L,0.08303768093812189,-0.08001424796367766,1.0,0.5239379088705393,0.2849300197872251,0.8580772274577024,0.6101918984081716,0.5099637386661431,0.40120767734715596,-0.17143347166635273,0.3377225281211592,0.5871918103974213,0.04807739503624017,0.5938529190721412,0.522669295608675,0.38104456277784465,0.43629956999861935,-0.013863832022734297,0.7272576005598539,-0.15784397315765064,0.47390771816304444,-0.1322944806268486,0.6514336561815591,0.10063224545287872,-0.2501303604073491,0.44009511678218,0.6067783275470723,0.3441160125695184,0.3766980184943683,0.2581958845666726,0.48117967171339515,-0.08836513179845434,-0.18030486903256113,0.23946165524741123,0.1049720667404108,0.02139959175607597,0.41287385190163395,0.08929113987478457,0.25487913708028026,0.45919193963810484
Thal_VPL_L,0.48726262431594897,0.1805829641957247,0.5239379088705393,1.0,0.5292020933575784,0.6604950609097607,0.12446149761556793,0.4147105427660944,0.5522866662129418,0.08222337685560505,0.28273446779012734,0.329569441087377,0.16479209662802663,0.6454554348987553,0.3121505243063675,0.1050163392270239,0.5897040152784514,-0.037312867989632945,0.342755142647397,0.12550921145222696,0.4980830327284918,-0.03754538879430073,0.48777091445323484,0.09026812944234394,0.17168586103795466,0.4726480170435437,0.38399615639374735,0.661720919804394,0.36483390862323456,0.6696529870485607,0.4935359846773154,0.07654445314490062,-0.21680256577626186,0.7432528950099695,0.47132473960483484,0.34984750415397775,0.1179591701177659,0.37083833738944216,0.5510675929815972,0.49710755644505794
Vermis_1_2,0.5873980810423326,0.46123968925079384,0.2849300197872251,0.5292020933575784,1.0,0.09751440444804405,-0.19023179766660706,0.6025342693839972,0.2092893679775561,0.600783243459877,-0.05454543943618133,0.3564325477565813,0.6498887378117043,0.12083281583499847,-0.3132244981199029,-0.013925184296831952,0.12796548602352537,0.4745435202031498,0.07409735586443109,0.5186792549597756,0.4121480418654295,0.4786678388732056,0.613664896571317,0.5119250902784366,0.32167079922301284,0.5945232665681486,0.3384177402696395,0.6013482965117632,0.0713901662170814,0.439700242957913,0.5619384389765312,0.5749217500381671,0.39477012272863954,0.779163612680177,0.424533494863454,0.7697748120459986,0.33311597490279105,0.7209398388142608,0.4127423024585406,0.18416394315502516
Thal_MDl_L,0.08825553087592533,-0.13809943341357,0.8580772274577024,0.6604950609097607,0.09751440444804405,1.0,0.6551961360293955,0.35695515539261297,0.45649272970046806,-0.3320650926182612,0.30092310789021437,0.4211266913535014,-0.12233321864952464,0.6955723177133986,0.7255001592505465,0.46923737526408626,0.5969647080405358,-0.22364695709243052,0.7380581349167632,-0.2149922222861531,0.5064165924658403,-0.3440134428896943,0.44905350779294206,-0.13341783813498806,-0.21025503736823692,0.31842008559021157,0.535692947063326,0.41469486466897376,0.5334709694937482,0.43868900543985834,0.3357382254588871,-0.2634573252766658,-0.398593958264519,0.2014941421227109,0.23779078660843372,-0.16532174158300797,0.11351406559023972,-0.09724244711502796,0.3626107944695945,0.5757670146653814
VTA_L,-0.21064671402076818,-0.3147200641624857,0.6101918984081716,0.12446149761556793,-0.19023179766660706,0.6551961360293955,1.0,0.2578888006573644,0.023112376703410334,-0.314842744382164,0.04772026469069386,0.29659904327693226,-0.12959479731729795,0.2538081011180384,0.5521900966071787,0.6434462208956128,0.16180100063179914,-0.1344057550237346,0.5646486915866411,-0.24488051650143758,0.29901920426980466,-0.14791291350678748,0.2759993126045563,-0.22317903913636086,-0.46653348174248765,0.104920694685084,0.40565886831659576,0.12289531459132699,0.34769956548249836,0.043072666383603,0.07010301536122782,-0.26305508671390376,-0.12917154333442862,-0.11330412175884086,-0.02426864421667255,-0.36014717476858726,0.03909147340041159,-0.45325913701371395,0.1073637967486154,0.33347012935637493
Cingulate_Mid_R,0.4918734674233579,0.18048136421588667,0.5099637386661431,0.4147105427660944,0.6025342693839972,0.35695515539261297,0.2578888006573644,1.0,0.20038258915209983,0.4020871993915625,-0.15651890853320027,0.638887811382244,0.6311620777992716,0.046273168145972425,-0.05148439736657635,0.34737155158347566,0.0075292880793011475,0.4109794148494797,0.46452498432770895,0.2758384897097416,0.7289763580799594,0.4919633973666468,0.7150113005304011,0.5148621042597622,-0.11477998656004981,0.6749944356088475,0.491694783497592,0.49595116782720805,0.18066561977878323,0.40600604655906053,0.6607950020197866,0.522384403173887,0.5754568993496472,0.5499930209524931,0.3281944163230868,0.5045423096573425,0.3562192128115607,0.39871084305109084,0.4590091828348787,0.2800658428158842
Cerebellum_3_L,0.014965971725242645,-0.2272331135789687,0.40120767734715596,0.5522866662129418,0.2092893679775561,0.45649272970046806,0.023112376703410334,0.20038258915209983,1.0,-0.24930945915894617,0.4292733850231174,0.14938622204776508,-0.04531657194690557,0.5262354968535888,0.5218009286638168,0.09670263864994477,0.38048165923268246,-0.32005718688678514,0.427311616918717,-0.27404325479533903,0.42441961617632434,-0.05860093578323168,0.3601623652018023,-0.037216584884423115,-0.0407568892047547,0.24511877422710446,0.35994662752184453,0.2697710595976037,0.4706268013051961,0.1894946811287895,0.39249377820048365,-0.10783901202173024,-0.2947902377984599,0.22010244789232097,0.11527007564395468,0.005864769681178444,0.09810767913080284,0.25373128992126215,0.1162482176768117,0.6608106024494691
Thal_PuM_R,0.4945465523650882,0.6855327655376948,-0.17143347166635273,0.08222337685560505,0.600783243459877,-0.3320650926182612,-0.314842744382164,0.4020871993915625,-0.24930945915894617,1.0,-0.4027417431779587,0.13787121766758545,0.779756379376948,-0.22199011838628807,-0.6773945331184986,-0.16211048550110835,-0.21016400740141264,0.8561971683593507,-0.384158562415039,0.7778137302851605,0.2731258780337125,0.6123852687770881,0.285560054521236,0.5268631935347592,0.2544125642019539,0.5055594800410218,-0.13330251878098265,0.4654772167111346,-0.1257319967867805,0.19961439149525922,0.41297418805869607,0.6023423787203833,0.6468801370025719,0.6415320322183471,0.28330718176759845,0.8478031389612436,0.20490034336056712,0.566988702207372,0.2321920616284665,-0.16467333737890094
