,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VA_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_LP_L,Caudate_L,Parietal_Inf_R,Thal_VPL_L,Vermis_10,Frontal_Sup_Medial_L,VTA_R,Frontal_Med_Orb_R
SN_pr_L,1.0,0.6174308472964685,0.7889453897155542,-0.1546536139792891,0.5803874321525184,0.06581528581409515,-0.39883193834441827,-0.49540328295220115,0.04199753653364292,0.32981861252257505,-0.0350288751553838,0.5593808139410804,0.6410398456815877,-0.2494779654679094,0.6113514746816314,-0.21051471166829833,0.2926712301580791,0.26482037362325517,0.3988571963938845,-0.25049674264961846,0.4443740331634907,0.525189032879392,0.18915462524523097,-0.08400634447040667,-0.4085613098162869,-0.019524342036731483,-0.01660992205561466,0.12681840730798016,-0.30076163900266867,-0.49992931839736304,-0.1329998861826152,0.004241679676833065,-0.4589753552194524,0.4881891044658294,-0.3737076630533966,0.5303987983056092,0.3450632089579029,-0.2827587591551746,0.3973678173311374,0.0672991693393194,-0.2872908516623845,-0.0941732596972571,0.750527099726825,0.6253297523226746,-0.1366178952659402,0.1867226367045343,-0.42288253681245425,-0.15466539824700817,0.5567318883544708,-0.1833421877808639,0.4408987765479403,-0.03967896455818302,-0.024751380204774635,0.35740963079271726,0.5629836180835633
Thal_MDl_R,0.6174308472964685,1.0,0.5808113064705009,0.20704076009733943,0.4155306730304607,0.37136035260648426,0.006614716239241512,-0.16300377142123523,0.3998222874366431,0.4310128984617783,0.17823932967781328,0.9025146228765525,0.5329199572758777,0.051029119929839044,0.7004524992365264,0.20747559697738782,0.4596680480344925,0.5452935192413354,0.8636160702980911,0.08950868925237118,0.22152850617345227,0.33705227786195396,0.554329386297562,0.12073413040587064,-0.20820663928270963,0.37826886758063705,0.22341737572575313,0.10134469675881747,0.08860835395399073,-0.16755051379136923,0.21929916278856026,0.26109449096708187,-0.11228390223208282,0.8219618012847392,0.00034516366688315677,0.39374866502939293,0.2746642829535377,0.034940689388818724,0.676918563134761,0.4919871859955482,-0.01728910273623645,0.14133248495005857,0.8142853510909711,0.6054391111499403,0.21776515403257862,0.40718962499706046,-0.17456051360540703,0.30355090640570065,0.8516934524182929,-0.16965686347490344,0.5322046853030796,0.17094688127642904,0.11675447868870817,0.5308063646798815,0.33449374231847756
OFCpost_R,0.7889453897155542,0.5808113064705009,1.0,-0.06341081819860311,0.7831223137350414,0.059302630154659045,-0.47903643062324425,-0.4203111501176811,0.1262858558435133,0.3567646266164754,0.0833655121696236,0.5336189912978087,0.601183058491921,-0.11639291873826545,0.619859806443101,-0.1736680529479889,0.1788254864053521,0.1714352905310805,0.4178932172712003,-0.1828383421050144,0.38808771100977213,0.7852283043802694,0.12354802669551976,-0.11239627593093136,-0.39123720366473747,0.08067209603097665,0.12716295736967936,0.10257323159200259,-0.23112332841349215,-0.3993063510476066,-0.02401880808311312,-0.017687136805758254,-0.5668565487341257,0.5657784281960698,-0.32646801598511804,0.6011264255533003,0.6817714579928221,-0.3309457520664052,0.29930492106284085,0.12624437710505812,-0.43027575498075493,-0.34482606587685966,0.672063160420394,0.48528380870019155,-0.1418563005686808,0.03746047557561142,-0.31223356746939296,-0.09881638902288947,0.5275040805701307,-0.03691258447575169,0.33772501210807965,-0.11757050186717449,-0.2957288609872161,0.4822031756024784,0.6415256372142113
Temporal_Sup_R,-0.1546536139792891,0.20704076009733943,-0.06341081819860311,1.0,0.140320095285108,0.2194951897876748,0.41058076253544223,0.5102750579729433,0.7548090498735577,0.26713260299585945,0.727736503295521,0.2979316617867213,0.05216122983544945,0.4917176211951268,0.2017941173533375,0.7272576689566876,0.3042766761366197,0.23421201161103114,0.41111482954135353,0.4651541019412434,-0.02299747886921268,0.05149130824547973,0.618215119530429,0.12755383293516892,0.530805145897739,0.6899897166333548,0.6448065468741745,-0.27434026094613845,0.6166778847395311,0.6429507418561974,0.6709982686579679,0.5793117180395353,0.330744479041945,0.30671881641806825,0.5852224771671859,0.27726944753672844,0.08212862086896149,0.6817845512988066,0.4401991848221764,0.6363626364150023,0.43315929301654543,0.08964219398157415,-0.07627684212063106,-0.09784691773789836,0.6473701038278196,0.4705648716962571,0.3576302047077402,0.6501233398451457,0.21462197394949348,0.21709912111199658,0.33542762072371135,0.45930386713552324,0.15375943427574892,-0.022882381000624896,-0.21224369609288724
OFClat_L,0.5803874321525184,0.4155306730304607,0.7831223137350414,0.140320095285108,1.0,-0.13489855413589089,-0.5232397271864963,-0.2727031592656154,0.23306300412491435,0.23602718596332256,0.19078815830077409,0.4086826521816093,0.6854325748064519,-0.05009100813002075,0.6000834641902096,0.055343801181305316,0.08930292533930922,0.016352206032826517,0.2840684695715873,-0.11138425958509447,0.3832225254709263,0.8263814938093194,0.05296860087448324,-0.1383449735183818,-0.3062858655534253,0.12476387815852351,0.4120822477545569,-0.06608230094478136,-0.21870346352765332,-0.2647327038411498,0.07450245750689173,0.1546669998309872,-0.6140209343315391,0.4907349203615951,-0.15990541645910142,0.7261882005368511,0.6333735864196217,-0.1524915741325312,0.19010438975647453,0.1916289890796602,-0.2294168704301958,-0.40810925212615506,0.4771767781320842,0.3555075984323268,0.04435398708497171,-0.01441779777888995,-0.26423485409918973,-0.0853996808221759,0.30305829526204214,0.06065140620993137,0.4415668013344101,-0.07925596702720027,-0.1686397851082092,0.3471335654844055,0.5794438986609404
Heschl_R,0.06581528581409515,0.37136035260648426,0.059302630154659045,0.2194951897876748,-0.13489855413589089,1.0,0.19741476038644476,-0.1513360945394645,0.035964314779884356,0.5326984279499004,0.0439229923567848,0.29466971572622497,0.06239771032254106,0.4220029820133542,0.22074306124793244,0.31210543477891545,0.3647271452138486,0.2632785218222501,0.6169644201556552,0.5469148627547391,-0.4726204924660237,-0.1398023614481703,0.48000615735799873,0.486761039852997,-0.26249407585141593,0.6845235059227603,-0.02858576250306922,0.11776103011300079,0.3857191592485696,0.31343786377560406,0.045145332691528664,0.20623186471919974,0.19614677100042624,0.30804024343356357,0.48637180532201896,-0.10648925888062623,0.09023435852501563,-0.14761600267201122,0.30616222676112814,0.29697807868352516,0.47910763758168246,0.5245500084473305,0.15362165946910156,-0.080175985964943,0.17558367274476844,0.5787575655439198,-0.01963601539401271,0.5353524226169396,0.5120850237741958,0.02729791622943077,0.21636658524370075,0.30195711904089273,0.35978710550150006,0.47989922454986456,-0.3543953408222268
Cuneus_L,-0.39883193834441827,0.006614716239241512,-0.47903643062324425,0.41058076253544223,-0.5232397271864963,0.19741476038644476,1.0,0.7277554464145339,0.33713315404789007,-0.04056754621847382,0.2497179623764183,-0.013863832022734297,-0.5687243837512002,0.5235936157054514,-0.2554012218501309,0.4821757592645428,0.4325402689707072,0.26601487928456335,0.1676212446359099,0.5341518127651433,-0.3954308615607148,-0.4932397177962042,0.41592426387846904,0.49762786697607136,0.6336156937100595,0.26753678830317834,0.004844191072886813,0.2417263781961402,0.7881425790099723,0.583946603628962,0.4599919397251801,0.4655047152448633,0.9184638154778091,-0.08239157493611171,0.4987063409978731,-0.32005718688678514,-0.3984951134716592,0.6274322373398643,0.21333407300178797,0.2407749160939153,0.3226843974340128,0.3657654251944206,-0.2927446784061644,-0.11795600346824811,0.4745435202031498,0.21562704981334377,0.7857337921765964,0.6055928343806212,0.14584173386708674,0.20735820807402655,-0.037312867989632945,0.5693653497116966,0.24083042686713693,-0.2692283820252215,-0.37020743013708973
Occipital_Inf_R,-0.49540328295220115,-0.16300377142123523,-0.4203111501176811,0.5102750579729433,-0.2727031592656154,-0.1513360945394645,0.7277554464145339,1.0,0.48628509099435635,-0.0037206649351748367,0.4647920909600685,-0.08039321536545133,-0.5322995236893728,0.47254670036459984,-0.2992554205532606,0.4726152531866069,0.06256302765876075,0.006870336349968193,0.024204940116495283,0.3351687799510515,-0.1714365012055449,-0.17868711627452855,0.24214723582280542,0.16036799306575084,0.7687802711201309,0.16153391618383683,0.22224698371398402,-0.06584737795980242,0.5475903474061786,0.6269872270143009,0.5234400214087952,0.2790164825081191,0.6480438083531036,-0.09557011629096189,0.40803328824204943,-0.2409387762479554,-0.15256641302029975,0.713748399641491,0.05045843522745752,0.26851472324762593,0.21282137815312155,-0.006278575099796728,-0.4139255491762297,-0.3078404103256465,0.38978093795796376,-0.03655244434796967,0.7045715434068315,0.5316650745759505,-0.13814062266244037,0.2850646673224544,-0.2354371943082116,0.31976486995863723,-0.0037977657803412055,-0.295463477889362,-0.2454873274659208
Temporal_Inf_R,0.04199753653364292,0.3998222874366431,0.1262858558435133,0.7548090498735577,0.23306300412491435,0.035964314779884356,0.33713315404789007,0.48628509099435635,1.0,0.1811262719804317,0.6929061326670023,0.5463878436102871,0.24446271402503494,0.14846168833781834,0.4009285907070341,0.5163368690044937,0.19693477591685507,0.44726956931676665,0.4593071084248092,0.0951754968752812,0.3152907403183619,0.10472015648255253,0.6541973331494059,-0.20126038016985373,0.5270486352528589,0.4879893234622441,0.6219523101051518,-0.2987548401194905,0.34447038001030855,0.22746243777261801,0.6772402103363769,0.4227922216157036,0.19090825486631133,0.62809545278304,0.26292080620961145,0.3960833662436116,0.0326887489722694,0.7080877822393148,0.4733074148826075,0.7155570673295955,0.1317487498443123,0.03956685452617656,0.28229640341458623,0.30470379164880157,0.5258947989660129,0.31210807304160915,0.16792049821398142,0.3942639774724659,0.4004479192617774,-0.033495820607215676,0.38143541552755555,0.3832557898624064,0.0890575347549352,0.12216423646910299,0.05497780884045061
SN_pr_R,0.32981861252257505,0.4310128984617783,0.3567646266164754,0.26713260299585945,0.23602718596332256,0.5326984279499004,-0.04056754621847382,-0.0037206649351748367,0.1811262719804317,1.0,0.1757469712788056,0.43326902307514126,0.16976675357833537,0.34676320355921386,0.2299919647851494,0.1769603600939707,-0.0036465019087573453,-0.006785688051722887,0.6205309613449469,0.2789084431302051,-0.12123431308081789,0.445330649569933,0.2741778065922909,0.15939550344861986,-0.20768957922464537,0.503622881051439,-0.017069410295401072,-0.10624183390578933,0.10250066126834607,0.2964074226994363,-0.01177439471965812,0.03313104387324757,-0.10558604191788767,0.4366188171364026,0.25742379670370114,-0.00726998901373496,0.425548889645582,-0.08645287938248276,0.3482984683190903,0.3783151114306085,0.17954690015279579,-0.008194780620471138,0.27517871750787226,-0.11117515640254778,-0.03726310009448645,0.24985609647350415,-0.05766593123670739,0.5485714981818944,0.37622740200452415,0.17826265413027262,0.05818278674656798,0.016363903120339397,-0.019384472570673824,0.5418682557639344,0.1249271508505731
