,Thal_PuI_R,Thal_MDm_R,ACC_sup_R,Vermis_4_5,Thal_AV_L,Rolandic_Oper_L,OFClat_R,Postcentral_R,Frontal_Med_Orb_L,OFCmed_L,Temporal_Pole_Sup_R,Vermis_10,ACC_pre_R,Occipital_Inf_R,Temporal_Inf_L,Parietal_Sup_R,Hippocampus_R,ACC_sup_L,Thal_MDm_L,Cerebellum_6_R,Thal_PuA_L,OFCmed_R,Supp_Motor_Area_L,Postcentral_L,Fusiform_L,Precentral_R,Occipital_Sup_R,OFCpost_R,ACC_sub_R,Olfactory_L,Thal_VA_R,Heschl_L,Frontal_Inf_Orb_2_L,N_Acc_R,Cingulate_Mid_R,Frontal_Inf_Oper_L,Vermis_6,Frontal_Sup_Medial_L,Cerebellum_4_5_L,Thal_LP_L,Frontal_Mid_2_L,ParaHippocampal_L,Cerebellum_8_L,Frontal_Inf_Tri_R,Parietal_Inf_R,Vermis_7,Cuneus_L,Frontal_Inf_Orb_2_R,Thal_PuI_L,Cerebellum_Crus2_L,Paracentral_Lobule_R,Frontal_Mid_2_R,Insula_R,Amygdala_L,Cerebellum_7b_L,Temporal_Sup_R,Vermis_1_2,Rectus_L,VTA_L,Parietal_Sup_L,Pallidum_L,Temporal_Pole_Sup_L,Lingual_R,Hippocampus_L,Heschl_R,Frontal_Sup_2_L,Putamen_L,Occipital_Sup_L,Cerebellum_4_5_R,Insula_L,Thal_IL_L,Amygdala_R,SupraMarginal_R,Vermis_3,Calcarine_R,Thal_VA_L,Temporal_Inf_R,Precuneus_R,Cerebellum_6_L,Cerebellum_8_R,Frontal_Sup_Medial_R,Caudate_L,Cingulate_Post_R,Occipital_Mid_R,Parietal_Inf_L
Thal_PuI_R,1.0,0.37424006766692536,0.5938356148960546,0.8305055828708164,0.4217895832896153,0.3847153779849486,-0.01581858841603304,0.4502775990951865,-0.11818448321455194,0.19618779166441952,-0.08211717973738518,0.07869532287812349,0.2307239170812092,-0.09692139458441992,0.6165055954211536,0.06850714610568573,0.523140791357882,0.4086369439688166,0.5681115411513364,0.38839031440128435,0.6630454187133952,0.043466210365799986,0.3342180387161959,0.6626872524284035,0.6045892291368357,0.07477615164673845,-0.15972565359730082,0.19130784666594056,0.007758737399279066,0.10243003178520149,0.18461053996337995,0.2701113594199812,0.0008799076272265913,0.08832077700570203,0.6039670623488068,0.32811444741776485,-0.011710502850015604,0.6252001371939505,0.6695358181136992,0.09873365847244918,0.47247402985241344,0.5734524041198344,0.18333154681818153,0.2053379546452624,0.1689852140072089,0.021312659657540225,0.26170380366225926,0.07818614377088884,0.6025777469572323,-0.17382933866006664,0.5920759749433876,0.5072863461985305,0.38826747628404346,0.3029347255538403,0.03634407792360849,0.5745708711001045,0.5593801060419344,0.012019911446120584,0.20799148333532447,0.13714196650546615,0.24485903429388958,0.21378017143347744,0.5239751403393055,0.6605725396805838,0.5579685497816849,0.38817080762889405,0.2848907395887182,0.0727380822255534,0.5268061173394488,0.3390400883936634,0.5413515606052837,0.31324427744449723,0.46339208985037145,0.6801838725912843,0.2697093238573296,0.3495861592201844,0.2338024794355723,0.6167427277323184,0.34636768377547283,0.38283444576319453,0.49299442848888647,0.5480297773727262,0.6168942410439965,0.12923365718399168,0.3666913920904911
Thal_MDm_R,0.37424006766692536,1.0,0.37699285077034883,0.39490594021855013,0.1854847947754479,0.267022038708252,0.20319176095339125,0.2951813905141813,-0.44588551291521444,0.010596490408005655,-0.12503904799880639,0.24432328553250748,0.2219291093976386,0.10976598582626852,0.3705222073484401,0.002506013592660118,0.5751683329760521,0.7166500599271504,0.679969227408181,0.5429541976193825,0.4647374329099505,0.0292710939357436,0.3675380373341443,0.2724219284491942,0.4804226572056398,0.22930673091795067,-0.11924508919129437,0.07340051345802623,0.2791512826928891,0.5237030333951463,0.674163335034277,0.35981511498437896,0.188276429829366,0.653059571287714,0.2965958913169471,0.260324434141867,-0.20527346695374596,0.3468736918162566,0.41740518114108266,3.7962261424037874e-05,0.39790322825704316,0.4128492316428993,-0.01244835829131415,0.24806594049873004,0.14259453300992936,0.07288564516614057,0.07550274593277505,0.11753634744746491,0.4317718015113807,-0.20252631163254095,0.3383724992068797,0.3970653933320902,0.3827244103863609,0.4828396144850171,0.011306575984657532,0.3987115116926332,0.20681571973388377,0.03577353846879486,-0.05239167612033941,0.13607823057963625,0.7413381683987855,0.0717338200743413,0.3439584892048305,0.5111931694546648,0.3876042451543617,0.38921830756348536,0.7019316606706384,-0.13953799795250896,0.34641726355577035,0.3828640723439917,0.17797920635784317,0.2595651248209399,0.3183259880810172,0.3820930709014517,0.25897020762658635,0.03979505257110768,0.15336778986956115,0.4034608994844813,0.5090682327035497,0.19622319835173294,0.3183488099199029,0.38478725465123315,0.28162425917252093,0.028827392170332367,0.15315316436065834
ACC_sup_R,0.5938356148960546,0.37699285077034883,1.0,0.6417394931316429,0.5598931114336883,0.630869699913684,0.26992161354634103,0.4582568398812731,0.10567769949201135,0.16457735848069446,-0.07942164050679723,0.24989950369188005,0.5604040602062146,0.14121637900641823,0.7304626870485426,-0.044926119068673206,0.7580647863985455,0.7194381398575012,0.6173978584464781,0.5715699014416563,0.6181973422159683,0.10095995638744541,0.6518894669322404,0.5636807855228052,0.6560002667860799,0.3079943220249103,-0.11641380254371338,0.38821914812048736,0.07747677377539428,0.41278583988623463,0.49038121251010397,0.5178916049550837,0.37999207287135145,0.34138629005313453,0.7328728700180456,0.5194101023096478,-0.1459182139676228,0.7855251410324489,0.714390738702055,0.142898154367279,0.7489547233533174,0.7319274887528343,0.22155826332989328,0.5660532682620752,-0.049475409484914905,0.005756522360187271,0.28167583769938837,0.33852018063931133,0.4646356983795372,-0.15556625372009514,0.6094568776621695,0.7581945208396632,0.7322434671504947,0.5251956794678367,0.002869753022105465,0.6455558941076697,0.46143062554846465,0.1605483766107825,0.07791361411438118,-0.0363615682274851,0.5370014532609051,0.2994879639096706,0.5048492441274155,0.788226586398263,0.6720243675699231,0.728949979789337,0.5757195429279873,-0.12394937339799122,0.657921088600735,0.7097168388111789,0.5194785785811921,0.626528160010872,0.37493957143967505,0.6688905343878614,0.2384613591966947,0.6387870189158205,0.2728668976150143,0.5440939816160848,0.36851057943719057,0.44025191222989957,0.7897069232215058,0.7038145719493873,0.7059606014426524,0.018606283399176304,0.17778746798999098
Vermis_4_5,0.8305055828708164,0.39490594021855013,0.6417394931316429,1.0,0.48958648713216035,0.5359145089815779,-0.033984211188651754,0.5587221027264527,-0.10180120238416548,0.2739059711210877,0.076073515393552,0.247772140598335,0.3422688274378679,0.1408558257721896,0.6658651087664251,0.11268038998338634,0.6219557348276479,0.539848700866643,0.5787847435584802,0.6528250057822349,0.6247628642409225,-0.041892735750340915,0.5227183562451729,0.6906472692938492,0.7478731835930187,0.29035304855998517,-0.02924504547180656,0.2100917635819591,-0.00479820651088831,0.15894023389119116,0.23477239695482685,0.42648370005463115,0.02424994886602685,0.20832088618835243,0.676502922847566,0.40264575315745055,0.07591905180719906,0.7352003743380143,0.8490750023550067,0.18047513806996812,0.5977291261170922,0.5956552315451573,0.4416467184454242,0.39184895337140063,0.18577407858765024,-0.040348902872132615,0.4830909786072096,0.29481216272770944,0.6223884816536672,-0.14766020039023037,0.6609591133685162,0.6090939422639753,0.5706008034357851,0.26547876488771766,0.17946516679431418,0.6983450511872398,0.7627587147383855,0.17460065198186803,0.21802855890180983,0.13946953224605274,0.27262374341873136,0.3788982011405087,0.7887378340890121,0.7247144972456098,0.6031408982093335,0.5772496416806306,0.40088057867680493,0.07345879943783706,0.787350358081992,0.46995300412217206,0.652889226233713,0.24458654383812792,0.5021630561459723,0.841342619218206,0.5175215924134168,0.3942504930516523,0.42934772518464415,0.6994946098286697,0.49486825396833456,0.6070091886149136,0.5796901448093073,0.6959809098288648,0.5509147680047061,-0.030898931221263182,0.4171452207610311
Thal_AV_L,0.4217895832896153,0.1854847947754479,0.5598931114336883,0.48958648713216035,1.0,0.4042261288774588,-0.09094400768195064,0.3917973193927869,0.11060530554685045,0.17893652634692067,0.026490455633053373,0.0050733433439430434,0.1601691265367539,0.11564187595751077,0.3263138863112362,0.17783745771840484,0.4864125454351119,0.35563358519012883,0.440282657115641,0.32655402624633184,0.4660384120522903,-0.08693738907973633,0.4804354141748123,0.4286013231847398,0.4500223109143962,0.2659927803168694,-0.032444299672128564,0.0674264125208026,-0.0046642133262938265,-0.019544003237325032,0.11241790014017984,0.3057193191174235,0.07097562378366072,0.004279401156950187,0.45716424244266407,0.34409992586119026,-0.0387465870418226,0.5209767005647457,0.4928453294992278,0.28996745757770764,0.5555146373280013,0.44472396950035353,0.2705049819355895,0.3955370777073518,0.079219428282052,-0.02567763511242248,0.22700497232755656,0.10552558022423132,0.3804370622382269,-0.2080348653412856,0.46334983341004027,0.48019356515953765,0.35294849811886636,0.1569910866254982,0.23176989256909122,0.496553927430469,0.4422640321649608,0.21286796173226996,0.041179478258183896,0.07937509672269283,0.22455674976237958,0.32413188373696616,0.39713920107555706,0.4595155479264888,0.36940715780549627,0.43821152829682114,0.2211919979468927,-0.02876918955412023,0.47702953440454154,0.3676653500997722,0.5236748282884343,0.4051106110922259,0.27012261642887814,0.49026952098260984,0.2665724411941168,0.4189910474812185,0.4458143556621867,0.39811882806364685,0.030180446774209196,0.229523117905425,0.4321883552755239,0.4534624427476803,0.38704366384423033,0.013590861018306089,0.24872285374923558
Rolandic_Oper_L,0.3847153779849486,0.267022038708252,0.630869699913684,0.5359145089815779,0.4042261288774588,1.0,0.036709218321392456,0.46912510030693305,0.10464831913276199,0.1972480591645444,0.05456632035058559,0.22940120816255924,0.48516076064574276,0.1407870939520023,0.655896533816694,0.052668627003966774,0.7508110791563847,0.6398227838917797,0.5340072089479159,0.5492733166990437,0.42353290209172906,0.053745649386647255,0.7947200387891058,0.5576539229306599,0.5520083576859819,0.5468618018396222,-0.0918525178254007,0.4418606979644912,0.002202268255194277,0.3523704521580193,0.5310747066092575,0.7455781299053601,0.5854508116034144,0.35347364461296926,0.6420973954849687,0.7788970810469441,-0.06808599138479438,0.7928951283277339,0.6509996176128934,0.2819041194507124,0.8068892723003538,0.6312412582842571,0.3965371435791226,0.7559279626676683,0.0063573495598318605,0.022653645642076007,0.562115374028738,0.4497925103106929,0.5090823313385512,-0.05474491459280429,0.5596370849938157,0.7978093145478871,0.7692713064076504,0.384427778023367,-0.07156720139798085,0.4826235499321075,0.5725570152212424,0.21776141194019089,0.1045294667776905,-0.05894150101281513,0.5672998825033547,0.30355783043818696,0.6004678040188107,0.7702775565813944,0.7736028148605227,0.8183451675506836,0.6437662677829283,0.2064871418662323,0.7594381897986648,0.7533577891603521,0.47122160294551696,0.37995751369546016,0.22738976974163486,0.7236196591263885,0.4444361963159746,0.6762866394857188,0.33077761001253186,0.5299478718670463,0.2313090528792512,0.49509242405418974,0.7612474608047014,0.7314335215691493,0.5564832457689043,-0.04449331140697535,0.19457798923460837
OFClat_R,-0.01581858841603304,0.20319176095339125,0.26992161354634103,-0.033984211188651754,-0.09094400768195064,0.036709218321392456,1.0,0.11969029829754473,0.2525784132129132,0.08178110476947636,-0.322283851129721,0.4664404917133267,0.37761379519149885,0.16166435068344834,0.3683843746410353,-0.3731932083172883,0.24511722012845227,0.2999493015900568,0.12366848422957284,0.22285198352204588,0.1737854354779916,0.11571174082684514,0.1971327248666192,0.0634943620333752,0.26351693597757925,0.18508615520910948,-0.14778804022771505,0.18666067915062,0.19713835262862386,0.2698752122062134,0.33981896184296034,0.27563428339650553,0.20993305122550876,0.2889289062379339,0.20942410030199846,-0.024717241485327123,-0.06584722113367425,0.18576660772332287,0.19441848648861815,-0.36125696370104265,0.04474579299837295,0.26205825803753935,-0.07191621348118146,0.062321821381343095,0.013515776226636045,0.03410207845985374,-0.08783030698587886,0.3367083646963147,-0.016249280276100748,0.214333160610634,0.05802010161216113,0.2388945234360381,0.3052910107898582,0.37435772060567957,-0.01672241459086054,0.10859636986426907,-0.0376847129002934,-0.11711726530569293,0.12621341782532372,0.04655483301622875,0.18861477919554026,0.09206593665704585,0.03213027838869219,0.17477661092388835,0.14716270554610486,0.29349329181133543,0.16403507371815576,-0.263829014733769,0.06117835973341605,0.2236890226811845,-0.04204182221936298,0.25713119748450053,0.211915591510273,0.11168839366206734,-0.07436400834704393,0.12947610749093208,-0.42565789539773297,0.15532906803335494,0.517930153973194,0.1521473911941326,0.24402453057181844,0.24303355553987374,0.19506945941975298,-0.06962281141843123,-0.027362440187700118
Postcentral_R,0.4502775990951865,0.2951813905141813,0.4582568398812731,0.5587221027264527,0.3917973193927869,0.46912510030693305,0.11969029829754473,1.0,-0.016103167266190575,0.1986408481820459,-0.05517973386082934,0.07345892213551586,0.15574973975254713,0.09790346196646858,0.4860186926025223,0.3090075885728625,0.5870664697969162,0.39478761129457424,0.504884270866623,0.5900803120505744,0.5284474891446126,-0.10200127592843611,0.6298155193653092,0.8011962973406713,0.6394742543621972,0.796894853193366,0.12621268247626613,0.3502848558203234,-0.02331940725125167,-0.004748271931822385,0.2836132026782977,0.4642783068308791,0.057588103277643195,0.10767506301810391,0.7554400922411335,0.6260561096452633,0.19755478796639578,0.6645518431959682,0.7078835890510612,0.2002726528284884,0.4845272250390159,0.494053353440715,0.4399309625546649,0.5816150682865086,0.6899317687237811,0.056888313718979296,0.5106874629101186,0.4231033361220444,0.48032177647267715,0.03087283353438887,0.8369604985169098,0.6726594291475066,0.5011691166277056,0.22449831708669749,0.22092702605943146,0.6860351192881575,0.6512920964442169,0.14388377785536177,0.404228498116421,0.5639935344267221,0.2224930120523361,0.29799958727093745,0.7189735810056835,0.5799539209446262,0.6040479677542705,0.6260019011984804,0.31847926143104666,0.30367381872075044,0.5816965666127071,0.4483158548392961,0.444144003536979,0.13744057665291082,0.8113878495588782,0.7392494130593472,0.6852792710730665,0.20943840683041,0.29743577749558775,0.9014378738615478,0.48478917430201074,0.6683734087763523,0.5246918293418442,0.5992493493687607,0.6284071670986128,0.051183154013896094,0.6041184742412368
Frontal_Med_Orb_L,-0.11818448321455194,-0.44588551291521444,0.10567769949201135,-0.10180120238416548,0.11060530554685045,0.10464831913276199,0.2525784132129132,-0.016103167266190575,1.0,-0.0016585878501657564,0.0007381212544685621,0.14373153837593852,0.3097595765678632,-0.008465401143063872,0.10178296535718762,-0.26807437869339407,-0.09249039317938693,-0.10955645062459791,-0.22452001738031468,-0.13749874294877776,-0.10359597734949541,0.2623802166337235,0.12127456293772637,0.003053049329191638,0.040413994931955896,0.05111410320700443,-0.07184423104412317,0.2194554518312399,-0.25050781025945235,-0.14177217187832275,-0.17195826083267293,0.0833483813593743,0.19912678766401667,-0.07769866324898653,0.14879444120134636,-0.024804861740635183,0.15680185414042744,0.16145071019508458,0.05323927722622702,-0.11610450011806615,0.008583686370358137,-0.00023489435561389614,0.12360431842721444,0.01395987996734252,-0.171372866370203,-0.01588978686205887,0.03545751457347573,0.27933034701702836,0.002555742103926727,0.35646858519956665,-0.025951883773180768,0.10894498706416203,0.16954434184197956,-0.09642319555070411,0.2223412683260204,-0.039451021260166336,-0.11224623448126546,-0.02373562476737039,0.1896460419529568,-0.12395499013703178,-0.23045393744505926,-0.029360926447281558,-0.016054000542949066,-0.10506070350176885,0.09046483895145643,0.13441781926743726,-0.23938383545986122,-0.0292647616453906,0.026989197378208332,0.009357494496352946,0.027167269241211264,0.048041150394199525,-0.0875847011286853,0.04215818636979405,-0.1999853210793115,0.23711175671054402,-0.2380172943668044,-0.04570773845502252,-0.12807089610242187,-0.025462890284689472,0.18918818919208236,0.11307651352830682,0.11482263420375587,0.035824609456087265,-0.08957776367684978
OFCmed_L,0.19618779166441952,0.010596490408005655,0.16457735848069446,0.2739059711210877,0.17893652634692067,0.1972480591645444,0.08178110476947636,0.1986408481820459,-0.0016585878501657564,1.0,-0.0528429241323366,0.10900889425705353,0.027607371468321817,0.09014497729036701,0.2951513297627709,0.08382252324551935,0.1717207659195412,0.06170285836808443,0.08406210172218376,0.2421989463043913,0.17871625423951626,0.053223630513537123,0.21764862599349483,0.26187783935663095,0.2170921017907895,0.14292828168763103,0.04608842426592331,0.08319978743950725,0.02921268484371227,-0.06583857899825386,-0.010105737697602094,0.19670528751563113,0.06463535877917004,-0.03281054189618944,0.222857748294473,0.07772082839800942,0.01186799291892376,0.1925858445998398,0.2889348169672969,0.06739239036409853,0.1409678306462575,0.1790326123143687,0.19400474055255357,0.10819871601306456,0.07710314012996894,0.039807836931078706,0.05809889762163754,0.04336774183645181,0.15366722418192771,0.017219957614178678,0.21043258057018885,0.18001229700842433,0.16065789589166643,0.06014368939006093,0.06971308023805155,0.20033760060553218,0.28935798411899477,0.13718903377190944,0.012041577220368046,0.10144992355174115,-0.026256792212356474,0.14808997426382928,0.22916978741397123,0.21990144686803004,0.12950358352391977,0.21573495686295066,0.06960964460335994,0.026331165129417744,0.25745984140660916,0.14128850241952043,0.2258467612907725,0.06868724632635632,0.1422404336833623,0.2555949138529077,0.17753000349899054,0.07523735345629606,0.10055191301161621,0.22187047096172585,0.1216706118398789,0.19924068762619684,0.11887422965710989,0.22733740582927597,0.20165625546582636,-0.002055314097384385,0.238783752648774
