,Amygdala_L,Cerebellum_7b_R,Vermis_6,Thal_LGN_R,Thal_IL_R,Temporal_Sup_L,Frontal_Inf_Orb_2_R,OFClat_R,Cerebellum_4_5_R,Thal_VPL_L,Caudate_L,Postcentral_R,Vermis_4_5,Frontal_Inf_Orb_2_L,Cerebellum_Crus1_L,Heschl_R,Putamen_R,SN_pr_R,SupraMarginal_R,Insula_R,Cerebellum_9_R,Thal_AV_L,Thal_LP_L,OFCmed_L,Parietal_Inf_L,Precentral_R,Rectus_L,Frontal_Mid_2_R,Frontal_Med_Orb_L,Cerebellum_10_R,Angular_R,Vermis_10,Thal_VPL_R,Cerebellum_Crus1_R,Frontal_Inf_Tri_R,Fusiform_R,Cerebellum_3_R,Thal_PuL_R,Lingual_R,Postcentral_L,Thal_MDl_R,Cuneus_R,Thal_PuI_R,Red_N_R,Frontal_Mid_2_L,Occipital_Inf_L,OFCpost_R,Thal_PuI_L,OFCant_R,Thal_IL_L,Vermis_3,OFCmed_R,Supp_Motor_Area_R,SN_pc_L,Parietal_Inf_R,Temporal_Pole_Sup_L,Hippocampus_R,Thal_PuA_R,Frontal_Sup_2_L,Cerebellum_8_L
Amygdala_L,1.0,-0.23817172884132828,-0.26169494007565897,0.5087374934321399,0.4314813401909073,0.493165512853947,0.19705028246037945,0.37435772060567957,0.3039855671679852,0.34699341544623774,0.5591046946268912,0.22449831708669749,0.26547876488771766,0.5346266288884182,-0.3000217959267665,0.4156879782700547,0.4962613864003843,0.5831530636032013,0.09604415852242286,0.5187436141191556,0.11711065400322812,0.1569910866254982,0.04548843549923807,0.06014368939006093,-0.056332860217078805,0.2731356187045766,0.05813838799841153,0.5028589539753476,-0.09642319555070411,0.5273383585553508,0.059061283504914054,0.29706196180016475,0.43821536369112846,-0.06882507383011795,0.3885430525972587,0.30151015419365657,0.460634146665618,-0.048561603951756155,0.14856365756775577,0.29225202801969036,0.2070580307633278,-0.003680261538514681,0.3029347255538403,0.35567376228437636,0.49997870390389776,-0.0776626731334674,0.347774757696556,0.2611916882363695,0.2829886143081941,0.3297567778885613,0.34564499549593686,0.22402444983105615,0.4813617960348492,0.2326628975532736,-0.11589802478195291,0.20256093290585667,0.6701680949145886,0.4307276353833443,0.5633606303074615,-0.08388842976393075
Cerebellum_7b_R,-0.23817172884132828,1.0,0.32553079950079133,-0.18505063983716855,-0.1664917090848328,-0.169282922923441,0.05936985938620899,-0.14213015935623832,-0.02346516868280203,0.010530065817557681,0.17196809204148156,0.2927590900670473,0.1503708880421629,-0.30171055840378636,0.11988797601833423,-0.07028181706602661,-0.16148995198847513,-0.018991150372760588,0.18616363094682128,-0.17361916764437055,0.11320708212534718,0.191710676358827,0.3437594522671971,0.17588812680066604,0.3051432734773983,0.1892765636069277,0.13464304707004737,-0.046001826755441726,0.22966257603799112,-0.10930249449033529,0.17133640531513933,-0.0933930501882676,-0.07290825317305948,0.16483378432862772,-0.10189707115184592,0.1419566189008768,-0.025856068604021804,0.020364347447384596,0.12811830718584702,0.23562238136821592,0.11725026074700584,0.07616064866706052,0.09811241226878775,0.08826006187633387,-0.14154725344825456,-0.02272513522924612,-0.14269086073414763,-0.011090121864455968,-0.24751017432790628,0.4027163433982827,0.1565511067968877,0.038132582581575404,0.056024299180310454,0.17575060843288778,0.2808399308782613,0.21370885107583823,-0.1037335796355545,-0.11704083910212673,0.030350766523363725,0.3640085700613532
Vermis_6,-0.26169494007565897,0.32553079950079133,1.0,-0.16639827271443888,-0.1324282051077549,-0.13797968994970813,0.15838248198472893,-0.06584722113367425,-0.0024159792798497323,-0.018257235032992883,0.04452748522890635,0.19755478796639578,0.07591905180719906,-0.2192886140566253,0.3342428690496763,-0.0994686699828033,0.028770201026336206,-0.037825471796201354,0.23375061957675355,-0.034809790243248574,0.21119279348815878,-0.0387465870418226,0.022754552027576695,0.01186799291892376,0.19393295740690228,0.13070109019148393,-0.02191806529058272,-0.07067131740063289,0.15680185414042744,-0.022906180289851783,0.06498918116799941,-0.011222715953587755,0.012168817707795265,0.28444641682836863,-0.011528716966081005,0.17148148970681243,-0.0898589280369216,0.2513449598067421,0.20228918500406798,0.06616378031471216,0.16636446324373008,0.25144064755285583,-0.011710502850015604,-0.08189498568068418,-0.1092346918934155,0.10448769923232518,-0.03975620545486851,0.02631050315014219,-0.09396426156904059,0.08171296238471945,0.04692734374416297,-0.2257859039109676,0.046951463403555486,0.1782299858531444,0.33376892165148964,-0.006936603652110514,-0.11421894653077658,-0.15662552819132125,-0.0469649949911444,0.2736364927373785
Thal_LGN_R,0.5087374934321399,-0.18505063983716855,-0.16639827271443888,1.0,0.6046780730394506,0.6800793898158921,0.27880840127867434,0.21292123908392516,0.4842440117691998,0.45714827167224276,0.612505113870837,0.4055993303907372,0.3458944341718501,0.4514810842883261,-0.154773790196324,0.6296761661561223,0.5487067382524007,0.5700462391082435,0.26119006278181395,0.5316555233187683,0.2753265199647545,0.21818070798542272,0.14843222028263311,0.049782887633218934,0.17675708004930307,0.4733870366969948,0.0008231288666050979,0.6804852342564688,-0.10844055450626015,0.3393736959492819,-0.015350981489423736,0.18578825334999136,0.5067743999760373,-0.09878482496988623,0.49948311398241696,0.41586405185945796,0.6132994749610514,0.17376967339996338,0.4117715268814309,0.46898306109572385,0.3576241171589703,0.3073291430843362,0.3742454877511756,0.36025512821951594,0.5987140064139648,-0.1381419022127243,0.3153172530441151,0.4683410094955541,0.18329247467721355,0.24260332899410722,0.5429333233620491,0.08656003372077907,0.6259798981509315,0.38724655497215166,0.06622575924884318,0.20154218671407068,0.7303057780499238,0.4948606913984462,0.6520314485941268,0.039454129225405137
Thal_IL_R,0.4314813401909073,-0.1664917090848328,-0.1324282051077549,0.6046780730394506,1.0,0.7372096241423765,0.46280362053088164,0.20181919820669061,0.682596443684485,0.6322638055622951,0.5638451100287232,0.4267176925210741,0.499883008505292,0.379553574043414,-0.15453463762392947,0.7368985270297894,0.6264648368723205,0.47950362547831776,0.2301263771107281,0.6692308657507928,0.3464288214827794,0.3277811905597025,0.05460843334339786,0.10754645910051022,0.08238189109996934,0.41608399532511825,-0.01727801166942369,0.7491791198971792,0.08148204232239702,0.46518031002782156,-0.04414305550277538,0.237940763539161,0.651993320243324,-0.04193680876002828,0.6484062288518738,0.4861128327902861,0.7218520541866991,0.11580412525287079,0.501493044134728,0.5255910316626385,0.36956204676836124,0.40396464946460436,0.4741321231781088,0.35457068496204647,0.6817999275910319,-0.048139815536442414,0.26847970148291167,0.5655796796329038,0.1685335923935458,0.3317003440500327,0.65848392933037,0.11489341104752349,0.655916139163788,0.19720185199919746,-0.011305548720712521,0.17619775227998566,0.6902809964091746,0.6921070797692516,0.6942948206344285,0.19683080261206828
Temporal_Sup_L,0.493165512853947,-0.169282922923441,-0.13797968994970813,0.6800793898158921,0.7372096241423765,1.0,0.45187387710910004,0.1582122396932845,0.764302559823907,0.5875199408471793,0.7449699056639376,0.5552138284735565,0.5704337536263351,0.5730221320682061,-0.0154361246066279,0.8458298118237678,0.7106438896519572,0.586682940147869,0.299782543216591,0.771676640790051,0.4583297175383122,0.380361423935605,0.12609727590452272,0.22349984431899617,0.34937314336990305,0.5845071675411013,0.1261091476261785,0.8648820372650161,0.018871353574258995,0.4806547145543681,-0.06383730434201008,0.22793378474160536,0.7455719358800287,-0.031006159085507516,0.7063410675480811,0.6438703447213647,0.8387997526838953,0.39704833981891696,0.6442649067521137,0.7311291993653211,0.39180639683258484,0.4943185828930115,0.46907530947824433,0.42003378422244747,0.8012096707770431,-0.08923159385723735,0.5131944975481576,0.6087926908997253,0.314542947711198,0.4040013560187884,0.7723885723714903,0.07147537393534434,0.8301539434740649,0.4307096036243793,0.07938974870878986,0.312514247457615,0.7911603221234838,0.5895428504586979,0.8366659324752728,0.34922421300590606
Frontal_Inf_Orb_2_R,0.19705028246037945,0.05936985938620899,0.15838248198472893,0.27880840127867434,0.46280362053088164,0.45187387710910004,1.0,0.3367083646963147,0.5369922823574427,0.21281261525369555,0.48314824541371665,0.4231033361220444,0.29481216272770944,0.29521150930508283,0.0950751226221763,0.48754675780931284,0.5955886361805969,0.5012651375777061,0.30646874020482723,0.5135102001618147,0.44715207633307197,0.10552558022423132,0.09231982942204552,0.04336774183645181,0.09646769286147944,0.5715558987945993,0.07256234447892919,0.4890013702405972,0.27933034701702836,0.22371391722470554,0.08784052033820264,0.38261651534185,0.33276034640258145,0.23183807927009123,0.5187596638105918,0.5876484265895486,0.4279839592263655,0.19181245012700276,0.554517706596645,0.29267766345066526,0.3581721963255268,0.5215641614761819,0.07818614377088884,0.2340721743302832,0.38038762960277234,-0.03357987360424998,0.31089597598824137,0.31203940469143965,0.1791653387605914,0.228496203009162,0.48392058441475366,-0.11596494598786727,0.5928524045621103,0.262965384836396,0.14963470023216957,0.2706388342079448,0.40869827903885536,0.19850899436459968,0.5878669999866798,0.3474280029589024
OFClat_R,0.37435772060567957,-0.14213015935623832,-0.06584722113367425,0.21292123908392516,0.20181919820669061,0.1582122396932845,0.3367083646963147,1.0,0.06117835973341605,-0.09549775705515834,0.24303355553987374,0.11969029829754473,-0.033984211188651754,0.20993305122550876,0.003569634663282707,0.14716270554610486,0.41411949823922506,0.5176616610611289,0.211915591510273,0.3052910107898582,0.1605752253822659,-0.09094400768195064,-0.36125696370104265,0.08178110476947636,-0.027362440187700118,0.18508615520910948,-0.11711726530569293,0.2388945234360381,0.2525784132129132,0.15598379077930835,-0.1508235063445911,0.4664404917133267,0.13782569590237762,-0.16507843002169578,0.062321821381343095,0.11364108153147547,0.18022553799155405,-0.1734393284167174,0.03213027838869219,0.0634943620333752,0.2578096848195268,0.03427612244734757,-0.01581858841603304,-0.1322243995673288,0.04474579299837295,0.22602141486952224,0.18666067915062,-0.016249280276100748,0.23898462841711673,-0.04204182221936298,0.11168839366206734,0.11571174082684514,0.23273679645924097,0.3574556381906902,0.013515776226636045,0.09206593665704585,0.24511722012845227,0.14535725159619836,0.29349329181133543,-0.07191621348118146
Cerebellum_4_5_R,0.3039855671679852,-0.02346516868280203,-0.0024159792798497323,0.4842440117691998,0.682596443684485,0.764302559823907,0.5369922823574427,0.06117835973341605,1.0,0.6506040695079597,0.6956384583047516,0.5816965666127071,0.787350358081992,0.22785618885698333,0.05205813681247925,0.73886611419254,0.7015294802437346,0.5450586534997179,0.4051201451580056,0.7298913057138348,0.5782767540022082,0.47702953440454154,0.1881140250190688,0.25745984140660916,0.3209241078604237,0.5605896783811188,0.18300461140484728,0.7796474503796047,0.026989197378208332,0.6305149333466069,0.054535210315270435,0.3570955679431486,0.7453215609396256,0.18425023230375773,0.7069061486677388,0.8260448530402423,0.8602438826698646,0.3945269190428407,0.8356939613767466,0.6277859733627249,0.4006084945496086,0.5721889681352079,0.5268061173394488,0.4409062045936632,0.7443255355712566,-0.15439198866010265,0.2595889069356437,0.6091906730777082,0.08317800216897935,0.4743890963760138,0.884290661707256,-0.08761647853138352,0.7927085109470092,0.3594176467536595,0.13329186601457793,0.361639966572212,0.7193572320672197,0.5445096860689126,0.7637925048567575,0.4277589595949576
Thal_VPL_L,0.34699341544623774,0.010530065817557681,-0.018257235032992883,0.45714827167224276,0.6322638055622951,0.5875199408471793,0.21281261525369555,-0.09549775705515834,0.6506040695079597,1.0,0.6175940202704563,0.4832933964804339,0.8434903787441702,0.09217207603572597,-0.011304738134508788,0.6597398280828349,0.45482320744419763,0.3280806593964472,0.4116661563666325,0.5058462820259482,0.3394332118931442,0.4355300196812994,0.2091802136337658,0.1653949859617307,0.29395596799098506,0.213731891665655,0.04943234920200893,0.6051742075548281,-0.16452465254695542,0.5364040518277706,0.07704086072330456,0.0717460494992309,0.7788658330034608,0.12405338780352024,0.38984863262502417,0.5187840550900523,0.682482439135591,0.2887385081920409,0.6246909764905877,0.6546054285528699,0.4678991153247389,0.43670123524975296,0.8855553041391749,0.3389856897897092,0.5917922225023968,-0.16803539993518166,0.18585784850172396,0.7320561290352875,0.004801149894003457,0.5907355740935339,0.753834093929898,0.02110480315015703,0.5399253538980243,0.3432477751441154,0.12789610282514965,0.23062770739712132,0.6555819515826911,0.8571873925145789,0.5427121961249626,0.25852007837822
