,Occipital_Mid_R,Frontal_Inf_Tri_R,VTA_L,Precuneus_L,Angular_R,Raphe_D,Frontal_Sup_Medial_R,Temporal_Inf_L,Occipital_Mid_L,Vermis_1_2,Temporal_Pole_Sup_R,Temporal_Pole_Mid_L,SupraMarginal_L,ACC_pre_L,Occipital_Inf_L,Frontal_Inf_Oper_L,Fusiform_L,Cerebellum_3_R,Thal_PuA_L,Putamen_R
Occipital_Mid_R,1.0,-0.003966676835291364,0.04128194107841699,0.04335026251750681,0.05640640958709162,-0.08611289354297268,0.023087049945770387,0.0010344734297863764,0.7026353294641751,-0.013715792488134933,0.12305578392556946,0.14605146919775133,-0.004838160132147852,-0.09993154648133604,0.41049755935197785,-0.009611069072519827,-0.007862389610050388,-0.13039482681221995,-0.0421538491369569,-0.10932327756705924
Frontal_Inf_Tri_R,-0.003966676835291364,1.0,-0.05408913898793553,0.5259255736850864,0.03556251628548775,0.25602241339864784,0.7558516188709689,0.4954672082495659,0.004011432711733273,0.5006016882730215,0.11257147995756944,-0.18777820049805016,0.258693481842098,0.42627975881274927,-0.03113780525760923,0.8393200984631772,0.3815685783743234,0.6614992438510553,0.3244636601389907,0.6715821721055072
VTA_L,0.04128194107841699,-0.05408913898793553,1.0,0.395864903289033,0.15475287496320556,-0.3032126752558743,0.07263816437356344,0.07709065661467027,0.0010332170512938406,0.2925413607043096,-0.1840983124637723,0.25473987663003356,0.4559529539372905,-0.12379387232586865,0.01891869047201391,0.16693377775580096,0.440945800233281,0.17774839019079133,0.21824359127831583,0.044103265256975256
Precuneus_L,0.04335026251750681,0.5259255736850864,0.395864903289033,1.0,0.08758896482845095,-0.012156655398541417,0.5638476183259113,0.6437738470160761,0.0936388958256778,0.6832775947186742,-0.07136750843149967,0.06793669708127116,0.7051003878386973,0.21885277197330227,-0.10516198548699092,0.6296516577841297,0.7217785287393935,0.756146924043526,0.6147641336629479,0.5250861302816802
Angular_R,0.05640640958709162,0.03556251628548775,0.15475287496320556,0.08758896482845095,1.0,-0.05836112372731004,-0.03258412641236077,-0.15976627175905983,0.030510407396299483,0.07393400814179449,0.0611100236375111,0.06646984153735998,0.15648030470935223,-0.15517092363093551,-0.1461608061562387,0.06422372153857668,0.0623040132507473,-0.05764850941696118,0.15396008081358398,-0.07678946954003796
Raphe_D,-0.08611289354297268,0.25602241339864784,-0.3032126752558743,-0.012156655398541417,-0.05836112372731004,1.0,0.2946238864884604,0.13891609653278414,-0.05984753044644618,-0.18859819307563966,0.03509569597171588,-0.11456499095681123,-0.21623501589537697,0.35437678120848004,-0.09353418016295487,0.21970457959806283,0.0779020076245119,0.2442435515332065,0.1343469798983753,0.26318704308624236
Frontal_Sup_Medial_R,0.023087049945770387,0.7558516188709689,0.07263816437356344,0.5638476183259113,-0.03258412641236077,0.2946238864884604,1.0,0.7439635698774976,-0.008381196428003498,0.49437618254446697,-0.12330423884264646,-0.2133200239063219,0.2405686696339789,0.6928472037503282,-0.04342946826672451,0.7015097336283855,0.5898486576033584,0.7825521396626159,0.5424593612473237,0.7639441806948664
Temporal_Inf_L,0.0010344734297863764,0.4954672082495659,0.07709065661467027,0.6437738470160761,-0.15976627175905983,0.13891609653278414,0.7439635698774976,1.0,0.017802133192192728,0.5347810195230254,-0.1028989981205825,-0.11113009891406081,0.42529573810114807,0.5679849377219598,0.030788654436401813,0.5229797776953373,0.6998088874932076,0.799018471968211,0.5074901359458788,0.6954022873943996
Occipital_Mid_L,0.7026353294641751,0.004011432711733273,0.0010332170512938406,0.0936388958256778,0.030510407396299483,-0.05984753044644618,-0.008381196428003498,0.017802133192192728,1.0,-0.0561789992725151,-0.010112806119583456,0.08490500628481798,0.07051249369275958,-0.047173003061049254,0.18049998247254148,0.05152639552061991,-0.03192937888446454,-0.07478074291140666,-0.05010808415773491,-0.06263053107590276
Vermis_1_2,-0.013715792488134933,0.5006016882730215,0.2925413607043096,0.6832775947186742,0.07393400814179449,-0.18859819307563966,0.49437618254446697,0.5347810195230254,-0.0561789992725151,1.0,0.0942646613773272,0.06362688424880131,0.6167152691311315,0.2075298856330175,-0.15725427386288132,0.49529180197179384,0.631627923991714,0.6642022739486937,0.43538117749318306,0.48694664517793323
Temporal_Pole_Sup_R,0.12305578392556946,0.11257147995756944,-0.1840983124637723,-0.07136750843149967,0.0611100236375111,0.03509569597171588,-0.12330423884264646,-0.1028989981205825,-0.010112806119583456,0.0942646613773272,1.0,0.03846054380764522,0.06926501255128566,-0.07208674791513242,0.1321469420802098,-0.021978334159042323,-0.11432212516667276,-0.060959210653518676,-0.28159000712203963,0.04621818507175629
Temporal_Pole_Mid_L,0.14605146919775133,-0.18777820049805016,0.25473987663003356,0.06793669708127116,0.06646984153735998,-0.11456499095681123,-0.2133200239063219,-0.11113009891406081,0.08490500628481798,0.06362688424880131,0.03846054380764522,1.0,0.2339870433229596,-0.3248369033758835,0.05611441819038636,-0.07320801220156514,0.06277615596666597,-0.054649575832262015,-0.051351576732427594,-0.23358221349156716
SupraMarginal_L,-0.004838160132147852,0.258693481842098,0.4559529539372905,0.7051003878386973,0.15648030470935223,-0.21623501589537697,0.2405686696339789,0.42529573810114807,0.07051249369275958,0.6167152691311315,0.06926501255128566,0.2339870433229596,1.0,0.017683448661591133,-0.1624268908696389,0.4891907862568266,0.5465286575301321,0.5400489800552482,0.3864122297582494,0.24903518773168457
ACC_pre_L,-0.09993154648133604,0.42627975881274927,-0.12379387232586865,0.21885277197330227,-0.15517092363093551,0.35437678120848004,0.6928472037503282,0.5679849377219598,-0.047173003061049254,0.2075298856330175,-0.07208674791513242,-0.3248369033758835,0.017683448661591133,1.0,-0.03459372698156844,0.3091104999352286,0.3737294915997187,0.49557222262234196,0.278094962833783,0.7072942732172086
Occipital_Inf_L,0.41049755935197785,-0.03113780525760923,0.01891869047201391,-0.10516198548699092,-0.1461608061562387,-0.09353418016295487,-0.04342946826672451,0.030788654436401813,0.18049998247254148,-0.15725427386288132,0.1321469420802098,0.05611441819038636,-0.1624268908696389,-0.03459372698156844,1.0,-0.15016464482228065,-0.038658392283401705,-0.1401507490016673,-0.14182038069362182,-0.06261946395796665
Frontal_Inf_Oper_L,-0.009611069072519827,0.8393200984631772,0.16693377775580096,0.6296516577841297,0.06422372153857668,0.21970457959806283,0.7015097336283855,0.5229797776953373,0.05152639552061991,0.49529180197179384,-0.021978334159042323,-0.07320801220156514,0.4891907862568266,0.3091104999352286,-0.15016464482228065,1.0,0.41862572550049243,0.6853962901108227,0.4118236196391803,0.5525945962924215
Fusiform_L,-0.007862389610050388,0.3815685783743234,0.440945800233281,0.7217785287393935,0.0623040132507473,0.0779020076245119,0.5898486576033584,0.6998088874932076,-0.03192937888446454,0.631627923991714,-0.11432212516667276,0.06277615596666597,0.5465286575301321,0.3737294915997187,-0.038658392283401705,0.41862572550049243,1.0,0.7201769387864784,0.6429315361843569,0.6083652327691788
Cerebellum_3_R,-0.13039482681221995,0.6614992438510553,0.17774839019079133,0.756146924043526,-0.05764850941696118,0.2442435515332065,0.7825521396626159,0.799018471968211,-0.07478074291140666,0.6642022739486937,-0.060959210653518676,-0.054649575832262015,0.5400489800552482,0.49557222262234196,-0.1401507490016673,0.6853962901108227,0.7201769387864784,1.0,0.5570391499686154,0.6898617351988653
Thal_PuA_L,-0.0421538491369569,0.3244636601389907,0.21824359127831583,0.6147641336629479,0.15396008081358398,0.1343469798983753,0.5424593612473237,0.5074901359458788,-0.05010808415773491,0.43538117749318306,-0.28159000712203963,-0.051351576732427594,0.3864122297582494,0.278094962833783,-0.14182038069362182,0.4118236196391803,0.6429315361843569,0.5570391499686154,1.0,0.41471778399963444
Putamen_R,-0.10932327756705924,0.6715821721055072,0.044103265256975256,0.5250861302816802,-0.07678946954003796,0.26318704308624236,0.7639441806948664,0.6954022873943996,-0.06263053107590276,0.48694664517793323,0.04621818507175629,-0.23358221349156716,0.24903518773168457,0.7072942732172086,-0.06261946395796665,0.5525945962924215,0.6083652327691788,0.6898617351988653,0.41471778399963444,1.0
