,Pallidum_R,Putamen_R,Occipital_Mid_L,Cerebellum_6_R,Cerebellum_4_5_R,Cerebellum_10_L,Frontal_Inf_Orb_2_R,Thal_Re_L,Thal_VL_R,Cerebellum_8_L,Temporal_Sup_L,Thal_PuM_R,Vermis_6,Thal_VL_L,Occipital_Sup_R
Pallidum_R,1.0,0.696368968858459,-0.08570853756426292,0.5019898610181364,0.4884692710783072,0.5125378952936431,0.38037166017580515,0.1753637616803929,0.722995444422515,0.16442320776040117,0.6159903748230869,0.47758882240139183,-0.11074936690165411,0.5710011003372728,-0.03754039499072161
Putamen_R,0.696368968858459,1.0,-0.06263053107590276,0.6844613083741707,0.7015294802437346,0.45438281671357666,0.5955886361805969,0.3185424657865195,0.6962083591650156,0.35097109957689737,0.7106438896519572,0.5928448103780728,0.028770201026336206,0.7026669903279281,-0.00649805671027426
Occipital_Mid_L,-0.08570853756426292,-0.06263053107590276,1.0,-0.09473550723718234,-0.12975310695174128,-0.17123612905437935,-0.043605181868896746,0.034154363219228726,-0.024849868247507033,0.02551167344503065,-0.006343243846241198,0.03568156303431402,0.09896640072439854,0.05109905027970211,-0.05383825677526181
Cerebellum_6_R,0.5019898610181364,0.6844613083741707,-0.09473550723718234,1.0,0.7671896459091042,0.2844580205916274,0.5288189755334266,0.3485126048740139,0.6703000519292782,0.41140266989603325,0.5975938929232385,0.4658006905235272,0.09230494345875676,0.551015771226932,0.10700105451802595
Cerebellum_4_5_R,0.4884692710783072,0.7015294802437346,-0.12975310695174128,0.7671896459091042,1.0,0.376430410631509,0.5369922823574427,0.30149017368631104,0.6359639695979546,0.4277589595949576,0.764302559823907,0.590914567691959,-0.0024159792798497323,0.6998041159220723,-0.07006144889202838
Cerebellum_10_L,0.5125378952936431,0.45438281671357666,-0.17123612905437935,0.2844580205916274,0.376430410631509,1.0,0.25650292405302644,0.0974599630836548,0.43857547578517136,0.0013603822815321126,0.4059694788254688,0.3966468226835628,-0.08073627546604603,0.3893980239745263,-0.23706373442923825
Frontal_Inf_Orb_2_R,0.38037166017580515,0.5955886361805969,-0.043605181868896746,0.5288189755334266,0.5369922823574427,0.25650292405302644,1.0,0.1687158748882412,0.40475764463477987,0.3474280029589024,0.45187387710910004,0.19867873433044558,0.15838248198472893,0.494405866885965,0.03340992323681821
Thal_Re_L,0.1753637616803929,0.3185424657865195,0.034154363219228726,0.3485126048740139,0.30149017368631104,0.0974599630836548,0.1687158748882412,1.0,0.2911295216993407,0.0640664268954652,0.3806750224925223,0.4272212653678406,-0.11413673797095801,0.31173633117172406,0.03663765222437933
Thal_VL_R,0.722995444422515,0.6962083591650156,-0.024849868247507033,0.6703000519292782,0.6359639695979546,0.43857547578517136,0.40475764463477987,0.2911295216993407,1.0,0.3482734474229913,0.7342747023684796,0.5387376871798933,-0.024997438391176238,0.6173548781611452,-0.06566015533365444
Cerebellum_8_L,0.16442320776040117,0.35097109957689737,0.02551167344503065,0.41140266989603325,0.4277589595949576,0.0013603822815321126,0.3474280029589024,0.0640664268954652,0.3482734474229913,1.0,0.34922421300590606,0.061001173250267764,0.2736364927373785,0.3219342809520774,0.21257611292961454
Temporal_Sup_L,0.6159903748230869,0.7106438896519572,-0.006343243846241198,0.5975938929232385,0.764302559823907,0.4059694788254688,0.45187387710910004,0.3806750224925223,0.7342747023684796,0.34922421300590606,1.0,0.6452183512533302,-0.13797968994970813,0.8085431870912235,-0.03418111612007512
Thal_PuM_R,0.47758882240139183,0.5928448103780728,0.03568156303431402,0.4658006905235272,0.590914567691959,0.3966468226835628,0.19867873433044558,0.4272212653678406,0.5387376871798933,0.061001173250267764,0.6452183512533302,1.0,-0.1763529271413053,0.6899437530909845,-0.15546984302499486
Vermis_6,-0.11074936690165411,0.028770201026336206,0.09896640072439854,0.09230494345875676,-0.0024159792798497323,-0.08073627546604603,0.15838248198472893,-0.11413673797095801,-0.024997438391176238,0.2736364927373785,-0.13797968994970813,-0.1763529271413053,1.0,0.018859733226230788,0.2031859757038056
Thal_VL_L,0.5710011003372728,0.7026669903279281,0.05109905027970211,0.551015771226932,0.6998041159220723,0.3893980239745263,0.494405866885965,0.31173633117172406,0.6173548781611452,0.3219342809520774,0.8085431870912235,0.6899437530909845,0.018859733226230788,1.0,-0.08276015177045577
Occipital_Sup_R,-0.03754039499072161,-0.00649805671027426,-0.05383825677526181,0.10700105451802595,-0.07006144889202838,-0.23706373442923825,0.03340992323681821,0.03663765222437933,-0.06566015533365444,0.21257611292961454,-0.03418111612007512,-0.15546984302499486,0.2031859757038056,-0.08276015177045577,1.0
