,Thal_PuL_R,Cerebellum_4_5_R,Thal_MGN_R,Amygdala_L,Temporal_Inf_L,OFCant_L,ParaHippocampal_L,Frontal_Med_Orb_R,Thal_PuI_R,SN_pc_R,Cingulate_Post_L,Thal_MGN_L,Angular_R,VTA_R,Thal_VL_L,ACC_sub_R,Rolandic_Oper_R,Thal_PuA_L,Occipital_Sup_R,Precentral_L,ACC_sup_L,Thal_VL_R,Cerebellum_Crus1_R,Thal_PuA_R,Cerebellum_9_R,ACC_sub_L,Cerebellum_10_R,Thal_IL_L,Vermis_1_2,SupraMarginal_L,Fusiform_R,SN_pr_R,SN_pc_L,Thal_MDm_R,Temporal_Pole_Mid_L,Cerebellum_Crus1_L,Vermis_8,Postcentral_R,Olfactory_R,Heschl_L,Lingual_L,Insula_R,Frontal_Sup_Medial_R,Cerebellum_6_L,Precentral_R
Thal_PuL_R,1.0,0.3945269190428407,0.3957906598830883,-0.048561603951756155,0.17429009763226092,0.02324857328027027,0.07631604432408393,-0.3156556492374653,0.19368997580809133,0.1823049527196762,0.23423060506422816,0.3325574190915685,0.10096826229170948,0.3273256163752911,0.34914815061495,-0.04936098590203663,0.3006460969529098,0.14565843183304691,0.19809470836839346,0.4379853390957092,0.3211813141641091,0.3525671410145795,0.2776457984814911,0.11443911974375595,0.34148711964643147,0.18249355056441105,0.11167772372284929,0.21445299799683154,0.5537507687648043,0.6071185330718332,0.5204465192353807,0.11548945283897559,0.382544408600577,0.32763244649711193,0.18509444559442575,0.2994346680639532,0.2020665403540189,0.4735390477775997,-0.05981118540072558,0.2817624868722317,0.5461251194765409,0.2399232391214689,0.10671438142756573,0.40039152268620826,0.41352186561203574
Cerebellum_4_5_R,0.3945269190428407,1.0,0.5589674403894195,0.3039855671679852,0.6988167011408597,-0.05047403915042436,0.6397918364670224,0.055338492086935434,0.5268061173394488,0.40354762829672086,0.6875332220455127,0.5057310907339883,0.054535210315270435,0.46473121205008555,0.6998041159220723,-0.10755738700578159,0.7819711659105593,0.4389055455568697,-0.07006144889202838,0.6476242777025636,0.6483908144650841,0.6359639695979546,0.18425023230375773,0.5445096860689126,0.5782767540022082,-0.13882569553556445,0.6305149333466069,0.4743890963760138,0.7169645053863603,0.5009471612733332,0.8260448530402423,0.5450586534997179,0.3594176467536595,0.34641726355577035,-0.05873112507894779,0.05205813681247925,0.18613878383171514,0.5816965666127071,0.0929367421197036,0.6527825875297002,0.8082059129597509,0.7298913057138348,0.7000592796789408,0.42992669848284765,0.5605896783811188
Thal_MGN_R,0.3957906598830883,0.5589674403894195,1.0,0.3112094006675748,0.3220895863593789,-0.22701853492633098,0.42416477584269535,-0.1649649188877688,0.4038111540100466,0.3890836197870904,0.48863900893296597,0.5403202787816371,0.12163132018066844,0.5115551032206358,0.42946290984153435,0.04624552026676143,0.617315303748041,0.38094474238461734,-0.02812430074177979,0.474491950169659,0.5171030357529801,0.48871575451861693,0.13355924573448735,0.4070633720798334,0.1373233656687474,-0.22474208444310725,0.4010349337238057,0.30483217158779846,0.36295800509588666,0.3112968051792274,0.43965245682900106,0.17154858552615268,0.009233291309927116,0.4990393218858695,-0.08443147316089224,-0.06652695258576051,0.1649309489225908,0.3136988232860564,0.17264866946119775,0.34251644975122847,0.5007912090454446,0.4595831907069809,0.4435747899068696,0.09769025544024328,0.28942031323830497
Amygdala_L,-0.048561603951756155,0.3039855671679852,0.3112094006675748,1.0,0.46363346940149747,-0.01784544685876547,0.7509722154803186,0.09002840403349147,0.3029347255538403,0.3086693160901347,0.3694614250002106,0.3916696372180163,0.059061283504914054,0.37088293346844914,0.33438437651258957,0.5073227151762845,0.2702969150316884,0.5761688597009419,-0.16914257745347552,0.3730789794413788,0.5748068494423371,0.6186649289817479,-0.06882507383011795,0.4307276353833443,0.11711065400322812,-0.0722238316093606,0.5273383585553508,0.3297567778885613,0.121733758686473,0.03221002692260859,0.30151015419365657,0.5831530636032013,0.2326628975532736,0.4828396144850171,-0.22391566050599213,-0.3000217959267665,0.09484306778595418,0.22449831708669749,0.6076590805989146,0.5159080805182596,0.24108741038675996,0.5187436141191556,0.5601228070170314,0.30979164985170776,0.2731356187045766
Temporal_Inf_L,0.17429009763226092,0.6988167011408597,0.3220895863593789,0.46363346940149747,1.0,0.03015580274822977,0.6918675216893676,0.18237398520212178,0.6165055954211536,0.2742478119872721,0.6440810554423558,0.3042154268180371,-0.15976627175905983,0.22686869730479728,0.7439075413732685,-0.03779149108882023,0.5328822509064249,0.5074901359458788,-0.04506160004204474,0.3928090690731346,0.6355431350363652,0.6054203634753432,-0.16826284793874843,0.6681884809453479,0.46374197624215735,-0.30107040957147174,0.5893406616996792,0.3545290150929843,0.5347810195230254,0.42529573810114807,0.49716601457513454,0.6154156634622755,0.5016568134822601,0.3705222073484401,-0.11113009891406081,-0.10408564226618532,0.12237418199598019,0.4860186926025223,0.2670725517502216,0.5554379564244916,0.6810956775731175,0.7193799719646679,0.7439635698774976,0.5305294665292147,0.33800134243712326
OFCant_L,0.02324857328027027,-0.05047403915042436,-0.22701853492633098,-0.01784544685876547,0.03015580274822977,1.0,-0.08870828381468591,-0.05430318169663382,-0.13927792144702347,-0.19363189231748762,-0.05732355272377048,-0.13480277481563865,-0.09778750481404598,-0.24677258006126226,-0.10269527686664577,-0.005594460765622023,-0.14686865588338469,-0.05837478645291787,0.0758538158143294,-0.05121604024750318,-0.12609251570277052,-0.13307398782227986,-0.17897626169954242,-0.16897268052434944,0.026645108980268943,0.06433738348915999,-0.03689642513660655,-0.13675922895481285,0.03737329851493023,-0.06501399632113743,-0.09034905223025835,0.05460073946958573,0.04741360084113877,-0.05498099389186287,0.12220018713245041,0.10497763950248372,-0.17053317091019649,-0.013837139980620439,-0.06998224431852035,0.03750394459974201,-0.035180032644530866,-0.02496041844197195,-0.11334970261436919,0.044789632528933254,0.025761839758797565
ParaHippocampal_L,0.07631604432408393,0.6397918364670224,0.42416477584269535,0.7509722154803186,0.6918675216893676,-0.08870828381468591,1.0,0.07935120239322403,0.5734524041198344,0.44359845713942636,0.6418473552352845,0.6301422196600271,0.01727398438932833,0.4755697612814704,0.5753569693811144,0.33112226122277183,0.5633061826404557,0.7095124504956706,-0.19758673303497565,0.6101327739186917,0.6805979003764395,0.7218195133401315,-0.00980634798047055,0.6131347023449474,0.31357261350366,-0.0023693478594036905,0.6345944547276418,0.532624404972849,0.43699700885686077,0.2870786502047479,0.5883409425982062,0.691375989491349,0.3798187949448452,0.4128492316428993,-0.1776040597619829,-0.27431120677987547,0.09473859159559583,0.494053353440715,0.44246797250312103,0.6625473881456474,0.5844638769439475,0.64764061740349,0.7899420058464478,0.40375348766954183,0.49841181381533245
Frontal_Med_Orb_R,-0.3156556492374653,0.055338492086935434,-0.1649649188877688,0.09002840403349147,0.18237398520212178,-0.05430318169663382,0.07935120239322403,1.0,0.028147677301456404,0.02159774723523686,0.13243489580419743,-0.06406119643660135,-0.18163623072624452,-0.053089569023562176,0.14586870835065394,-0.06456285682281711,0.1675951716506636,-0.07194244406356488,-0.0330512920223397,0.007199240982658217,-0.05785836692497512,-0.0010558377692500979,-0.17637930157454473,0.10934407585336797,-0.010022591495232219,-0.23327164200793013,0.09142277152397468,-0.02253085372127855,-0.04483812093582264,0.033396033382630474,-0.052563168045952104,0.06076062889693985,-0.0846867141094978,-0.22793396795058304,-0.19428654384636465,-0.19692683604645772,0.07966357987870483,-0.002037968393423703,0.08818526614155897,0.03199574112434445,-0.0994206271820032,0.16741760363639355,0.19419564822259,-0.1590960654044621,-0.02632164824151
Thal_PuI_R,0.19368997580809133,0.5268061173394488,0.4038111540100466,0.3029347255538403,0.6165055954211536,-0.13927792144702347,0.5734524041198344,0.028147677301456404,1.0,0.2824310495980774,0.6106827623220064,0.3972209959780194,0.04241887029121069,0.23008146358558448,0.4627387314161425,0.007758737399279066,0.4106850139966071,0.6630454187133952,-0.15972565359730082,0.1586563979443817,0.4086369439688166,0.4921734169379921,0.018082624454250244,0.8194488724193008,0.3091934496914005,-0.13129339893078407,0.4418271096452379,0.5413515606052837,0.5593801060419344,0.43614095802774444,0.3724459891014626,0.2874090847691476,0.36355948444372477,0.37424006766692536,0.013709274134710831,-0.06463714031479435,0.03088491404115642,0.4502775990951865,0.06444785190500611,0.2701113594199812,0.7361293560959976,0.38826747628404346,0.49299442848888647,0.34636768377547283,0.07477615164673845
SN_pc_R,0.1823049527196762,0.40354762829672086,0.3890836197870904,0.3086693160901347,0.2742478119872721,-0.19363189231748762,0.44359845713942636,0.02159774723523686,0.2824310495980774,1.0,0.4631754426614305,0.4928922112069291,0.057819176117565936,0.4693217937233588,0.2734274836794345,0.24551083166884066,0.46759678980954045,0.416711384600352,0.05237000895088503,0.502582535100656,0.28795633741321086,0.5008303633559718,0.19280039671473848,0.20113553399222442,0.28254966357681693,0.07269148152594405,0.48605773479411923,0.5583573055312806,0.44970825714888457,0.27817106158887767,0.4927536948794753,0.3922602605907322,0.2873235043266898,0.14238308411894202,0.008054001228133654,0.08370157746718014,0.02231943020830948,0.3823346578951329,0.2138022080518709,0.3975505117275596,0.3405991902059848,0.5072438512657044,0.46038441317068474,0.12673261214114961,0.36151227329357216
