,Thal_AV_R,Cerebellum_3_R,Rolandic_Oper_R,Thal_LGN_R,ACC_sub_R,Frontal_Inf_Oper_L,Frontal_Inf_Orb_2_R,Cuneus_L,Lingual_L,SupraMarginal_L
Thal_AV_R,1.0,0.3008674174665095,0.3922558927656352,0.21433130767158298,-0.1775655840115888,0.19937640095406295,0.17665138214826254,0.055294862411572256,0.11757154988047037,-0.0918362937833203
Cerebellum_3_R,0.3008674174665095,1.0,0.7008174840649164,0.6132994749610514,0.06326180483336385,0.6853962901108227,0.4279839592263655,0.5233445142444967,0.7200259027744277,0.5400489800552482
Rolandic_Oper_R,0.3922558927656352,0.7008174840649164,1.0,0.46121437033764573,-0.20508694568043212,0.8245310122535437,0.5046476706789224,0.6588723526737049,0.610453140812091,0.45157438442167736
Thal_LGN_R,0.21433130767158298,0.6132994749610514,0.46121437033764573,1.0,0.2262638547177297,0.6134789073163995,0.27880840127867434,0.27084873328754233,0.43477245688494565,0.3479372815955877
ACC_sub_R,-0.1775655840115888,0.06326180483336385,-0.20508694568043212,0.2262638547177297,1.0,-0.02185946487368855,-0.10952936565572677,-0.34630064919294434,-0.06314432655854009,-0.048069373569494665
Frontal_Inf_Oper_L,0.19937640095406295,0.6853962901108227,0.8245310122535437,0.6134789073163995,-0.02185946487368855,1.0,0.43037780362046174,0.5542835914551523,0.5382902276389141,0.4891907862568266
Frontal_Inf_Orb_2_R,0.17665138214826254,0.4279839592263655,0.5046476706789224,0.27880840127867434,-0.10952936565572677,0.43037780362046174,1.0,0.5184339304317906,0.35470778313468826,0.21722739172290775
Cuneus_L,0.055294862411572256,0.5233445142444967,0.6588723526737049,0.27084873328754233,-0.34630064919294434,0.5542835914551523,0.5184339304317906,1.0,0.5745232220493597,0.4875563131565334
Lingual_L,0.11757154988047037,0.7200259027744277,0.610453140812091,0.43477245688494565,-0.06314432655854009,0.5382902276389141,0.35470778313468826,0.5745232220493597,1.0,0.616994882726814
SupraMarginal_L,-0.0918362937833203,0.5400489800552482,0.45157438442167736,0.3479372815955877,-0.048069373569494665,0.4891907862568266,0.21722739172290775,0.4875563131565334,0.616994882726814,1.0
