,Thal_MDl_R,Thal_AV_L,OFCmed_R,Insula_L,Thal_VPL_L,Frontal_Med_Orb_R,Temporal_Inf_R,Thal_PuL_R,Frontal_Med_Orb_L,Occipital_Sup_L,Calcarine_L,Thal_MDl_L,Olfactory_R,Thal_PuM_L,Rectus_L,Occipital_Mid_L,Precuneus_L,Temporal_Mid_R,Vermis_6,Parietal_Sup_R,Cerebellum_8_L,N_Acc_R,Thal_VA_L,Precentral_R,VTA_L,Frontal_Sup_Medial_L,Postcentral_L,Frontal_Sup_Medial_R,Thal_IL_L,Fusiform_L,ACC_sup_L,Cerebellum_9_R,Frontal_Sup_2_L,Thal_PuI_R,Thal_MGN_L
Thal_MDl_R,1.0,0.22212083523975268,-0.011874217912933518,0.25802155244020647,0.4678991153247389,-0.033270108367252374,-0.042215857271562074,0.2507171157935975,0.11141919503080604,0.08366721067069895,0.47348936825333043,0.27779195529323886,-0.00988536310581953,0.5300466940587206,-0.07182523532484911,0.05932345564374203,0.5911564106773225,0.22914100589325465,0.16636446324373008,-0.046363778329720474,0.18600013511244548,0.07521907266060555,0.2294357478389837,0.4935007882142574,0.3871178543500473,0.5100661961550487,0.5152853886323614,0.4436802873461467,0.28749922901496233,0.4835417318270743,0.30283157817503253,0.4818396354538258,0.4452725003915607,0.4814751354400405,0.30055457812059067
Thal_AV_L,0.22212083523975268,1.0,-0.08693738907973633,0.3676653500997722,0.4355300196812994,-0.006475356678081593,0.4458143556621867,0.14373779309825993,0.11060530554685045,-0.02876918955412023,0.2650036520040216,0.3938679803685832,-0.07041057702601473,0.38657817968980684,0.21286796173226996,-0.07434062473451304,0.3652219699509998,0.32260290061483005,-0.0387465870418226,0.17783745771840484,0.2705049819355895,0.004279401156950187,0.4189910474812185,0.2659927803168694,0.041179478258183896,0.5209767005647457,0.4286013231847398,0.4321883552755239,0.5236748282884343,0.4500223109143962,0.35563358519012883,0.19742512511476776,0.43821152829682114,0.4217895832896153,0.43016765938299567
OFCmed_R,-0.011874217912933518,-0.08693738907973633,1.0,0.12877665051203102,0.02110480315015703,0.25658562672950835,-0.27807139868183933,-0.2131287625493199,0.2623802166337235,-0.0852521261062251,-0.09512437183621211,-0.169395534543537,0.3379028371302375,0.055432607346689394,0.01752468478678575,0.11297752383423608,-0.05206846373446635,-0.06392087515739467,-0.2257859039109676,-0.18528612188511626,-0.020724893961169416,0.19762849353610534,0.040110483226003225,-0.11230801442638845,-0.021080049936002553,0.06258622876456328,0.039827144747561,0.07173392459377023,-0.01547799797593366,0.08155000587308936,0.06968548470318683,-0.18599176592052655,0.05235834456409295,0.043466210365799986,-0.016578889568950116
Insula_L,0.25802155244020647,0.3676653500997722,0.12877665051203102,1.0,0.4295410670219078,0.15231128270803243,0.2343301533744787,0.22036274592588864,0.009357494496352946,-0.05375248225580631,0.40694095694852334,0.36670329640134525,0.5401655067108083,0.6702225192186099,0.19382229383821958,-0.01638028433736918,0.5102633231875074,0.29202815430814894,-0.17815683331034016,-0.014651413103912476,0.312076158610682,0.4974103505015477,0.5900734119044675,0.49527417691905273,0.00812762679376383,0.7090061894456591,0.4858526098484246,0.7561419817991019,0.49784141281253164,0.6106287709927717,0.7085970732620005,0.3542733839916977,0.8079340633643358,0.3390400883936634,0.520378750626351
Thal_VPL_L,0.4678991153247389,0.4355300196812994,0.02110480315015703,0.4295410670219078,1.0,0.006027459402471439,0.37387163048024724,0.2887385081920409,-0.16452465254695542,0.09272785893244415,0.7020391530902059,0.6090705151420822,0.12120095328762322,0.661222479287235,0.04943234920200893,-0.007013776324157641,0.6489583449999855,0.40466648405449696,-0.018257235032992883,0.10412342259957891,0.25852007837822,0.27048970248651355,0.4250812085301467,0.213731891665655,0.15253834765141644,0.718204032508674,0.6546054285528699,0.6089177248245831,0.5907355740935339,0.6269409318364408,0.5529864117653881,0.3394332118931442,0.5427121961249626,0.8855553041391749,0.5537316320622357
Frontal_Med_Orb_R,-0.033270108367252374,-0.006475356678081593,0.25658562672950835,0.15231128270803243,0.006027459402471439,1.0,-0.052590925707205236,-0.3156556492374653,0.393593410485636,0.056622737308834034,-0.18396607817598068,0.15238815533337455,0.08818526614155897,0.18848428635074782,0.014464807044688206,0.05021918082053545,0.006405534421383121,0.07692794468112892,0.011412336917881048,-0.07870829541759972,0.039828909328487955,-0.044857068837048965,0.29641786235709716,-0.02632164824151,-0.09757322801710928,0.13500122542582554,0.06726365632167605,0.19419564822259,-0.02253085372127855,-0.0449993317824552,-0.05785836692497512,-0.010022591495232219,0.12217451834063354,0.028147677301456404,-0.06406119643660135
Temporal_Inf_R,-0.042215857271562074,0.4458143556621867,-0.27807139868183933,0.2343301533744787,0.37387163048024724,-0.052590925707205236,1.0,0.23014058035211368,-0.2380172943668044,0.08446735499654268,0.26506878679287343,0.39373153973828295,-0.0005586448291443385,0.1675634182593465,0.4039375933692129,-0.06348051452929396,0.23460791540563986,0.44736670407163953,0.13654989220785657,0.44001941767227276,0.2526576952230859,0.08958095502321946,0.19606583927715135,0.1404338554432954,-0.23406054917457436,0.2730435611771636,0.18360507185708694,0.22302916302845688,0.4881309415168628,0.24277026205017807,0.184147724758478,0.15300695067088285,0.2765651548710744,0.2338024794355723,0.354857387970331
Thal_PuL_R,0.2507171157935975,0.14373779309825993,-0.2131287625493199,0.22036274592588864,0.2887385081920409,-0.3156556492374653,0.23014058035211368,1.0,-0.3497402264785595,0.42624257972255386,0.703732400167508,0.31609370438961004,-0.05981118540072558,0.07255405365598634,0.026437964148772985,0.08932818186126579,0.5130389491961922,0.24131781577657258,0.2513449598067421,0.3190810076980376,0.49079667949483885,0.14951124126061144,-0.05378010369964629,0.41352186561203574,0.29123301227352927,0.2849422168969289,0.44987485784244613,0.10671438142756573,0.21445299799683154,0.409932586618241,0.3211813141641091,0.34148711964643147,0.28606943195029405,0.19368997580809133,0.3325574190915685
Frontal_Med_Orb_L,0.11141919503080604,0.11060530554685045,0.2623802166337235,0.009357494496352946,-0.16452465254695542,0.393593410485636,-0.2380172943668044,-0.3497402264785595,1.0,-0.0292647616453906,-0.33210958088770703,-0.160313764223843,0.013486016306428397,0.11495265611806492,-0.02373562476737039,0.008189939730785554,-0.10387482708937361,0.025575225495802753,0.15680185414042744,-0.26807437869339407,0.12360431842721444,-0.07769866324898653,0.23711175671054402,0.05111410320700443,0.1896460419529568,0.16145071019508458,0.003053049329191638,0.18918818919208236,0.027167269241211264,0.040413994931955896,-0.10955645062459791,0.09843566810919242,0.13441781926743726,-0.11818448321455194,-0.10179497410184485
Occipital_Sup_L,0.08366721067069895,-0.02876918955412023,-0.0852521261062251,-0.05375248225580631,0.09272785893244415,0.056622737308834034,0.08446735499654268,0.42624257972255386,-0.0292647616453906,1.0,0.3301820493711394,0.38661439613889,-0.25951206711479036,0.010333729030391875,-0.01362166881425173,0.16845977079370364,0.32375339495454253,0.04230715038423806,0.20190937388249097,0.26619104765621215,0.24721693247865037,-0.18762544051514407,0.028770124774035663,0.22079376474717252,0.2501006744844387,0.07599712227334379,0.3108706711968707,-0.05938317768777073,-0.1047400974929552,-0.033170569527607614,-0.08297356930242784,0.18280806224549434,-0.01992258402940144,0.0727380822255534,0.030388100445950306
Calcarine_L,0.47348936825333043,0.2650036520040216,-0.09512437183621211,0.40694095694852334,0.7020391530902059,-0.18396607817598068,0.26506878679287343,0.703732400167508,-0.33210958088770703,0.3301820493711394,1.0,0.5740338815966892,0.05176340790019561,0.4438756371903816,0.012080613833167872,0.04603790281315885,0.7717150272631446,0.43809075945465004,0.09410210254878344,0.21713254063738147,0.3901097093857952,0.24534894307814423,0.2416165840276465,0.4203692735623795,0.2819635766169323,0.5790914604402642,0.671072580054928,0.41110563410766715,0.34728206607614703,0.6415174677937879,0.5682608747513965,0.45597774200005525,0.46380549276239114,0.6451684234820863,0.42779392813067163
Thal_MDl_L,0.27779195529323886,0.3938679803685832,-0.169395534543537,0.36670329640134525,0.6090705151420822,0.15238815533337455,0.39373153973828295,0.31609370438961004,-0.160313764223843,0.38661439613889,0.5740338815966892,1.0,-0.19522915079853786,0.6083455489948443,0.057817855689772414,0.07362706482243356,0.5442146046162893,0.39410217187087254,-0.07353813544526708,0.22351325315324794,0.1789558759225002,-0.001899210639291061,0.6359144430338565,0.25726554765472637,-0.11125612871051227,0.5438874141846509,0.4846865977282914,0.5085865413511723,0.1825804890209276,0.2793568220340574,0.38428977987988083,0.2847545371450713,0.42148101054963244,0.5080425955702808,0.2635698005612015
Olfactory_R,-0.00988536310581953,-0.07041057702601473,0.3379028371302375,0.5401655067108083,0.12120095328762322,0.08818526614155897,-0.0005586448291443385,-0.05981118540072558,0.013486016306428397,-0.25951206711479036,0.05176340790019561,-0.19522915079853786,1.0,0.20102672854545378,0.10305737169388735,0.02842481393135656,0.06517027627642367,0.01813942410511745,-0.20272888063683114,-0.15920169711759946,0.05701215953111617,0.7431163181741406,0.15507186515844562,0.04327161854822337,-0.09043916127990986,0.2549713786254283,0.08530857064963475,0.3268162325240508,0.1977490129271828,0.35876754636366487,0.5269895009589088,-0.010855656662737374,0.3751163699419984,0.06444785190500611,0.23548615027926598
