,OFCpost_L,Red_N_L,Thal_IL_L,Angular_L,Temporal_Inf_L,SN_pr_L,ACC_sup_R,Vermis_7,Thal_PuI_L,OFCant_L,Supp_Motor_Area_L,Frontal_Sup_Medial_L,Cerebellum_Crus1_L,Cerebellum_7b_R,Rolandic_Oper_R,Frontal_Inf_Orb_2_L,Cerebellum_10_R,Caudate_R,Temporal_Mid_L,Putamen_L,Temporal_Sup_L,Vermis_4_5,Frontal_Inf_Tri_R,Thal_LGN_R,Cerebellum_6_L,Thal_VPL_R,Cerebellum_9_R,Cerebellum_Crus2_R,ACC_sub_L,Olfactory_R,Thal_PuI_R,Cingulate_Mid_L,Temporal_Pole_Sup_L,Cerebellum_7b_L,Thal_MDl_L,Vermis_1_2,Cuneus_R,Pallidum_R,Paracentral_Lobule_R,Hippocampus_L,ACC_sup_L,Thal_PuM_R,VTA_L,SupraMarginal_L,Lingual_L,Vermis_10,Olfactory_L,Amygdala_R,SupraMarginal_R,Thal_LP_L,Thal_VA_R,Calcarine_R,Frontal_Sup_2_R,Calcarine_L,Temporal_Inf_R,Temporal_Pole_Mid_R,Cuneus_L,Pallidum_L,Fusiform_R,Frontal_Inf_Orb_2_R,Rectus_R,Thal_VPL_L,Cerebellum_Crus1_R,Thal_LGN_L,Thal_MDl_R,Occipital_Mid_R,Occipital_Inf_R,VTA_R,Thal_MGN_L,Frontal_Mid_2_R,Heschl_R,SN_pr_R,Vermis_8,Thal_PuL_L,Cerebellum_8_R,Occipital_Sup_L,Cerebellum_Crus2_L,Cerebellum_6_R,Occipital_Inf_L,Thal_PuM_L,Postcentral_R,Paracentral_Lobule_L,Frontal_Inf_Oper_R,Thal_Re_L,Thal_MDm_R,ACC_pre_L,Frontal_Inf_Oper_L,Thal_LP_R,Vermis_3,OFClat_R,Parietal_Sup_L,Thal_IL_R,OFClat_L,Frontal_Sup_2_L,Cingulate_Mid_R,Thal_MGN_R,Temporal_Mid_R,Thal_VL_R,Thal_AV_R,Thal_PuL_R,Angular_R,Lingual_R,Precuneus_R,Temporal_Pole_Mid_L,Insula_L,Raphe_D,Parietal_Inf_R,ACC_sub_R,N_Acc_L,Thal_VA_L,Rolandic_Oper_L,Heschl_L,Occipital_Sup_R,Thal_VL_L,SN_pc_L,Frontal_Sup_Medial_R,Postcentral_L,Cerebellum_4_5_R,Frontal_Mid_2_L,ParaHippocampal_L
OFCpost_L,1.0,0.2282980684103981,0.3025215909202529,0.1768055741770287,0.046577559500432575,0.17562495771267242,0.2124716143864267,-0.06705142656339733,0.1453562915414629,-0.014835557932662386,0.3470891203315993,0.2152294770407938,0.063253831461013,0.04923537539571569,0.39284523426236817,0.31386713852190967,0.20666906339669816,0.3065836565722415,0.10282983632727961,0.30796372507126457,0.26854940441684755,0.15251630643116273,0.4491992279796993,0.15153437819719875,-0.03845905059096287,0.22790590804392405,0.17417018427451003,0.14177073869860923,0.049339873927444634,0.17614281973882212,0.022614583984247132,0.2570876980352633,0.2029261737839694,0.08719662588262764,0.19576931275411855,0.2791757820929175,0.1439835363713081,0.3470363296042353,0.28805950217966075,0.29888787720693794,0.1949271431515138,0.062226584689508195,-0.06305864136731859,0.24767041398224085,0.18869458410599585,-0.050662521615180034,0.20956488882265997,0.23221978652370184,0.19099953240388423,0.36849035643548933,0.12491960035297855,0.3176746579577098,0.28802517940009625,0.1380422231641875,0.4742655752204496,0.31761145259035695,0.137855794256719,0.2305014051590075,0.3867605699208533,0.22651630104321865,0.2560467271448892,0.09795238842313789,0.1442593298204337,0.14889469278733425,0.11094795926710666,0.0490805649759628,0.14545455881706967,0.303781008128277,0.3282534151795484,0.3299072394417314,0.1823939632462539,0.13422497612541065,0.08556892573978482,0.13113746121907738,0.1811543638105957,0.12947536108539567,-0.04897101286463907,0.3174628823190225,-0.051151031404547916,0.19583513581375714,0.32786458144222774,0.36226970129717495,0.3727700514717634,-0.11938796879855818,0.11808950938972095,0.122831498645076,0.29324179843104187,0.09219636942077487,0.22167646159149879,-0.1984286222039263,0.17195818110360647,0.06697607041397524,0.42831713156918655,0.339611011649064,0.25789736859174034,0.34374577621231,0.1397527652288607,0.312918828313534,0.07693636203919367,0.23642565893406545,0.15727094487759086,0.2995616813051504,0.2829667728387559,-0.06672089913991265,0.4442947054269218,0.05399384116302193,0.20192501247276037,0.11602944569720736,0.33177283573935845,0.1748607366003646,0.34000908109589645,0.2687762960207738,0.22408397151379914,0.14997086177202065,0.11136229689900574,0.27730986274269964,0.16785878515963096,0.26144070082475607,0.42324082496771476,0.23733945512541382
Red_N_L,0.2282980684103981,1.0,0.3757570602965016,0.16686565883299714,0.3660242029053738,0.3497380160004131,0.39974647280120734,-0.120186696952103,0.37211754085340365,0.004681681173815645,0.5032739884550662,0.448721642368817,0.1181375641554001,-0.10004204305597436,0.38715030688271906,0.2941967086877509,0.4814896357442943,0.5109344600423785,0.390709779013647,0.6073243553191973,0.4842004132745795,0.4528227306109004,0.3682849911116563,0.41432932030729525,0.42184885901397934,0.4390652824310871,0.29193279918079945,0.15136102084020753,0.17526848538869727,0.434920720467693,0.29362530087400085,0.3436230374657869,0.1415346205479191,0.1542875450156753,0.17287303256312203,0.29208243015234586,0.3737758328895906,0.3683038376527928,0.4369643312817263,0.516440385782645,0.6149962049033645,0.2749276622319396,0.15264587201799412,0.2877175696930871,0.5027937195178064,0.23614290679993855,0.3944627009345477,0.2634436498861413,0.30450410022042734,0.20672023682849255,0.41915629401916754,0.4272486269434855,0.5012905450659175,0.49193170284619103,0.25697160116789103,0.026796178050833636,0.24250249440565297,0.55482796991076,0.5655011658045302,0.22274415531906275,0.015329543668556116,0.4061215011970426,0.18949336447468595,0.3680207691563023,0.11921208739405895,0.02871877829715722,0.21925155458019582,0.44638521216912985,0.4158961878229327,0.4818064560480706,0.45611785821369605,0.4497722225114396,0.1193591238034068,0.15866844420879916,0.29409471128623355,0.019237603106609078,-0.19997442504663243,0.6027796796773662,-0.15252778016766483,0.2790590916572663,0.3773021103596016,0.42351913294717974,0.41239995011213937,0.3582390641617105,0.5103873853658832,0.26295495081107434,0.3960735613533091,0.31318453206484376,0.48429931764219053,0.06842518758616234,0.10448472423536345,0.36222957977906617,0.22657880729340513,0.4803291837509579,0.39696849815908847,0.42026128327466883,0.35771834987360335,0.5244810837684737,0.2255343798399627,0.35604021584552276,0.18368869206183805,0.5050590520372802,0.4210569890507338,0.09976526402166613,0.4791624038319794,0.38669707414761767,0.12695501530520578,0.16513687480375697,0.1538629244401466,0.21448293800702906,0.4236762732841763,0.45320788615191,-0.033852118197288186,0.2725864651284065,0.2648869274622434,0.41823762544073995,0.3976042433458438,0.5001534060262665,0.46863528252944514,0.4820632263506599
Thal_IL_L,0.3025215909202529,0.3757570602965016,1.0,0.11952245154196434,0.3545290150929843,0.18395825782031133,0.5194785785811921,-0.05367130914110369,0.3847413087889504,-0.13675922895481285,0.5386335721597472,0.5921569269380138,0.09517506018523192,0.4027163433982827,0.4615381977896659,0.16824609407627397,0.5187426951493377,0.5101885569783068,0.28407926271792266,0.33844085189663,0.4040013560187884,0.652889226233713,0.33635450821888896,0.24260332899410722,0.21886415898279638,0.584633296553971,0.34405058915330244,0.15819942987527133,0.19943710685162078,0.1977490129271828,0.5413515606052837,0.610566728688651,0.4102292707698257,0.4455212161563226,0.1825804890209276,0.5801157211080105,0.1877131337557999,0.469550375532971,0.5814904899718906,0.544560284251952,0.3272912723925684,0.28121412964756504,0.2740581883047215,0.3901280658417613,0.53871186225323,0.11210773394240259,0.04571060946326899,0.40414090007716397,0.2870308571072443,0.3914444487974173,0.038606723495098895,0.3244296789141087,0.5103797999681556,0.34728206607614703,0.4881309415168628,0.09843875351070493,0.2724822075127849,0.20073588580261761,0.595382624225719,0.228496203009162,0.199382518661427,0.5907355740935339,0.26901480281942275,0.42445904617817315,0.28749922901496233,-0.0026068839695213082,0.0317736710875898,0.4955948505823333,0.6217810695918998,0.4971107875606764,0.4661883986855854,0.31465907123585457,-0.03205357616898627,0.5123173440156756,0.3828476403239402,-0.1047400974929552,-0.17483106242626406,0.4492004054333001,-0.06443214813754972,0.4362188346288537,0.444144003536979,0.5034753558548071,0.3205382600933471,-0.10251159520932898,0.17797920635784317,0.26214834596447917,0.3180288012889125,0.0645469524203906,0.6116415159489605,-0.04204182221936298,0.09369319565406067,0.3317003440500327,0.17056367542156983,0.5669389133232707,0.5981069649648763,0.30483217158779846,0.298570289550974,0.633346413137676,0.1749229325557147,0.21445299799683154,0.18009016933024918,0.4766639711372684,0.4884406478894212,-0.013373988107082325,0.49784141281253164,0.1085035900279144,0.06709299010222834,0.2618266410531568,0.17741248107599664,0.30456552798681574,0.47122160294551696,0.39188684656407774,-0.041305720370531214,0.2739682099999684,0.3435888819017246,0.4637457000464308,0.51954313769686,0.4743890963760138,0.5220965768930199,0.532624404972849
Angular_L,0.1768055741770287,0.16686565883299714,0.11952245154196434,1.0,-0.002657320703335892,0.32208783338382757,-0.056599182840557344,-0.10051847879277631,0.12437969003605538,-0.048835612047653965,-0.03024683647212275,0.03089681705497984,0.4204677243864588,0.09906069443519516,0.1546038522103592,-0.17874930380572115,-0.03050565122443459,-0.0113743352056905,0.21355843504451164,0.033842155178106945,0.08249534698155307,0.3011955857060411,0.03100414548382482,-0.07347817597018422,0.229915205522643,0.17059210737237324,0.22446916993990856,0.25517470710788076,0.1234999910296272,-0.1362836422655649,0.20525613835063725,0.2332735784137228,0.04843787550499948,0.2075757192778335,0.28907759414825673,0.36873915779406596,0.43295929202610955,-0.12614766598396163,0.31136273222959476,-0.023608112223882247,0.016590447906669525,0.002248231258278402,0.19688723800555,0.5477333718278232,0.37773171101637326,-0.13566098654147687,-0.21570193015568526,-0.39150631937550073,0.5149464459707224,0.1629083484753098,-0.09623105324818768,0.5012070096994158,-0.017249393064409705,0.503490690749932,0.3569115890663658,0.31658864585040597,0.3170439291511228,-0.0758858046815788,0.2545224067212353,-0.026105861627180964,-0.0039595687088054545,0.2186531737183124,0.3381903895834071,-0.05234712284448351,0.11710995146854895,0.2384186184764465,-0.048266697561224314,0.06169463010246124,0.09580472558350916,0.0020420943446724455,0.06127108039648285,-0.15061310890162946,0.2214753361992588,-0.04260370530954719,0.322948697934091,0.5429225174312725,-0.04315133874038176,0.26530956395487076,-0.09809030511465318,-0.11334502933510453,0.42260684128406684,0.2993570334325896,0.011618765034706944,0.11810060794520104,0.17016943018624156,-0.28106346504952445,0.09155384574704055,0.09530607022242396,0.1857727730126231,-0.34053611204734774,0.5202393248088973,-0.07617484010976738,-0.23910961596283084,-0.0561225796567477,0.1645254168639298,0.23302220088027867,0.19555529819468753,0.12997871948762107,-0.24889769363996966,0.6320808945840198,0.20025389408719646,0.3791237257476108,0.44714268052724554,0.37120991874166465,-0.051274142837248286,-0.23384644704999258,0.6355223551479885,-0.1725084958802489,-0.33824619874949735,-0.17248812015886206,0.00671050855984779,-0.0933788949480965,0.36917616658925817,0.08125141390168551,0.24230539804445503,-0.15119876485225692,0.36086449169648993,0.14929874094333923,0.012514003211909493,-0.20096132484211665
Temporal_Inf_L,0.046577559500432575,0.3660242029053738,0.3545290150929843,-0.002657320703335892,1.0,0.1189609103955707,0.7304626870485426,0.03858660661301457,0.537502391285716,0.03015580274822977,0.6118563480440347,0.776831095324167,-0.10408564226618532,-0.1128943211371871,0.5328822509064249,0.38376558901449004,0.5893406616996792,0.7142553392732687,0.7229738033978125,0.4943414374512393,0.7491773098406493,0.6658651087664251,0.4954672082495659,0.5270565992534517,0.5305294665292147,0.7765655346683712,0.46374197624215735,-0.14398382226294595,-0.30107040957147174,0.2670725517502216,0.6165055954211536,0.6797942327251165,0.28305150503017573,-0.15066242991137507,0.517488304750897,0.5347810195230254,0.29370171954993307,0.5148314855917698,0.6154533778551715,0.7880323788194531,0.6355431350363652,0.713430245882447,0.07709065661467027,0.42529573810114807,0.6810956775731175,0.3971681803311985,0.40427052535158015,0.42299004266075857,0.41229373084754767,-0.0655091986266673,0.5123427729778749,0.26222011738344186,0.7463956903297633,0.5391378941180497,0.0772442448909802,-0.2886973981909732,0.34409958734385027,0.4593576338539255,0.49716601457513454,0.2822498704550584,0.29343183980250426,0.6179742315133447,-0.16826284793874843,0.5145450078665554,0.45717138588918993,0.0010344734297863764,0.07986702674022889,0.22686869730479728,0.3042154268180371,0.7440457906772229,0.7185088468669563,0.6154156634622755,0.12237418199598019,0.26186316939551296,0.4791211359903331,-0.000910493777980995,0.02493963877969625,0.5784208900778314,0.030788654436401813,0.7643006211419098,0.4860186926025223,0.5588536485782365,0.4263342786225464,0.3704158874612784,0.3705222073484401,0.5679849377219598,0.5229797776953373,0.3041040202329482,0.731923007910997,0.3683843746410353,0.07197691635784326,0.6487479425237128,0.22840749400739144,0.7030010255242147,0.690736729039904,0.3220895863593789,0.3767534389961015,0.6054203634753432,0.3698469635087779,0.17429009763226092,-0.15976627175905983,0.5465931173299519,0.6094098123484701,-0.11113009891406081,0.6377170093601704,0.13891609653278414,0.07646809180334518,-0.03779149108882023,0.32276241674096956,0.5909582185466725,0.655896533816694,0.5554379564244916,-0.04506160004204474,0.7439075413732685,0.5016568134822601,0.7439635698774976,0.6601481857183084,0.6988167011408597,0.632356563107952,0.6918675216893676
SN_pr_L,0.17562495771267242,0.3497380160004131,0.18395825782031133,0.32208783338382757,0.1189609103955707,1.0,0.014922598557933273,0.020867797690477547,0.21764525899081574,0.09394492728171143,0.2661497775608779,0.18837856990462112,0.04711563524488009,0.1303042735753189,0.06338394558299977,-0.03556246516701198,0.06398523972849944,0.32527808624980903,0.3773676880000654,0.17455108362134159,0.23985158421242977,0.2576581940502036,0.1454992773601131,0.3029955791858204,0.39247522192690737,0.11998459253874492,0.2419060210468491,0.09654859674685495,0.358421747816977,0.031066590565583026,0.1939363894497899,0.19041679393591043,0.21312098892835124,0.14435245400429783,0.02761436895503718,0.4004546181193144,0.35050809113310116,0.052233913949471016,0.35377377095602974,0.25446276915041693,0.22236061677913008,0.004709358858251506,0.3807733824370568,0.45891267541274783,0.3778885924078687,0.0702868094596522,-0.07026887152484262,-0.032297251195752705,0.3947231338295037,0.07161968063749723,0.08674544277569693,0.4848829891314194,0.26983360410837415,0.4675036429094201,-0.019229702422243027,0.09434358004537527,0.1553933980816483,0.1620615740215617,0.3482242181458137,0.08896769983998616,-0.15301191934324554,0.2029167706120331,0.0438580804642935,0.27050706602611674,0.27488804512291437,-0.13305414421108866,0.06242655574780717,0.3122460612205986,0.3466241531696674,0.19330611966499445,0.18737683698620702,0.3874976828416511,0.09969459802797213,-0.09567182603442458,0.313034220074365,0.20198863410122536,-0.07136750539235175,0.2869669003104962,-0.282881496398783,0.10056100441603366,0.46737234475308237,0.45625676313992636,0.07910134520643994,0.22879463245951634,0.29678119792956886,-0.24691645701765913,0.2793449916577437,0.3612766149749368,0.32570416671402136,-0.02006259431026948,0.40433542261089167,-0.024030450003283348,0.014906661419617714,0.22458071055650197,0.21064649964813184,0.13330145324394516,-0.06666201995186762,0.3110702542415897,-0.36187461220494477,0.5025629020120223,0.16875512075880866,0.4079121625011466,0.413934874082067,0.21676221822206612,0.21515488199900232,-0.22871043252421966,0.4960647271832604,0.2627041009226036,-0.20392525983226553,-0.1712867815577909,0.146932645599265,0.32248852850835613,0.12503004185621902,0.17554351276295244,0.6549094494955449,0.06528159884042463,0.4246180510693357,0.16820713721617286,0.07993614220711479,0.27268319245643696
ACC_sup_R,0.2124716143864267,0.39974647280120734,0.5194785785811921,-0.056599182840557344,0.7304626870485426,0.014922598557933273,1.0,0.005756522360187271,0.4646356983795372,-0.1238631484390324,0.6518894669322404,0.7855251410324489,-0.1661076697029618,-0.050581285148421126,0.613131951016923,0.37999207287135145,0.6406617612366684,0.7302812488485285,0.5270747153082318,0.5757195429279873,0.6480796887153696,0.6417394931316429,0.5660532682620752,0.5205725272431874,0.36851057943719057,0.7369216378244732,0.3578921563674274,-0.06115248148766898,-0.2324244354495599,0.305995625391398,0.5938356148960546,0.7111184177248896,0.2994879639096706,0.002869753022105465,0.49270761768730104,0.46143062554846465,0.22431790114709205,0.6683128517227007,0.6094568776621695,0.788226586398263,0.7194381398575012,0.6708241585290824,0.07791361411438118,0.2879888791602185,0.6009141387152835,0.24989950369188005,0.41278583988623463,0.626528160010872,0.37493957143967505,0.142898154367279,0.49038121251010397,0.2384613591966947,0.7278100011745698,0.42822105452358367,0.2728668976150143,-0.1953005078237007,0.28167583769938837,0.5370014532609051,0.5494060474060741,0.33852018063931133,0.333113876358183,0.6240866684266059,-0.010537517047757947,0.4631165699674913,0.3696591804016442,0.018606283399176304,0.14121637900641823,0.29595214279043774,0.4202580437050823,0.7581945208396632,0.6720243675699231,0.5257068375740808,0.0699150337609075,0.4485247977861058,0.44025191222989957,-0.12394937339799122,-0.15556625372009514,0.5715699014416563,0.0008310619151618484,0.7092888905623439,0.4582568398812731,0.5518607449234464,0.5059749176279449,0.22094383223484637,0.37699285077034883,0.5698379452627909,0.5194101023096478,0.22232360371720827,0.6688905343878614,0.26992161354634103,-0.0363615682274851,0.6449881921711024,0.3061546027402881,0.728949979789337,0.7328728700180456,0.3928821581095943,0.46425921291883987,0.6964066149133981,0.4508796536391732,0.035443622057162685,0.02698764022444105,0.5048492441274155,0.5440939816160848,-0.12437802093254209,0.7097168388111789,0.26643173924125485,-0.049475409484914905,0.07747677377539428,0.48914271613565125,0.6387870189158205,0.630869699913684,0.5178916049550837,-0.11641380254371338,0.6253241975308009,0.35789935736205725,0.7897069232215058,0.5636807855228052,0.657921088600735,0.7489547233533174,0.7319274887528343
Vermis_7,-0.06705142656339733,-0.120186696952103,-0.05367130914110369,-0.10051847879277631,0.03858660661301457,0.020867797690477547,0.005756522360187271,1.0,0.0844810971502655,0.04246798602617719,0.05709278181411324,0.08482719892653282,-0.0025030701761107905,0.02509636863938453,0.055297936414918564,-0.04975146472299442,-0.0697164985213357,0.15943634614400512,-0.02959101401436226,0.05910054704227068,0.03669461130040952,-0.040348902872132615,0.10083581115150328,0.13822510005357572,0.038781567741568095,0.018056340869078567,0.06107493390664005,-0.10670673867897108,-0.009807309707585466,-0.12599411811182268,0.021312659657540225,-0.034925261724541926,-0.11944234023156258,-0.02481953163011576,0.1002362122769001,0.06286347313791463,0.06505333552977631,-0.030196040935813382,-0.00530558424138552,0.03349805408297003,0.0607210788889879,0.1251306825202657,0.06540768437405552,-0.017772496737073335,0.0007924928961146095,-0.04680608099696013,-0.03843052044380968,-0.014496607023751865,0.02992595324923094,-0.09406832370627964,0.1026925795702698,-0.00556931915338903,0.05489309301399783,0.0053962363665770756,-0.06442051353005368,0.018351659205943494,0.05508574036453189,0.03865647644460302,-0.009384412638701654,0.023519212592400862,-0.1039111160302044,0.05786861768980452,-0.02957365801025754,0.06813480548493617,0.11459753003308164,0.1663493747677377,-0.011162064227970066,0.07747555116978667,0.04306771020304588,0.07820430939574737,0.07204220176153851,0.06604091931708952,-0.08188219228552902,-0.07616193215871027,0.013580470852155338,0.03365570037167629,-0.019017060471038457,0.028255444123672778,0.015503069443812554,0.09852451640908014,0.056888313718979296,0.04993993654869017,0.05488919920503925,0.09660708646882481,0.07288564516614057,-0.07356640143231408,0.08482994483347256,0.12270073488958128,0.06622740109569722,0.03410207845985374,-0.0015069889591631735,0.177960380331072,-0.01288950832294426,0.06628810466434616,-0.012566934867978758,0.01495401124945906,-0.004049938672534485,0.05127648795153013,-0.02284359809832804,-0.0021066405203817758,-0.027556085258499875,0.00440667154731886,0.028400867997244023,-0.004336682372508327,0.018019624096720914,-0.03831825594986638,0.027419363641320894,-0.038843921453218154,-0.06399715391373183,-0.003080571521089402,0.022653645642076007,0.11423703963956677,-0.0834095870000554,0.10923606292350548,0.044256623649845124,0.06172116187436273,0.05038321257860443,-0.003303884566946223,0.06516907349166591,0.01570415712981747
Thal_PuI_L,0.1453562915414629,0.37211754085340365,0.3847413087889504,0.12437969003605538,0.537502391285716,0.21764525899081574,0.4646356983795372,0.0844810971502655,1.0,-0.0803671092768516,0.6110151019945572,0.6814345423901231,0.1499097415622534,-0.011090121864455968,0.5155204481330915,0.1420532330780737,0.35611691690530595,0.5383741608703408,0.5067506016504607,0.43556403251387277,0.6087926908997253,0.6223884816536672,0.4416613924407926,0.4683410094955541,0.3332180155382345,0.6369394765775406,0.37784006171977585,-0.0089918459583246,0.02694206045680916,0.14510824185596902,0.6025777469572323,0.5443787914589531,0.21443627146838376,0.13927185090008654,0.46214194620156795,0.48033681671577355,0.5515090071448353,0.40039607221223106,0.5360069233814164,0.6189515589699683,0.5626250060842181,0.6008637218762276,0.24349516219188122,0.3568171113051023,0.6798932863899545,0.20636709858576302,0.13590954080816603,0.12255453247460105,0.2915224440192362,0.08215435742693082,0.44066042741648354,0.4238102124636977,0.5787206496710534,0.5804843456250472,0.13001383438198108,-0.047591937959591456,0.4841809533622307,0.4218264088484786,0.5165118449922103,0.31203940469143965,-0.041713913561622414,0.7320561290352875,0.05336954536286384,0.6590904245027317,0.46673170787949475,0.04390960522316264,0.011024022321785986,0.3249538478108575,0.5224325332068616,0.6174524669568191,0.6159044835729011,0.41212659795881806,0.13161114487224737,0.3479151953493023,0.40267624441598576,0.15921771786337313,0.05185355949496453,0.434412032412617,-0.13504324712151475,0.6486412902542196,0.48032177647267715,0.5145281523117633,0.4705329177020395,0.3617010562051111,0.4317718015113807,0.3299866090163267,0.5689443326870366,0.22583713431481386,0.6907403905601042,-0.016249280276100748,0.01468879657487162,0.5655796796329038,0.11145388830339661,0.5730722035612809,0.6051607261786035,0.43601292537381686,0.3493833476400756,0.5362612859454623,0.21707568088006882,0.30441505655815165,0.024788462084959287,0.6019603963686645,0.5808841460672035,-0.03457002325883,0.3999608435934613,0.14092605175230236,0.10284269135039908,-0.11833351458612888,0.03296599225138046,0.40022835314586175,0.5090823313385512,0.4656715771133384,-0.05194362367813114,0.5630644046542004,0.33052134227635643,0.5787456057607397,0.5763645237255972,0.6091906730777082,0.5209820209239937,0.5501020367703947
OFCant_L,-0.014835557932662386,0.004681681173815645,-0.13675922895481285,-0.048835612047653965,0.03015580274822977,0.09394492728171143,-0.1238631484390324,0.04246798602617719,-0.0803671092768516,1.0,-0.09035558678724438,-0.13689872954510518,0.10497763950248372,0.06164750751536933,-0.14686865588338469,-0.05180640694348864,-0.03689642513660655,-0.0392312865702075,0.07761011190397774,-0.1601455113033886,-0.12180139174734987,-0.06501031744958832,-0.11480113749366813,-0.09839370024515465,0.044789632528933254,-0.07373916528211792,0.026645108980268943,0.022437899602481798,0.06433738348915999,-0.06998224431852035,-0.13927792144702347,-0.03490765638026165,-0.05296052789031839,0.0599128176044174,-0.1989481228267692,0.03737329851493023,-0.12445287289500725,-0.12182799765920146,-0.09252243396995052,-0.11977503546064183,-0.12609251570277052,-0.13493695090272664,-0.016503142101994953,-0.06501399632113743,-0.035180032644530866,0.19528346214948822,-0.0610050884851581,-0.0810529803130462,0.0028711464147814624,-0.07527233616480221,-0.054944999521871,-0.10357486627016534,-0.08031890780175975,-0.08700893670454828,-0.17371555501389893,0.14226246154717784,-0.050517726157071015,-0.13422314837510077,-0.09034905223025835,-0.1599300347867926,-0.07105885171494439,-0.1907962774360621,-0.17897626169954242,-0.1004132391104061,0.03649389824006274,-0.03928255187746511,0.016325648722178326,-0.24677258006126226,-0.13480277481563865,-0.08735044542103966,-0.12129187585649594,0.05460073946958573,-0.17053317091019649,-0.23430519422365198,-0.05007215486133353,0.048755520001081035,0.3654668076150497,-0.03997853927177262,0.11737733201512275,-0.016773592104972777,-0.013837139980620439,-0.021930331220548355,-0.12650556011871275,-0.00025437749006242924,-0.05498099389186287,-0.16128348266540252,-0.14198430716421195,0.09688626916961393,-0.04458086834368175,0.11871882580703673,0.048140911014037106,-0.1511981380115066,0.004405446279246428,-0.09806626800386357,-0.06095559917981301,-0.22701853492633098,-0.07818915393861248,-0.13307398782227986,-0.14191455016053475,0.02324857328027027,-0.09778750481404598,-0.08155559157529584,-0.0775484627784431,0.12220018713245041,-0.055246568268405384,-0.19331025630586313,0.047255522812124744,-0.005594460765622023,-0.08142690784877346,-0.19905918441822817,-0.08068246577769526,0.03750394459974201,0.0758538158143294,-0.10269527686664577,0.04741360084113877,-0.11334970261436919,-0.08163874927611009,-0.05047403915042436,-0.12313792510937967,-0.08870828381468591
