,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VA_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_LP_L,Caudate_L,Parietal_Inf_R,Thal_VPL_L,Vermis_10,Frontal_Sup_Medial_L,VTA_L,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,VTA_R,Postcentral_R,Cerebellum_8_L,Lingual_L,Raphe_D,ACC_sup_R,Red_N_L,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,Thal_PuI_L,Olfactory_L,ACC_sup_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_MGN_R,Temporal_Mid_L
SN_pc_R,1.0,0.23587414389797026,0.15434101103171471,0.4178546085322513,0.2114243666989575,0.3627119268081053,0.18687158247259392,0.18110860394003506,0.5139232907399327,0.168770099638203,0.02231943020830948,0.4420028728346705,0.2540116354931474,0.44727798701682075,0.1902274072784284,0.45435357987607644,0.40278707397587016,0.19695448582637398,-0.11552824186369645,0.502582535100656,0.46721988860223557,0.15286070648095434,0.49932036521828016,0.3798702719555063,-0.02624998966149029,0.5609916031724903,0.48605773479411923,0.06508158223262571,0.3168174134799777,0.17283547703963487,0.08487796446739225,0.20113553399222442,0.05237000895088503,0.44359845713942636,0.5174260950738774,0.5302318739137671,0.18525647113299998,0.19280039671473848,0.15297406043783046,0.3086693160901347,0.4989693149051191,0.5373467497391119,0.30891370638370036,0.2742478119872721,0.44970825714888457,0.46759678980954045,-0.048283172882136106,0.3624827919332419,0.5437283777575088,0.011660521355003515,0.3328420743784047,0.00031192371166114215,0.5008533074285642,0.06573579124965817,0.02159774723523686,0.2549540095623568,0.31052836128385014,0.35080646145168115,0.4693217937233588,0.3823346578951329,0.29312720876638687,0.3405991902059848,0.14084944987657277,0.37639314086417525,0.27646038080735486,0.2931578934463628,0.44445287828787583,0.4502714417141762,0.23432812923989083,0.16648449177257285,0.28795633741321086,0.46038441317068474,0.1401415575689492,0.3890836197870904,0.22093207172179433
Thal_MDl_L,0.23587414389797026,1.0,0.2614250785014861,0.49678586206263403,0.06989739392095466,0.5947415481710766,0.5047427573176406,0.036142084436737526,0.39373153973828295,0.02761436895503718,0.19109817792669911,0.3938679803685832,0.3425003193839969,0.46777251462503305,0.25116738053959436,0.1792039436517116,0.6055715419822976,0.31664386965997665,0.24298806438418008,0.3476628747566861,0.31302834588791484,0.2172674484649442,0.36670329640134525,0.4846865977282914,0.1002362122769001,0.4828865105800372,0.3580421221465112,0.06810633381956085,0.5442146046162893,0.3381900677124125,-0.07353813544526708,0.5571975637764405,-0.030841195770798205,0.33405520864599414,0.3697263679997835,0.4939192251122125,0.07925139153827702,-0.05127101307129212,0.27485827059149737,0.09952164852611081,0.5346425393083943,0.42148101054963244,0.6359144430338565,0.517488304750897,0.4831162645831755,0.7014375654746633,0.38661439613889,0.1046282081481384,0.2774450033432113,0.17661832393381635,0.6090705151420822,-0.06111535218787751,0.5438874141846509,-0.11125612871051227,0.15238815533337455,0.35708344645121914,0.057817855689772414,0.40242861461742463,0.31523046833615403,0.41857066793322034,0.1789558759225002,0.5202554691798452,0.13753281708070672,0.49270761768730104,0.17287303256312203,0.24793743294781792,0.5379733426176679,0.2793568220340574,0.46214194620156795,0.11945248926492223,0.38428977987988083,0.5085865413511723,0.12438252914189964,0.6041272083026965,0.282507739223638
OFCpost_R,0.15434101103171471,0.2614250785014861,1.0,0.2485691041525138,0.5674709529546168,0.42445675768293417,0.172451201939102,0.06927604780769354,-0.04317513016962187,0.18221684689363743,0.11571906802483402,0.0674264125208026,0.3153172530441151,0.35780300220139305,0.07736371572683133,0.1884764764931677,0.5131944975481576,0.28064739785454257,0.088863477844321,0.31739444460755456,0.10045444610091504,0.31089597598824137,0.5607146948369267,0.40833685109963574,-0.0027805245102327167,0.36070553136526984,0.1294180810754383,0.16442484173020927,0.40550690554020047,0.2402215782545601,-0.03975620545486851,0.26939988780578566,0.06339896644462306,0.3482502058089428,0.3736806893858011,0.3981017392230735,0.6078039181164318,-0.14252625157163973,0.21929755432050724,0.347774757696556,0.4480422283685221,0.4249121630704151,0.385212622525699,0.4289478790493285,0.2532656388162255,0.3593687868326717,0.26756046783913906,0.012221124017680711,0.42118904791489936,0.12951106141275948,0.18585784850172396,0.07104724057857033,0.4077010199794201,0.11573768878764652,0.30497555770599355,0.2621152744462262,0.07545513908180075,0.23533377492855265,0.11094103957429274,0.3502848558203234,0.24479519247067405,0.3217943170079103,-0.08629975270379092,0.38821914812048736,0.1541730691858853,0.23706715415997318,0.2835125026506587,0.3538744693104535,0.23714331298076372,0.30229663218082203,0.33444433160631243,0.42855044240327667,0.08319978743950725,0.08899758388487246,0.4780344065265796
Temporal_Sup_R,0.4178546085322513,0.49678586206263403,0.2485691041525138,1.0,-0.04781556853796632,0.6566695222624983,0.39837193578624935,0.19676769212218745,0.46806177123280396,0.1615368876195967,0.1767305447922934,0.496553927430469,0.38400809082266585,0.7245143046064987,0.2279736470182109,0.3140976010618431,0.5114213749030244,0.3125464217097611,0.15424765265882232,0.3821522521796817,0.3605080997312075,0.37412505396260504,0.513333087373436,0.5690429259240541,-0.039480999873866066,0.5854086344247877,0.564909129922284,0.22088793852012614,0.720800305143976,0.7402700507941373,0.0649581205259281,0.5034622731856156,0.01011827206736892,0.49588600675006844,0.4727615026257641,0.6672384398439976,0.14838251038391534,0.27172031274859737,0.25965845032240686,0.2877931398197418,0.6215546927123011,0.5482227820443443,0.40475753224295374,0.5319027757583465,0.5752123841626795,0.6497174026858089,0.08451551683226001,0.2733146312358047,0.6218946132065227,0.3863217148214902,0.6015638153437722,0.18500109889997732,0.6015412692641267,0.21377260787152963,0.0686793060244677,0.3950862386204232,0.2213610552851086,0.7013564628697702,0.33678539248066547,0.6860351192881575,0.377472893407935,0.6761219462691777,0.11908345056286743,0.6455558941076697,0.48745622317232945,0.19197578207080915,0.48165795401488165,0.7618208603818638,0.3796708475997782,0.20603526189258553,0.5245795783887981,0.5076323774050587,0.20033760060553218,0.4269766521087022,0.47472018488373613
OFClat_L,0.2114243666989575,0.06989739392095466,0.5674709529546168,-0.04781556853796632,1.0,0.26013726973707124,-0.003435678555531749,0.045914201580377574,0.002138676658856731,0.014906661419617714,-0.022368960945262868,0.12947111914669288,0.3441442283112055,0.09407750722597201,0.17088946389621368,0.42934638228118865,0.4148777497083271,0.13745527243285965,0.05799530763626991,0.2910978950664412,0.26836875138991056,0.10497710267430595,0.6388282825819381,0.06321370231857522,-0.01288950832294426,0.38062807693702433,0.22787792902903425,-0.1725254208218285,0.023970851709133115,-0.22626630438017384,-0.26106051880754183,0.15853846303191158,-0.07608700780191792,0.3970417202901916,0.3766307335437414,0.35009455163732073,0.5146296140955928,-0.19328394246475708,0.3747958790869197,0.549722908131146,0.33833259301504925,0.3827395341345233,0.3360393541832686,0.22840749400739144,-0.02427825507975989,0.2651080477183056,-0.03731972991975313,0.16785855124334736,0.3408490300757178,-0.25712310756136547,0.05423768637849371,0.05041090283829119,0.24854377376410214,-0.23801891656806531,0.21114284681734768,0.4686939841585567,0.10354106541624243,0.09741229971323184,0.30551135277438074,-0.028230202916138623,0.05871409629699283,0.01722312826992289,0.2660585661119338,0.3061546027402881,0.22657880729340513,0.2965884548460363,0.3075244577243123,0.11423059501628358,0.11145388830339661,0.5199408373982232,0.3480886694872622,0.37748044550513044,0.021971528669266847,0.2287236217998823,0.15851512962197864
Heschl_R,0.3627119268081053,0.5947415481710766,0.42445675768293417,0.6566695222624983,0.26013726973707124,1.0,0.5464647129410543,0.06539053263157202,0.15882872999770062,0.18737683698620702,0.15334581481986434,0.36940715780549627,0.6296761661561223,0.7313211088573388,0.36172899140516496,0.34705839810682215,0.8458298118237678,0.4607578449210452,0.3375566401900714,0.6440005370232535,0.41369630982736466,0.48754675780931284,0.6871615475042699,0.7186570176200634,0.07204220176153851,0.7386751620444018,0.43007609290860604,0.05566750851587332,0.7157648657155133,0.42930349553876074,-0.0994686699828033,0.6510961508502064,-0.13741296997798919,0.7200336309550046,0.7420925711167676,0.7987574533102061,0.2038038257303422,0.00989207536693665,0.3821880635565692,0.4156879782700547,0.8441051447014367,0.7704694077101895,0.6379881270422811,0.7185088468669563,0.5274787480431943,0.8035324924147526,0.16064137643696483,0.18792440513390216,0.7442324978862725,0.13519601058326547,0.6597398280828349,0.1899612679725671,0.8049394794079993,0.2761202444427,0.15140408307729641,0.5565240766211095,0.10227338715822364,0.5682445544108056,0.4757352687558602,0.6040479677542705,0.3426869651986468,0.6967880302575463,0.23812549935456276,0.6720243675699231,0.45611785821369605,0.11687157941263882,0.7351878562189066,0.6861421585091455,0.6159044835729011,0.3315456717979553,0.6564834835580671,0.7452226041639669,0.12950358352391977,0.5209656430609819,0.5986768120120615
Cuneus_L,0.18687158247259392,0.5047427573176406,0.172451201939102,0.39837193578624935,-0.003435678555531749,0.5464647129410543,1.0,0.12103454091823933,0.22350783987218203,0.1553933980816483,0.17454557380509447,0.22700497232755656,0.27084873328754233,0.424786633651257,-0.015436616297871887,-0.11119238545170367,0.5427654245340124,0.29795175637515464,0.18508070332951476,0.5385490174464767,0.2438723407779348,0.5184339304317906,0.3195380078925014,0.480210530262583,0.05508574036453189,0.3802334007057661,0.25978772811413414,0.06408293682813299,0.5258682375576746,0.35348706626528587,0.15420726100045545,0.30265073457859487,-0.05986214933250314,0.27616688905387793,0.5122275268941908,0.47079328492666284,-0.04301411745132191,0.2679011393858545,0.055294862411572256,-0.012100063938624903,0.48869449678778665,0.47887501731178705,0.3872827029468127,0.34409958734385027,0.6145150543891986,0.6588723526737049,0.43281452633759254,0.1989606830683721,0.41226131489676404,0.2945286542873973,0.4368826685552648,0.23148663790374388,0.5331453236442911,0.28195907639531936,0.0025543209702111524,0.13661914770273545,0.07292597349494807,0.47291711250818885,0.4073623688543892,0.5106874629101186,0.5820335252697442,0.5745232220493597,-0.0559003464870306,0.28167583769938837,0.24250249440565297,-0.04821863300671473,0.5522497119671159,0.37163223085187463,0.4841809533622307,-0.043438654670288374,0.3382344526905,0.4257002811179035,0.05809889762163754,0.3659392639378464,0.37814691365636477
Occipital_Inf_R,0.18110860394003506,0.036142084436737526,0.06927604780769354,0.19676769212218745,0.045914201580377574,0.06539053263157202,0.12103454091823933,1.0,0.13795568153235455,0.06242655574780717,0.13890671015976283,0.11564187595751077,0.037762959835558794,0.11006294342803107,-0.07286939389436402,0.05854448542467467,0.13243319351576735,0.19858013082219006,0.04864765995965649,0.20600736686240792,0.13378362216301715,0.2538578464350435,0.1975142464274411,-0.0157203483758796,-0.011162064227970066,0.14570407813942005,0.28637389596818136,-0.015321796176956939,0.10226724756528859,0.04449427806677301,0.056837400451464286,-0.07171537097006017,0.06522274408719642,0.11744074668941742,0.20207426559964878,0.22339314272026614,0.11345845906457017,0.19854002461599027,0.0944916239792358,0.1141222934877573,0.14864464645811398,0.22158752858334257,0.16269461067975866,0.07986702674022889,0.15793417509609362,0.15262650487078447,-0.08870435113061467,0.0005108277864592248,0.17949075509254872,-0.028920322121059164,-0.029586135382035854,0.30864626013318364,0.11394484643986022,-0.04310984040078748,0.005656775126080779,0.14578206747821656,0.07148280157348975,0.3298945754535222,0.16664083511911024,0.09790346196646858,0.10192973043889526,0.13511085482797414,0.03443690447089293,0.14121637900641823,0.21925155458019582,0.02578230968853665,0.20116708365015837,0.15757914322193511,0.011024022321785986,0.19174501104085148,0.23878948183569146,0.09436554424476243,0.09014497729036701,0.026301670441246563,0.19740795606369904
Temporal_Inf_R,0.5139232907399327,0.39373153973828295,-0.04317513016962187,0.46806177123280396,0.002138676658856731,0.15882872999770062,0.22350783987218203,0.13795568153235455,1.0,-0.019229702422243027,0.11327380834514218,0.4458143556621867,0.029053407639142798,0.3152373705000957,0.2236677332817536,0.2590191056989201,0.16865588847991184,0.0580833815640657,-0.02764222759857086,0.2663737685266261,0.34760196938232507,0.04808261772960244,0.2343301533744787,0.18360507185708694,-0.06442051353005368,0.36049656750617476,0.47979818417540465,0.08394377846589164,0.23460791540563986,0.22185510734768726,0.13654989220785657,0.12051509995417395,0.1606883644967231,0.1468811127393569,0.2476800772721395,0.3462161632551931,0.059535753330763594,0.3722034737813463,0.13977685510561466,0.005571388891494629,0.24899647306198883,0.2765651548710744,0.19606583927715135,0.0772442448909802,0.4015737812218965,0.46928417207321105,0.08446735499654268,0.5118315803272083,0.26353695819615136,0.1145943276060281,0.37387163048024724,-0.21148684259230263,0.2730435611771636,-0.23406054917457436,-0.052590925707205236,0.1655745298006442,0.4039375933692129,0.38848644524218023,0.37966983522041253,0.29743577749558775,0.2526576952230859,0.3134777334688013,0.2163204756102969,0.2728668976150143,0.25697160116789103,0.25718018367288786,0.34957559062139837,0.24277026205017807,0.13001383438198108,0.139509659386475,0.184147724758478,0.22302916302845688,0.10055191301161621,0.5185174797804933,-0.12442775877022917
SN_pr_L,0.168770099638203,0.02761436895503718,0.18221684689363743,0.1615368876195967,0.014906661419617714,0.18737683698620702,0.1553933980816483,0.06242655574780717,-0.019229702422243027,1.0,0.09969459802797213,0.053472493170142264,0.3029955791858204,0.35377377095602974,0.04245368665227483,-0.032297251195752705,0.23985158421242977,-0.20761571761347855,0.22879463245951634,0.3682642028167537,0.18411372992913874,0.08896769983998616,0.21515488199900232,0.4246180510693357,0.020867797690477547,0.2631800429651348,0.06398523972849944,0.40433542261089167,0.43118707128528866,0.3947231338295037,0.13099545321006298,0.06190322673280056,0.12503004185621902,0.27268319245643696,0.2661497775608779,0.21279781320611266,-0.13370478159683793,0.0438580804642935,-0.36187461220494477,0.19080225733551315,0.19330611966499445,0.22458071055650197,-0.1712867815577909,0.1189609103955707,0.4004546181193144,0.06338394558299977,0.20198863410122536,0.07161968063749723,0.3326213354202984,0.4960647271832604,0.2029167706120331,0.0702868094596522,0.18837856990462112,0.3807733824370568,-0.29251171114993335,0.1620615740215617,-0.03875467581779039,0.2869669003104962,0.3122460612205986,0.46737234475308237,0.21341603958347755,0.3778885924078687,-0.22871043252421966,0.014922598557933273,0.3497380160004131,-0.15301191934324554,0.07910134520643994,0.3628885511084947,0.21764525899081574,-0.07026887152484262,0.22236061677913008,0.06528159884042463,0.12821738756567996,0.13330145324394516,0.3773676880000654
