,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pc_R,1.0,0.23587414389797026,0.15434101103171471,0.4178546085322513,0.2114243666989575,0.3627119268081053,0.18687158247259392,0.18110860394003506,0.5139232907399327,0.02231943020830948
Thal_MDl_L,0.23587414389797026,1.0,0.2614250785014861,0.49678586206263403,0.06989739392095466,0.5947415481710766,0.5047427573176406,0.036142084436737526,0.39373153973828295,0.19109817792669911
OFCpost_R,0.15434101103171471,0.2614250785014861,1.0,0.2485691041525138,0.5674709529546168,0.42445675768293417,0.172451201939102,0.06927604780769354,-0.04317513016962187,0.11571906802483402
Temporal_Sup_R,0.4178546085322513,0.49678586206263403,0.2485691041525138,1.0,-0.04781556853796632,0.6566695222624983,0.39837193578624935,0.19676769212218745,0.46806177123280396,0.1767305447922934
OFClat_L,0.2114243666989575,0.06989739392095466,0.5674709529546168,-0.04781556853796632,1.0,0.26013726973707124,-0.003435678555531749,0.045914201580377574,0.002138676658856731,-0.022368960945262868
Heschl_R,0.3627119268081053,0.5947415481710766,0.42445675768293417,0.6566695222624983,0.26013726973707124,1.0,0.5464647129410543,0.06539053263157202,0.15882872999770062,0.15334581481986434
Cuneus_L,0.18687158247259392,0.5047427573176406,0.172451201939102,0.39837193578624935,-0.003435678555531749,0.5464647129410543,1.0,0.12103454091823933,0.22350783987218203,0.17454557380509447
Occipital_Inf_R,0.18110860394003506,0.036142084436737526,0.06927604780769354,0.19676769212218745,0.045914201580377574,0.06539053263157202,0.12103454091823933,1.0,0.13795568153235455,0.13890671015976283
Temporal_Inf_R,0.5139232907399327,0.39373153973828295,-0.04317513016962187,0.46806177123280396,0.002138676658856731,0.15882872999770062,0.22350783987218203,0.13795568153235455,1.0,0.11327380834514218
Vermis_8,0.02231943020830948,0.19109817792669911,0.11571906802483402,0.1767305447922934,-0.022368960945262868,0.15334581481986434,0.17454557380509447,0.13890671015976283,0.11327380834514218,1.0
