,ParaHippocampal_L,Rolandic_Oper_R,Occipital_Inf_L,OFCmed_L,Cingulate_Post_R,Putamen_R,Precentral_L,Thal_PuL_R,Vermis_10,Thal_LGN_R,Postcentral_L,Thal_VL_L,Postcentral_R,Lingual_R,Temporal_Pole_Sup_R,Occipital_Mid_L,Frontal_Mid_2_R,Cerebellum_4_5_R,Occipital_Sup_R,Raphe_M,Vermis_6,Rolandic_Oper_L,Calcarine_R,Heschl_L,Temporal_Inf_L,Cerebellum_10_R,Thal_Re_L,Vermis_3,Rectus_L,Fusiform_L,Thal_PuM_L,Frontal_Inf_Orb_2_R,Frontal_Sup_Medial_L,Cerebellum_6_L,Thal_MDm_L,Thal_MGN_R,Frontal_Sup_2_L,Precuneus_L,SupraMarginal_R,Raphe_D,Hippocampus_R,Amygdala_R,Cerebellum_9_R,Cerebellum_3_R,Fusiform_R,Olfactory_L,Parietal_Sup_L,Occipital_Mid_R,Parietal_Inf_L,Temporal_Pole_Mid_L
ParaHippocampal_L,1.0,0.6059606077404351,-0.5196722668093532,0.4537535879164284,0.1898238313018642,0.2738649013181867,0.4013945587315384,0.4212010586859241,0.3827364125711701,0.8458897025709187,0.419681370534357,0.7545708660805843,0.24039525112671453,-0.24813364064016885,0.4806263249094757,-0.34002700929770185,0.4945565532225808,0.8475963757323762,0.05208364260817155,0.21618158237949453,-0.2590723986307491,0.6199897549081174,-0.13158741059036905,0.7110609695396176,0.3654678469340134,0.7586075438475998,0.6693069507320943,0.649009731048233,-0.3465853864471852,0.3237343960305414,0.44958283979499347,0.5114053059334585,0.6472080131691351,-0.20146854450926124,0.2890287980161432,0.7393743960931124,0.44255115645837273,0.5381641835660108,0.35560293294768075,0.21401265162033253,0.8481963025799565,0.11215766924461473,-0.45562676642134486,0.493789138187111,-0.02300483665150949,0.715054114938901,0.32627047177130014,-0.22466505926472177,0.43106531173708645,-0.45601493001801613
Rolandic_Oper_R,0.6059606077404351,1.0,-0.09362089172508706,0.36951364344255594,0.3455235868724481,0.5653801168696766,0.4689079512946154,0.5131649191383594,0.5814887882061734,0.47158345822040054,0.5131667182083433,0.525202915367373,0.6164155345987492,0.2824346525729738,0.1289733110534874,0.13392123463477623,0.33955105484048886,0.6945839502703308,0.39307727573770895,0.1319594476721368,0.07116187705272109,0.7862019465223599,0.32780232178013874,0.6857088368171474,0.2099877174606863,0.5425844644944119,0.257030422821766,0.6611756002286919,-0.28269305687541985,0.4034556254136231,0.4318682189797882,0.23146684123814643,0.5726019428012712,0.005173320647669518,0.5494841593952579,0.33503280703605104,0.4206818978182892,0.5264593470726685,0.7500436453422783,0.03877970730136799,0.5370516208999305,-0.09037050956739201,-0.13225439693646368,0.5351863280000905,0.08677582214782024,0.29610875697957223,0.245793028430917,0.2284145578400755,0.4162346946333021,-0.24208433232907903
Occipital_Inf_L,-0.5196722668093532,-0.09362089172508706,1.0,-0.45062983397533446,0.2921297151032613,0.14518591766696312,-0.4299549827887856,0.00417591189499541,0.19544571249191214,-0.6365664387133964,-0.4324294400009319,-0.2570582676739764,0.03760316839566719,0.835449142487895,-0.5544189865924214,0.7650273532526582,-0.3820245551663847,-0.2528404482314786,0.05000724230700768,0.07714555234687417,0.860702340561787,-0.0022276118117079244,0.7673935005986872,-0.059802918566949956,0.22642085042728324,-0.5060755551169049,-0.45650292649041696,-0.05092321786398964,0.43023771901938684,0.5246897223936909,0.17374191495249694,-0.5564891159697049,-0.1462309624574454,0.7442798840503347,0.010980837380449212,-0.6851418313406389,-0.27854538588666206,-0.5493865051778333,0.07345337567212629,0.3159865908919129,-0.589543178011491,0.1697335874133263,0.9125749453223732,-0.01725065432363912,0.46138367387120066,-0.5190396624335102,-0.6141311059301697,0.4147114676691709,-0.5270547712834223,0.68792318060567
OFCmed_L,0.4537535879164284,0.36951364344255594,-0.45062983397533446,1.0,0.12127425300293192,0.04572983461287451,0.2608337448892161,0.2234815570295556,-0.00332891495734497,0.3520787409956296,0.23146818135116395,0.3813765324300272,0.06988547496343753,-0.2720515518492542,0.2902494641801865,-0.3072985420134474,0.08055540912870571,0.4354116651266759,-0.08466007162918213,0.15061691296990296,-0.2507508638144711,0.3573514545472735,-0.15636115119575703,0.29793141792841477,-0.05899384510080276,0.37743332058200296,0.27280350626189104,0.22911849748119414,-0.2810869184172046,-0.08389238601747469,0.257839568529121,0.2016387199038605,0.14161452175926104,-0.22095856003345635,0.3591318844464673,0.4026516406366593,0.11882783478063168,0.22807213386879355,0.19351955043603136,-0.0668151127476624,0.5261535355688642,0.010055869273146511,-0.3585338263116423,0.16732213592122788,0.01028482279723864,0.4466452386586926,0.19562084407347732,-0.1330753821970425,0.23948948199101458,-0.4163825864174531
Cingulate_Post_R,0.1898238313018642,0.3455235868724481,0.2921297151032613,0.12127425300293192,1.0,0.3260057520528502,0.32210503758609277,0.580706912703802,0.23491895370144847,-0.031441140025998064,0.22412485547893105,0.29420448142735944,0.0419161566573817,0.5367258810961935,-0.02160605333981144,0.4539118354074763,0.195308127389881,0.45239742812869443,0.22075606020696417,0.2284783209851164,0.42474223891004126,0.6555364373422661,0.6381671885138567,0.4065277933697316,0.2707030909667628,0.24046848679398708,-0.05495647868568093,0.5818615628390393,0.010524039119949296,0.6188287280402588,0.7561222702941737,0.034495007034691216,0.20986821448468612,0.5511107370431948,0.5746868345460429,-0.21624690527512178,0.30768283080314074,0.058728786276671434,0.21647971807080363,0.4506843522979123,0.2697092705315261,0.016588248059009374,0.34002702985001537,0.42152977280268633,0.5879115077481566,-0.1445360305745467,-0.005697981024183125,0.5337931138113522,0.16213690366966693,0.28460218475646903
Putamen_R,0.2738649013181867,0.5653801168696766,0.14518591766696312,0.04572983461287451,0.3260057520528502,1.0,0.2554422622798178,0.35574635851537517,0.45088398244962524,0.2120698558065026,0.23112071577578194,0.19245382770108102,0.6055181208945316,0.30175731435943487,-0.41559026502031293,0.3038955875207096,-0.00530507838676251,0.35446265488657486,0.39093517076223944,-0.09005763564517344,0.0776381144271776,0.48261825101053707,0.2939827109581931,0.4848438778115876,0.36385566657981283,0.297597953395774,0.06207289874921802,0.4032617180562944,-0.45327004235071644,0.441597999409908,0.22965515432861966,-0.20899763916430458,0.1803957334844174,0.09143199705131161,0.30113392469246664,0.022605086586339102,0.08540507535474744,0.3152107507625954,0.6238541900230736,-0.036297010177053717,0.06843148085356601,-0.4995527804068309,0.002231073460438751,0.22668510118670154,-0.08250812069269224,-0.019554973855742834,0.08753935423472835,0.2064755148723184,0.16938800127324624,0.0044383134690129215
Precentral_L,0.4013945587315384,0.4689079512946154,-0.4299549827887856,0.2608337448892161,0.32210503758609277,0.2554422622798178,1.0,0.4310982506502206,0.3617555514490025,0.3675653552305025,0.9388450569338328,0.21019801289708126,0.3216299122578939,0.003009623701751532,0.42917572513324304,0.07462035023065709,0.6591069523425204,0.3788661156925855,0.5161688234351404,-0.03428012066568906,-0.27458919620330585,0.4643517709467784,-0.018574107272668623,0.13956541273291495,-0.3780425193005082,0.5748786100281273,0.22629089123926216,0.5771045781691034,-0.2347481056759186,-0.10898077788967259,0.12750330287283965,0.5648646899052723,0.3938196072674091,-0.2965092150056388,0.47639544110847903,0.23375887450610147,0.7499608616110115,0.7347429311231194,0.30845899424106077,-0.2040345033027333,0.5185190746338263,-0.2941993419691056,-0.4454655967061555,0.5281437917014106,-0.01946177977490896,0.1428479034615319,0.7858254936442546,0.34839290500739556,0.9063877191793784,-0.3468053239716656
Thal_PuL_R,0.4212010586859241,0.5131649191383594,0.00417591189499541,0.2234815570295556,0.580706912703802,0.35574635851537517,0.4310982506502206,1.0,0.32379198055770275,0.2247358372248728,0.38573214268820327,0.32692688447264856,0.3802814905322231,0.2801169343842736,0.14682941125747545,0.26997675186602443,0.3296121044040527,0.49921576654537686,0.398075760098134,0.09476593478286718,0.11839999260982498,0.5873196597882471,0.333673238708751,0.3986099209079872,0.10162329027569117,0.4224118032893725,0.08993010102913784,0.6002075899460204,-0.2170240868779388,0.38856093423905314,0.5852523870133952,0.22101147598612195,0.37383968120702404,0.11059401160911315,0.5639274867353118,-0.0037677371794972952,0.3824186535776792,0.41207610400932476,0.5251752909899252,0.06796483932076296,0.37663966571703156,-0.15929411241029393,-0.04178128033099566,0.3927152300079772,0.1841611823039191,0.02434324676485027,0.29627238747711226,0.4313396527536315,0.4231615707205744,-0.06373968601502235
Vermis_10,0.3827364125711701,0.5814887882061734,0.19544571249191214,-0.00332891495734497,0.23491895370144847,0.45088398244962524,0.3617555514490025,0.32379198055770275,1.0,0.32995381176341376,0.47485767119721506,0.360619690608457,0.6088458139737084,0.42002460122601903,0.045484903214139956,0.4817295750045258,0.3288396646086184,0.45815467992476233,0.5089014486666812,0.030377286622898122,0.2880687901898028,0.5018690955597029,0.3246581436080835,0.48829563930067355,0.16862602295242035,0.43391056769752573,0.26125837546902697,0.6596002549704494,-0.06600936914653714,0.41309684023292964,0.17805911321649212,0.15700672813645483,0.5629964747136249,0.023845375917597878,0.3942653012113395,0.10834976957273793,0.3567669697611804,0.49823858674630117,0.5884157111457897,0.03481457874779464,0.24530266483800847,-0.04480054863394635,0.04538982390063027,0.5813062468560498,-0.02624495454439316,0.25998106006761923,0.2728876540873341,0.27851974174199884,0.42032924824203616,-0.04644407266453225
Thal_LGN_R,0.8458897025709187,0.47158345822040054,-0.6365664387133964,0.3520787409956296,-0.031441140025998064,0.2120698558065026,0.3675653552305025,0.2247358372248728,0.32995381176341376,1.0,0.42296694611862334,0.7659653487558707,0.1859482979315251,-0.44574716301014816,0.49538525369226455,-0.494245699149191,0.471356326164228,0.7535891896268774,-0.08854883058140299,0.17911739207097077,-0.4367966962257565,0.48850356375193715,-0.35514480746453203,0.638907246091468,0.35197881672311515,0.7508183037080922,0.7782016344862976,0.4966438772793001,-0.4165576622810123,0.15214847184409566,0.23583552436585334,0.5351032459652743,0.5974460752464527,-0.35742777330340675,0.0618510586150816,0.8943381502025144,0.39618784157619275,0.5395870589491807,0.2135569109013987,0.11644488489287931,0.8255108667921569,0.036024964302980175,-0.6036238696399238,0.36726936071099087,-0.22661678966091994,0.7364841780533907,0.34830353815983456,-0.46771249431996975,0.41075077110501784,-0.49264228144826044
