,Cerebellum_6_L,Vermis_3,Occipital_Mid_R,Thal_PuI_R,Thal_PuA_R,Vermis_10,SupraMarginal_L,Temporal_Sup_L,Temporal_Pole_Sup_L,Frontal_Med_Orb_L,Cerebellum_6_R,SupraMarginal_R,Olfactory_L,Frontal_Inf_Tri_L,ACC_sub_R,OFCpost_R,Cingulate_Mid_R,N_Acc_L,Thal_IL_L,Temporal_Sup_R
Cerebellum_6_L,1.0,0.19478216348385327,0.30884485202276135,0.012289876279313865,0.48677710573197147,0.023845375917597878,-0.08128673204352223,0.24982372224520702,0.42025436538192884,0.351431367557556,0.9525373726080425,-0.08370817178805078,-0.3759463594568984,0.29564186634119566,0.48839734366016296,-0.4396699017616188,0.2554181255387598,-0.24488213648015972,0.3478743210479257,0.23974875717313648
Vermis_3,0.19478216348385327,1.0,0.3411521436862469,0.660435187112728,0.533944310909017,0.6596002549704494,0.6660204672404108,0.5229985840999496,0.16745198879105452,-0.028864579341126857,0.14337059577475142,0.5253803273736787,0.3396043372717375,0.6906166458670558,-0.08576177709260145,0.22969773300357232,0.6757403930785673,0.45540399212760285,0.549564884977825,0.6338254497705608
Occipital_Mid_R,0.30884485202276135,0.3411521436862469,1.0,-0.019473292133088724,0.19548458545467842,0.27851974174199884,0.324711553280076,-0.14125824361003864,0.020873754596580578,0.12078464681289948,0.3668945512466458,0.37956852016953146,-0.48798363174355774,0.047089863727644156,0.13204659647991232,-0.39849311498737167,0.5330014729887527,-0.2935023947729732,0.5719178884073761,0.39478849634852037
Thal_PuI_R,0.012289876279313865,0.660435187112728,-0.019473292133088724,1.0,0.5012984042058144,0.3707876761949906,0.4975227866467916,0.5766450603227565,-0.05518203097101549,-0.10267092470167503,-0.0289085688990305,0.44718555243524166,0.41287714765550576,0.6027068060942001,-0.05804749886823634,0.30991919822444836,0.5486618752586541,0.5676582347789235,0.2330049171009042,0.5555119094022232
Thal_PuA_R,0.48677710573197147,0.533944310909017,0.19548458545467842,0.5012984042058144,1.0,0.22998978177269333,0.2942232660827498,0.38504484850317094,0.27238997289138955,0.2227446272081378,0.479650698593682,0.08757725432396266,0.19964783858159857,0.41889536467526567,0.16708448570403436,0.09943079483928802,0.3961604630684953,0.3916982648261827,0.41164717943272744,0.4042491914029934
Vermis_10,0.023845375917597878,0.6596002549704494,0.27851974174199884,0.3707876761949906,0.22998978177269333,1.0,0.5200704917718431,0.44646044974254917,0.31481206161567477,0.04269734384151518,-0.05391415472841108,0.5884157111457897,0.25998106006761923,0.45378374637682917,-0.07762760067963084,0.24759476497556052,0.44276714581564747,0.27245371927114814,0.5366056736745262,0.24266532688965173
SupraMarginal_L,-0.08128673204352223,0.6660204672404108,0.324711553280076,0.4975227866467916,0.2942232660827498,0.5200704917718431,1.0,0.33501663030435724,-0.1429139545121217,-0.21296518333634323,-0.0676846331836704,0.26156691543595995,0.20627962698289187,0.56575740992875,-0.04599980367677508,0.2949510962632785,0.6509571977028524,0.24790382974212483,0.43278548228524616,0.4186563915659234
Temporal_Sup_L,0.24982372224520702,0.5229985840999496,-0.14125824361003864,0.5766450603227565,0.38504484850317094,0.44646044974254917,0.33501663030435724,1.0,0.41980530892854206,-0.17117581006272561,0.06350422385156514,0.3480423187673953,0.3674731503067015,0.5890215587018348,-0.10152671025781052,0.21129442867435616,0.41174353702057465,0.3993186076497182,0.4544711648208357,0.26629379144744875
Temporal_Pole_Sup_L,0.42025436538192884,0.16745198879105452,0.020873754596580578,-0.05518203097101549,0.27238997289138955,0.31481206161567477,-0.1429139545121217,0.41980530892854206,1.0,0.2203036339073489,0.29472368671045296,0.06774364821874915,0.05392358452051111,0.3412196811418821,0.03350207462362418,0.06998205594126825,-0.04204460668515072,0.10618804616722648,0.24898359806355214,-0.1828389180087394
Frontal_Med_Orb_L,0.351431367557556,-0.028864579341126857,0.12078464681289948,-0.10267092470167503,0.2227446272081378,0.04269734384151518,-0.21296518333634323,-0.17117581006272561,0.2203036339073489,1.0,0.40928679273805807,-0.11507853360639272,-0.027092414938537892,-0.06019104189396952,0.40791072546393387,-0.020385009907115205,-0.11285703534087693,0.1268928040254879,-0.17609237220071106,-0.008126535530116885
