,Cerebellum_10_R,Paracentral_Lobule_R,Lingual_R,Thal_VA_R,Cingulate_Mid_R,Thal_PuI_L,Frontal_Sup_2_R,Thal_Re_L,ACC_sup_L,Hippocampus_L,Temporal_Mid_L,Thal_PuI_R,Cerebellum_4_5_R,Fusiform_R,Thal_PuA_L
Cerebellum_10_R,1.0,0.5007328809914194,-0.1825578927988249,0.583532220103507,0.38838521327459175,0.4612079410223677,0.4928200194303027,0.5319390754874863,0.5889794793700466,0.6011905180589265,0.16091624366643353,0.6079191218808531,0.7402544469710404,0.02013090718734757,0.17833709017990063
Paracentral_Lobule_R,0.5007328809914194,1.0,-0.2223611865507649,0.06599638684662874,0.3774232499879253,0.158270522466059,0.6473198282838014,0.24195562700625114,0.1760789391356453,0.1356884749236578,-0.09289196514699624,0.2937288386554924,0.23354594540347595,-0.3433126485404597,-0.02260400554143599
Lingual_R,-0.1825578927988249,-0.2223611865507649,1.0,-0.36115389374272816,0.4608940940622942,0.16419739221011634,0.24890715745517167,-0.3727150119917331,0.2316674395784652,0.1641817279619783,0.3727054389822143,0.02098014875578565,0.053117646080629605,0.5801007101479988,0.324831918325501
Thal_VA_R,0.583532220103507,0.06599638684662874,-0.36115389374272816,1.0,-0.04234071564194616,0.3290167261379324,0.14212521965652905,0.6166291512824029,0.5271678783683522,0.5026710717009291,-0.005917501626620084,0.46991095700767,0.6009009574605539,0.0841827585323588,0.006954274056404562
Cingulate_Mid_R,0.38838521327459175,0.3774232499879253,0.4608940940622942,-0.04234071564194616,1.0,0.37488213096925244,0.5424120377811507,0.06966445787989452,0.5750267336502979,0.5310630501855976,0.3046248363451341,0.5486618752586541,0.5205125213155205,0.3299791544849314,0.37964184715582666
Thal_PuI_L,0.4612079410223677,0.158270522466059,0.16419739221011634,0.3290167261379324,0.37488213096925244,1.0,0.24269656458690234,0.3552424675534692,0.5745603177846216,0.6965825305099155,0.450001804184537,0.32897070251405147,0.5662510008112941,0.28115362929834475,0.43102268674884314
Frontal_Sup_2_R,0.4928200194303027,0.6473198282838014,0.24890715745517167,0.14212521965652905,0.5424120377811507,0.24269656458690234,1.0,0.1423769903690949,0.4496530018610853,0.3458695220104169,0.02258509708762747,0.4029864328369804,0.3550506850042164,0.11297685273506052,0.20912465073673864
Thal_Re_L,0.5319390754874863,0.24195562700625114,-0.3727150119917331,0.6166291512824029,0.06966445787989452,0.3552424675534692,0.1423769903690949,1.0,0.40906153258625094,0.40967102299435554,0.25033416663707764,0.5682189037819884,0.5762702356948324,-0.146111460147311,0.15503063759238978
ACC_sup_L,0.5889794793700466,0.1760789391356453,0.2316674395784652,0.5271678783683522,0.5750267336502979,0.5745603177846216,0.4496530018610853,0.40906153258625094,1.0,0.7959055196779444,0.410882364861311,0.7058880223929538,0.7480065265966087,0.30886726543700727,0.49153623541718494
Hippocampus_L,0.6011905180589265,0.1356884749236578,0.1641817279619783,0.5026710717009291,0.5310630501855976,0.6965825305099155,0.3458695220104169,0.40967102299435554,0.7959055196779444,1.0,0.5161637476979292,0.6183070503807819,0.8215211930832915,0.48550596450711714,0.4929298052706383
Temporal_Mid_L,0.16091624366643353,-0.09289196514699624,0.3727054389822143,-0.005917501626620084,0.3046248363451341,0.450001804184537,0.02258509708762747,0.25033416663707764,0.410882364861311,0.5161637476979292,1.0,0.3738992360289013,0.4692968741616673,0.1103564428989398,0.18397958647773913
Thal_PuI_R,0.6079191218808531,0.2937288386554924,0.02098014875578565,0.46991095700767,0.5486618752586541,0.32897070251405147,0.4029864328369804,0.5682189037819884,0.7058880223929538,0.6183070503807819,0.3738992360289013,1.0,0.8362189952306344,0.1369017445018726,0.29805397261924815
Cerebellum_4_5_R,0.7402544469710404,0.23354594540347595,0.053117646080629605,0.6009009574605539,0.5205125213155205,0.5662510008112941,0.3550506850042164,0.5762702356948324,0.7480065265966087,0.8215211930832915,0.4692968741616673,0.8362189952306344,1.0,0.2620136348908578,0.3093403883052576
Fusiform_R,0.02013090718734757,-0.3433126485404597,0.5801007101479988,0.0841827585323588,0.3299791544849314,0.28115362929834475,0.11297685273506052,-0.146111460147311,0.30886726543700727,0.48550596450711714,0.1103564428989398,0.1369017445018726,0.2620136348908578,1.0,0.5352664029785221
Thal_PuA_L,0.17833709017990063,-0.02260400554143599,0.324831918325501,0.006954274056404562,0.37964184715582666,0.43102268674884314,0.20912465073673864,0.15503063759238978,0.49153623541718494,0.4929298052706383,0.18397958647773913,0.29805397261924815,0.3093403883052576,0.5352664029785221,1.0
