,Thal_IL_L,Raphe_D,ParaHippocampal_L,Hippocampus_R,Postcentral_R,Vermis_9,Precuneus_R,Frontal_Sup_Medial_R,Cerebellum_8_L,Thal_PuL_R
Thal_IL_L,1.0,0.1815610800693367,0.11542244168270092,0.08490081211686021,0.3904108328097551,0.21256716690247965,0.33379427809861123,0.3887458288135989,0.3048642268389031,0.40423450855466014
Raphe_D,0.1815610800693367,1.0,0.21401265162033253,0.3128036896932102,-0.3908059810317308,0.6617016498001062,-0.31247054252930057,0.1198873560060312,0.5421449719943092,0.06796483932076296
ParaHippocampal_L,0.11542244168270092,0.21401265162033253,1.0,0.8481963025799565,0.24039525112671453,-0.16278464912497073,0.5060699433511614,0.6566563787122087,-0.37981242877678606,0.4212010586859241
Hippocampus_R,0.08490081211686021,0.3128036896932102,0.8481963025799565,1.0,-0.016568002870468113,-0.09373998308977098,0.4571742026854419,0.6230251567194495,-0.3029412282495786,0.37663966571703156
Postcentral_R,0.3904108328097551,-0.3908059810317308,0.24039525112671453,-0.016568002870468113,1.0,-0.32158128662611235,0.5482569519210474,0.44940292891358585,-0.3185614832459867,0.3802814905322231
Vermis_9,0.21256716690247965,0.6617016498001062,-0.16278464912497073,-0.09373998308977098,-0.32158128662611235,1.0,-0.5414145916172599,-0.20287591640769204,0.8111231277369627,0.05470678367913902
Precuneus_R,0.33379427809861123,-0.31247054252930057,0.5060699433511614,0.4571742026854419,0.5482569519210474,-0.5414145916172599,1.0,0.6047235300595356,-0.44853224421610194,0.47116960625160575
Frontal_Sup_Medial_R,0.3887458288135989,0.1198873560060312,0.6566563787122087,0.6230251567194495,0.44940292891358585,-0.20287591640769204,0.6047235300595356,1.0,-0.237104384737993,0.504912163315156
Cerebellum_8_L,0.3048642268389031,0.5421449719943092,-0.37981242877678606,-0.3029412282495786,-0.3185614832459867,0.8111231277369627,-0.44853224421610194,-0.237104384737993,1.0,0.06714717097784156
Thal_PuL_R,0.40423450855466014,0.06796483932076296,0.4212010586859241,0.37663966571703156,0.3802814905322231,0.05470678367913902,0.47116960625160575,0.504912163315156,0.06714717097784156,1.0
