,Thal_LGN_R,Parietal_Inf_L,Thal_MDl_R,Cerebellum_9_R,ParaHippocampal_L,Olfactory_R,Fusiform_R,Temporal_Mid_R,ParaHippocampal_R,Frontal_Mid_2_L,Cerebellum_10_R,Lingual_R,Cuneus_L,Cingulate_Mid_L,SupraMarginal_R,Hippocampus_L,Angular_L,Cerebellum_Crus1_L,Thal_AV_L,OFCant_L,Thal_IL_L,Thal_PuL_R,Frontal_Inf_Orb_2_R,Fusiform_L,Rolandic_Oper_L,ACC_sub_L,Vermis_8,Thal_VA_R,Thal_PuA_L,Thal_MDm_L,Cingulate_Post_L,Thal_PuM_R,Thal_PuL_L,Temporal_Inf_L,Thal_MGN_R,Caudate_R,Hippocampus_R,Insula_L,Cerebellum_Crus2_L,Putamen_R,Cingulate_Post_R,Parietal_Sup_R,Vermis_7,VTA_R,SN_pr_L,Amygdala_L,Rolandic_Oper_R,Vermis_1_2,Occipital_Inf_R,Thal_MGN_L,Temporal_Pole_Mid_R,Pallidum_R,Frontal_Sup_Medial_L,Calcarine_R,Occipital_Sup_R,Olfactory_L,N_Acc_L,OFCmed_R,Temporal_Pole_Sup_R,Frontal_Mid_2_R
Thal_LGN_R,1.0,0.41075077110501784,0.3371736803382838,-0.6036238696399238,0.8458897025709187,0.7797335002949526,-0.22661678966091994,-0.33098276758955786,0.7603702229370894,0.5145349667814104,0.7508183037080922,-0.44574716301014816,-0.1266435988131834,0.21229413651157428,0.2135569109013987,0.558790815723784,0.3137131601911029,-0.4621992621066266,0.75116891222966,0.36142097867800455,-0.030242008708070024,0.2247358372248728,0.5351032459652743,0.15214847184409566,0.48850356375193715,0.541681051989569,-0.4163697722874104,0.7142537548747914,0.06963282093331408,0.0618510586150816,0.5711901800092088,0.42661796683716985,0.4906810687632613,0.35197881672311515,0.8943381502025144,0.6174165191332929,0.8255108667921569,0.4835240251199299,-0.6185761245649576,0.2120698558065026,-0.031441140025998064,0.3542275649727846,-0.6067911151028944,0.7786332152424281,0.6580810817584841,0.8614422797535719,0.47158345822040054,0.39092933371698024,-0.742196841144335,0.1321651948394122,-0.5083766558055521,0.17398765169313693,0.5974460752464527,-0.35514480746453203,-0.08854883058140299,0.7364841780533907,0.6853489300921586,0.667056101688023,0.49538525369226455,0.471356326164228
Parietal_Inf_L,0.41075077110501784,1.0,0.5950568339212317,-0.6233590360281032,0.43106531173708645,0.2511547281233847,-0.25966903870165836,0.008247466312738528,0.6153286770840553,0.6437866340192878,0.5734011669415754,-0.13486679455491532,0.5821164970525261,0.4490566300138377,0.3337504694294801,0.11864519380825152,0.927069574051225,-0.686836334935871,0.18562553737015158,0.40980608304735816,0.2340519411500361,0.4231615707205744,0.6281503189553967,-0.2630749091566188,0.3152948701807616,0.04087487456174664,-0.6999885036098223,0.18499944384645142,0.03573652216788007,0.45114451162640545,0.29751132091053833,-0.012169859868127957,0.2978643148799701,-0.4464182619195282,0.2522840026365104,0.3908516629548565,0.4903149019094064,0.02428491690404857,-0.6203252645612076,0.16938800127324624,0.16213690366966693,0.7767686565968053,-0.6877180262999101,0.2006874720525425,0.4052095924598516,0.424044748515477,0.4162346946333021,0.18241671454219469,-0.46747454881155764,-0.15073313842909924,-0.24537186256050814,0.44916630872430713,0.4537407117114986,-0.19611256013729958,0.6445635004640367,0.25535076988357813,0.25180059478686884,0.25235367306764694,0.4842565440520998,0.6668361436690579
Thal_MDl_R,0.3371736803382838,0.5950568339212317,1.0,-0.3922508846857827,0.4212381730079502,0.17767824341979843,-0.11340530121578982,0.03622095071386223,0.4714414836235874,0.4020982789253811,0.5266478924594248,-0.0012020146345426092,0.37077767582464294,0.603308823494067,0.5414116303516203,0.24032852635069948,0.477542877267154,-0.4207770994861304,0.26564931508288553,0.20161688214509216,0.370349759347406,0.4266320135109985,0.3763224189762401,-0.03795646346742595,0.4228309637568987,0.07819691298969997,-0.384373975710733,0.21014410458630667,-0.06490814088874455,0.6738493917765128,0.2816642616411355,-0.049914401683237845,0.29518894734631035,-0.189236224553611,0.17315950635435398,0.4973237859058987,0.41001754817162406,0.2081166175901765,-0.45720229854279515,0.3865518765485,0.16052132303420807,0.5338331623660414,-0.42113222418566143,0.11718028873661274,0.4221646322407554,0.3770261994631805,0.6233502271252471,0.33965893899126864,-0.3221910738224007,-0.08452370782438193,-0.26689576425054057,0.6773600081668667,0.23391628663693725,-0.028770000212838626,0.4186122336096059,0.19745880335537683,0.08260440040225575,0.23643401924493213,0.27968022598762127,0.38894986546030197
Cerebellum_9_R,-0.6036238696399238,-0.6233590360281032,-0.3922508846857827,1.0,-0.45562676642134486,-0.5531515687472904,0.686122094092914,0.5041767598390077,-0.5192961820319424,-0.3603685889660389,-0.4773161454854411,0.7813745214953967,-0.02582319716468164,0.012293070106289472,-0.06553677263414062,0.0356188078220044,-0.523292423856075,0.9182379561388647,-0.15874469599214008,-0.34354469834773294,0.2597450155611232,-0.04178128033099566,-0.4829230962624832,0.5865629443270353,0.057370645345178814,-0.22874796643264778,0.8958983948615657,-0.3604374405476973,0.2630539383519661,0.027453599656467657,-0.12338482706612075,0.2090397986177455,-0.014793099484776612,0.26530377821888323,-0.5935946043935422,-0.2178243832058622,-0.4399265815596993,-0.07019851400745247,0.9120138246476238,0.002231073460438751,0.34002702985001537,-0.7385926425914834,0.9822730361545423,-0.3681073207913636,-0.5147538291171619,-0.735184250100854,-0.13225439693646368,0.1830315325668813,0.9073327057311962,0.16498761387408142,0.6470013251824922,-0.37922164269032776,-0.20704627958905922,0.7749659448239035,-0.1872898631273269,-0.48096839611233944,-0.3676952625409201,-0.5887821859296256,-0.39989045698722203,-0.35707889667077863
ParaHippocampal_L,0.8458897025709187,0.43106531173708645,0.4212381730079502,-0.45562676642134486,1.0,0.71005560026384,-0.02300483665150949,-0.12799891527954144,0.7729201955305376,0.5646365728628586,0.7586075438475998,-0.24813364064016885,0.04251181914373948,0.4462573962426504,0.35560293294768075,0.7102018334300584,0.30575561175759974,-0.3237905078152666,0.7864690532130296,0.4296671272163971,0.11542244168270092,0.4212010586859241,0.5114053059334585,0.3237343960305414,0.6199897549081174,0.5739920335229282,-0.25729152198698557,0.703234403566951,0.14342382180943355,0.2890287980161432,0.6277748071900334,0.5144725908920164,0.5990366588263287,0.3654678469340134,0.7393743960931124,0.7212562154975717,0.8481963025799565,0.544997450782051,-0.4945870449799774,0.2738649013181867,0.1898238313018642,0.3349391360596844,-0.4691233018696521,0.7602224535818108,0.7028435487506797,0.7697353542442144,0.6059606077404351,0.6490160235143432,-0.5883393577668485,0.11458690816992428,-0.4079932775268309,0.20939769321190618,0.6472080131691351,-0.13158741059036905,0.05208364260817155,0.715054114938901,0.6861697809115062,0.5978635293980556,0.4806263249094757,0.4945565532225808
Olfactory_R,0.7797335002949526,0.2511547281233847,0.17767824341979843,-0.5531515687472904,0.71005560026384,1.0,-0.18923008512925468,-0.2434576039527245,0.6412933288936639,0.30614772251282724,0.5504677892118377,-0.5462979719489691,-0.22178069343590154,-0.035274962540812235,-0.04430186969298178,0.3735371449084867,0.17301162017307303,-0.496441338640652,0.6866245169807267,0.5300467997230845,-0.2763381396407427,-0.00356519502221163,0.5341406805933729,-0.08564486707572595,0.25553669946100827,0.7464007229904941,-0.3937919129518098,0.8162609047358884,0.08913978077670591,-0.032241111294640315,0.3804613695502539,0.2926794413219978,0.2753663522801875,0.13082880164043592,0.8465415472588419,0.6327352134671741,0.7320615122505962,0.3584595275071368,-0.5546939467826087,-0.1719432148967693,-0.22539743523407257,0.1603500755472758,-0.5643500692096421,0.7279575371414579,0.6497833657632758,0.7566735681181204,0.25085914441000456,0.23102687118705795,-0.6482698577793948,0.1162516218834051,-0.3382771342938916,-0.1282618047536543,0.5479059885352883,-0.47590739744279004,-0.26048142025309573,0.8933295407777191,0.7755550310409919,0.66120690924051,0.6074859569590766,0.3275211411774078
Fusiform_R,-0.22661678966091994,-0.25966903870165836,-0.11340530121578982,0.686122094092914,-0.02300483665150949,-0.18923008512925468,1.0,0.8617804617676292,0.1432078211686634,0.0284251461112151,0.02013090718734757,0.5801007101479988,-0.09972584609445806,0.2222942453586127,-0.1613882671805234,0.48550596450711714,-0.30525941730477335,0.7002475916676865,0.10851430813623716,-0.18588195010667388,0.24281760997570528,0.1841611823039191,0.07334931503395081,0.5970220126695384,0.40047378273688,0.08043614659182033,0.7802411851945337,0.0841827585323588,0.5352664029785221,0.3565668215642729,0.2574527484095694,0.5008651393447857,0.34254743462649834,0.17024810495166431,-0.25496630860626185,0.29012263394713506,0.18324904867179906,-0.06349417270078156,0.6197362322553699,-0.08250812069269224,0.5879115077481566,-0.6829260766388351,0.6938620921395218,0.022547827040709872,-0.13795883984965857,-0.4289279848437286,0.08677582214782024,0.5371059868037019,0.7287537879248698,0.29379427342125475,0.5641192217392706,-0.3480161400638567,0.027899289883302644,0.6918324832905797,-0.23873719269415306,-0.20883155706470957,-0.10886060285961052,-0.3675278056274302,0.1666932549835167,0.11117752443974145
Temporal_Mid_R,-0.33098276758955786,0.008247466312738528,0.03622095071386223,0.5041767598390077,-0.12799891527954144,-0.2434576039527245,0.8617804617676292,1.0,0.20415257757503508,0.09543840609651254,0.020181083527639854,0.50977699078394,0.0954329692122888,0.2462880716758265,-0.15371623174364019,0.2856090864375732,-0.025498243515338536,0.4293399746007628,-0.10493406909213818,-0.1007966796699403,0.24693622074788754,0.23071817719053728,0.2195803836635916,0.2788880567301835,0.2766253400872719,-0.07412143134843481,0.5183518419612447,0.010006828835840824,0.4987899755895169,0.5068167547448829,0.17638928977257826,0.29871645173258016,0.2531691480429163,-0.20748798247022396,-0.3725602622170215,0.2967739092179965,0.16663922215436391,-0.19197663932119824,0.4496300538723681,-0.2633162804035812,0.5245094359712422,-0.4483035982176559,0.4862585469015546,-0.13661871873926093,-0.12336754348760995,-0.478736223138732,0.06929874763587354,0.3594583227929343,0.6692946496385629,0.2043720299010813,0.560358497128249,-0.251018190740328,0.008544492346046642,0.5791803231557124,-0.0037073504073858493,-0.28952644947333056,-0.19085533645460667,-0.42998125473066445,0.30421298134189334,0.22146608702118495
ParaHippocampal_R,0.7603702229370894,0.6153286770840553,0.4714414836235874,-0.5192961820319424,0.7729201955305376,0.6412933288936639,0.1432078211686634,0.20415257757503508,1.0,0.6316856197777858,0.7861666993534612,-0.30137381220881004,0.008017638990046323,0.39444911356531953,0.13176542228330515,0.6106892067186367,0.45565389326895794,-0.42207474969424297,0.5656460833796879,0.34207748580340236,0.0196776706055131,0.3755951575432883,0.7633909525281103,0.07325044056646074,0.5486349309202608,0.43437162659508843,-0.3346259668461014,0.6869212372252838,0.2902667538582772,0.3865722581800706,0.6288844189885162,0.43100881055203233,0.5777454919035432,0.024137403307974994,0.6600523567548574,0.7655249689315966,0.9385104245113121,0.23191593689351236,-0.5384712405357056,0.023607371218830185,0.24050637521187795,0.29181549971926984,-0.5214631590835217,0.62331722064625,0.6284164026839554,0.6871123631803676,0.4812761777899023,0.5082890175816052,-0.46883729824165804,0.10860597862083893,-0.2990868151741925,0.1425649156923667,0.5309816224973043,-0.19414548276752813,0.041154489525921885,0.5566439622871523,0.5873438231237874,0.4548572099855944,0.728295239550744,0.6648869169338402
Frontal_Mid_2_L,0.5145349667814104,0.6437866340192878,0.4020982789253811,-0.3603685889660389,0.5646365728628586,0.30614772251282724,0.0284251461112151,0.09543840609651254,0.6316856197777858,1.0,0.6141421404423683,-0.0032335566794214946,0.24402193781193643,0.3453683648243072,0.30572844514181163,0.5065504744521008,0.5400802456700041,-0.29964920024672675,0.4688007502061966,0.6149450537768512,0.20429877059879176,0.4115216255370548,0.7420442115630567,0.14522730692959746,0.48506885239426684,0.2756125425379637,-0.3262858041338295,0.4581982507753024,0.19290634537506535,0.34959679495009827,0.5416801143959437,0.30583684104061115,0.5787684135921739,-0.009193891638698066,0.3515448283545465,0.5596323969060977,0.5572744930703497,0.29869695410709246,-0.38833337891060576,0.14895689029233736,0.2561660336483423,0.44781455095720224,-0.40472987800024657,0.37773284757758185,0.5069256780816824,0.3424466994657517,0.4614555611625561,0.4046219705826262,-0.3302332570569118,-0.010082786443790666,-0.11155085769035451,0.18323466279090087,0.6990021821965113,0.0056408039488289805,0.32130116712424606,0.3317514312417311,0.3994718419892401,0.040256048396092765,0.5785617131388079,0.9396214172855579
