,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L
SN_pc_R,1.0,0.40836501618008325,0.14002912980382562,0.4827375069443166,0.020652279844534677,0.3863286576342437,0.2493188285439886,0.1953873221394564,0.4750089528299197,0.39879116405953435,0.12307878716071166,0.21618974192180426,-0.0089295229211562,0.15251493604481048,0.13786715351416087,0.2923389427530697,-0.014294795009953511,0.38027827958237154,-0.0970035222487793,0.27460196380444196,0.30572591053133585,0.41136536884221114,0.10472347248565826,0.19531203268706865,0.07661078650404769,0.29480069341697124,0.30867967892489584,0.12268634947420633,0.1004915008306141,0.05655109414008708,0.24423906675506976,0.2977865102509294,0.11844167003245565,0.21408248315019146,0.20293530744038424
Thal_MDl_L,0.40836501618008325,1.0,0.2285881772784101,0.5585198345910597,0.11616850353096352,0.5930545345665874,0.10153686329960676,-0.020269563732347815,0.1949999648188966,0.5279994625214622,0.23485302915451323,0.6072477793898914,0.38714064153954,0.04017874000369622,0.27543615026425367,0.2727034901969551,0.6120813932736201,0.6259062153809366,0.24148231422884048,0.13774152327470385,0.3114997366754984,0.20112094176416337,0.5857060416262582,0.09141952500207975,0.06772587550132894,0.5334118789840149,0.44602749777199063,-0.05660161379701947,0.1408291231251076,0.21688297926383499,0.24849894938808775,0.4588388207586686,-0.031517491942196094,0.5005667789656348,0.43226933235826254
OFCpost_R,0.14002912980382562,0.2285881772784101,1.0,0.13786574589053965,0.6277513259774375,0.5086943694219384,-0.002899647726456662,-0.5287097230003402,-0.16578870373124707,0.4649229158630391,-0.46366818348673206,0.6147368383549014,0.6102142571645046,0.15923277630450405,-0.35704803929230283,0.5259935395351187,0.21129442867435616,0.43201787855104173,0.5616193767819629,0.20507894670132953,0.0501240917560447,0.5815259395259121,0.337278052821762,0.3165270225203741,-0.5358852819451203,0.5934766602721493,0.4560235649127817,0.3107240563251552,0.3509619727836874,-0.06389880369716097,-0.3249353017283892,0.18845031989901226,-0.07169852973539088,0.568560377120986,0.20974269779153834
Temporal_Sup_R,0.4827375069443166,0.5585198345910597,0.13786574589053965,1.0,0.11842934762998768,0.6783328670334466,0.19069697878778852,0.08157968577850518,0.4539413952711062,0.24511702014442777,0.11338018439368426,0.3553292017033429,0.26869645498358397,0.19769953444625146,0.1909732946950334,0.16069996719960256,0.26629379144744875,0.6480331393785191,0.10192050912091441,0.4569590130480109,0.25998751048718943,0.3300028973121934,0.2999676640802222,0.3565644703330746,-0.0001288702496592766,0.6431946084817236,0.48474429300468,0.14737715529015274,0.2758947500314503,0.4193548219071717,0.18681607594488195,0.5765203179300603,0.18514427668627087,0.501723679295886,0.609395044067551
OFClat_L,0.020652279844534677,0.11616850353096352,0.6277513259774375,0.11842934762998768,1.0,0.33264538029022733,-0.10136008414218398,-0.823670258405967,-0.36835201652045413,0.3477698018656094,-0.6375644850833279,0.5001434078654324,0.7843386396611303,0.5466774269491342,-0.5524052142157383,-0.0038954559531633546,0.2553657916121385,0.38702209346832905,0.6437767174072988,0.4115805979580278,-0.1137924706903343,0.6748814262863688,0.33223631395229,0.49634939741355677,-0.7835431019038563,0.6658804649140576,0.6246112530426463,0.5569454957997242,0.5994830619280221,0.09871893868859616,-0.6479812172377596,0.31870423266773434,0.010097705497216215,0.6842953580733208,0.3441620796555189
Heschl_R,0.3863286576342437,0.5930545345665874,0.5086943694219384,0.6783328670334466,0.33264538029022733,1.0,-0.06439940579219905,-0.2131000208639939,0.15888520809291753,0.5617637347334662,0.05119544475807042,0.7348514158651273,0.5932594069826104,0.05596626584092355,0.14161482774946282,0.4191439971886671,0.582913532039869,0.7012387267672612,0.39757026660898903,0.24932536728749832,0.47146248660780554,0.3785132811656566,0.5076538125767948,0.22064281986357723,-0.13073010834628765,0.733471267444776,0.59223581150561,-0.0068671779996343895,0.22430737760147432,0.20185999690296108,0.050199520091533376,0.5694520136651036,-0.1289072202297839,0.7205424270976759,0.5053913288987503
Cuneus_L,0.2493188285439886,0.10153686329960676,-0.002899647726456662,0.19069697878778852,-0.10136008414218398,-0.06439940579219905,1.0,0.06575563147130249,-0.1430255169940375,-0.08794613891315908,-0.2601342160178645,-0.03554373620387037,-0.1266435988131834,0.4780055827164462,-0.1912358040209653,-0.2793305791973505,0.05076741822358891,0.19045852054862594,-0.13155583242703064,0.4763390308049782,-0.2520201460486473,0.021068665819238528,0.13689740149413102,0.5104086476664814,-0.1097680044707506,-0.06107896555532439,0.13667108626645733,0.5439313014286411,0.590824070564046,0.526986349731849,0.13299099537680317,0.11361422415322318,0.8860608596187436,0.04251181914373948,0.4927841521761789
Occipital_Inf_R,0.1953873221394564,-0.020269563732347815,-0.5287097230003402,0.08157968577850518,-0.823670258405967,-0.2131000208639939,0.06575563147130249,1.0,0.6764572792457013,-0.2571459621115366,0.7868389022423338,-0.3491678503029724,-0.742196841144335,-0.5191823308595375,0.7337523924384753,0.25593047227301186,-0.21702432545950137,-0.12254863691529465,-0.5437130508732195,-0.28344723413037354,0.35726988018059086,-0.3755214990539586,-0.27179082264884674,-0.39115492319492673,0.907518706410784,-0.46783694604752296,-0.4997229630673654,-0.5725158671640136,-0.6472723156712349,-0.1275924436182817,0.809849396189126,-0.06921466899575589,-0.05652584251846373,-0.5883393577668485,-0.2682645725678635
Temporal_Inf_R,0.4750089528299197,0.1949999648188966,-0.16578870373124707,0.4539413952711062,-0.36835201652045413,0.15888520809291753,-0.1430255169940375,0.6764572792457013,1.0,-0.016809619942058162,0.5948255474784283,-0.12956879805314403,-0.34961359426385774,-0.26023755037491775,0.6119710581641652,0.5030644409239781,-0.24254346927127085,0.1322848941159213,-0.2520689502510185,0.029888147816043334,0.49729462603836044,0.21115373702348764,-0.2984529468908374,-0.14018416661583905,0.525028284451175,0.12472811710181886,-0.06931660202807818,-0.29200936062531635,-0.4448164878315452,-0.36412388514181415,0.5022563785680842,0.15921201894987286,-0.2455108872790988,-0.1789382776069528,-0.16555784855260539
SN_pr_R,0.39879116405953435,0.5279994625214622,0.4649229158630391,0.24511702014442777,0.3477698018656094,0.5617637347334662,-0.08794613891315908,-0.2571459621115366,-0.016809619942058162,1.0,0.07710755945833063,0.7167079190005391,0.609477254665434,-0.015591269410867388,0.18053284912217524,0.36447102922394214,0.5484209058870815,0.5050147353299074,0.6116510739425841,0.014878318641200658,0.5104569217292775,0.26194006288180266,0.5049276256830146,0.040795066071952865,-0.0697889022306503,0.5746766174584546,0.45979750545917214,-0.09287690386141959,0.1210151896404859,0.08074841428495196,0.11880186611818101,0.4033162767594691,-0.23483043924590843,0.6127858324644686,0.34451096901454087
