,Temporal_Sup_L,Thal_MDl_L,Cerebellum_3_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Frontal_Mid_2_L,Cerebellum_4_5_R,Frontal_Med_Orb_L,Frontal_Inf_Oper_L,ACC_pre_L,Thal_MGN_L,Lingual_R,Insula_R,Fusiform_L,OFCmed_L,Precuneus_L,Raphe_M,Lingual_L,Thal_VL_L,Calcarine_R,Amygdala_L,OFClat_L,Cerebellum_Crus2_L,Thal_MGN_R,N_Acc_L,Parietal_Inf_R,Thal_PuA_R,Cerebellum_10_R,OFCmed_R,Frontal_Inf_Tri_L,Cuneus_R,Vermis_1_2,Thal_VL_R,OFCant_R,Temporal_Pole_Mid_L,Cerebellum_Crus1_R,Frontal_Inf_Tri_R,Caudate_L,Cuneus_L,Thal_VA_R,Vermis_7,Temporal_Mid_L,Thal_MDl_R,SN_pr_L,OFCpost_L
Temporal_Sup_L,1.0,0.6120813932736201,0.35858076197985456,-0.21719934614892492,0.7746703889185432,0.3376750595743963,0.6835137346928394,-0.17117581006272561,0.5942600411188571,0.29898448699288227,0.20222876325645484,0.17708390106105254,0.5404819081272206,0.6934339951552442,0.11649360478299395,0.23503458971819208,0.14915022529388725,0.19571050348627955,0.7111715014521907,0.29827471759915464,0.33035991483959587,0.2553657916121385,-0.07887038260356,0.45614806910749045,0.3993186076497182,0.1855280951043247,0.38504484850317094,0.4148360434815286,0.3910903794649544,0.5890215587018348,0.3117189527393246,0.5539239795774223,0.3484216993998015,0.27792205888066385,-0.006239037667763785,-0.09545609213732555,0.12472749839213004,0.7460459950555681,0.05076741822358891,0.3040252587319265,0.006916546433374419,0.8871086791650525,0.10239385984335331,0.3725054472634728,0.33201154524072113
Thal_MDl_L,0.6120813932736201,1.0,0.39196077844668287,-0.021855724842738764,0.435332787423495,0.21775709958931683,0.6813034641047035,-0.16111037249781818,0.5887816347305572,0.1460667133577454,0.21388223511962862,0.2380950191689312,0.632921741615693,0.565247236023894,0.3357864839642705,0.1408291231251076,0.23565255948031638,0.3629900330913119,0.6978139733708882,0.33639688065634415,0.1613528920541952,0.11616850353096352,-0.049566735639544696,0.24410102589363147,0.21904914265620415,-0.045483843708151166,0.5380990783187437,0.44602749777199063,0.2512275756910499,0.5121962881283272,0.2849583208781788,0.6616002858743742,0.5246848866339461,0.19350119165572838,0.06778179677648967,0.07508524392340668,0.39484129230119697,0.6921941349287823,0.10153686329960676,0.33100024816996904,0.06772587550132894,0.47791092469852703,0.48969487393835415,0.43592667392528955,0.23551671700601853
Cerebellum_3_L,0.35858076197985456,0.39196077844668287,1.0,-0.3944884900501996,0.13835233594491497,0.6134750144428879,0.7484153161799789,-0.2551813116942621,0.5296919040050293,0.2866678625001625,0.1585646576347151,-0.39100687547155966,0.2379625808459711,0.1342617187963883,0.46456343193128524,0.4839132066500325,0.30688479606466984,-0.3520595573888855,0.6774406207014658,-0.2533320854620337,0.7111347928640064,0.7203416074929981,-0.5480986400517628,0.7291111725746374,0.5601271807557412,0.05592458802654803,0.2448307881563211,0.8022353387169455,0.5150544722391219,0.5629774845573512,0.10910138884922475,0.5490953940656447,0.7503478618838494,0.5698199643230315,-0.4371133652828343,-0.4188336125542564,0.593245294911433,0.5932170609628016,-0.12864035937505797,0.7093857522228322,-0.5308298549414009,0.021508469593982123,0.41842232470164836,0.6341725630290245,0.4920023759915665
Temporal_Pole_Mid_R,-0.21719934614892492,-0.021855724842738764,-0.3944884900501996,1.0,-0.20664542675495048,-0.11155085769035451,-0.182792698393025,0.42221951352401726,0.09395205902243556,-0.14264281832923242,0.21185548816985417,0.607880586725111,0.2811505133168116,0.19768073574180575,-0.20390362964822092,-0.43570903067704086,0.2347171738765333,0.5842348726985289,-0.14517950938415397,0.546677275864832,-0.6348009679210738,-0.5471861682884506,0.6267014769251853,-0.48091523826826293,-0.21381419711213445,-0.34360936980889756,0.2703312409007354,-0.3091434884865807,-0.5617454738625269,0.010485746129282476,0.11290680667463439,0.07223850997455916,-0.03570540200148954,-0.40860359093585935,0.6323719932459747,0.6508282830106339,0.055689889760137175,-0.0680412358610725,0.0718579503134161,-0.1804304860389091,0.6122520388199346,-0.09614068369745273,-0.26689576425054057,-0.28731149551548074,-0.2859928425112271
Temporal_Inf_L,0.7746703889185432,0.435332787423495,0.13835233594491497,-0.20664542675495048,1.0,-0.009193891638698066,0.48988901465846574,0.08214616818941677,0.26677016618004457,0.04037914497116616,0.1528818238264272,0.11043010521714981,0.27184687403105007,0.7451126659503948,-0.05899384510080276,-0.16969773363032492,0.20401537789541024,0.13267861154982508,0.5113853264208652,0.27677941359454467,0.2034064926368829,0.02737046543857128,0.1927452615042962,0.30198223658976897,0.29088711449393445,-0.08730726676716909,0.3375748045425205,0.1079495380238141,0.22972143243895465,0.30182907489785676,0.04365420101906295,0.38837965228038146,0.22210965724647144,-0.018553859337868735,0.14792872616231947,0.17123534916771324,-0.11128870745052845,0.4261196994181786,-0.24499035345331624,0.16322722521581093,0.3084941705550648,0.8486068759549213,-0.189236224553611,0.14979240879681502,-0.017098145680128553
Frontal_Mid_2_L,0.3376750595743963,0.21775709958931683,0.6134750144428879,-0.11155085769035451,-0.009193891638698066,1.0,0.5024298983421289,-0.20160461499165758,0.5697345063961627,0.4365361291058539,-0.010082786443790666,-0.0032335566794214946,0.23853628130514026,0.14522730692959746,0.08146853778009733,0.6330086497849423,0.10950611188348254,-0.06871130570133092,0.5257636425731098,0.0056408039488289805,0.3424466994657517,0.6333198057297096,-0.38833337891060576,0.3515448283545465,0.3994718419892401,0.38503586552646346,0.1894336393170882,0.6141421404423683,0.040256048396092765,0.7437433840591477,0.4124146926995188,0.4046219705826262,0.5169856827995597,0.48602653950303787,-0.20485579563951328,-0.3875484873610412,0.6246998310322772,0.5577289034606749,0.24402193781193643,0.4581982507753024,-0.40472987800024657,0.08835901517449045,0.4020982789253811,0.5069256780816824,0.5361461613457335
Cerebellum_4_5_R,0.6835137346928394,0.6813034641047035,0.7484153161799789,-0.182792698393025,0.48988901465846574,0.5024298983421289,1.0,-0.08089120958033857,0.7129085930160771,0.2500315674078769,0.20542122234607385,0.053117646080629605,0.565022432710735,0.5765173099232627,0.4354116651266759,0.4019829405819338,0.32022044037516634,0.08089792422818921,0.815860131347808,0.2054844469117628,0.6033447514188488,0.43322332202653624,-0.27536464320252935,0.5879880410996271,0.570112478406547,0.12857942418161888,0.5091662361339858,0.7402544469710404,0.45706686952986,0.64080650727766,0.3386805781123911,0.8014171793612777,0.7147492475092072,0.34763678069743564,-0.23522148569380968,-0.18886929992957854,0.5778967468932444,0.7791847583147516,0.0554692737671999,0.6009009574605539,-0.1825570676501497,0.4692968741616673,0.4346606398242742,0.5810293055212348,0.390886120830745
Frontal_Med_Orb_L,-0.17117581006272561,-0.16111037249781818,-0.2551813116942621,0.42221951352401726,0.08214616818941677,-0.20160461499165758,-0.08089120958033857,1.0,-0.08692384637702434,-0.09737643394662948,-0.050530335545930734,0.28402312479158426,0.1617693212314073,0.22599521837396314,-0.13750497300214826,-0.3941608913517276,0.09245502779221869,0.23397879513687844,-0.12400732225922947,0.27107188981849306,-0.23980996474705682,-0.30434632633483877,0.5006350598192152,-0.26939186065098075,0.1268928040254879,-0.37007739473016765,0.2227446272081378,-0.20708633538205798,-0.2871143359936439,-0.06019104189396952,-0.08692657054569601,0.04589165937916015,0.07103443612312198,-0.23343913580528058,0.24543565450887023,0.4476333148127733,0.0675264275925794,-0.1573135909694155,-0.030494853995132624,-0.02202286600026538,0.45986357695325464,-0.0024297011000941325,-0.41684657544417547,-0.3060077040962329,-0.2785584614131994
Frontal_Inf_Oper_L,0.5942600411188571,0.5887816347305572,0.5296919040050293,0.09395205902243556,0.26677016618004457,0.5697345063961627,0.7129085930160771,-0.08692384637702434,1.0,0.126385110385252,0.2351069607802163,0.3569016880198046,0.6287601476391513,0.579343184600387,0.278245472282508,0.22118169897606407,0.3302589148571699,0.36173590045245785,0.6655835630766935,0.43425658405059936,0.22537415300824817,0.21324007899455316,0.009662865813158832,0.2934284229831807,0.28247012167831664,0.026757050711055292,0.4731845887212638,0.5423992084282437,0.10714264502674238,0.8791582835489131,0.4083449170703715,0.6831507583101204,0.5585499653838025,0.17793565152043683,0.04207260489221951,0.12311768233512471,0.6405518223509509,0.7824094854462963,0.10921463178689902,0.45117845644602056,0.08928083914213775,0.38407637155861696,0.3807219457073794,0.2922605692150899,0.1754643498452093
ACC_pre_L,0.29898448699288227,0.1460667133577454,0.2866678625001625,-0.14264281832923242,0.04037914497116616,0.4365361291058539,0.2500315674078769,-0.09737643394662948,0.126385110385252,1.0,0.13526163292361587,-0.21994584732659397,0.36304176442881264,-0.06052470612906993,0.0031581970699799053,0.3805246587161819,-0.016725599800546647,-0.3093889372167732,0.509061716837028,-0.306508833477347,0.3984929821250587,0.611283275929822,-0.45562921490547553,0.5320227951724086,0.5438195962775432,0.19478217242924697,-1.7823531693801263e-05,0.36562313162426996,0.2208094482989787,0.353504117596442,-0.01251438752269923,0.05981091958676124,0.48248987959832934,0.8070637523903917,-0.3029533818044656,-0.5056287503257967,0.3694051867373505,0.4194876149706722,0.07423986978478658,0.587841438127453,-0.4654653227530257,0.13762636632654135,0.06222633100971379,0.4563248334398291,0.6581412685206226
