,Thal_PuA_R,Thal_IL_L,Cerebellum_9_L,Cingulate_Post_R,Frontal_Sup_Medial_R,Putamen_R,Vermis_6,Thal_VA_L,SupraMarginal_L,Caudate_R,Parietal_Inf_R,Thal_AV_R,Insula_R,Thal_VA_R,Thal_MDl_R,Lingual_R,Raphe_D,Thal_VL_R,Cerebellum_4_5_L,Hippocampus_L,Cerebellum_10_R,Occipital_Inf_R,Occipital_Mid_L,Frontal_Sup_2_L,Thal_IL_R,Thal_PuL_R,Cingulate_Post_L,Frontal_Med_Orb_L,Rectus_L,ACC_sup_R,Frontal_Mid_2_L,Vermis_7,Thal_Re_L,Amygdala_L,Cerebellum_4_5_R,Pallidum_L,Rolandic_Oper_L,Temporal_Mid_R,Amygdala_R,Red_N_R,OFCant_L,Vermis_1_2,SN_pc_L,Frontal_Inf_Tri_L,SN_pr_R,Olfactory_R,Thal_PuM_L,Heschl_R,Thal_LP_R,SN_pc_R,OFCpost_L,Parietal_Sup_R,VTA_L,Cerebellum_Crus1_L,Vermis_4_5,Thal_PuM_R,Cerebellum_8_L,Caudate_L,Cingulate_Mid_R,ACC_sup_L,Thal_PuA_L,Thal_MDm_R,SN_pr_L,Cerebellum_6_R,Thal_AV_L,Raphe_M,Temporal_Pole_Sup_R,Pallidum_R,OFCpost_R,Postcentral_L,Temporal_Sup_L,OFCant_R,Cerebellum_Crus2_R,Cerebellum_7b_L,Precentral_R
Thal_PuA_R,1.0,0.41164717943272744,0.31446712209619726,0.6544493863395373,0.2743830565597787,0.09388131320358971,0.4057476828452277,0.16857366421558065,0.2942232660827498,0.4298530217815709,-0.18894147536176295,-0.0018012676712242989,0.587895023473736,0.10127488193143179,-0.002666876326009026,0.3537686691187323,0.6153252000477526,0.4262348192300344,0.4400299199264057,0.5802346813061419,0.26025528247319885,0.2578346376326773,0.2782665463410609,0.22815179243521952,0.3539386352147611,0.4351324749895312,0.4050789886797345,0.2227446272081378,0.139056230137591,0.5915393850570431,0.1894336393170882,0.30020053535985103,0.2564136748198561,0.0064581567682889295,0.5091662361339858,-0.07900039567233191,0.5278908012970059,0.44305586943085884,0.3223286679635078,0.6268935574655307,0.037999400595245814,0.568143881874789,0.44026635779436407,0.41889536467526567,0.5478114035525433,0.18051822906047602,0.7544206230144176,0.35268567355665464,0.615816270646156,0.3812870939424351,0.12604715569170793,-0.23617385116535852,0.15033992252132233,0.3721615994144729,0.33171371491307544,0.7969042494858816,0.3568383896100514,0.49224024420089457,0.3961604630684953,0.582809837684537,0.8568719315924571,0.6501972703598171,0.26215499245500523,0.479650698593682,0.3854150327154202,0.3631019661673192,0.15672319728018372,-0.17936023222326342,0.09943079483928802,0.044330002476810446,0.38504484850317094,-0.023865926141565207,0.2934451959499189,0.1450021480659433,-0.026535324426049122
Thal_IL_L,0.41164717943272744,1.0,0.2798696027544978,0.6487217032499419,0.3887458288135989,0.5610457007666343,0.37916796711220824,-0.25646481837603535,0.43278548228524616,0.17405278472885527,0.35975975205565786,0.3256855767376214,0.47954527686951054,-0.2849196644380501,0.370349759347406,0.6261220942864187,0.1815610800693367,-0.09373828737278661,0.620433067531898,0.40868490849557254,0.18882802376412386,0.23231768416144932,0.6537940775050075,0.2019082329692042,0.6437189146556878,0.40423450855466014,0.1483176403769983,-0.17609237220071106,-0.16062961711110094,0.40075461592048056,0.20429877059879176,0.2166699743009204,-0.1476385947470678,-0.1872909518081882,0.3107146034345263,0.3000541701887126,0.5561415596106264,0.24693622074788754,-0.15386799171456692,0.26950445177222243,-0.08872064849215566,0.38245181581866156,0.2803174617687113,0.3405490583082723,0.11956300648943248,-0.2763381396407427,0.44285987897603973,0.20902996170078222,0.20292009508657083,0.3320090097485435,0.08255827440770369,0.2036258222599391,0.36688463013762407,0.26866315877947383,0.36516919965715317,0.33420992400390914,0.3048642268389031,0.40841710221344196,0.6474014863582492,0.44473632758881193,0.44588216285321236,0.6626228770089126,0.14772044783121668,0.25737031787365944,0.22698175242040952,0.04588590292257217,-0.21118282540377958,0.44642417994339695,-0.16830041355819017,0.24147241876954076,0.4544711648208357,-0.18919688047268332,0.09239954316156683,0.4028038764491516,0.41173792750707155
Cerebellum_9_L,0.31446712209619726,0.2798696027544978,1.0,0.39633257769367075,-0.30279900441083774,-0.06256720228207857,0.8603114413949177,-0.4271234844708254,-0.17317122057985837,-0.20931077793884034,-0.4735704242222819,0.06750384989423633,0.18771711609890598,-0.3692307185690994,-0.3717605440351152,0.7519807695029543,0.5107961690519612,-0.16896614266380583,0.19712165343867274,0.07119147144748555,-0.41864521639098856,0.9176516072789348,0.5702101811229063,-0.12276041228559344,0.16224607118013606,-0.011598769655510922,-0.13370565400101803,0.42602036380283026,0.5444584090551885,-0.01649957204879513,-0.21985286053676303,0.9253414679609989,-0.4428883356547307,-0.8109887290780418,-0.2190629861254662,-0.31099799935808076,0.04320375014520555,0.6290744710489422,0.33635584732528,0.3863230190326116,-0.29247800126386375,0.18118921962195272,0.27227123881605825,0.12167868183181188,-0.107043677942848,-0.5959133169788318,0.36225831080346155,-0.13925805388899928,0.18109941214465675,0.2045685545444878,-0.5714113265857741,-0.7054559945305537,0.6165912409515089,0.8925732096432638,-0.11772610844367785,0.20743866419936832,0.9675419632886175,-0.09592424825391413,0.09972111735979186,-0.02815911320663904,0.3258232498579766,0.28927024610655894,-0.47713905818290303,0.898481162375059,-0.22268105358731827,0.2721415182498434,-0.252955242503515,-0.37083638840944116,-0.4905240960949185,-0.4453250292988605,-0.039654763246956756,-0.6125604709952643,0.7613526808173837,0.36152333789717217,-0.3772263598163485
Cingulate_Post_R,0.6544493863395373,0.6487217032499419,0.39633257769367075,1.0,0.2410922312948521,0.3260057520528502,0.42474223891004126,-0.06157761672096504,0.44037513696054625,0.28016239941231946,0.004815488037508533,0.3319976574477615,0.4792380541260602,-0.13871607094576674,0.16052132303420807,0.5367258810961935,0.4506843522979123,0.15098984683872757,0.5322735225637543,0.5729445086794211,0.24046848679398708,0.35770683195065084,0.4539118354074763,0.30768283080314074,0.5172410234898055,0.580706912703802,0.46692012483510753,0.10145979172161432,0.010524039119949296,0.49027038844489074,0.2561660336483423,0.33578132968153607,-0.05495647868568093,-0.17050585574952587,0.45239742812869443,0.1925782576635891,0.6555364373422661,0.5245094359712422,0.016588248059009374,0.4634610972085054,-0.15361995853273172,0.5941225842481999,0.2093055894170282,0.40194141397038957,0.1458929892466774,-0.22539743523407257,0.7561222702941737,0.3682696965894054,0.48706798738496865,0.3810776284578513,-0.020460381018286608,-0.08968942579709786,0.2795653169410136,0.41884234243115026,0.3830006096473666,0.6292017419565527,0.44989447691273166,0.403382543113241,0.6964051809282976,0.5085104973595787,0.5715527254972478,0.7172778209082042,0.0767690059602181,0.5240029695321482,0.19266283585398986,0.2284783209851164,-0.02160605333981144,0.15256829717288553,-0.23708444305370507,0.22412485547893105,0.4161471461230151,-0.2700719665859843,0.39374029833687274,0.1699636986424609,0.1250994561854496
Frontal_Sup_Medial_R,0.2743830565597787,0.3887458288135989,-0.30279900441083774,0.2410922312948521,1.0,0.2355559528081912,-0.07843589727952763,0.4741691925713418,0.5433849810814462,0.711168384259879,0.4609262516512955,0.13334746425889948,0.6277618263215262,0.5057406756120238,0.47918236579330575,0.09120323552204904,0.1198873560060312,0.5372521011246628,0.5924851509747405,0.507061012211846,0.6143414547569552,-0.34646575516304506,0.09366295127128434,0.6376727593526145,0.5126235370890874,0.504912163315156,0.41509324823161303,-0.1433007201620142,-0.12288716540754227,0.6924966774780481,0.7357463394232496,-0.39725205084611975,0.39556929549118336,0.4069118263612933,0.5934198524842286,0.0997681251461921,0.5750133081934908,0.052775910697329745,0.18133128928285092,0.12228903283429626,0.6152814805550522,0.4715211047743934,0.0995859649758893,0.6002042876215613,0.37633547251838695,0.4480676879218147,0.3942600615402584,0.5698810914629164,0.5095687532866111,0.34580383271645204,0.6525130145777053,0.49634701399913317,-0.09941559251039873,-0.3482166822813243,0.6391983603383681,0.38114002188506857,-0.237104384737993,0.6285243501119571,0.41969190774820997,0.7619590442345692,0.2304930163042188,0.4590253790967167,0.5533495650333065,-0.24777103135597958,0.6271333187610967,0.13761771634038472,0.4892544013536259,0.20154052843907524,0.5844120940922896,0.5761933130090108,0.42717574727093366,0.5516697147787777,-0.38411181578595033,0.22179419498738348,0.41580040335818835
Putamen_R,0.09388131320358971,0.5610457007666343,-0.06256720228207857,0.3260057520528502,0.2355559528081912,1.0,0.0776381144271776,-0.16920558792066587,0.32279784722478655,0.060897545044968825,0.5528194529406011,0.19372127518425467,0.15899629050737643,-0.14425350367906525,0.3865518765485,0.30175731435943487,-0.036297010177053717,-0.15105559354417844,0.48501553818778365,0.34636211360631874,0.297597953395774,-0.06917983355288146,0.3038955875207096,0.08540507535474744,0.4381469547460774,0.35574635851537517,0.1701023309764749,-0.2598377121128452,-0.45327004235071644,0.27903831932861195,0.14895689029233736,0.017897093402280597,0.06207289874921802,0.16810929602711755,0.35446265488657486,0.13444921942923777,0.48261825101053707,-0.2633162804035812,-0.4995527804068309,-0.11979860246195709,-0.1730709070598163,0.34758009203922935,0.16399613435190394,0.3061129615021948,0.11214868230675828,-0.1719432148967693,0.22965515432861966,0.20699758752813666,0.1122469593237393,0.013360993561042965,0.020331478188282095,0.3195982792594353,0.2126335043869168,0.10675949577840016,0.35370385815285166,0.17805210004859062,-0.0007735632765595491,0.379248974698442,0.6706057746937523,0.3061323283856385,0.00019981917722088934,0.31836790875740834,0.07332244472160056,-0.04840126927577552,0.3346775705934597,-0.09005763564517344,-0.41559026502031293,0.6388788893751324,-0.24603938707004552,0.23112071577578194,0.5471859959158887,-0.14853802703694266,-0.22828256900079377,0.345976414148394,0.6062002532406042
Vermis_6,0.4057476828452277,0.37916796711220824,0.8603114413949177,0.42474223891004126,-0.07843589727952763,0.0776381144271776,1.0,-0.2855129107067095,-0.05059194077251999,0.01654680023488751,-0.3043810985853036,0.01448595209419654,0.3810113974128164,-0.20620563126433966,-0.21012910051180891,0.8609599704379997,0.4767532158199798,-0.0201564069789269,0.4950431636060089,0.1780863398249267,-0.2592236927529744,0.809849396189126,0.6517597511899662,-0.06253887874121349,0.3118185779661989,0.11839999260982498,0.06618914450671559,0.4557027609784761,0.48226938669707514,0.12468287380677268,-0.1469531379834016,0.8747002328002789,-0.2610572655343057,-0.6119329321217624,0.05861189549603738,-0.31967279431521867,0.2352179959013854,0.5499343362390621,0.3380073508274663,0.35602753997187314,-0.1827699154176588,0.38156956666566244,0.4540494989027988,0.21768347362665938,0.11880186611818101,-0.4282456995972282,0.40561599534757176,0.050199520091533376,0.27145467908621873,0.24423906675506976,-0.45956897633746724,-0.5930174058349313,0.6800877587002907,0.8252571835338073,0.19516586421349397,0.30387634756810716,0.8107188981073011,0.08900305684403624,0.21794279092591862,0.14427926560359858,0.3090504677189674,0.40745780094858924,-0.33888713251504454,0.8470181559505929,0.04338784281342442,0.3128337964454233,-0.2668228851132348,-0.27161940490518605,-0.3249353017283892,-0.3096262308866379,0.13580105878389526,-0.545274005047244,0.6393669192304228,0.5547383599137641,-0.10998175913507856
Thal_VA_L,0.16857366421558065,-0.25646481837603535,-0.4271234844708254,-0.06157761672096504,0.4741691925713418,-0.16920558792066587,-0.2855129107067095,1.0,0.24752280643103158,0.7091479607685849,-0.07879877492048218,-0.16681661776096252,0.26214414104511,0.8710185017636635,0.30758127187261697,-0.42598427490191887,0.15838409923561778,0.8580444042338854,0.14512294021216696,0.48337575380044623,0.6549496179976112,-0.532676780253136,-0.5779334637899088,0.47918195219321363,0.0038307937089526083,0.135778625825303,0.5578941725457167,-0.0681251801533346,-0.05439357911066938,0.5070485823254749,0.5438295636837074,-0.45974616001488483,0.6722190400289855,0.6809986620014153,0.6326576527482219,0.07546762916178756,0.37816533575132766,0.0060863112356925675,0.307034916918477,0.10670924003513146,0.46072757563591155,0.3999248441636909,-0.06226656134199529,0.5127269495728832,0.5261716207460012,0.7885753028941669,0.2485131316271921,0.5532584593493705,0.44236995802431134,0.16140815746154583,0.5056723472376936,0.10080436526234413,-0.5366690509865871,-0.3703657178236444,0.5016927569054594,0.3070884163966776,-0.33288586809109,0.5261089886982608,0.018329206686316202,0.4889154007083255,0.09363956867453321,0.1722638153674494,0.5860358059076289,-0.22289830442953898,0.6340919065179307,0.2839751606038291,0.7172222374133082,-0.07384209912256556,0.6290073845513758,0.31169124615193283,0.2802318028123465,0.6598628705573603,-0.2286381914247309,-0.3315991494589013,-0.02306748809957316
SupraMarginal_L,0.2942232660827498,0.43278548228524616,-0.17317122057985837,0.44037513696054625,0.5433849810814462,0.32279784722478655,-0.05059194077251999,0.24752280643103158,1.0,0.43398023888217063,0.3155944280108963,0.16498482291577532,0.3439822622032138,0.199291796664322,0.3801813442064601,0.14211853485379092,0.026373739226790434,0.25949285246253384,0.5621076144808241,0.38803111035356563,0.5654615109371744,-0.17740465787327794,0.23852239414847368,0.6402701011014841,0.43179020384276373,0.4562534832628971,0.4629099685239556,-0.21296518333634323,-0.17319894277583195,0.5207749821818225,0.546746761710264,-0.30706419745703695,0.3494850695176878,0.29105121029050773,0.4861569187877626,0.22386956931277385,0.607824141771951,0.20096835972856616,-0.08683416542253784,0.06180825562896836,0.1871207368477032,0.4651799667676006,0.05649982306850005,0.56575740992875,0.1649476784091784,0.2098066574102475,0.3045023982523472,0.34250663300404643,0.32733694914388084,0.18728254786903584,0.3284654105082391,0.39831564256007734,-0.128369089165477,-0.2783430271460756,0.5593631001853907,0.33367016944448946,-0.09737981774671815,0.5341761500525183,0.6509571977028524,0.4700732616226086,0.28386081360066695,0.3832140632341593,0.26900787119218234,-0.0676846331836704,0.40804297106898046,0.09661022510560782,0.38543770401496735,0.30439274774961433,0.2949510962632785,0.7959639530355178,0.33501663030435724,0.3250050861705105,-0.09898340903253025,0.06156941512335985,0.21108189867576435
Caudate_R,0.4298530217815709,0.17405278472885527,-0.20931077793884034,0.28016239941231946,0.711168384259879,0.060897545044968825,0.01654680023488751,0.7091479607685849,0.43398023888217063,1.0,0.02105301762747561,0.12225415343998582,0.6451352365025185,0.7678276237925525,0.4973237859058987,-0.0003423371422750974,0.2981919774763517,0.8593198061394811,0.5071395528566017,0.6751972598365132,0.686077754101089,-0.2548941339478625,-0.1887110758888794,0.5552873789702202,0.4275470473921242,0.4181933895928277,0.6169799765384687,-0.0427163502245786,-0.027874851361065857,0.7597693689048949,0.5596323969060977,-0.24962902417922175,0.4689823102295166,0.48842788684047744,0.7770938553970412,0.15508717088348767,0.6678966023895795,0.2967739092179965,0.3678312040502513,0.23981787327905166,0.4639028426335024,0.6298738121068644,0.08680521870858908,0.628908953882303,0.540055931529961,0.6327352134671741,0.5643933237156875,0.7872947359890818,0.6841023099334558,0.44473759394388845,0.5335200841046353,0.08467298567926772,-0.21399798310599213,-0.19909763590204,0.6771982800272632,0.5285930013055652,-0.15486922669339442,0.739393611451381,0.37264532147448975,0.7830653067243524,0.34247119537322324,0.506342470555688,0.5607166170517938,0.03417319173609083,0.7179230145967738,0.3501758291387189,0.6541328300137745,0.07460104166179832,0.6123327448584771,0.4331847833655637,0.38423712840369584,0.45680584608838964,-0.05678785955187281,-0.029533103852112504,0.16149873703591297
